,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2001-11-29,40.2,43.4,40.1501,41.7,12.6004,371100
1,2001-11-30,41.7,42.8501,41.6501,42.8501,12.9479,165300
2,2001-12-03,42.7001,42.7001,41.3501,41.3501,12.4947,127500
3,2001-12-04,41.3501,41.3501,39.7001,39.7001,11.9961,95400
4,2001-12-05,40.3001,44.3501,40.3001,44.0,13.2954,598200
5,2001-12-06,44.2001,44.2001,43.71,43.7201,13.2108,157200
6,2001-12-07,43.7501,44.0,43.4,44.0,13.2954,215100
7,2001-12-10,43.9001,43.92,43.76,43.85,13.2501,119100
8,2001-12-11,43.8,44.13,43.76,43.76,13.2229,378600
9,2001-12-12,43.7501,43.7501,42.11,42.3,12.7817,114600
10,2001-12-13,42.2501,42.8,41.9,41.9,12.6609,113700
11,2001-12-14,41.85,41.85,40.55,40.89,12.3557,233400
12,2001-12-17,40.9901,42.0,40.9901,41.0,12.3889,106200
13,2001-12-18,41.0501,41.6,41.0,41.0,12.3889,101400
14,2001-12-19,41.0,41.0501,40.74,41.0501,12.404,157800
15,2001-12-20,41.2001,42.69,41.2001,42.3,12.7817,97200
16,2001-12-21,42.5501,45.9,42.5,45.3401,13.7003,659400
17,2001-12-24,45.3,46.05,45.2,45.8,13.8393,50700
18,2001-12-26,45.9,46.9601,45.8,46.0001,13.8998,378000
19,2001-12-27,47.25,47.6501,46.2,46.95,14.1868,349200
20,2001-12-28,47.2001,47.2001,46.9001,47.0501,14.217,295500
21,2001-12-31,47.1,49.7501,46.7,49.7501,15.0329,255900
22,2002-01-02,48.5,48.5,47.6501,47.78,14.4376,132300
23,2002-01-03,47.7,47.7101,45.3,45.3,13.6882,89700
24,2002-01-04,45.3,45.6,41.0,42.5,12.8422,346500
25,2002-01-07,42.5,43.1,39.8501,41.8001,12.6306,601500
26,2002-01-08,41.55,41.8001,40.5,41.1,12.4191,442200
27,2002-01-09,41.15,41.6,41.1,41.2001,12.4493,60000
28,2002-01-10,41.2001,42.4001,41.2001,42.1001,12.7213,216300
29,2002-01-11,43.0001,44.25,42.95,43.5,13.1443,340800
30,2002-01-14,43.5,43.7,42.9,42.9,12.963,230700
31,2002-01-15,44.25,46.35,44.25,46.01,13.9028,1030200
32,2002-01-16,45.93,47.3501,45.5,46.9001,14.1717,526200
33,2002-01-17,47.0,47.8001,47.0,47.2001,14.2624,42900
34,2002-01-18,47.1,48.0,46.7,47.3,14.2926,70500
35,2002-01-22,47.31,47.31,45.7001,46.7,14.1113,130800
36,2002-01-23,46.8,47.15,46.7,46.9001,14.1717,38700
37,2002-01-24,47.0,47.2001,46.0001,46.25,13.9753,125100
38,2002-01-25,46.4,47.3,45.95,46.9001,14.1717,88800
