,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,24.752,25.3792,24.5056,24.752,0.0874,105369595
1,1984-11-06,26.2528,26.376,24.9984,26.2528,0.0927,225321590
2,1984-11-07,25.7488,26.376,24.8752,25.7488,0.0909,231548790
3,1984-11-08,24.752,25.7488,24.6288,24.752,0.0874,88121596
4,1984-11-09,23.2512,24.8752,23.0048,23.2512,0.0821,294134387
5,1984-11-12,24.1248,24.248,23.0048,24.1248,0.0852,113254395
6,1984-11-13,23.4976,24.6288,23.2512,23.4976,0.083,126671995
7,1984-11-14,23.7552,24.0016,23.128,23.7552,0.0839,104339196
8,1984-11-15,23.7552,24.0016,23.3744,23.7552,0.0839,106601595
9,1984-11-16,23.2512,24.1248,23.128,23.2512,0.0821,165760015
10,1984-11-19,21.8736,23.3744,21.7504,21.8736,0.0773,232982390
11,1984-11-20,22.624,22.7472,21.7504,22.624,0.0799,263244789
12,1984-11-21,23.128,23.2512,22.2544,23.128,0.0817,178729615
13,1984-11-23,23.7552,24.1248,23.3744,23.7552,0.0839,137087994
14,1984-11-26,24.0016,24.0016,23.4976,24.0016,0.0848,100643196
15,1984-11-27,24.6288,24.8752,23.8784,24.6288,0.087,127411195
16,1984-11-28,25.872,26.4992,24.6288,25.872,0.0914,410524782
17,1984-11-29,25.3792,25.872,24.9984,25.3792,0.0896,174876815
18,1984-11-30,24.752,25.6256,24.6288,24.752,0.0874,108707195
19,1984-12-03,24.3712,24.8752,23.6208,24.3712,0.0861,97999996
20,1984-12-04,24.8752,25.3792,24.248,24.8752,0.0879,120377595
21,1984-12-05,26.1296,26.1296,24.752,26.1296,0.0923,262908789
22,1984-12-06,27.3728,27.496,25.872,27.3728,0.0967,317273586
23,1984-12-07,27.2496,28.3696,27.1264,27.2496,0.0962,494524779
24,1984-12-10,26.7456,27.2496,26.4992,26.7456,0.0945,111484795
25,1984-12-11,26.376,27.1264,26.1296,26.376,0.0932,123782395
26,1984-12-12,25.5024,26.376,25.1216,25.5024,0.0901,110073595
27,1984-12-13,25.7488,26.2528,25.1216,25.7488,0.0909,66841597
28,1984-12-14,26.376,26.6224,25.7488,26.376,0.0932,96140796
29,1984-12-17,27.0032,27.2496,26.2528,27.0032,0.0954,125238395
30,1984-12-18,28.6272,28.7504,27.496,28.6272,0.1011,340569585
31,1984-12-19,27.496,28.7504,27.3728,27.496,0.0971,317497586
32,1984-12-20,27.3728,28.0,27.3728,27.3728,0.0967,139843194
33,1984-12-21,27.0032,27.496,26.7456,27.0032,0.0954,123894395
34,1984-12-24,27.496,27.6304,27.1264,27.496,0.0971,67535997
35,1984-12-26,27.6304,27.8768,27.3728,27.6304,0.0976,67177597
36,1984-12-27,27.7536,27.8768,27.6304,27.7536,0.098,98761596
37,1984-12-28,28.7504,28.8736,27.6304,28.7504,0.1015,165334393
