Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-16,20,21.349,19.51,20.49,19.1722,3415200
2021-09-17,20.29,20.94,20,20,18.7137,664000
2021-09-20,19.48,20.42,19.25,19.85,18.5733,1069200
2021-09-21,20.24,20.734,19.935,20.01,18.723,261100
2021-09-22,20.05,21.58,19.9,21.34,19.9675,332500
2021-09-23,21.35,22.12,21.35,21.78,20.3792,370800
2021-09-24,21.67,22.055,20.796,21.85,20.4447,159600
2021-09-27,22.22,22.22,21.63,21.79,20.3886,262700
2021-09-28,21.79,21.94,21.55,21.85,20.4447,169400
2021-09-29,21.86,22.06,21.61,21.98,20.5663,92800
2021-09-30,21.81,22.135,21.69,21.93,20.5196,76500
2021-10-01,22.05,22.21,21.655,21.77,20.3699,92800
2021-10-04,21.67,21.84,20.93,21.26,19.8927,126500
2021-10-05,21.39,21.42,20.15,20.84,19.4997,113200
2021-10-06,20.81,21.17,20.56,21,19.6494,52200
2021-10-07,21.1,21.2,20.51,20.91,19.5652,95000
2021-10-08,21.05,21.44,20.82,20.91,19.5652,67500
2021-10-11,20.73,21.49,20.36,20.45,19.1348,357400
2021-10-12,20.77,20.93,20.44,20.5,19.1815,398600
2021-10-13,20.4,21.03,20.21,20.75,19.4155,644800
2021-10-14,20.99,21.6,20.85,21.32,19.9488,573600
2021-10-15,21.5,21.69,20.89,21.56,20.1734,149200
2021-10-18,21.71,21.91,21.57,21.79,20.3886,127600
2021-10-19,21.95,22.77,21.525,22.51,21.0623,209700
2021-10-20,23.05,23.33,22.52,23.15,21.6611,267300
2021-10-21,23.04,23.25,22.55,22.99,21.5114,132300
2021-10-22,22.98,23.273,22.78,22.98,21.502,147700
2021-10-25,23,23.15,22.57,22.71,21.2494,72400
2021-10-26,22.58,22.76,22.35,22.5,21.0529,73300
2021-10-27,22.5,23.235,22.5,22.99,21.5114,72500
2021-10-28,23.04,23.25,22.91,23.06,21.5769,104400
2021-10-29,22.49,23.26,22.49,22.98,21.502,93400
2021-11-01,22.81,23.22,22.715,23.1,21.6143,140100
2021-11-02,23.27,23.27,22.56,22.64,21.1839,129000
2021-11-03,22.64,24,22.374,23.36,21.8576,232500
2021-11-04,23.2,24,23.14,23.52,22.0073,245200
2021-11-05,23.69,23.914,23.11,23.23,21.736,164900
2021-11-08,23.27,23.75,23.07,23.17,21.6798,69100
2021-11-09,23,23.03,22.36,22.45,21.0061,171100
2021-11-10,22.43,22.545,22.12,22.31,20.8751,91500
2021-11-11,22.37,23.098,21.875,21.96,20.5476,332700
2021-11-12,22.02,22.28,21.88,22,20.5851,144200
2021-11-15,22.48,22.81,22.407,22.8,21.3336,233700
2021-11-16,22.99,23.3,22.75,23.24,21.7453,154300
2021-11-17,23.06,23.1,22.35,22.95,21.474,158400
2021-11-18,23.06,23.3,22.57,23.16,21.6705,93800
2021-11-19,23.25,23.53,22.84,23.02,21.5395,198400
2021-11-22,23.21,23.64,23.1,23.14,21.6517,170700
2021-11-23,23.28,23.38,22.21,22.89,21.4178,237500
2021-11-24,21.39,21.99,21.25,21.64,21.398,158500
2021-11-26,21.5,21.53,20.82,21.4,21.1607,137600
2021-11-29,21.78,21.78,20.81,20.93,20.696,370300
2021-11-30,20.8,21.13,20.69,20.76,20.5279,140100
2021-12-01,21.02,21.51,20.75,20.89,20.6564,118500
2021-12-02,21,21.64,20.725,21.36,21.1212,230100
2021-12-03,21.51,21.6,20.8,21.17,20.9333,197800
2021-12-06,21.11,21.595,21.01,21.33,21.0915,143500
2021-12-07,21.5,21.55,20.94,21.4,21.1607,177800
2021-12-08,21.35,21.355,20.79,20.97,20.7355,107400
2021-12-09,20.82,20.93,20.43,20.76,20.5279,112500
2021-12-10,20.72,21.34,20.71,20.81,20.5773,64400
2021-12-13,20.84,20.84,20.5,20.7,20.4686,106000
2021-12-14,20.8,21.27,20.62,20.82,20.5872,154100
2021-12-15,20.64,21.55,20.59,21.25,21.0124,204900
2021-12-16,21.29,21.9,20.411,20.61,20.3796,266400
2021-12-17,20.46,21.15,18.76,19.3,19.0842,2420000
2021-12-20,19.52,19.72,19.05,19.35,19.1336,305700
2021-12-21,19.55,19.85,19.335,19.6,19.3809,146700
2021-12-22,19.61,19.92,19.565,19.78,19.5588,101800
2021-12-23,19.88,20.208,19.88,20.01,19.7863,67400
2021-12-27,20.07,20.25,19.8,20.22,19.9939,65900
2021-12-28,20.24,20.4,19.99,20.2,19.9741,212600
2021-12-29,20.12,20.5,20.12,20.38,20.1521,67300
2021-12-30,20.47,20.93,20.34,20.55,20.3202,77000
2021-12-31,20.45,20.8,20.405,20.67,20.4389,67200
2022-01-03,20.73,21.42,20.73,21.23,20.9926,108500
2022-01-04,21.27,21.8,21.23,21.68,21.4376,117000
2022-01-05,21.68,22.07,21.56,21.71,21.4673,141600
2022-01-06,21.85,22.01,21.38,21.97,21.7244,103400
2022-01-07,21.83,22.358,21.83,22.24,21.9913,132700
2022-01-10,22.14,22.28,21.665,22.14,21.8925,163500
2022-01-11,22.43,22.59,21.745,21.92,21.6749,148500
2022-01-12,21.91,22.46,21.86,22.36,22.11,199900
2022-01-13,22.57,22.69,22.075,22.28,22.0309,148200
2022-01-14,22.07,22.45,21.85,22.34,22.0902,84400
2022-01-18,22.28,22.38,21.64,21.76,21.5167,93500
2022-01-19,21.91,22.54,21.58,21.67,21.4277,154300
2022-01-20,21.76,21.94,21.02,21.19,20.9531,204400
2022-01-21,20.98,21.62,20.94,21.08,20.8443,141100
2022-01-24,20.82,21.3,20.4,20.98,20.7454,150900
2022-01-25,20.93,21.73,20.48,21.19,20.9531,133900
2022-01-26,21.45,21.9,20.63,21.03,20.7949,200900
2022-01-27,21.22,21.76,20.73,20.86,20.6268,132300
