,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1993-02-17,12.75,14.25,12.5,14.25,7.1042,3758600
1,1993-02-18,14.75,15.25,13.5,13.625,6.7924,744100
2,1993-02-19,13.5,14.0,13.0,13.5,6.7299,373300
3,1993-02-22,13.25,13.25,12.25,12.25,6.1069,463200
4,1993-02-23,12.25,12.75,12.25,12.5,6.2315,283400
5,1993-02-24,12.25,15.0,12.25,14.5,7.2285,325100
6,1993-02-25,14.0,14.75,14.0,14.25,7.1042,253800
7,1993-02-26,14.25,14.75,14.25,14.25,7.1042,151900
8,1993-03-01,14.5,14.75,14.0,14.625,7.2909,26400
9,1993-03-02,14.75,15.5,14.25,15.5,7.7271,99100
10,1993-03-03,15.0,16.75,15.0,16.5,8.2258,221000
11,1993-03-04,17.0,17.0,16.25,16.25,8.1011,75900
12,1993-03-05,16.75,16.75,15.25,15.75,7.8519,200000
13,1993-03-08,15.75,15.75,15.25,15.75,7.8519,21000
14,1993-03-09,15.75,16.25,15.25,16.0,7.9764,60700
15,1993-03-10,16.25,16.25,15.5,16.0,7.9764,157600
16,1993-03-11,16.25,17.125,15.75,16.75,8.3503,75200
17,1993-03-12,16.5,16.75,16.25,16.75,8.3503,11300
18,1993-03-15,16.75,17.0,16.25,16.25,8.1011,52800
19,1993-03-16,16.75,16.75,16.25,16.25,8.1011,18000
20,1993-03-17,16.25,16.75,16.25,16.375,8.1636,45300
21,1993-03-18,16.75,16.75,16.25,16.5,8.2258,95800
22,1993-03-19,16.75,16.75,16.25,16.75,8.3503,50900
23,1993-03-22,16.25,16.5,16.25,16.5,8.2258,60000
24,1993-03-23,16.25,16.75,16.25,16.5,8.2258,46300
25,1993-03-24,16.25,16.5,16.25,16.5,8.2258,21400
26,1993-03-25,16.25,16.75,15.75,15.75,7.8519,109600
27,1993-03-26,15.75,17.0,15.75,16.25,8.1011,53800
28,1993-03-29,16.25,17.0,16.25,16.75,8.3503,81300
29,1993-03-30,16.25,16.75,16.0,16.75,8.3503,98400
30,1993-03-31,16.75,17.75,16.25,17.75,8.8489,73500
31,1993-04-01,17.25,17.75,17.25,17.25,8.5997,14400
32,1993-04-02,17.75,17.75,17.0,17.5,8.7244,47300
33,1993-04-05,17.5,17.5,17.0,17.5,8.7244,22500
34,1993-04-06,17.25,17.5,17.0,17.5,8.7244,36700
35,1993-04-07,17.0,17.5,17.0,17.5,8.7244,1400
36,1993-04-08,17.5,17.5,17.125,17.5,8.7244,8000
37,1993-04-12,17.25,17.75,17.0,17.25,8.5997,39400
38,1993-04-13,17.0,17.5,17.0,17.5,8.7244,160700
39,1993-04-14,17.0,17.25,16.75,16.875,8.4126,113300
40,1993-04-15,16.5,17.0,15.5,16.25,8.1011,99000
41,1993-04-16,15.5,16.25,13.75,14.75,7.3533,139800
42,1993-04-19,15.0,15.0,14.25,14.75,7.3533,55100
43,1993-04-20,15.0,15.75,14.875,15.25,7.6027,217600
44,1993-04-21,15.75,16.25,15.5,16.0,7.9764,82200
45,1993-04-22,15.5,16.0,15.5,16.0,7.9764,12900
46,1993-04-23,16.0,16.0,15.25,15.75,7.8519,483300
47,1993-04-26,16.0,16.0,15.25,15.25,7.6027,36600
48,1993-04-27,15.75,15.75,14.25,14.25,7.1042,155200
49,1993-04-28,14.5,14.875,14.25,14.5,7.2285,24400
50,1993-04-29,15.0,15.0,14.5,15.0,7.478,42100
51,1993-04-30,15.0,15.25,14.5,15.0,7.478,177800
52,1993-05-03,15.25,15.25,14.5,15.0,7.478,35900
53,1993-05-04,15.5,15.75,15.0,15.5,7.7271,188700
54,1993-05-05,15.25,15.25,14.25,14.75,7.3533,31200
55,1993-05-06,14.5,15.25,14.25,14.875,7.4156,268500
56,1993-05-07,14.75,15.25,14.75,15.0,7.478,47600
57,1993-05-10,14.75,15.25,14.75,15.25,7.6027,30700
58,1993-05-11,15.0,15.25,15.0,15.25,7.6027,3400
59,1993-05-12,15.25,15.25,14.75,15.25,7.6027,48300
60,1993-05-13,14.75,15.25,14.75,14.75,7.3533,4100
61,1993-05-14,14.75,15.0,14.5,14.5,7.2285,20200
62,1993-05-17,15.0,15.0,14.5,14.875,7.4156,85500
63,1993-05-18,15.25,15.25,14.5,14.5,7.2285,35600
64,1993-05-19,14.25,15.0,14.25,15.0,7.478,37800
65,1993-05-20,15.0,15.0,14.25,15.0,7.478,5700
66,1993-05-21,14.75,14.75,14.25,14.25,7.1042,36200
67,1993-05-24,14.875,15.0,14.25,14.25,7.1042,41400
68,1993-05-25,15.0,15.0,14.25,14.25,7.1042,27400
69,1993-05-26,14.25,14.75,14.25,14.75,7.3533,46800
70,1993-05-27,14.25,15.0,14.25,15.0,7.478,2800
71,1993-05-28,14.75,15.0,14.5,15.0,7.478,64900
72,1993-06-01,14.5,15.0,14.5,15.0,7.478,117300
73,1993-06-02,14.75,15.0,14.5,15.0,7.478,115600
74,1993-06-03,15.0,15.0,14.75,15.0,7.478,47600
75,1993-06-04,14.875,15.25,14.75,15.25,7.6027,102700
76,1993-06-07,14.75,15.25,14.5,15.0,7.478,30500
77,1993-06-08,15.25,15.25,14.5,15.0,7.478,17200
78,1993-06-09,14.5,15.25,14.5,15.25,7.6027,4700
79,1993-06-10,15.0,15.25,14.5,15.25,7.6027,6000
80,1993-06-11,14.75,14.75,14.75,14.75,7.3533,600
81,1993-06-14,15.25,15.25,14.75,14.75,7.3533,5900
82,1993-06-15,15.0,17.0,14.75,17.0,8.4749,95500
83,1993-06-16,17.25,17.25,15.625,16.5,8.2258,128100
84,1993-06-17,16.5,16.75,16.25,16.75,8.3503,31900
85,1993-06-18,17.5,18.25,17.0,17.75,8.8489,318700
