,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1994-07-22,18.5,18.625,18.5,18.5,0.125,15790523
1,1994-07-25,18.5,18.625,18.5,18.625,0.1258,1546143
2,1994-07-26,18.5,18.625,18.5,18.5,0.125,797613
3,1994-07-27,18.625,18.625,18.5,18.5,0.125,416097
4,1994-07-28,18.5,18.625,18.5,18.5,0.125,931479
5,1994-07-29,18.5,18.625,18.5,18.5,0.125,221993
6,1994-08-01,18.5,18.625,18.5,18.5,0.125,242073
7,1994-08-02,18.5,18.625,18.5,18.5,0.125,669326
8,1994-08-03,18.5,18.625,18.5,18.625,0.1258,418328
9,1994-08-04,18.5,18.5,18.25,18.25,0.1233,6177881
10,1994-08-05,18.25,18.375,18.25,18.25,0.1233,1456900
11,1994-08-08,18.25,18.375,18.25,18.25,0.1233,565580
12,1994-08-09,18.375,18.375,18.25,18.375,0.1241,911399
13,1994-08-10,18.25,18.25,18.0,18.0,0.1216,1494828
14,1994-08-11,18.0,18.25,17.875,17.875,0.1207,755223
15,1994-08-12,18.0,18.0,17.875,18.0,0.1216,956021
16,1994-08-15,17.875,18.125,17.875,18.0,0.1216,269961
17,1994-08-16,18.25,18.25,18.0,18.125,0.1224,1225982
18,1994-08-17,18.125,18.125,18.0,18.0,0.1216,1035224
19,1994-08-18,18.0,18.125,18.0,18.125,0.1224,500879
20,1994-08-19,18.0,18.125,17.875,18.0,0.1216,602393
21,1994-08-22,18.0,18.0,17.875,18.0,0.1216,402711
22,1994-08-23,17.875,18.0,17.875,17.875,0.1207,303427
23,1994-08-24,17.875,18.125,17.875,18.0,0.1216,718410
24,1994-08-25,18.125,18.25,18.0,18.125,0.1224,572273
25,1994-08-26,18.125,18.25,18.125,18.25,0.1233,529883
26,1994-08-29,18.25,18.375,18.125,18.25,0.1233,505341
27,1994-08-30,18.375,18.5,18.25,18.5,0.125,404942
28,1994-08-31,18.5,18.5,18.375,18.375,0.1241,294503
29,1994-09-01,18.5,18.5,18.25,18.25,0.1233,388209
30,1994-09-02,18.375,18.375,18.125,18.25,0.1233,397133
31,1994-09-06,18.375,18.375,18.0,18.0,0.1216,129403
32,1994-09-07,18.0,18.125,18.0,18.0,0.1216,370360
33,1994-09-08,18.0,18.125,17.875,18.125,0.1224,638091
34,1994-09-09,18.125,18.25,17.625,18.25,0.1233,369245
35,1994-09-12,18.0,18.25,18.0,18.0,0.1216,383747
36,1994-09-13,18.125,18.25,18.0,18.125,0.1224,505341
37,1994-09-14,18.125,18.25,17.75,17.75,0.1199,403826
38,1994-09-15,17.875,18.125,17.875,18.0,0.1216,1295146
39,1994-09-16,18.0,18.0,17.75,17.75,0.1199,285579
40,1994-09-19,17.75,17.875,17.5,17.75,0.1199,798729
41,1994-09-20,17.625,17.625,17.25,17.375,0.1173,809884
42,1994-09-21,17.25,17.5,17.0,17.125,0.1157,1388852
43,1994-09-22,17.125,17.625,17.125,17.625,0.119,934825
44,1994-09-23,17.625,17.75,17.5,17.5,0.1182,488608
45,1994-09-26,17.75,17.75,17.5,17.75,0.1199,410520
46,1994-09-27,17.75,18.25,17.625,17.625,0.119,679366
47,1994-09-28,17.75,17.75,17.5,17.5,0.1182,403826
48,1994-09-29,17.5,17.75,17.375,17.625,0.119,294503
49,1994-09-30,17.375,17.5,17.25,17.375,0.1173,314583
50,1994-10-03,17.25,17.375,17.125,17.125,0.1157,272192
51,1994-10-04,17.25,17.375,16.5,16.75,0.1131,677135
52,1994-10-05,16.75,17.125,16.75,17.125,0.1157,254343
53,1994-10-06,17.0,17.25,17.0,17.25,0.1165,367013
54,1994-10-07,17.25,17.5,17.125,17.375,0.1173,207491
55,1994-10-10,17.625,17.75,17.625,17.625,0.119,134980
56,1994-10-11,17.875,18.0,17.75,17.875,0.1207,350280
57,1994-10-12,18.0,18.0,17.75,17.875,0.1207,159522
58,1994-10-13,17.875,18.125,17.75,17.875,0.1207,159522
59,1994-10-14,17.875,17.875,17.75,17.75,0.1199,122709
60,1994-10-17,17.75,17.875,17.625,17.875,0.1207,81434
61,1994-10-18,17.75,17.875,17.625,17.75,0.1199,117132
62,1994-10-19,17.75,18.125,17.75,18.0,0.1216,490839
63,1994-10-20,18.0,18.125,17.875,18.0,0.1216,775302
64,1994-10-21,18.0,18.0,17.75,18.0,0.1216,439524
65,1994-10-24,18.0,18.0,17.75,17.75,0.1199,87012
66,1994-10-25,17.75,18.0,17.75,17.875,0.1207,54661
67,1994-10-26,17.75,17.875,17.75,17.75,0.1199,142789
68,1994-10-27,17.75,18.125,17.75,18.0,0.1216,1368772
69,1994-10-28,18.0,18.125,18.0,18.0,0.1216,147251
70,1994-10-31,18.125,18.25,18.0,18.25,0.1233,749645
71,1994-11-01,18.125,18.25,18.0,18.0,0.1216,397133
72,1994-11-02,18.0,18.25,18.0,18.125,0.1224,410520
73,1994-11-03,18.125,18.25,18.0,18.125,0.1224,567811
74,1994-11-04,18.125,18.25,18.0,18.0,0.1216,238726
75,1994-11-07,18.0,18.0,17.75,17.875,0.1207,278885
76,1994-11-08,17.625,17.75,17.375,17.625,0.122,314583
77,1994-11-09,17.75,17.75,17.5,17.5,0.1211,213068
78,1994-11-10,17.5,17.625,17.5,17.625,0.122,195220
79,1994-11-11,17.5,17.625,17.375,17.5,0.1211,94821
80,1994-11-14,17.5,17.75,17.5,17.5,0.1211,249881
81,1994-11-15,17.5,17.75,17.375,17.75,0.1229,846697
82,1994-11-16,17.625,17.75,17.5,17.625,0.122,153945
83,1994-11-17,17.625,17.875,17.625,17.75,0.1229,469643
84,1994-11-18,17.75,18.0,17.75,17.75,0.1229,291156
