Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,17.5,17.875,17.5,17.688,17.688,327400
1998-01-02,17.75,17.813,17.688,17.813,17.813,75500
1998-01-05,18,18.125,17.5,17.813,17.813,181000
1998-01-06,17.563,17.813,16.438,17.25,17.25,447300
1998-01-07,17.313,17.313,16.5,17,17,188400
1998-01-08,17,17,16.75,16.875,16.875,65200
1998-01-09,16.875,16.875,16.125,16.188,16.188,81900
1998-01-12,16.063,16.875,16.063,16.875,16.875,289900
1998-01-13,16.813,17,16.813,16.813,16.813,112000
1998-01-14,16.75,16.75,16.5,16.688,16.688,220300
1998-01-15,16.75,16.75,16.438,16.5,16.5,107000
1998-01-16,16.625,16.813,16.5,16.625,16.625,197300
1998-01-20,17,17.75,17,17.563,17.563,493500
1998-01-21,17.563,17.813,17.438,17.5,17.5,262700
1998-01-22,17.5,17.688,17,17.313,17.313,430100
1998-01-23,17.188,17.188,16.188,16.625,16.625,290700
1998-01-26,16.563,16.688,16.188,16.625,16.625,187200
1998-01-27,16.75,17.438,16.75,17.438,17.438,272100
1998-01-28,17.688,18.438,17.688,18,18,1032800
1998-01-29,18,18.313,17.938,17.938,17.938,458900
1998-01-30,18,18.063,17.875,17.875,17.875,380100
1998-02-02,18,18.406,18,18.313,18.313,759200
1998-02-03,18.375,18.5,18.313,18.375,18.375,360200
1998-02-04,18.438,18.5,18.313,18.438,18.438,269800
1998-02-05,18.438,18.563,18.375,18.5,18.5,317600
1998-02-06,18.563,18.563,18.313,18.375,18.375,229900
1998-02-09,18.25,18.313,17.688,17.688,17.688,176100
1998-02-10,17.75,18,17.75,17.938,17.938,277200
1998-02-11,18,18.25,18,18.125,18.125,165300
1998-02-12,18.25,18.25,18.063,18.25,18.25,112100
1998-02-13,18.375,18.375,18,18,18,230600
1998-02-17,17.875,18.125,17.75,17.938,17.938,109500
1998-02-18,17.875,18.125,17.875,18.063,18.063,170400
1998-02-19,18.063,18.375,18,18.375,18.375,266400
1998-02-20,18.313,18.313,18,18.188,18.188,209200
1998-02-23,18.375,18.438,18.313,18.313,18.313,114300
1998-02-24,18.375,18.438,18.25,18.375,18.375,128900
1998-02-25,18.438,18.5,18,18,18,229900
1998-02-26,18.125,18.125,18,18.125,18.125,205900
1998-02-27,18.125,18.75,18.125,18.688,18.688,413600
1998-03-02,18.75,18.75,18.375,18.688,18.688,163400
1998-03-03,18.625,18.75,18.563,18.75,18.75,162800
1998-03-04,18.75,19,18.75,19,19,233700
1998-03-05,18.875,19.25,18.75,19.063,19.063,318500
1998-03-06,19,19.063,18.813,18.938,18.938,190500
1998-03-09,18.938,18.938,18.688,18.875,18.875,130500
1998-03-10,18.938,18.938,18.75,18.875,18.875,158700
1998-03-11,18.813,18.875,18.625,18.75,18.75,123500
1998-03-12,18.75,18.75,18.438,18.625,18.625,56800
1998-03-13,19,19.125,18.875,19,19,435900
1998-03-16,19,19,18.688,18.688,18.688,80000
1998-03-17,19,20.188,19,20,20,646200
1998-03-18,20.125,20.688,20,20.188,20.188,352600
1998-03-19,20.25,21,20.25,20.875,20.875,417500
1998-03-20,21.125,21.25,20.688,20.938,20.938,393900
1998-03-23,21,21,20.313,20.625,20.625,183600
1998-03-24,20.563,21.313,20.5,21.063,21.063,503300
1998-03-25,21.25,21.625,21,21.25,21.25,415000
1998-03-26,21,21.125,20.25,21.125,21.125,446300
1998-03-27,21.125,21.313,20.938,21.125,21.125,272700
1998-03-30,21.25,21.438,21.188,21.25,21.25,103400
1998-03-31,21,21.219,20.938,21.125,21.125,374500
1998-04-01,21.063,21.25,20.938,21.063,21.063,261700
1998-04-02,21.063,21.938,21,21.688,21.688,183900
1998-04-03,21.75,21.875,21.563,21.813,21.813,171300
1998-04-06,21.875,21.938,21.75,21.875,21.875,67200
1998-04-07,21.688,21.75,21.5,21.75,21.75,139300
1998-04-08,21.75,21.75,21.438,21.75,21.75,233200
1998-04-09,21.625,21.688,21.313,21.313,21.313,143800
1998-04-13,21.438,21.438,21.125,21.188,21.188,111000
1998-04-14,21.188,21.438,21.188,21.438,21.438,321500
1998-04-15,21.313,22.188,21.313,21.875,21.875,200700
1998-04-16,21.813,21.813,20.875,21.125,21.125,208500
1998-04-17,21,21.75,20.625,21.438,21.438,235200
1998-04-20,21.313,21.875,21.313,21.688,21.688,110000
1998-04-21,21.625,21.813,21.438,21.438,21.438,174400
1998-04-22,21.438,21.625,21.25,21.375,21.375,84800
1998-04-23,21.313,21.438,20,20.625,20.625,184800
1998-04-24,20.563,20.938,20.125,20.125,20.125,133600
1998-04-27,20.188,20.188,19,19.438,19.438,179200
1998-04-28,19.5,19.625,19.125,19.375,19.375,185500
1998-04-29,19.438,19.625,19.188,19.625,19.625,110700
1998-04-30,20.25,21.313,20.125,21,21,283700
1998-05-01,21,21.125,20.688,20.75,20.75,115500
1998-05-04,20.75,21.313,20.75,20.875,20.875,108500
1998-05-05,20.813,20.813,20.313,20.563,20.563,107300
