,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2013-11-18,49.75,50.0,47.49,48.475,44.6012,587184
1,2013-11-19,48.99,49.0,45.3,45.8,42.1399,1682041
2,2013-11-20,45.98,46.0,43.99,44.65,41.0818,1106908
3,2013-11-21,44.5,45.15,43.04,43.79,40.2906,730214
4,2013-11-22,43.9,44.1,43.25,43.99,40.4746,947693
5,2013-11-25,44.28,45.62,43.7,44.18,40.6494,727314
6,2013-11-26,45.0,45.0,43.04,43.2,39.7477,873717
7,2013-11-27,43.55,43.55,42.5,43.24,39.7845,1153343
8,2013-11-29,42.75,43.85,42.75,43.24,39.7845,949924
9,2013-12-02,43.9,44.74,41.52,43.14,39.6925,5130708
10,2013-12-03,42.8,44.9,42.7,42.9,39.4717,3239252
11,2013-12-04,42.43,42.605,41.6501,41.83,38.4872,2777748
12,2013-12-05,42.28,42.28,40.63,41.05,37.7695,3380502
13,2013-12-06,40.75,41.06,40.64,40.7,37.4475,4662340
14,2013-12-09,40.7,41.27,40.24,41.18,37.8891,3073953
15,2013-12-10,41.07,42.84,41.04,42.56,39.1588,3289354
16,2013-12-11,42.32,43.015,42.0,42.46,39.0668,3367890
17,2013-12-12,42.01,43.1,42.0,42.97,39.5361,1770490
18,2013-12-13,42.92,43.8,42.92,43.25,39.7937,683791
19,2013-12-16,43.01,43.99,42.11,43.69,40.1985,1953878
20,2013-12-17,43.43,44.0,43.16,43.75,40.2537,1396938
21,2013-12-18,43.65,44.5,43.1,44.27,40.7322,1225195
22,2013-12-19,43.96,44.5,43.82,44.45,40.8978,593011
23,2013-12-20,44.3,44.45,43.91,44.26,40.723,2878557
24,2013-12-23,44.17,44.85,43.55,44.65,41.0818,773646
25,2013-12-24,44.76,45.02,44.25,44.58,41.0174,304706
26,2013-12-26,44.86,45.01,44.44,44.7,41.1278,513177
27,2013-12-27,44.77,44.97,44.09,44.64,41.0726,393256
28,2013-12-30,44.45,44.88,44.0,44.12,40.5942,381478
29,2013-12-31,44.23,44.5,43.76,44.19,40.6586,874161
30,2014-01-02,44.08,44.18,43.27,43.65,40.1617,992872
31,2014-01-03,43.57,44.32,43.17,43.96,40.447,378396
32,2014-01-06,43.97,43.98,43.37,43.68,40.1893,597834
33,2014-01-07,42.16,43.98,42.16,43.87,40.3642,1371252
34,2014-01-08,44.02,44.36,43.4,43.88,40.3734,1407140
35,2014-01-09,43.89,44.25,43.84,44.13,40.6034,1093527
36,2014-01-10,44.17,46.08,44.02,45.73,42.0755,2008621
37,2014-01-13,45.7,47.44,45.2,47.04,43.2808,2278501
38,2014-01-14,47.16,47.894,46.91,47.8,43.9801,2338221
39,2014-01-15,47.97,49.19,47.26,47.5,43.7041,1732951
40,2014-01-16,47.28,47.68,47.04,47.4,43.6121,1178666
41,2014-01-17,47.52,48.24,47.0,48.0,44.1641,1572137
42,2014-01-21,49.38,49.38,47.94,48.17,44.3205,1570433
