,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,22.752,22.752,22.2528,22.752,0.1326,6822400
1,1984-11-06,23.2512,23.2512,22.5024,23.2512,0.1355,21811200
2,1984-11-07,23.5008,23.7504,23.0016,23.5008,0.137,19046400
3,1984-11-08,24.4992,24.7488,23.7504,24.4992,0.1428,12480000
4,1984-11-09,25.248,25.4976,24.2496,25.248,0.1472,6374400
5,1984-11-12,25.248,25.4976,24.9984,25.248,0.1472,2073600
6,1984-11-13,23.7504,25.248,23.7504,23.7504,0.1384,2201600
7,1984-11-14,24.0,24.0,23.5008,24.0,0.1399,1484800
8,1984-11-15,23.5008,24.2496,23.2512,23.5008,0.137,2854400
9,1984-11-16,22.752,24.0,22.752,22.752,0.1326,3033600
10,1984-11-19,22.8736,23.1232,22.8736,22.8736,0.1333,6912000
11,1984-11-20,22.752,23.2512,22.752,22.752,0.1326,8179200
12,1984-11-21,23.2512,23.2512,22.752,23.2512,0.1355,332800
13,1984-11-23,23.5008,24.0,22.752,23.5008,0.137,13900800
14,1984-11-26,23.5008,24.0,23.2512,23.5008,0.137,9446400
15,1984-11-27,23.5008,24.0,23.5008,23.5008,0.137,6412800
16,1984-11-28,23.7504,24.0,23.5008,23.7504,0.1384,4288000
17,1984-11-29,24.0,24.0,23.7504,24.0,0.1399,2611200
18,1984-11-30,24.0,24.0,23.7504,24.0,0.1399,3059200
19,1984-12-03,24.2496,24.7488,24.0,24.2496,0.1413,23065600
20,1984-12-04,24.2496,24.7488,24.2496,24.2496,0.1413,6284800
21,1984-12-05,24.2496,24.4992,24.0,24.2496,0.1413,5529600
22,1984-12-06,24.0,24.2496,23.7504,24.0,0.1399,13632000
23,1984-12-07,24.0,24.2496,23.7504,24.0,0.1399,6067200
24,1984-12-10,23.7504,24.0,23.0016,23.7504,0.1384,3225600
25,1984-12-11,24.0,24.4992,23.5008,24.0,0.1399,9318400
26,1984-12-12,24.2496,24.2496,23.5008,24.2496,0.1413,4672000
27,1984-12-13,24.0,24.2496,23.7504,24.0,0.1399,1638400
28,1984-12-14,23.7504,24.0,23.7504,23.7504,0.1384,857600
29,1984-12-17,23.0016,23.7504,22.5024,23.0016,0.1341,2227200
30,1984-12-18,24.0,24.2496,22.752,24.0,0.1399,15475200
31,1984-12-19,24.9984,25.7472,24.0,24.9984,0.1457,16524800
32,1984-12-20,24.9984,25.248,24.7488,24.9984,0.1457,2982400
33,1984-12-21,25.248,25.248,24.7488,25.248,0.1472,5043200
34,1984-12-24,24.9984,25.4976,24.9984,24.9984,0.1457,2304000
35,1984-12-26,25.376,25.6256,25.1264,25.376,0.1479,3366400
36,1984-12-27,25.4976,25.7472,25.248,25.4976,0.1486,486400
37,1984-12-28,25.7472,25.7472,25.248,25.7472,0.1501,2124800
38,1984-12-31,27.0016,27.0016,25.4976,27.0016,0.1574,2291200
39,1985-01-02,26.2528,27.0016,26.2528,26.2528,0.153,7052800
40,1985-01-03,26.2528,26.5024,26.2528,26.2528,0.153,512000
41,1985-01-04,26.0032,26.5024,25.7472,26.0032,0.1515,422400
42,1985-01-07,25.4976,25.4976,24.9984,25.4976,0.1486,4403200
43,1985-01-08,25.4976,25.7472,25.248,25.4976,0.1486,1612800
44,1985-01-09,26.0032,26.5024,25.248,26.0032,0.1515,6438400
45,1985-01-10,26.752,26.752,26.0032,26.752,0.1559,780800
46,1985-01-11,27.2512,27.7504,26.5024,27.2512,0.1588,3392000
47,1985-01-14,27.7504,28.0,27.2512,27.7504,0.1617,11072000
48,1985-01-15,28.4992,28.9984,28.0,28.4992,0.1661,5504000
49,1985-01-16,29.4976,30.0032,28.4992,29.4976,0.1719,11212800
50,1985-01-17,29.7472,30.0032,28.9984,29.7472,0.1734,1881600
51,1985-01-18,30.2528,30.752,29.7472,30.2528,0.1763,3328000
52,1985-01-21,30.5024,30.752,30.0032,30.5024,0.1778,2393600
53,1985-01-22,30.5024,30.5024,30.2528,30.5024,0.1778,5222400
54,1985-01-23,31.0016,31.5008,30.5024,31.0016,0.1807,10752000
55,1985-01-24,32.0,32.0,31.0016,32.0,0.1865,6604800
56,1985-01-25,32.2496,32.2496,31.7504,32.2496,0.188,2649600
57,1985-01-28,32.3776,32.3776,32.128,32.3776,0.1887,7974400
58,1985-01-29,32.4992,32.7488,32.0,32.4992,0.1894,8588800
59,1985-01-30,34.0032,34.0032,32.4992,34.0032,0.1982,8448000
60,1985-01-31,35.0016,35.2512,33.4976,35.0016,0.204,25126400
61,1985-02-01,34.752,35.0016,34.5024,34.752,0.2025,8012800
62,1985-02-04,34.0032,34.752,33.4976,34.0032,0.1982,1971200
63,1985-02-05,35.0016,35.2512,34.0032,35.0016,0.204,13094400
64,1985-02-06,35.5008,35.5008,35.0016,35.5008,0.2069,14220800
65,1985-02-07,35.2512,35.7504,35.0016,35.2512,0.2055,45184000
66,1985-02-08,35.7504,36.0,35.0016,35.7504,0.2084,17024000
67,1985-02-11,35.0016,35.7504,34.5024,35.0016,0.204,6694400
68,1985-02-12,34.0032,35.0016,34.0032,34.0032,0.1982,13171200
69,1985-02-13,33.248,34.0032,32.9984,33.248,0.1938,5939200
70,1985-02-14,33.7472,34.0032,32.7488,33.7472,0.1967,11968000
71,1985-02-15,31.7504,33.7472,31.7504,31.7504,0.1851,6028800
72,1985-02-19,31.7504,32.0,30.5024,31.7504,0.1851,3481600
73,1985-02-20,31.7504,32.2496,31.5008,31.7504,0.1851,6924800
74,1985-02-21,30.5024,32.2496,30.5024,30.5024,0.1778,13721600
75,1985-02-22,30.752,31.2512,30.2528,30.752,0.1792,16678400
76,1985-02-25,30.0032,30.752,29.7472,30.0032,0.1749,4198400
77,1985-02-26,29.7472,30.0032,29.7472,29.7472,0.1734,8627200
78,1985-02-27,29.6256,29.8752,29.376,29.6256,0.1727,3532800
79,1985-02-28,29.4976,30.0032,28.9984,29.4976,0.1719,2918400
80,1985-03-01,28.9984,29.4976,28.4992,28.9984,0.169,6617600
81,1985-03-04,28.7488,29.248,28.7488,28.7488,0.1676,5222400
