,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1983-06-17,16.5024,16.752,16.5024,16.5024,0.2595,42936000
1,1983-06-20,14.5008,14.7504,14.5008,14.5008,0.228,7329600
2,1983-06-21,14.5008,15.0,14.5008,14.5008,0.228,2280000
3,1983-06-22,15.0,15.2496,15.0,15.0,0.2359,5937600
4,1983-06-23,15.0,15.2496,15.0,15.0,0.2359,1272000
5,1983-06-24,14.7504,15.0,14.7504,14.7504,0.2319,1574400
6,1983-06-27,12.9984,13.5024,12.9984,12.9984,0.2044,5884800
7,1983-06-28,12.9984,13.248,12.9984,12.9984,0.2044,4987200
8,1983-06-29,12.7488,12.9984,12.7488,12.7488,0.2005,1056000
9,1983-06-30,12.9984,13.3728,12.9984,12.9984,0.2044,2164800
10,1983-07-01,12.9984,13.248,12.9984,12.9984,0.2044,350400
11,1983-07-05,12.4992,12.9984,12.4992,12.4992,0.1965,576000
12,1983-07-06,12.4992,12.7488,12.4992,12.4992,0.1965,638400
13,1983-07-07,12.7488,12.9984,12.7488,12.7488,0.2005,1046400
14,1983-07-08,12.4992,12.9984,12.4992,12.4992,0.1965,681600
15,1983-07-11,12.7488,12.9984,12.7488,12.7488,0.2005,729600
16,1983-07-12,12.7488,13.248,12.7488,12.7488,0.2005,777600
17,1983-07-13,13.248,13.752,13.248,13.248,0.2083,4420800
18,1983-07-14,13.3728,13.752,13.3728,13.3728,0.2103,777600
19,1983-07-15,13.3728,13.752,13.3728,13.3728,0.2103,897600
20,1983-07-18,13.248,13.5024,13.248,13.248,0.2083,456000
21,1983-07-19,12.9984,13.5024,12.9984,12.9984,0.2044,417600
22,1983-07-20,12.8736,13.1232,12.8736,12.8736,0.2024,484800
23,1983-07-21,12.2496,12.7488,12.2496,12.2496,0.1926,1156800
24,1983-07-22,12.1248,12.2496,12.1248,12.1248,0.1907,3038400
25,1983-07-25,12.1248,12.3744,12.1248,12.1248,0.1907,1401600
26,1983-07-26,12.1248,12.3744,12.1248,12.1248,0.1907,2697600
27,1983-07-27,11.6256,12.0,11.6256,11.6256,0.1828,566400
28,1983-07-28,11.6256,11.6256,11.6256,11.6256,0.1828,0
29,1983-07-29,11.5008,12.0,11.5008,11.5008,0.1808,734400
30,1983-08-01,11.2512,11.5008,11.2512,11.2512,0.1769,710400
31,1983-08-02,11.1264,11.5008,11.1264,11.1264,0.175,225600
32,1983-08-03,11.1264,11.5008,11.1264,11.1264,0.175,105600
33,1983-08-04,10.752,11.2512,10.752,10.752,0.1691,360000
34,1983-08-05,10.5024,10.8768,10.5024,10.5024,0.1651,417600
35,1983-08-08,10.248,10.5024,10.248,10.248,0.1611,292800
36,1983-08-09,9.8736,10.248,9.8736,9.8736,0.1553,849600
37,1983-08-10,9.8736,10.248,9.8736,9.8736,0.1553,700800
38,1983-08-11,9.8736,10.248,9.8736,9.8736,0.1553,124800
39,1983-08-12,9.8736,10.1232,9.8736,9.8736,0.1553,201600
40,1983-08-15,9.7488,10.1232,9.7488,9.7488,0.1533,585600
41,1983-08-16,9.7488,10.1232,9.7488,9.7488,0.1533,235200
42,1983-08-17,9.7488,10.1232,9.7488,9.7488,0.1533,153600
43,1983-08-18,9.1248,9.4992,9.1248,9.1248,0.1435,715200
44,1983-08-19,9.0,9.3744,9.0,9.0,0.1415,744000
45,1983-08-22,8.0016,8.376,8.0016,8.0016,0.1258,508800
46,1983-08-23,8.0016,8.2512,8.0016,8.0016,0.1258,523200
47,1983-08-24,8.0016,8.2512,8.0016,8.0016,0.1258,700800
48,1983-08-25,7.8768,8.2512,7.8768,7.8768,0.1239,331200
49,1983-08-26,8.0016,8.2512,8.0016,8.0016,0.1258,643200
50,1983-08-29,8.0016,8.2512,8.0016,8.0016,0.1258,398400
51,1983-08-30,8.0016,8.2512,8.0016,8.0016,0.1258,230400
52,1983-08-31,8.376,8.6256,8.376,8.376,0.1317,1300800
53,1983-09-01,8.8752,9.2496,8.8752,8.8752,0.1396,2064000
54,1983-09-02,9.4992,9.7488,9.4992,9.4992,0.1494,1252800
55,1983-09-06,9.624,9.8736,9.624,9.624,0.1513,868800
56,1983-09-07,9.624,9.8736,9.624,9.624,0.1513,590400
57,1983-09-08,9.7488,9.9984,9.7488,9.7488,0.1533,566400
58,1983-09-09,9.7488,9.9984,9.7488,9.7488,0.1533,331200
59,1983-09-12,9.8736,10.248,9.8736,9.8736,0.1553,1516800
60,1983-09-13,9.8736,10.1232,9.8736,9.8736,0.1553,105600
61,1983-09-14,9.7488,10.1232,9.7488,9.7488,0.1533,465600
62,1983-09-15,9.0,9.2496,9.0,9.0,0.1415,1867200
63,1983-09-16,7.752,8.0016,7.752,7.752,0.1219,1680000
64,1983-09-19,7.8768,8.0016,7.8768,7.8768,0.1239,648000
65,1983-09-20,8.1264,8.2512,8.1264,8.1264,0.1278,1252800
66,1983-09-21,8.1264,8.376,8.1264,8.1264,0.1278,2169600
67,1983-09-22,8.2512,8.5008,8.2512,8.2512,0.1297,3772800
68,1983-09-23,8.5008,8.7504,8.5008,8.5008,0.1337,6825600
69,1983-09-26,8.6256,8.8752,8.6256,8.6256,0.1356,518400
70,1983-09-27,8.5008,8.8752,8.5008,8.5008,0.1337,1881600
71,1983-09-28,8.6256,8.7504,8.6256,8.6256,0.1356,2011200
72,1983-09-29,8.6256,8.8752,8.6256,8.6256,0.1356,696000
73,1983-09-30,8.5008,8.7504,8.5008,8.5008,0.1337,283200
74,1983-10-03,8.5008,8.6256,8.5008,8.5008,0.1337,1305600
75,1983-10-04,8.5008,8.7504,8.5008,8.5008,0.1337,268800
76,1983-10-05,8.5008,8.7504,8.5008,8.5008,0.1337,316800
77,1983-10-06,8.5008,8.7504,8.5008,8.5008,0.1337,312000
78,1983-10-07,8.5008,8.7504,8.5008,8.5008,0.1337,456000
79,1983-10-10,8.2512,8.5008,8.2512,8.2512,0.1297,201600
80,1983-10-11,7.752,8.0016,7.752,7.752,0.1219,657600
81,1983-10-12,7.6272,7.8768,7.6272,7.6272,0.1199,336000
82,1983-10-13,7.3728,7.752,7.3728,7.3728,0.1159,1036800
83,1983-10-14,7.5024,7.752,7.5024,7.5024,0.118,1315200
