,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2005-09-15,38.02,38.1,37.0,37.01,25.8566,1529800
1,2005-09-16,37.0,37.0,36.6,36.6,25.5702,62400
2,2005-09-19,36.6,36.7,36.45,36.7,25.6401,1162300
3,2005-09-20,36.6,37.0,36.6,36.7,25.6401,654900
4,2005-09-21,36.6,36.6,36.0,36.4,25.4305,424300
5,2005-09-22,36.4,37.2,36.4,37.2,25.9894,864800
6,2005-09-23,37.2,38.1,37.2,37.68,26.3247,1249900
7,2005-09-26,37.75,38.15,37.75,37.75,26.3736,821400
8,2005-09-27,37.75,37.9,37.14,37.25,26.0243,1514000
9,2005-09-28,37.24,37.4,36.8,37.0,25.8497,875700
10,2005-09-29,36.91,36.91,36.25,36.6,25.5702,2659200
11,2005-09-30,36.6,36.6,35.6,35.8,25.0113,4014800
12,2005-10-03,35.3,35.9,34.17,34.7,24.2428,10007600
13,2005-10-04,34.0,34.3,33.25,33.9,23.6839,8020700
14,2005-10-05,34.0,34.1,33.32,33.65,23.5092,6304400
15,2005-10-06,33.4,33.65,33.21,33.37,23.3136,7552200
16,2005-10-07,33.28,33.6,33.13,33.6,23.4743,7055200
17,2005-10-10,33.6,33.6,33.0,33.03,23.0761,3400800
18,2005-10-11,33.04,33.39,32.98,33.0,23.0551,3675400
19,2005-10-12,32.9,33.3,32.72,32.77,22.8944,4134500
20,2005-10-13,32.53,32.7,32.48,32.55,22.7407,3184100
21,2005-10-14,32.52,32.75,32.38,32.39,22.6289,2487500
22,2005-10-17,32.34,32.77,32.0,32.48,22.6918,1910400
23,2005-10-18,32.3,32.55,32.15,32.43,22.6569,1737900
24,2005-10-19,32.28,33.16,32.21,33.16,23.1669,1784400
25,2005-10-20,33.16,34.06,33.1,33.58,23.4603,2789600
26,2005-10-21,33.78,34.501,33.63,34.0,23.7537,2881800
27,2005-10-24,35.25,36.48,34.93,36.29,25.3536,4033400
28,2005-10-25,35.34,37.47,35.28,37.18,25.9754,2915400
29,2005-10-26,36.85,37.72,36.7,37.0,25.8497,2208000
30,2005-10-27,36.95,37.0,35.8,36.28,25.3466,2033000
31,2005-10-28,36.5,37.2,36.21,37.1,25.9195,1430200
32,2005-10-31,37.21,37.6,36.96,37.22,26.0034,1219600
33,2005-11-01,36.9,36.96,36.46,36.56,25.5423,1575200
34,2005-11-02,36.22,36.9,36.18,36.8,25.7875,1502100
35,2005-11-03,36.72,37.62,36.72,37.42,26.222,1887900
36,2005-11-04,37.33,37.42,37.02,37.17,26.0468,1731900
37,2005-11-07,37.1,37.17,36.8245,37.02,25.9417,1658700
38,2005-11-08,36.65,37.2,36.65,36.96,25.8996,2119200
39,2005-11-09,36.96,38.18,36.9,37.88,26.5443,2152200
40,2005-11-10,37.75,39.3,37.7499,38.92,27.2731,2513200
41,2005-11-11,38.5,38.96,38.47,38.91,27.2661,1229800
42,2005-11-14,38.8,39.4,38.51,39.34,27.5674,1160000
43,2005-11-15,39.0,39.4,38.47,39.21,27.4763,1793000
44,2005-11-16,39.35,40.0,39.09,39.83,27.9108,2568800
45,2005-11-17,40.1,41.18,39.78,40.0,28.0299,2628100
46,2005-11-18,40.45,40.87,39.64,39.92,27.9738,1556000
47,2005-11-21,40.17,42.0,40.17,41.58,29.1371,2906900
48,2005-11-22,41.4,42.39,41.29,42.15,29.5365,2368700
49,2005-11-23,42.2,43.76,42.2,43.47,30.4615,2149100
50,2005-11-25,44.1,44.25,42.95,43.45,30.4475,468300
51,2005-11-28,43.4,44.2,43.1,43.9,30.7628,2377400
52,2005-11-29,43.75,43.99,41.7301,42.55,29.8168,2962200
53,2005-11-30,42.9,43.25,41.3,42.05,29.4664,2761100
54,2005-12-01,41.95,43.88,41.89,43.31,30.3494,1833000
55,2005-12-02,43.25,43.74,42.6,43.23,30.2933,1057900
56,2005-12-05,43.22,43.7,42.91,43.52,30.4965,1042900
57,2005-12-06,43.7,43.84,43.48,43.61,30.5596,1154900
58,2005-12-07,43.59,44.78,43.22,43.36,30.3844,1923700
59,2005-12-08,43.65,44.05,43.31,43.65,30.5876,1227800
60,2005-12-09,43.64,44.02,43.36,43.76,30.6647,515400
61,2005-12-12,43.75,43.76,42.88,43.13,30.2232,1504900
62,2005-12-13,42.9,43.37,42.51,42.83,30.013,1321300
63,2005-12-14,42.83,43.03,41.52,41.53,29.102,1701600
64,2005-12-15,41.43,41.9,41.09,41.19,28.8638,1220600
65,2005-12-16,41.44,42.41,41.41,42.26,29.6136,1305600
66,2005-12-19,42.31,42.63,41.12,41.31,28.9479,676200
67,2005-12-20,41.25,42.4,41.0,41.57,29.1301,1121000
68,2005-12-21,41.57,42.6,40.97,41.55,29.1161,1313300
69,2005-12-22,41.57,42.39,41.2,41.93,29.3823,808300
70,2005-12-23,39.42,42.56,39.42,41.93,29.3823,576000
