,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,34.5003,34.8748,34.125,34.5003,1.6264,271547
1,1980-03-18,34.3749,34.6249,34.125,34.3749,1.6205,376188
2,1980-03-19,35.0002,35.5,34.7503,35.0002,1.6499,858746
3,1980-03-20,34.8748,35.0002,34.7503,34.8748,1.644,144422
4,1980-03-21,34.8748,34.8748,34.5003,34.8748,1.644,106370
5,1980-03-24,33.6252,34.6249,33.6252,33.6252,1.5851,744593
6,1980-03-25,33.2498,33.7497,33.1253,33.2498,1.5674,112424
7,1980-03-26,33.3752,33.7497,33.1253,33.3752,1.5733,94263
8,1980-03-27,33.1253,33.2498,32.9999,33.1253,1.5616,133179
9,1980-03-28,34.6249,35.0002,33.3752,34.6249,1.6323,152205
10,1980-03-31,34.7503,34.8748,34.5003,34.7503,1.6382,181608
11,1980-04-01,34.2504,34.7503,33.9996,34.2504,1.6146,336407
12,1980-04-02,33.7497,33.9996,32.9999,33.7497,1.591,1004898
13,1980-04-03,32.6246,32.9999,32.2501,32.6246,1.538,418563
14,1980-04-07,32.75,32.8754,32.3747,32.75,1.5439,635628
15,1980-04-08,32.9999,33.2498,32.2501,32.9999,1.5556,486882
16,1980-04-09,34.125,34.2504,33.4998,34.125,1.6087,211876
17,1980-04-10,35.0002,35.0002,34.5003,35.0002,1.6499,40646
18,1980-04-11,36.6251,36.6251,35.5,36.6251,1.7265,82156
19,1980-04-14,36.2498,36.6251,36.2498,36.2498,1.7089,133179
20,1980-04-15,35.9999,36.2498,35.75,35.9999,1.6971,142692
21,1980-04-16,35.2501,35.75,35.1247,35.2501,1.6617,457479
22,1980-04-17,33.9996,35.2501,33.9996,33.9996,1.6028,449696
23,1980-04-18,33.2498,34.2504,32.9999,33.2498,1.5674,270682
24,1980-04-21,32.75,32.9999,32.6246,32.75,1.5439,140098
25,1980-04-22,35.2501,35.2501,32.9999,35.2501,1.6617,378782
26,1980-04-23,35.3746,35.9999,34.8748,35.3746,1.6676,315652
27,1980-04-24,36.2498,36.4997,35.2501,36.2498,1.7089,84750
28,1980-04-25,36.8751,37.2504,36.1253,36.8751,1.7383,35457
29,1980-04-28,36.9996,37.125,36.6251,36.9996,1.7442,110694
30,1980-04-29,37.3749,37.6249,36.7497,37.3749,1.7619,255981
31,1980-04-30,38.0002,38.0002,37.125,38.0002,1.7914,267223
32,1980-05-01,37.8748,38.75,37.8748,37.8748,1.7855,677138
33,1980-05-02,37.5003,37.7502,37.3749,37.5003,1.7678,364081
34,1980-05-05,37.7502,38.0002,37.7502,37.7502,1.7796,681462
35,1980-05-06,37.8748,38.1247,37.3749,37.8748,1.7855,608819
36,1980-05-07,36.9996,37.8748,36.9996,36.9996,1.7442,327759
37,1980-05-08,35.9999,36.9996,35.9999,35.9999,1.6971,134044
38,1980-05-09,35.0002,35.9999,34.7503,35.0002,1.6499,79562
39,1980-05-12,33.9996,34.7503,33.4998,33.9996,1.6028,614008
40,1980-05-13,34.125,34.125,33.4998,34.125,1.6087,604495
41,1980-05-14,34.6249,34.7503,33.9996,34.6249,1.6323,443642
42,1980-05-15,34.125,34.6249,34.125,34.125,1.6087,678003
43,1980-05-16,34.2504,34.3749,33.8751,34.2504,1.6146,126261
44,1980-05-19,34.2504,34.5003,34.125,34.2504,1.6146,402997
45,1980-05-20,34.5003,34.5003,33.9996,34.5003,1.6264,83886
46,1980-05-21,34.3749,34.5003,33.8751,34.3749,1.6205,269818
47,1980-05-22,36.2498,37.8748,34.2504,36.2498,1.7089,1090513
48,1980-05-23,37.5003,37.5003,36.7497,37.5003,1.7678,1250501
49,1980-05-27,37.7502,37.8748,37.5003,37.7502,1.7796,104641
50,1980-05-28,37.6249,37.7502,37.2504,37.6249,1.7737,63130
51,1980-05-29,36.9996,37.6249,36.6251,36.9996,1.7442,704812
52,1980-05-30,37.5003,37.5003,36.2498,37.5003,1.7678,71778
53,1980-06-02,37.125,37.5003,36.9996,37.125,1.7501,31998
54,1980-06-03,37.5003,37.5003,36.6251,37.5003,1.7678,316517
55,1980-06-04,38.5,38.5,37.3749,38.5,1.8149,223983
56,1980-06-05,38.5,39.7497,38.3746,38.5,1.8149,204093
57,1980-06-06,37.8748,38.5,37.7502,37.8748,1.7855,180743
