,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1991-11-08,9.2496,9.2496,9.2496,9.2496,0.2584,88028800
1,1991-11-11,9.2496,9.2496,9.2496,9.2496,0.2584,11859200
2,1991-11-12,9.2496,9.2496,9.2496,9.2496,0.2584,13097600
3,1991-11-13,9.0,9.2496,9.0,9.0,0.2514,19059200
4,1991-11-14,8.7504,8.7504,8.3744,8.7504,0.2445,20835200
5,1991-11-15,8.2496,8.7504,8.2496,8.2496,0.2305,21747200
6,1991-11-18,7.7504,8.2496,7.6256,7.7504,0.2165,8873600
7,1991-11-19,7.7504,8.0,7.5008,7.7504,0.2165,9958400
8,1991-11-20,7.8752,7.8752,7.7504,7.8752,0.22,972800
9,1991-11-21,7.5008,7.7504,7.5008,7.5008,0.2095,1683200
10,1991-11-22,7.1248,7.5008,7.0,7.1248,0.1991,2611200
11,1991-11-25,7.3744,7.7504,7.0,7.3744,0.206,5657600
12,1991-11-26,7.3744,7.6256,7.3744,7.3744,0.206,3292800
13,1991-11-27,7.6256,7.6256,7.5008,7.6256,0.213,3379200
14,1991-11-29,7.7504,7.7504,7.5008,7.7504,0.2165,985600
15,1991-12-02,7.6256,8.2496,7.6256,7.8752,0.22,2035200
16,1991-12-03,8.0,8.1248,7.8752,8.1248,0.227,2227200
17,1991-12-04,8.2496,9.0,8.2496,8.3744,0.234,9824000
18,1991-12-05,8.2496,8.7504,8.1248,8.6256,0.241,5049600
19,1991-12-06,8.6256,8.6256,8.5008,8.6256,0.241,1449600
20,1991-12-09,8.6256,8.6256,8.5008,8.5008,0.2375,1340800
21,1991-12-10,8.3744,8.3744,8.1248,8.1248,0.227,2374400
22,1991-12-11,8.1248,8.2496,7.8752,7.8752,0.22,1980800
23,1991-12-12,8.0,8.2496,7.7504,8.1248,0.227,1977600
24,1991-12-13,8.2496,8.5008,8.2496,8.3744,0.234,1507200
25,1991-12-16,8.5008,8.5008,8.2496,8.3744,0.234,2755200
26,1991-12-17,8.2496,8.2496,8.1248,8.1248,0.227,1097600
27,1991-12-18,8.1248,8.1248,7.7504,7.8752,0.22,1987200
28,1991-12-19,7.7504,7.7504,7.5008,7.7504,0.2165,1580800
29,1991-12-20,7.8752,7.8752,7.2496,7.7504,0.2165,2057600
30,1991-12-23,7.6256,8.1248,7.5008,8.1248,0.227,1916800
31,1991-12-24,8.0,8.6256,8.0,8.6256,0.241,2428800
32,1991-12-26,8.6256,9.0,8.6256,9.0,0.2514,2144000
33,1991-12-27,8.8752,9.0,8.5008,9.0,0.2514,3363200
34,1991-12-30,9.0,9.0,8.7504,8.8752,0.248,2630400
35,1991-12-31,8.8752,9.0,8.7504,9.0,0.2514,6294400
36,1992-01-02,8.8752,8.8752,8.6256,8.8752,0.248,1456000
37,1992-01-03,8.8752,9.1248,8.8752,9.0,0.2514,6019200
38,1992-01-06,9.1248,9.8752,9.0,9.2496,0.2584,19596800
39,1992-01-07,9.2496,9.6256,9.1248,9.5008,0.2654,11993600
40,1992-01-08,9.5008,10.1248,9.5008,9.8752,0.2759,36752000
41,1992-01-09,10.0,10.0,9.6256,9.6256,0.2689,9491200
42,1992-01-10,9.7504,9.7504,9.6256,9.6256,0.2689,4483200
43,1992-01-13,9.6256,9.8752,9.6256,9.7504,0.2724,2931200
44,1992-01-14,9.6256,9.8752,9.6256,9.7504,0.2724,4838400
45,1992-01-15,9.7504,9.8752,9.6256,9.7504,0.2724,2905600
46,1992-01-16,9.7504,10.1248,9.6256,10.1248,0.2829,30768000
47,1992-01-17,10.1248,10.6256,10.0,10.1248,0.2829,9190400
48,1992-01-20,10.1248,10.1248,9.7504,9.7504,0.2724,4128000
49,1992-01-21,9.7504,9.8752,9.5008,9.6256,0.2689,4105600
50,1992-01-22,9.6256,9.6256,9.3744,9.3744,0.2619,2297600
51,1992-01-23,9.5008,9.5008,9.2496,9.3744,0.2619,2348800
52,1992-01-24,9.2496,9.3744,9.2496,9.3744,0.2619,2128000
53,1992-01-27,9.2496,9.3744,9.1248,9.3744,0.2619,3449600
54,1992-01-28,9.2496,9.3744,9.2496,9.2496,0.2584,1123200
55,1992-01-29,9.2496,9.6256,9.1248,9.1248,0.2549,5440000
56,1992-01-30,9.0,9.8752,8.5008,9.3744,0.2619,7654400
57,1992-01-31,9.1248,9.2496,9.1248,9.1248,0.2549,1171200
58,1992-02-03,9.0,9.3744,9.0,9.3744,0.2619,569600
59,1992-02-04,8.6256,8.7504,8.0,8.6256,0.241,18784000
60,1992-02-05,8.6256,8.8752,8.3744,8.3744,0.234,5686400
61,1992-02-06,8.3744,8.6256,8.3744,8.3744,0.234,1993600
62,1992-02-07,8.5008,8.7504,8.5008,8.6256,0.241,2697600
63,1992-02-10,8.5008,8.6256,8.5008,8.5008,0.2375,2368000
64,1992-02-11,8.5008,8.6256,8.3744,8.3744,0.234,4294400
65,1992-02-12,8.5008,8.5008,8.3744,8.5008,0.2375,3043200
66,1992-02-13,8.7504,8.7504,8.5008,8.5008,0.2375,1068800
67,1992-02-14,8.5008,8.6256,8.2496,8.2496,0.2305,1529600
68,1992-02-18,8.3744,8.3744,8.2496,8.2496,0.2305,1107200
69,1992-02-19,8.2496,8.2496,8.0,8.0,0.2235,2364800
70,1992-02-20,8.0,8.1248,7.7504,8.0,0.2235,1161600
71,1992-02-21,8.1248,8.2496,8.0,8.1248,0.227,3523200
72,1992-02-24,8.1248,8.1248,7.8752,7.8752,0.22,1203200
73,1992-02-25,8.0,8.0,7.8752,7.8752,0.22,1219200
74,1992-02-26,8.0,8.3744,7.8752,8.2496,0.2305,3052800
75,1992-02-27,8.3744,8.3744,8.1248,8.1248,0.227,1024000
76,1992-02-28,8.2496,8.2496,8.0,8.2496,0.2305,841600
77,1992-03-02,8.1248,8.1248,8.0,8.1248,0.227,774400
78,1992-03-03,8.1248,8.2496,7.8752,8.1248,0.227,4748800
79,1992-03-04,8.2496,8.6256,8.2496,8.5008,0.2375,3235200
80,1992-03-05,8.3744,8.7504,8.3744,8.3744,0.234,1782400
81,1992-03-06,8.5008,8.5008,8.1248,8.2496,0.2305,1091200
82,1992-03-09,8.2496,8.2496,8.1248,8.1248,0.227,1315200
83,1992-03-10,8.2496,8.3744,8.1248,8.1248,0.227,2524800
84,1992-03-11,8.0,8.1248,7.7504,7.8752,0.22,1148800
85,1992-03-12,7.7504,7.8752,7.7504,7.7504,0.2165,1052800
86,1992-03-13,7.7504,8.0,7.7504,7.8752,0.22,2041600
87,1992-03-16,7.8752,7.8752,7.7504,7.7504,0.2165,204800
88,1992-03-17,7.8752,7.8752,7.6256,7.7504,0.2165,1638400
89,1992-03-18,7.7504,7.8752,7.7504,7.8752,0.22,1011200
90,1992-03-19,7.7504,7.8752,7.6256,7.6256,0.213,611200
91,1992-03-20,7.7504,8.0,7.7504,7.8752,0.22,915200
92,1992-03-23,7.8752,8.0,7.6256,8.0,0.2235,886400
93,1992-03-24,8.0,8.7504,8.0,8.5008,0.2375,7267200
94,1992-03-25,8.5008,8.5008,8.2496,8.2496,0.2305,1126400
95,1992-03-26,8.2496,8.2496,7.8752,8.0,0.2235,4032000
96,1992-03-27,8.1248,8.2496,8.1248,8.2496,0.2305,998400
97,1992-03-30,8.2496,8.2496,7.8752,8.0,0.2235,1276800
98,1992-03-31,7.8752,8.1248,7.8752,8.1248,0.227,2886400
99,1992-04-01,8.0,8.2496,8.0,8.2496,0.2305,518400
100,1992-04-02,8.1248,8.2496,8.1248,8.1248,0.227,556800
101,1992-04-03,8.1248,8.1248,8.1248,8.1248,0.227,220800
102,1992-04-06,8.1248,8.1248,8.0,8.1248,0.227,432000
103,1992-04-07,8.1248,8.1248,7.8752,7.8752,0.22,1123200
104,1992-04-08,7.8752,7.8752,7.6256,7.8752,0.22,1219200
105,1992-04-09,7.8752,8.1248,7.8752,8.1248,0.227,662400
106,1992-04-10,8.2496,8.2496,8.0,8.1248,0.227,4435200
107,1992-04-13,8.1248,8.3744,8.1248,8.2496,0.2305,342400
108,1992-04-14,8.2496,8.2496,8.1248,8.1248,0.227,499200
109,1992-04-15,8.0,8.1248,7.3744,7.5008,0.2095,1308800
110,1992-04-16,7.6256,7.6256,7.5008,7.5008,0.2095,809600
111,1992-04-20,7.6256,7.6256,7.2496,7.2496,0.2026,1824000
112,1992-04-21,7.3744,7.3744,7.2496,7.3744,0.206,819200
113,1992-04-22,7.2496,7.3744,7.1248,7.2496,0.2026,1395200
114,1992-04-23,7.2496,7.6256,7.1248,7.5008,0.2095,1328000
115,1992-04-24,7.3744,7.3744,7.0,7.3744,0.206,1059200
116,1992-04-27,7.3744,7.7504,7.3744,7.7504,0.2165,892800
117,1992-04-28,7.7504,7.7504,7.5008,7.6256,0.213,377600
118,1992-04-29,7.6256,7.6256,7.5008,7.6256,0.213,128000
119,1992-04-30,7.5008,7.8752,7.5008,7.8752,0.22,1033600
120,1992-05-01,7.8752,7.8752,7.7504,7.7504,0.2165,60800
121,1992-05-04,7.8752,8.0,7.8752,8.0,0.2235,256000
122,1992-05-05,7.8752,7.8752,7.5008,7.6256,0.213,2419200
123,1992-05-06,7.7504,7.7504,7.5008,7.6256,0.213,406400
124,1992-05-07,7.7504,7.8752,7.7504,7.8752,0.22,969600
125,1992-05-08,7.8752,7.8752,7.7504,7.7504,0.2165,99200
126,1992-05-11,7.7504,7.8752,7.7504,7.8752,0.22,1027200
127,1992-05-12,7.7504,7.8752,7.6256,7.6256,0.213,617600
128,1992-05-13,7.6256,7.6256,7.5008,7.5008,0.2095,777600
129,1992-05-14,7.5008,7.5008,7.3744,7.5008,0.2095,614400
130,1992-05-15,7.3744,7.3744,7.1248,7.2496,0.2026,1091200
131,1992-05-18,7.5008,7.6256,7.5008,7.5008,0.2095,345600
132,1992-05-19,7.5008,7.5008,7.3744,7.5008,0.2095,377600
133,1992-05-20,7.3744,7.5008,7.3744,7.3744,0.206,214400
134,1992-05-21,7.5008,7.5008,7.3744,7.5008,0.2095,204800
135,1992-05-22,7.3744,7.6256,7.3744,7.5008,0.2095,537600
136,1992-05-26,7.3744,7.8752,7.3744,7.7504,0.2165,956800
137,1992-05-27,7.6256,7.8752,7.6256,7.6256,0.213,528000
138,1992-05-28,7.6256,7.6256,7.5008,7.5008,0.2095,214400
139,1992-05-29,7.5008,7.7504,7.5008,7.6256,0.213,793600
140,1992-06-01,7.6256,7.8752,7.6256,7.8752,0.22,438400
141,1992-06-02,7.7504,8.2496,7.7504,8.1248,0.227,1875200
142,1992-06-03,8.2496,8.2496,7.8752,8.0,0.2235,2406400
143,1992-06-04,8.0,8.0,7.8752,8.0,0.2235,291200
144,1992-06-05,7.8752,8.0,7.6256,7.6256,0.213,528000
145,1992-06-08,7.6256,7.7504,7.6256,7.6256,0.213,611200
146,1992-06-09,7.7504,7.7504,7.5008,7.6256,0.213,569600
147,1992-06-10,7.6256,7.6256,7.5008,7.6256,0.213,252800
148,1992-06-11,7.5008,7.7504,7.5008,7.7504,0.2165,396800
149,1992-06-12,7.7504,7.7504,7.6256,7.7504,0.2165,476800
150,1992-06-15,7.7504,7.7504,7.5008,7.6256,0.213,1673600
151,1992-06-16,7.6256,7.7504,7.5008,7.6256,0.213,534400
152,1992-06-17,7.7504,7.7504,7.5008,7.5008,0.2095,368000
153,1992-06-18,7.6256,7.6256,7.3744,7.3744,0.206,412800
154,1992-06-19,7.3744,7.5008,7.3744,7.3744,0.206,339200
155,1992-06-22,7.5008,7.5008,7.2496,7.2496,0.2026,80000
156,1992-06-23,7.0,7.0,6.8752,6.8752,0.1921,496000
157,1992-06-24,7.0,7.0,6.8752,6.8752,0.1921,275200
158,1992-06-25,6.8752,6.8752,6.8752,6.8752,0.1921,73600
159,1992-06-26,6.7504,6.7504,6.5008,6.5008,0.1816,976000
160,1992-06-29,6.6256,7.0,6.6256,7.0,0.1956,1753600
161,1992-06-30,7.0,7.2496,6.8752,7.2496,0.2026,3203200
162,1992-07-01,7.3744,7.3744,6.8752,7.0,0.1956,1017600
163,1992-07-02,7.0,7.0,6.6256,6.7504,0.1886,896000
164,1992-07-06,6.7504,6.7504,6.5008,6.6256,0.1851,1456000
165,1992-07-07,6.3744,6.5008,6.2496,6.3744,0.1781,1801600
166,1992-07-08,6.2496,6.2496,6.0,6.2496,0.1746,848000
167,1992-07-09,6.1248,6.2496,6.0,6.2496,0.1746,1971200
168,1992-07-10,6.3744,6.5008,6.2496,6.3744,0.1781,275200
169,1992-07-13,6.5008,6.5008,6.5008,6.5008,0.1816,288000
170,1992-07-14,6.5008,6.8752,6.3744,6.8752,0.1921,1555200
171,1992-07-15,6.8752,7.0,6.7504,7.0,0.1956,1868800
172,1992-07-16,6.8752,6.8752,6.5008,6.6256,0.1851,2563200
173,1992-07-17,6.5008,6.6256,6.5008,6.5008,0.1816,224000
174,1992-07-20,6.6256,6.6256,6.5008,6.6256,0.1851,416000
175,1992-07-21,6.5008,6.6256,6.3744,6.3744,0.1781,2297600
176,1992-07-22,6.5008,6.5008,6.3744,6.3744,0.1781,857600
177,1992-07-23,6.3744,6.5008,6.3744,6.5008,0.1816,1107200
178,1992-07-24,6.5008,6.5008,6.2496,6.2496,0.1746,156800
179,1992-07-27,6.3744,6.3744,6.1248,6.3744,0.1781,777600
180,1992-07-28,6.3744,6.8752,6.3744,6.7504,0.1886,4918400
181,1992-07-29,6.8752,7.0,6.8752,7.0,0.1956,1587200
182,1992-07-30,6.8752,7.2496,6.8752,7.2496,0.2026,3520000
183,1992-07-31,7.2496,7.2496,7.0,7.1248,0.1991,230400
184,1992-08-03,7.1248,7.5008,7.0,7.5008,0.2095,752000
185,1992-08-04,7.3744,7.5008,7.2496,7.3744,0.206,2496000
186,1992-08-05,7.2496,7.2496,7.0,7.1248,0.1991,684800
187,1992-08-06,7.1248,7.1248,7.0,7.0,0.1956,198400
188,1992-08-07,7.0,7.1248,6.8752,6.8752,0.1921,1017600
189,1992-08-10,6.8752,7.0,6.8752,6.8752,0.1921,2048000
190,1992-08-11,6.8752,7.0,6.7504,7.0,0.1956,2905600
191,1992-08-12,7.0,7.0,6.8752,6.8752,0.1921,1248000
192,1992-08-13,6.8752,6.8752,6.7504,6.7504,0.1886,918400
193,1992-08-14,6.8752,6.8752,6.7504,6.7504,0.1886,643200
194,1992-08-17,6.8752,6.8752,6.6256,6.6256,0.1851,8227200
195,1992-08-18,6.7504,6.7504,6.6256,6.7504,0.1886,601600
196,1992-08-19,6.6256,6.7504,6.6256,6.7504,0.1886,1056000
197,1992-08-20,6.6256,6.6256,6.5008,6.5008,0.1816,473600
198,1992-08-21,6.5008,6.5008,6.3744,6.5008,0.1816,428800
199,1992-08-24,6.3744,6.3744,6.3744,6.3744,0.1781,502400
200,1992-08-25,6.2496,6.5008,6.2496,6.3744,0.1781,780800
201,1992-08-26,6.5008,6.5008,6.3744,6.5008,0.1816,272000
202,1992-08-27,6.6256,6.6256,6.3744,6.5008,0.1816,796800
203,1992-08-28,6.5008,6.5008,6.3744,6.3744,0.1781,422400
204,1992-08-31,6.3744,6.5008,6.3744,6.3744,0.1781,224000
205,1992-09-01,6.5008,6.7504,6.5008,6.7504,0.1886,4480000
206,1992-09-02,6.7504,6.7504,6.6256,6.6256,0.1851,867200
207,1992-09-03,6.6256,6.6256,6.5008,6.6256,0.1851,819200
208,1992-09-04,6.5008,6.7504,6.5008,6.7504,0.1886,358400
209,1992-09-08,6.7504,6.7504,6.6256,6.7504,0.1886,582400
210,1992-09-09,6.7504,6.7504,6.5008,6.5008,0.1816,723200
211,1992-09-10,6.5008,6.7504,6.5008,6.7504,0.1886,11868800
212,1992-09-11,6.7504,6.8752,6.7504,6.8752,0.1921,3836800
