,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2009-08-06,16.5,16.91,15.56,16.18,12.0847,24198410
1,2009-08-07,16.15,16.76,16.03,16.43,12.2715,2454272
2,2009-08-10,16.63,16.63,15.61,15.97,11.9279,2420915
3,2009-08-11,15.98,16.0,15.5,15.67,11.7038,2305371
4,2009-08-12,16.15,16.2,15.66,16.0,11.9503,1451293
5,2009-08-13,16.0,16.72,16.0,16.55,12.3611,1150559
6,2009-08-14,16.5,17.0,16.25,16.6,12.3984,637782
7,2009-08-17,16.27,16.37,16.2,16.22,12.1146,254388
8,2009-08-18,16.48,17.2,16.35,17.07,12.7495,1446616
9,2009-08-19,16.84,17.94,16.8,17.89,13.3619,2070763
10,2009-08-20,17.95,17.95,17.29,17.76,13.2648,1882077
11,2009-08-21,17.79,17.97,17.58,17.82,13.3096,863511
12,2009-08-24,17.52,17.85,17.3,17.5,13.0706,1021584
13,2009-08-25,17.65,17.9,17.55,17.85,13.3321,530724
14,2009-08-26,17.69,17.85,17.15,17.85,13.3321,708574
15,2009-08-27,17.85,18.21,17.55,18.16,13.5636,1161100
16,2009-08-28,18.1,19.0,18.0,18.47,13.7951,1294949
17,2009-08-31,18.35,18.4,17.81,18.2,13.5935,1004719
18,2009-09-01,18.25,18.44,16.94,17.85,13.3321,1383480
19,2009-09-02,17.76,18.25,17.48,17.68,13.2051,1293388
20,2009-09-03,17.97,17.97,17.0,17.45,13.0333,3657607
21,2009-09-04,17.75,17.9989,17.49,17.76,13.2648,1158584
22,2009-09-08,17.76,17.93,17.45,17.7,13.22,574890
23,2009-09-09,17.85,17.85,17.22,17.26,12.8914,551181
24,2009-09-10,17.01,17.46,16.95,17.05,12.7345,415199
25,2009-09-11,17.0,17.33,16.54,16.88,12.6076,620281
26,2009-09-14,16.64,16.8999,16.31,16.65,12.4358,1614491
27,2009-09-15,17.25,17.35,16.63,17.18,12.8316,1987187
28,2009-09-16,17.4,17.75,17.11,17.58,13.1304,2022369
29,2009-09-17,17.66,17.9,16.53,16.64,12.4283,1446351
30,2009-09-18,16.57,17.02,16.18,16.2,12.0997,899815
31,2009-09-21,16.28,16.63,15.87,16.61,12.4059,552956
32,2009-09-22,16.96,17.37,16.82,17.25,12.8839,1114012
33,2009-09-23,17.62,17.79,17.3,17.4,12.996,530281
34,2009-09-24,17.33,17.8488,16.75,17.49,13.0632,778713
35,2009-09-25,17.48,17.48,17.1,17.13,12.7943,468435
36,2009-09-28,17.32,17.85,17.03,17.65,13.1827,233528
37,2009-09-29,17.55,17.84,16.95,17.03,12.7196,356673
38,2009-09-30,17.0,17.33,16.96,17.07,12.7495,512589
39,2009-10-01,17.0,17.09,16.21,16.31,12.1818,660488
40,2009-10-02,16.2,16.36,15.9002,16.09,12.0175,629503
