,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,20.9043,20.9043,20.9043,20.9043,0.2705,1035600
1,1984-11-06,21.1913,21.1913,21.1913,21.1913,0.2742,1194000
2,1984-11-07,20.8091,20.8091,20.8091,20.8091,0.2692,507600
3,1984-11-08,20.6183,20.6183,20.6183,20.6183,0.2668,276000
4,1984-11-09,20.4278,20.4278,20.4278,20.4278,0.2643,482400
5,1984-11-12,20.2366,20.2366,20.2366,20.2366,0.2618,624000
6,1984-11-13,19.8543,20.1408,19.8543,19.8543,0.2569,584400
7,1984-11-14,19.8543,19.8543,19.8543,19.8543,0.2569,1353600
8,1984-11-15,19.6636,19.6636,19.6636,19.6636,0.2544,2250000
9,1984-11-16,19.7593,19.7593,19.7593,19.7593,0.2557,586800
10,1984-11-19,19.5684,19.5684,19.5684,19.5684,0.2532,342000
11,1984-11-20,20.0458,20.0458,19.7593,20.0458,0.2594,296400
12,1984-11-21,20.3318,20.3318,20.0458,20.3318,0.2631,573600
13,1984-11-23,20.6183,20.6183,20.6183,20.6183,0.2668,354000
14,1984-11-26,20.3318,20.9043,20.3318,20.3318,0.2631,523200
15,1984-11-27,20.5231,20.5231,20.5231,20.5231,0.2655,105600
16,1984-11-28,20.1408,20.4278,20.1408,20.1408,0.2606,451200
17,1984-11-29,19.9506,19.9506,19.9506,19.9506,0.2581,162000
18,1984-11-30,19.4733,19.4733,19.4733,19.4733,0.252,655200
19,1984-12-03,19.2819,19.2819,19.2819,19.2819,0.2495,282000
20,1984-12-04,18.9959,18.9959,18.9959,18.9959,0.2458,931200
21,1984-12-05,19.0911,19.0911,19.0911,19.0911,0.247,774000
22,1984-12-06,19.4733,19.4733,19.1869,19.4733,0.252,696000
23,1984-12-07,19.3771,19.6636,19.3771,19.3771,0.2507,346800
24,1984-12-10,19.8543,19.8543,19.2819,19.8543,0.2569,862800
25,1984-12-11,20.0458,20.0458,20.0458,20.0458,0.2594,504000
26,1984-12-12,20.2366,20.2366,20.2366,20.2366,0.2618,2048400
27,1984-12-13,20.1408,20.1408,20.1408,20.1408,0.2606,243600
28,1984-12-14,19.9506,19.9506,19.9506,19.9506,0.2581,584400
29,1984-12-17,19.8543,19.8543,19.8543,19.8543,0.2569,520800
30,1984-12-18,20.2366,20.2366,19.9506,20.2366,0.2618,1003200
31,1984-12-19,20.0458,20.0458,20.0458,20.0458,0.2594,2438400
32,1984-12-20,19.9506,19.9506,19.9506,19.9506,0.2581,1107600
33,1984-12-21,19.4733,20.0458,19.4733,19.4733,0.252,1060800
34,1984-12-24,19.6636,19.6636,19.6636,19.6636,0.2544,336000
35,1984-12-26,19.8543,19.8543,19.5684,19.8543,0.2569,880800
36,1984-12-27,20.0458,20.3318,20.0458,20.0458,0.2594,1678800
37,1984-12-28,20.2366,20.2366,20.2366,20.2366,0.2618,997200
38,1984-12-31,20.6183,20.6183,20.3318,20.6183,0.2668,1119600
39,1985-01-02,20.1408,20.4278,20.1408,20.1408,0.2606,632400
40,1985-01-03,20.4278,20.4278,19.8543,20.4278,0.2643,984000
41,1985-01-04,20.1408,20.1408,20.1408,20.1408,0.2606,116400
42,1985-01-07,20.3318,20.3318,20.3318,20.3318,0.2631,866400
43,1985-01-08,20.7138,20.7138,20.7138,20.7138,0.268,2301600
44,1985-01-09,20.9043,20.9043,20.9043,20.9043,0.2705,1888800
45,1985-01-10,21.859,21.859,21.0005,21.859,0.2828,3708000
46,1985-01-11,21.6685,21.6685,21.6685,21.6685,0.2804,1711200
47,1985-01-14,22.9097,22.9097,21.7638,22.9097,0.2964,3420000
48,1985-01-15,22.9097,22.9097,22.9097,22.9097,0.2964,1635600
49,1985-01-16,22.7185,23.005,22.7185,22.7185,0.2939,2638800
50,1985-01-17,22.241,22.8135,22.241,22.241,0.2878,1042800
51,1985-01-18,22.9097,22.9097,22.3363,22.9097,0.2964,1518000
52,1985-01-21,23.673,23.673,22.8135,23.673,0.3063,4034400
53,1985-01-22,24.0547,24.3407,24.0547,24.0547,0.3112,5470800
54,1985-01-23,25.0094,25.0094,24.1504,25.0094,0.3236,5066400
55,1985-01-24,24.3407,24.9142,24.3407,24.3407,0.3149,1052400
56,1985-01-25,24.3407,24.3407,24.3407,24.3407,0.3149,1286400
57,1985-01-28,24.4369,24.4369,24.4369,24.4369,0.3162,1746000
58,1985-01-29,25.2002,25.2002,24.3407,25.2002,0.3261,540000
59,1985-01-30,25.2002,25.2002,25.2002,25.2002,0.3261,1382400
60,1985-01-31,24.8179,25.1044,24.8179,24.8179,0.3211,1022400
61,1985-02-01,24.3407,24.6277,24.3407,24.3407,0.3149,532800
62,1985-02-04,24.0547,24.0547,23.7682,24.0547,0.3112,2814000
