,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1985-04-18,13.6242,13.6242,13.6242,13.6242,0.109,15956998
1,1985-04-19,13.689,13.689,13.689,13.689,0.1095,13065298
2,1985-04-22,13.5648,13.5648,13.5648,13.5648,0.1085,2891700
3,1985-04-23,13.374,13.374,13.374,13.374,0.107,5718600
4,1985-04-24,13.3146,13.3146,13.3146,13.3146,0.1065,2122200
5,1985-04-25,12.7494,12.7494,12.7494,12.7494,0.102,6172199
6,1985-04-26,12.6252,12.6252,12.6252,12.6252,0.101,2381400
7,1985-04-29,12.1266,12.1266,12.1266,12.1266,0.097,2502900
8,1985-04-30,12.2526,12.2526,12.2526,12.2526,0.098,2745900
9,1985-05-01,11.6244,11.6244,11.6244,11.6244,0.093,5030100
10,1985-05-02,11.4372,11.4372,11.4372,11.4372,0.0915,1806300
11,1985-05-03,11.8746,11.8746,11.8746,11.8746,0.095,1741500
12,1985-05-06,12.0618,12.0618,12.0618,12.0618,0.0965,218700
13,1985-05-07,12.2526,12.2526,12.2526,12.2526,0.098,1984501
14,1985-05-08,12.2526,12.2526,12.2526,12.2526,0.098,307800
15,1985-05-09,12.9366,13.1868,12.69,12.9366,0.1035,1701000
16,1985-05-10,13.1274,13.1274,13.1274,13.1274,0.105,2357101
17,1985-05-13,13.2516,13.2516,13.2516,13.2516,0.106,1247400
18,1985-05-14,13.2516,13.2516,13.2516,13.2516,0.106,437400
19,1985-05-15,13.1868,13.1868,13.1868,13.1868,0.1055,1701000
20,1985-05-16,13.752,14.0022,13.5,13.752,0.11,3102300
21,1985-05-17,14.6268,14.6268,14.6268,14.6268,0.117,3102300
22,1985-05-20,14.3748,14.3748,14.3748,14.3748,0.115,1895400
23,1985-05-21,14.0022,14.2542,13.752,14.0022,0.112,1879200
24,1985-05-22,14.2542,14.499,14.0022,14.2542,0.114,2948400
25,1985-05-23,14.0022,14.2542,13.752,14.0022,0.112,2907900
26,1985-05-24,14.0022,14.2542,13.752,14.0022,0.112,785700
27,1985-05-28,14.1264,14.1264,14.1264,14.1264,0.113,575100
28,1985-05-29,14.1264,14.1264,14.1264,14.1264,0.113,526500
29,1985-05-30,14.2542,14.499,14.0022,14.2542,0.114,1652400
30,1985-05-31,14.6268,14.6268,14.6268,14.6268,0.117,1304100
31,1985-06-03,15.0012,15.2496,14.751,15.0012,0.12,1360800
32,1985-06-04,15.0012,15.2496,14.751,15.0012,0.12,1587600
33,1985-06-05,15.0012,15.2496,14.751,15.0012,0.12,712800
34,1985-06-06,15.3738,15.6258,15.129,15.3738,0.123,1838700
35,1985-06-07,15.5016,15.7518,15.2496,15.5016,0.124,826200
36,1985-06-10,15.5016,15.7518,15.2496,15.5016,0.124,486000
37,1985-06-11,15.687,15.939,15.4386,15.687,0.1255,2608200
38,1985-06-12,15.3738,15.3738,15.3738,15.3738,0.123,1466100
39,1985-06-13,14.3748,14.6268,14.1264,14.3748,0.115,1717200
40,1985-06-14,14.499,14.751,14.2542,14.499,0.116,113400
41,1985-06-17,14.3748,14.6268,14.1264,14.3748,0.115,761400
42,1985-06-18,14.3748,14.6268,14.1264,14.3748,0.115,558900
43,1985-06-19,14.3748,14.6268,14.1264,14.3748,0.115,307800
44,1985-06-20,14.2542,14.499,14.0022,14.2542,0.114,1271700
45,1985-06-21,13.2516,13.5,13.0014,13.2516,0.106,1595700
46,1985-06-24,13.1274,13.374,12.8772,13.1274,0.105,356400
47,1985-06-25,13.752,14.0022,13.5,13.752,0.11,1449900
48,1985-06-26,13.5,13.752,13.2516,13.5,0.108,720900
49,1985-06-27,13.2516,13.5,13.0014,13.2516,0.106,429300
50,1985-06-28,13.0014,13.2516,12.7494,13.0014,0.104,737100
51,1985-07-01,12.8772,12.8772,12.8772,12.8772,0.103,810000
52,1985-07-02,12.8772,12.8772,12.8772,12.8772,0.103,931500
53,1985-07-03,13.1274,13.1274,13.1274,13.1274,0.105,1547100
54,1985-07-05,13.1274,13.1274,13.1274,13.1274,0.105,356400
55,1985-07-08,13.374,13.374,13.374,13.374,0.107,1150200
56,1985-07-09,13.374,13.374,13.374,13.374,0.107,1725300
57,1985-07-10,13.2516,13.5,13.0014,13.2516,0.106,259200
58,1985-07-11,14.499,14.751,14.2542,14.499,0.116,2826900
59,1985-07-12,15.0012,15.2496,14.751,15.0012,0.12,2211300
60,1985-07-15,14.751,15.0012,14.499,14.751,0.118,866700
61,1985-07-16,15.5016,15.7518,15.2496,15.5016,0.124,4649399
62,1985-07-17,15.876,15.876,15.876,15.876,0.127,3304800
63,1985-07-18,15.3738,15.3738,15.3738,15.3738,0.123,4835699
64,1985-07-19,15.0012,15.2496,14.751,15.0012,0.12,955800
65,1985-07-22,14.877,14.877,14.877,14.877,0.119,2292300
66,1985-07-23,14.751,15.0012,14.499,14.751,0.118,1514700
67,1985-07-24,14.751,15.0012,14.499,14.751,0.118,664200
68,1985-07-25,14.751,15.0012,14.499,14.751,0.118,421200
69,1985-07-26,14.751,15.0012,14.499,14.751,0.118,81000
70,1985-07-29,14.751,15.0012,14.499,14.751,0.118,234900
71,1985-07-30,14.751,15.0012,14.499,14.751,0.118,1441800
72,1985-07-31,15.129,15.3738,14.877,15.129,0.121,858600
73,1985-08-01,15.129,15.129,15.129,15.129,0.121,194400
74,1985-08-02,15.129,15.129,15.129,15.129,0.121,145800
75,1985-08-05,15.0012,15.2496,14.751,15.0012,0.12,170100
76,1985-08-06,14.751,15.0012,14.499,14.751,0.118,494100
77,1985-08-07,14.6268,14.877,14.3748,14.6268,0.117,834300
78,1985-08-08,14.6268,14.6268,14.6268,14.6268,0.117,380700
79,1985-08-09,14.877,14.877,14.877,14.877,0.119,712800
80,1985-08-12,14.877,14.877,14.877,14.877,0.119,186300
81,1985-08-13,14.877,14.877,14.877,14.877,0.119,340200
82,1985-08-14,15.3738,15.3738,15.3738,15.3738,0.123,818100
83,1985-08-15,15.6258,15.6258,15.6258,15.6258,0.125,672300
84,1985-08-16,15.2496,15.5016,15.0012,15.2496,0.122,688500
85,1985-08-19,15.2496,15.5016,15.0012,15.2496,0.122,364500
86,1985-08-20,15.5016,15.7518,15.2496,15.5016,0.124,599400
87,1985-08-21,15.5016,15.7518,15.2496,15.5016,0.124,502200
88,1985-08-22,15.3738,15.3738,15.3738,15.3738,0.123,1271700
89,1985-08-23,15.3738,15.3738,15.3738,15.3738,0.123,405000
90,1985-08-26,15.3738,15.3738,15.3738,15.3738,0.123,72900
91,1985-08-27,15.876,15.876,15.876,15.876,0.127,1725300
92,1985-08-28,17.1234,17.3754,16.8786,17.1234,0.137,2592000
93,1985-08-29,17.2512,17.5014,17.0028,17.2512,0.138,1466100
94,1985-08-30,17.6256,17.8776,17.3754,17.6256,0.141,1571400
95,1985-09-03,18.126,18.126,18.126,18.126,0.145,1984501
96,1985-09-04,17.4402,17.4402,17.4402,17.4402,0.1395,3588300
97,1985-09-05,17.7534,17.9982,17.5014,17.7534,0.142,891000
98,1985-09-06,17.9982,18.2502,17.7534,17.9982,0.144,1539000
99,1985-09-09,18.2502,18.5004,17.9982,18.2502,0.146,777600
100,1985-09-10,17.9982,18.2502,17.7534,17.9982,0.144,583200
101,1985-09-11,17.7534,17.9982,17.5014,17.7534,0.142,1733401
102,1985-09-12,17.6256,17.6256,17.6256,17.6256,0.141,737100
103,1985-09-13,17.1234,17.3754,16.8786,17.1234,0.137,1733401
104,1985-09-16,16.7508,17.0028,16.5006,16.7508,0.134,599400
105,1985-09-17,16.7508,17.0028,16.5006,16.7508,0.134,445500
106,1985-09-18,16.7508,17.0028,16.5006,16.7508,0.134,243000
107,1985-09-19,16.7508,17.0028,16.5006,16.7508,0.134,648000
108,1985-09-20,16.7508,17.0028,16.5006,16.7508,0.134,477900
109,1985-09-23,17.0028,17.2512,16.7508,17.0028,0.136,810000
110,1985-09-24,17.0028,17.2512,16.7508,17.0028,0.136,486000
111,1985-09-25,17.0028,17.2512,16.7508,17.0028,0.136,996300
112,1985-09-26,17.0028,17.2512,16.7508,17.0028,0.136,299700
113,1985-09-30,17.5014,17.7534,17.2512,17.5014,0.14,1304100
114,1985-10-01,17.5014,17.7534,17.2512,17.5014,0.14,1393200
115,1985-10-02,17.3754,17.3754,17.3754,17.3754,0.139,275400
116,1985-10-03,17.3754,17.3754,17.3754,17.3754,0.139,194400
117,1985-10-04,17.2512,17.5014,17.0028,17.2512,0.138,315900
118,1985-10-07,17.2512,17.5014,17.0028,17.2512,0.138,502200
119,1985-10-08,17.3754,17.3754,17.3754,17.3754,0.139,340200
120,1985-10-09,17.7534,17.9982,17.5014,17.7534,0.142,1182600
121,1985-10-10,17.7534,17.9982,17.5014,17.7534,0.142,32400
122,1985-10-11,19.125,19.3752,18.873,19.125,0.153,3701700
123,1985-10-14,19.251,19.503,19.0008,19.251,0.154,688500
124,1985-10-15,19.251,19.9998,19.0008,19.251,0.154,2162701
125,1985-10-16,19.503,20.25,19.251,19.503,0.156,2251800
126,1985-10-17,20.25,20.25,19.7532,20.25,0.162,1231200
127,1985-10-18,19.9998,20.502,19.7532,19.9998,0.16,2608200
128,1985-10-21,19.503,19.9998,19.251,19.503,0.156,2470501
129,1985-10-22,19.7532,19.9998,19.503,19.7532,0.158,1474200
130,1985-10-23,19.7532,19.7532,19.503,19.7532,0.158,575100
131,1985-10-24,19.503,19.7532,19.503,19.503,0.156,1012500
132,1985-10-25,19.251,19.7532,19.251,19.251,0.154,469800
133,1985-10-28,19.503,19.7532,19.503,19.503,0.156,437400
134,1985-10-29,19.503,19.503,19.503,19.503,0.156,421200
135,1985-10-30,19.503,19.503,19.503,19.503,0.156,1028700
136,1985-10-31,19.9998,19.9998,19.503,19.9998,0.16,955800
137,1985-11-01,20.25,20.7504,19.503,20.25,0.162,1279800
138,1985-11-04,20.502,20.7504,19.9998,20.502,0.164,1158300
139,1985-11-05,22.2516,22.2516,20.502,22.2516,0.178,2114101
140,1985-11-06,21.5028,21.9996,21.5028,21.5028,0.172,1692900
141,1985-11-07,22.7502,22.7502,21.2526,22.7502,0.182,1846800
142,1985-11-08,23.0022,23.0022,21.9996,23.0022,0.184,2745900
143,1985-11-11,22.7502,22.7502,22.2516,22.7502,0.182,631800
144,1985-11-12,22.7502,23.0022,22.5018,22.7502,0.182,1344600
145,1985-11-13,22.7502,23.2524,22.5018,22.7502,0.182,2373300
146,1985-11-14,24.4998,24.7518,23.0022,24.4998,0.196,2178900
147,1985-11-15,23.7492,24.4998,23.7492,23.7492,0.19,1854900
148,1985-11-18,24.2514,24.2514,23.7492,24.2514,0.194,996300
149,1985-11-19,23.7492,24.2514,23.7492,23.7492,0.19,1150200
150,1985-11-20,23.7492,24.2514,23.2524,23.7492,0.19,1587600
151,1985-11-21,23.7492,24.0012,23.2524,23.7492,0.19,858600
152,1985-11-22,24.2514,24.2514,23.7492,24.2514,0.194,607500
153,1985-11-25,24.0012,24.2514,23.7492,24.0012,0.192,2033100
154,1985-11-26,24.0012,24.2514,23.7492,24.0012,0.192,688500
155,1985-11-27,23.7492,24.2514,23.7492,23.7492,0.19,413100
156,1985-11-29,24.2514,24.7518,23.7492,24.2514,0.194,461700
157,1985-12-02,24.4998,25.002,24.2514,24.4998,0.196,996300
