Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,15.5,15.875,15.5,15.655,15.655,162400
1998-01-02,15.625,15.75,15.315,15.315,15.315,198200
1998-01-05,15.28,15.28,14.94,15.125,15.125,573600
1998-01-06,15,15.03,14.69,14.69,14.69,298000
1998-01-07,14.815,14.815,14.28,14.69,14.69,368800
1998-01-08,14.75,14.75,14.53,14.72,14.72,373000
1998-01-09,14.815,14.845,14.345,14.375,14.375,295000
1998-01-12,14.28,14.47,14.25,14.345,14.345,335000
1998-01-13,14.345,14.72,14.345,14.69,14.69,236000
1998-01-14,14.815,14.845,14.595,14.72,14.72,233400
1998-01-15,14.53,14.69,14.53,14.595,14.595,230400
1998-01-16,14.595,15.095,14.595,15.03,15.03,472400
1998-01-20,14.94,15.53,14.845,15.405,15.405,401800
1998-01-21,15.25,15.405,15.065,15.315,15.315,499000
1998-01-22,15.03,15.125,14.875,14.875,14.875,274600
1998-01-23,14.97,15,14.845,15,15,210600
1998-01-26,15,15.03,14.94,15,15,355000
1998-01-27,14.97,15.065,14.905,15.03,15.03,433800
1998-01-28,15.03,15.25,14.905,15.19,15.19,290800
1998-01-29,15.5,15.53,15.405,15.47,15.47,401400
1998-01-30,15.5,15.595,15.375,15.5,15.5,523000
1998-02-02,15.595,16.065,15.595,16.03,16.03,350400
1998-02-03,16,16.095,15.94,15.94,15.94,431000
1998-02-04,15.75,15.94,15.72,15.94,15.94,549200
1998-02-05,15.875,16.03,15.875,16.03,16.03,508000
1998-02-06,16.25,16.25,15.905,16.065,16.065,212800
1998-02-09,16.22,16.25,15.815,15.94,15.94,277800
1998-02-10,16.03,16.375,16,16.345,16.345,711800
1998-02-11,16.47,17.44,16.47,17.44,17.44,1230800
1998-02-12,17.405,17.405,16.875,17.19,17.19,1607400
1998-02-13,17.125,17.47,17.095,17.47,17.47,715600
1998-02-17,17.22,17.875,17.22,17.75,17.75,679000
1998-02-18,17.75,18.78,17.72,18.78,18.78,795000
1998-02-19,18.53,18.53,17.75,17.75,17.75,826000
1998-02-20,17.875,17.97,17.375,17.565,17.565,313400
1998-02-23,17.53,17.72,17.345,17.595,17.595,242000
1998-02-24,17.53,17.565,17.405,17.565,17.565,189600
1998-02-25,17.625,17.625,17.405,17.44,17.44,353000
1998-02-26,17.47,17.5,17.315,17.5,17.5,308600
1998-02-27,17.47,17.5,17.19,17.44,17.44,491600
1998-03-02,17.47,17.5,17.095,17.19,17.19,210600
1998-03-03,17.065,17.47,17.065,17.315,17.315,1033000
1998-03-04,17.345,17.53,17.155,17.405,17.405,342400
1998-03-05,17.28,17.315,17.065,17.095,17.095,166200
1998-03-06,17.095,17.595,17.095,17.595,17.595,777200
1998-03-09,17.47,17.75,16.875,17.22,17.22,533400
1998-03-10,17.625,18.065,17.565,18.065,18.065,1119600
