,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1973-02-21,37.1247,38.0004,37.0,37.1247,1.1921,756040
1,1973-02-22,37.5002,38.3744,37.2493,37.5002,1.2042,180400
2,1973-02-23,37.8758,38.2497,37.6249,37.8758,1.2163,186960
3,1973-02-26,38.3744,38.5006,37.8758,38.3744,1.2323,280440
4,1973-02-27,36.8754,38.6253,36.8754,36.8754,1.1841,490360
5,1973-02-28,37.6249,37.8758,36.6245,37.6249,1.2198,303400
6,1973-03-01,37.1247,37.8758,37.1247,37.1247,1.2036,164000
7,1973-03-02,38.1251,38.1251,36.2506,38.1251,1.236,359160
8,1973-03-05,38.1251,38.3744,38.0004,38.1251,1.236,62320
9,1973-03-06,38.5006,38.7499,38.2497,38.5006,1.2482,190240
10,1973-03-07,38.7499,38.9992,38.3744,38.7499,1.2563,375560
11,1973-03-08,39.2501,39.875,39.1255,39.2501,1.2725,552680
12,1973-03-09,38.9992,39.2501,38.7499,38.9992,1.2643,98400
13,1973-03-12,38.8746,38.9992,38.6253,38.8746,1.2603,65600
14,1973-03-13,38.9992,38.9992,38.6253,38.9992,1.2643,285360
15,1973-03-14,39.1255,39.4994,38.9992,39.1255,1.2684,126280
16,1973-03-15,39.2501,39.6257,39.2501,39.2501,1.2725,103320
17,1973-03-16,38.0004,39.1255,37.8758,38.0004,1.232,352600
18,1973-03-19,37.3756,38.3744,37.2493,37.3756,1.2117,106600
19,1973-03-20,37.3756,37.7495,37.3756,37.3756,1.2117,91840
20,1973-03-21,37.0,38.1251,37.0,37.0,1.1995,147600
21,1973-03-22,36.1243,36.4998,35.9996,36.1243,1.1711,226320
22,1973-03-23,36.3752,36.4998,35.9996,36.3752,1.1793,136120
23,1973-03-26,36.4998,36.7508,35.9996,36.4998,1.1833,195160
24,1973-03-27,37.1247,37.3756,36.8754,37.1247,1.2036,85280
25,1973-03-28,37.2493,37.6249,37.0,37.2493,1.2076,93480
26,1973-03-29,37.2493,37.3756,36.7508,37.2493,1.2076,159080
27,1973-03-30,37.1247,37.5002,37.1247,37.1247,1.2036,59040
28,1973-04-02,36.6245,37.2493,36.6245,36.6245,1.1874,114800
29,1973-04-03,36.4998,37.1247,36.3752,36.4998,1.1833,164000
30,1973-04-04,36.6245,37.1247,36.6245,36.6245,1.1874,83640
31,1973-04-05,36.2506,36.8754,36.2506,36.2506,1.1752,136120
32,1973-04-06,36.4998,37.0,36.1243,36.4998,1.1833,275520
33,1973-04-09,37.0,37.0,35.875,37.0,1.1995,147600
34,1973-04-10,37.6249,37.6249,37.0,37.6249,1.2198,451000
35,1973-04-11,37.7495,38.2497,37.3756,37.7495,1.2238,252560
36,1973-04-12,38.3744,38.7499,38.1251,38.3744,1.2441,237800
37,1973-04-13,38.5006,38.8746,38.2497,38.5006,1.2482,241080
38,1973-04-16,38.1251,38.3744,38.1251,38.1251,1.236,47560
39,1973-04-17,38.5006,38.5006,38.0004,38.5006,1.2482,124640
40,1973-04-18,38.3744,38.5006,38.1251,38.3744,1.2441,78720
41,1973-04-19,38.8746,38.8746,38.2497,38.8746,1.2603,282080
42,1973-04-23,38.9992,39.1255,38.6253,38.9992,1.2643,109880
43,1973-04-24,36.8754,39.1255,36.4998,36.8754,1.1955,378840
44,1973-04-25,35.4994,36.8754,35.4994,35.4994,1.1509,213200
45,1973-04-26,36.8754,36.8754,35.6257,36.8754,1.1955,264040
46,1973-04-27,36.1243,37.0,35.875,36.1243,1.1711,168920
47,1973-04-30,36.4998,36.4998,35.3748,36.4998,1.1833,160720
48,1973-05-01,36.4998,36.7508,35.7504,36.4998,1.1833,142680
49,1973-05-02,37.5002,38.0004,37.1247,37.5002,1.2157,239440
50,1973-05-03,37.0,37.2493,36.6245,37.0,1.1995,350960
51,1973-05-04,38.0004,38.0004,37.0,38.0004,1.232,459200
52,1973-05-07,38.5006,38.5006,38.0004,38.5006,1.2482,195160
53,1973-05-08,38.9992,38.9992,38.2497,38.9992,1.2643,129560
54,1973-05-09,39.1255,39.2501,38.5006,39.1255,1.2684,142680
55,1973-05-10,38.7499,39.3748,38.3744,38.7499,1.2563,295200
