,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1983-09-23,16.003,16.988,16.003,16.003,0.0325,2800
1,1983-09-26,15.989,16.748,15.989,15.989,0.0325,2301
2,1983-09-27,17.494,18.239,17.494,17.494,0.0355,4301
3,1983-09-28,17.494,18.0,17.494,17.494,0.0355,1401
4,1983-09-29,16.495,17.255,16.495,16.495,0.0335,2000
5,1983-09-30,15.511,16.256,15.511,15.511,0.0315,3801
6,1983-10-03,15.511,16.256,15.511,15.511,0.0315,501
7,1983-10-04,16.256,17.255,16.256,16.256,0.033,1501
8,1983-10-05,16.495,17.494,16.495,16.495,0.0335,1200
9,1983-10-06,17.002,17.761,17.002,17.002,0.0345,2400
10,1983-10-07,17.761,18.745,17.761,17.761,0.0361,3301
11,1983-10-10,17.761,18.506,17.761,17.761,0.0361,1501
12,1983-10-12,17.002,17.761,17.002,17.002,0.0345,1200
13,1983-10-13,16.748,17.494,16.748,16.748,0.034,1001
14,1983-10-14,17.002,17.494,17.002,17.002,0.0345,1401
15,1983-10-17,16.748,17.494,16.748,16.748,0.034,301
16,1983-10-18,16.748,17.494,16.748,16.748,0.034,4301
17,1983-10-19,16.748,17.494,16.748,16.748,0.034,21
18,1983-10-20,16.495,17.002,16.495,16.495,0.0335,2501
19,1983-10-21,16.495,17.255,16.495,16.495,0.0335,2400
20,1983-10-24,16.256,17.002,16.256,16.256,0.033,1301
21,1983-10-25,15.989,17.002,15.989,15.989,0.0325,501
22,1983-10-26,15.989,17.002,15.989,15.989,0.0325,201
23,1983-10-27,16.495,17.002,16.495,16.495,0.0335,701
24,1983-10-28,16.256,17.002,16.256,16.256,0.033,601
25,1983-10-31,16.256,17.002,16.256,16.256,0.033,201
26,1983-11-01,16.256,17.002,16.256,16.256,0.033,400
27,1983-11-02,16.256,17.002,16.256,16.256,0.033,101
28,1983-11-03,15.989,17.002,15.989,15.989,0.0325,2301
29,1983-11-04,15.75,16.495,15.75,15.75,0.032,1001
30,1983-11-07,15.244,15.989,15.244,15.244,0.0309,1401
31,1983-11-08,15.244,15.989,15.244,15.244,0.0309,701
32,1983-11-10,15.244,15.989,15.244,15.244,0.0309,400
33,1983-11-14,15.244,15.989,15.244,15.244,0.0309,101
34,1983-11-15,15.244,15.989,15.244,15.244,0.0309,201
35,1983-11-18,15.244,15.989,15.244,15.244,0.0309,201
36,1983-11-22,15.75,16.256,15.75,15.75,0.032,3101
37,1983-11-23,15.75,16.495,15.75,15.75,0.032,201
38,1983-11-28,15.75,16.495,15.75,15.75,0.032,61
39,1983-11-30,15.75,16.256,15.75,15.75,0.032,301
40,1983-12-01,15.511,15.989,15.511,15.511,0.0315,800
41,1983-12-02,15.511,15.989,15.511,15.511,0.0315,2301
42,1983-12-05,15.511,15.989,15.511,15.511,0.0315,1701
43,1983-12-06,15.511,15.989,15.511,15.511,0.0315,400
44,1983-12-07,15.511,15.989,15.511,15.511,0.0315,1301
