Date,Open,High,Low,Close,Adjusted_close,Volume
2017-07-28,659.02,659.02,659.02,659.02,656.8488,533
2018-01-09,660,675.2,660,675.14,673.2647,1335
2018-02-23,514.76,514.76,514.76,514.76,513.5098,2445
2018-03-07,540.35,540.35,540.35,540.35,539.0377,2445
2019-01-16,438.7,438.7,438.7,438.7,438.1736,770
2019-02-07,460.6,466.5,460.6,466.5,466.1201,358
2019-02-11,480.5,480.5,480.5,480.5,480.1087,80
2019-02-12,480.25,480.8,480.25,480.8,480.4085,325
2019-02-14,494.25,494.25,494.25,494.25,493.8475,573
2019-02-19,500,500,500,500,499.5929,235
2019-02-20,516.2,516.2,516.2,516.2,515.7797,150
2019-02-21,507,507,507,507,506.5871,312
2019-02-27,513.1,513.1,513.1,513.1,512.6821,250
2019-02-28,510.8,510.8,510.8,510.8,510.3841,254
2019-03-06,510,510,510,510,509.5847,232
2019-03-08,501.45,501.45,501.45,501.45,501.0417,643
2019-03-11,520,520,513,513,512.5823,2724
2019-03-13,526.6,526.6,526.6,526.6,526.1711,900
2019-03-15,535,535,535,535,534.5643,1040
2019-03-21,535,535,535,535,534.5643,1325
2019-03-29,536,536,536,536,535.5635,900
2019-04-04,511.9,511.9,511.9,511.9,511.4831,312
2019-04-05,511.25,511.25,511.25,511.25,510.8337,307
2019-04-10,505.55,505.55,505.55,505.55,505.1383,222
2019-04-24,491.45,491.45,491.45,491.45,491.0498,4949
2019-06-19,442,442,442,442,441.82,295
2019-09-03,442,442,442,442,442,5
2019-10-17,22.17,22.555,22.04,22.08,22.08,3606770
2019-10-21,21.76,22.325,21.54,22.12,22.12,7276078
2019-10-22,22.28,22.86,22.1,22.63,22.63,2929519
2019-10-23,22.5,23.2,22.3,23.12,23.12,3881027
