,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1973-05-03,33.5005,33.7496,33.5005,33.7496,0.4197,76981
1,1973-05-04,33.7496,33.7496,33.5005,33.7496,0.4197,56604
2,1973-05-07,33.7496,33.7496,33.2492,33.7496,0.4197,61132
3,1973-05-08,33.5005,33.5005,33.5005,33.5005,0.4166,22642
4,1973-05-09,33.5005,34.0009,33.2492,34.0009,0.4228,378115
5,1973-05-10,34.0009,34.0009,34.0009,34.0009,0.4228,20377
6,1973-05-11,34.0009,34.0009,33.7496,34.0009,0.4228,15849
7,1973-05-14,33.7496,33.7496,33.5005,33.7496,0.4197,15849
8,1973-05-15,33.7496,33.7496,33.2492,33.5005,0.4166,72453
9,1973-05-16,33.5005,34.0009,33.5005,33.5005,0.4166,54340
10,1973-05-17,33.5005,33.7496,33.5005,33.7496,0.4197,13585
11,1973-05-18,33.7496,33.7496,33.2492,33.7496,0.4197,40755
12,1973-05-21,33.7496,33.7496,33.2492,33.2492,0.4134,86038
13,1973-05-22,33.2492,33.7496,33.2492,33.5005,0.4166,124529
14,1973-05-23,33.5005,33.7496,33.5005,33.7496,0.4197,33962
15,1973-05-24,33.7496,34.0009,33.5005,34.0009,0.4228,22642
16,1973-05-25,34.0009,34.2499,34.0009,34.2499,0.4259,81510
17,1973-05-29,34.2499,34.2499,34.0009,34.0009,0.4228,67925
18,1973-05-30,34.0009,34.2499,34.0009,34.0009,0.4228,11321
19,1973-05-31,34.2499,34.2499,34.2499,34.2499,0.4259,11321
20,1973-06-01,34.0009,34.0009,33.7496,33.7496,0.4197,27170
21,1973-06-04,33.7496,33.7496,33.2492,33.5005,0.4166,92831
22,1973-06-05,33.5005,33.7496,33.5005,33.5005,0.4166,36227
23,1973-06-06,33.5005,33.7496,33.5005,33.5005,0.4166,58868
24,1973-06-07,33.7496,33.7496,33.7496,33.7496,0.4197,79246
25,1973-06-08,33.7496,33.7496,33.5005,33.7496,0.4197,6792
26,1973-06-11,34.0009,34.2499,34.0009,34.2499,0.4259,90566
27,1973-06-12,34.2499,34.2499,34.2499,34.2499,0.4259,4528
28,1973-06-13,34.2499,34.2499,34.0009,34.0009,0.4228,15849
29,1973-06-14,34.0009,34.0009,34.0009,34.0009,0.4228,22642
30,1973-06-15,34.0009,34.0009,34.0009,34.0009,0.4228,6792
31,1973-06-18,34.0009,34.0009,33.7496,33.7496,0.4197,29434
32,1973-06-19,33.7496,34.0009,33.7496,34.0009,0.4228,67925
33,1973-06-20,34.0009,34.2499,34.0009,34.2499,0.4259,15849
34,1973-06-21,34.2499,34.2499,34.0009,34.0009,0.4228,6792
35,1973-06-22,34.0009,34.0009,34.0009,34.0009,0.4228,4528
36,1973-06-25,34.0009,34.0009,34.0009,34.0009,0.4228,6792
37,1973-06-26,34.0009,34.0009,34.0009,34.0009,0.4228,43019
38,1973-06-27,34.0009,34.0009,34.0009,34.0009,0.4228,13585
39,1973-06-28,34.0009,34.0009,34.0009,34.0009,0.4228,27170
40,1973-06-29,34.0009,34.2499,34.0009,34.0009,0.4228,92831
41,1973-07-02,34.0009,34.2499,34.0009,34.2499,0.4259,18113
42,1973-07-03,34.2499,34.2499,34.0009,34.2499,0.4259,72453
43,1973-07-05,34.2499,34.2499,34.2499,34.2499,0.4259,18113
44,1973-07-06,34.2499,34.2499,34.2499,34.2499,0.4259,61132
45,1973-07-09,34.2499,34.499,34.2499,34.499,0.429,49812
46,1973-07-10,34.499,34.7503,34.499,34.499,0.429,95095
47,1973-07-11,34.499,34.7503,34.499,34.499,0.429,27170
48,1973-07-12,34.499,34.7503,34.499,34.7503,0.4321,58868
49,1973-07-13,34.7503,34.7503,34.499,34.499,0.429,58868
50,1973-07-16,34.499,34.499,34.499,34.499,0.429,33962
51,1973-07-17,34.2499,34.2499,34.0009,34.0009,0.4228,38491
52,1973-07-18,34.0009,34.0009,33.5005,33.5005,0.4166,348681
53,1973-07-19,33.5005,34.0009,33.5005,33.7496,0.4197,253586
54,1973-07-20,33.7496,33.7496,33.2492,33.2492,0.4134,230944
55,1973-07-23,33.2492,34.0009,33.2492,34.0009,0.4228,31698
56,1973-07-24,33.7496,33.7496,33.5005,33.7496,0.4197,40755
57,1973-07-25,33.7496,34.2499,33.5005,34.0009,0.4228,131321
58,1973-07-26,34.0009,34.0009,33.7496,34.0009,0.4228,181133
59,1973-07-27,34.0009,34.0009,33.7496,33.7496,0.4197,149435
60,1973-07-30,33.7496,33.7496,33.5005,33.7496,0.4197,24906
61,1973-07-31,33.7496,34.2499,33.7496,33.7496,0.4197,38491
62,1973-08-01,33.7496,33.7496,33.7496,33.7496,0.4197,72453
63,1973-08-02,33.7496,33.7496,33.7496,33.7496,0.4197,2264
64,1973-08-03,33.7496,34.0009,33.5005,33.7496,0.4197,86038
65,1973-08-06,33.7496,34.0009,33.7496,34.0009,0.4228,20377
66,1973-08-07,34.0009,34.0009,33.7496,34.0009,0.4228,63396
67,1973-08-08,34.0009,34.0009,33.5005,33.7496,0.4197,115472
68,1973-08-09,33.7496,33.7496,33.5005,33.7496,0.4197,45283
69,1973-08-10,33.7496,33.7496,33.5005,33.7496,0.4197,61132
70,1973-08-13,33.7496,33.7496,33.7496,33.7496,0.4197,47547
71,1973-08-14,33.7496,33.7496,33.5005,33.5005,0.4166,79246
72,1973-08-15,33.5005,33.7496,33.2492,33.5005,0.4166,74717
73,1973-08-16,33.2492,33.2492,32.8756,32.8756,0.4088,120000
74,1973-08-17,33.2492,33.7496,33.2492,33.7496,0.4197,79246
75,1973-08-20,33.7496,33.7496,33.5005,33.5005,0.4166,18113
76,1973-08-21,33.5005,33.5005,33.2492,33.2492,0.4134,29434
77,1973-08-22,32.8756,32.8756,32.1239,32.1239,0.3995,47547
78,1973-08-23,32.1239,32.1239,31.6258,31.6258,0.3933,45283
79,1973-08-24,31.8748,32.1239,31.8748,32.1239,0.3995,20377
80,1973-08-27,32.1239,32.6243,32.1239,32.1239,0.3995,38491
81,1973-08-28,32.1239,32.3752,32.1239,32.3752,0.4026,4528
82,1973-08-29,32.3752,32.8756,32.3752,32.3752,0.4026,18113
83,1973-08-30,32.8756,32.8756,32.8756,32.8756,0.4088,24906
84,1973-08-31,32.8756,33.2492,32.6243,32.6243,0.4057,113208
85,1973-09-04,32.8756,32.8756,32.8756,32.8756,0.4088,15849
86,1973-09-05,32.8756,33.2492,32.8756,32.8756,0.4088,36227
87,1973-09-06,32.8756,33.2492,32.8756,33.2492,0.4134,74717
88,1973-09-07,33.1247,33.1247,32.8756,32.8756,0.4088,13585
89,1973-09-10,32.8756,33.2492,32.8756,32.8756,0.4088,29434
90,1973-09-11,32.8756,33.1247,32.8756,32.8756,0.4088,43019
91,1973-09-12,32.8756,33.2492,32.8756,33.2492,0.4134,49812
92,1973-09-13,33.2492,33.7496,33.2492,33.2492,0.4134,249058
93,1973-09-14,33.2492,33.2492,32.8756,32.8756,0.4088,110944
94,1973-09-17,32.8756,32.8756,32.8756,32.8756,0.4088,54340
95,1973-09-18,32.8756,32.8756,32.8756,32.8756,0.4088,47547
96,1973-09-19,32.8756,33.2492,32.8756,32.8756,0.4088,49812
97,1973-09-20,32.8756,32.8756,32.8756,32.8756,0.4088,33962
98,1973-09-21,32.8756,32.8756,32.8756,32.8756,0.4088,97359
99,1973-09-24,32.8756,32.8756,32.8756,32.8756,0.4088,56604
100,1973-09-25,32.8756,32.8756,32.8756,32.8756,0.4088,67925
101,1973-09-26,32.8756,33.1247,32.8756,33.1247,0.4119,104151
102,1973-09-27,33.2492,34.0009,33.2492,34.0009,0.4228,40755
103,1973-09-28,34.0009,34.2499,34.0009,34.2499,0.4259,54340
104,1973-10-01,34.2499,34.499,34.0009,34.2499,0.4259,61132
105,1973-10-02,34.2499,34.7503,34.0009,34.499,0.429,129057
106,1973-10-03,34.7503,35.4998,34.7503,34.9994,0.4352,124529
107,1973-10-04,35.7511,36.1247,35.7511,36.0001,0.4477,131321
108,1973-10-05,36.0001,36.1247,36.0001,36.1247,0.4492,24906
109,1973-10-08,36.1247,36.376,36.0001,36.1247,0.4492,20377
110,1973-10-09,36.6251,36.8741,36.6251,36.6251,0.4554,36227
111,1973-10-10,36.376,36.376,36.376,36.376,0.4523,33962
112,1973-10-11,36.1247,36.1247,36.1247,36.1247,0.4492,70189
113,1973-10-12,36.1247,36.6251,36.1247,36.376,0.4523,52076
114,1973-10-15,36.376,36.376,36.1247,36.1247,0.4492,13585
115,1973-10-16,35.7511,35.7511,35.4998,35.7511,0.4446,65661
116,1973-10-17,35.7511,36.0001,35.4998,36.0001,0.4477,43019
117,1973-10-18,36.0001,36.1247,35.7511,35.7511,0.4446,29434
118,1973-10-19,35.7511,35.7511,35.7511,35.7511,0.4446,65661
119,1973-10-22,35.2507,35.2507,34.7503,34.7503,0.4321,47547
120,1973-10-23,34.7503,34.7503,34.499,34.499,0.429,54340
121,1973-10-24,34.499,34.7503,34.499,34.499,0.429,24906
122,1973-10-25,34.499,34.9994,34.499,34.7503,0.4321,65661
123,1973-10-26,34.7503,35.4998,34.7503,35.4998,0.4414,43019
124,1973-10-29,35.4998,36.1247,35.4998,36.1247,0.4492,61132
125,1973-10-30,36.1247,36.1247,36.1247,36.1247,0.4492,38491
126,1973-10-31,36.0001,36.0001,36.0001,36.0001,0.4477,43019
127,1973-11-01,36.0001,36.0001,35.4998,35.4998,0.4414,101887
128,1973-11-02,35.4998,35.7511,35.4998,35.4998,0.4414,29434
129,1973-11-05,35.4998,35.4998,34.2499,34.2499,0.4259,122265
130,1973-11-06,34.2499,34.2499,33.7496,33.7496,0.4197,45283
131,1973-11-07,34.0009,34.2499,34.0009,34.2499,0.4259,24906
132,1973-11-08,34.2499,34.7503,34.2499,34.7503,0.4321,40755
133,1973-11-09,34.499,34.499,33.5005,33.5005,0.4166,49812
134,1973-11-12,33.5005,33.7496,33.5005,33.7496,0.4197,43019
135,1973-11-13,33.5005,33.5005,33.5005,33.5005,0.4166,11321
136,1973-11-14,33.5005,33.7496,33.5005,33.5005,0.4166,11321
137,1973-11-15,33.2492,33.2492,32.8756,33.1247,0.4119,47547
138,1973-11-16,33.2492,33.5005,33.2492,33.2492,0.4134,31698
139,1973-11-19,33.2492,33.2492,32.8756,32.8756,0.4088,15849
140,1973-11-20,32.8756,32.8756,32.3752,32.3752,0.4026,74717
141,1973-11-21,32.3752,32.3752,32.1239,32.3752,0.4026,33962
142,1973-11-23,32.3752,32.3752,32.1239,32.3752,0.4026,38491
143,1973-11-26,32.1239,32.1239,31.6258,31.6258,0.3933,20377
144,1973-11-27,31.6258,32.1239,30.8741,31.3745,0.3901,104151
145,1973-11-28,31.1254,31.1254,30.625,31.1254,0.387,31698
146,1973-11-29,30.8741,30.8741,30.376,30.376,0.3777,38491
147,1973-11-30,30.376,30.625,30.376,30.376,0.3777,58868
148,1973-12-03,30.376,30.625,30.0001,30.0001,0.373,92831
149,1973-12-04,30.0001,30.625,30.0001,30.376,0.3777,86038
150,1973-12-05,30.1246,30.1246,30.0001,30.0001,0.373,117736
151,1973-12-06,30.0001,30.0001,30.0001,30.0001,0.373,36227
152,1973-12-07,30.0001,30.1246,29.7511,30.0001,0.373,126793
153,1973-12-10,30.0001,30.376,30.0001,30.0001,0.373,95095
154,1973-12-11,30.0001,30.376,30.0001,30.0001,0.373,36227
155,1973-12-12,30.0001,30.0001,29.7511,29.7511,0.3699,49812
156,1973-12-13,30.0001,30.376,30.0001,30.0001,0.373,201510
157,1973-12-14,30.376,30.376,30.376,30.376,0.3777,15849
158,1973-12-17,30.376,30.376,30.1246,30.1246,0.3746,38491
159,1973-12-18,30.1246,30.376,30.0001,30.1246,0.3746,56604
160,1973-12-19,30.1246,30.376,30.0001,30.0001,0.373,110944
161,1973-12-20,30.0001,30.1246,30.0001,30.0001,0.373,61132
162,1973-12-21,30.0001,30.0001,29.7511,30.0001,0.373,47547
163,1973-12-24,30.0001,30.1246,30.0001,30.1246,0.3746,104151
164,1973-12-26,30.1246,30.376,30.0001,30.0001,0.373,38491
165,1973-12-27,30.0001,30.376,29.7511,29.7511,0.3699,104151
166,1973-12-28,29.7511,30.0001,29.4997,30.0001,0.373,79246
167,1973-12-31,30.0001,30.376,29.4997,30.376,0.3777,120000
168,1974-01-02,30.376,30.625,30.376,30.376,0.3777,13585
169,1974-01-03,30.625,32.1239,30.625,32.1239,0.3995,72453
170,1974-01-04,32.1239,32.8756,32.1239,32.8756,0.4088,49812
171,1974-01-07,33.7496,34.499,33.7496,34.0009,0.4228,151699
172,1974-01-08,34.0009,34.0009,33.2492,33.2492,0.4134,20377
173,1974-01-09,33.2492,33.2492,31.6258,31.6258,0.3933,81510
174,1974-01-10,31.6258,32.8756,31.3745,32.6243,0.4057,76981
175,1974-01-11,32.8756,34.9994,32.8756,34.9994,0.4352,70189
176,1974-01-14,35.4998,35.4998,35.4998,35.4998,0.4414,70189
