,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-03-30,81.0,85.0,62.0,69.0,414.0,2189267
1,1999-03-31,75.25,86.25,73.0,82.875,497.25,1322850
2,1999-04-01,91.75,92.0,79.25,80.5,483.0,483233
3,1999-04-05,83.5,84.0,72.5,75.125,450.75,324917
4,1999-04-06,75.375,80.6875,70.0,79.0,474.0,353900
5,1999-04-07,80.125,81.25,73.75,74.5,447.0,156617
6,1999-04-08,74.5,75.125,70.625,72.5,435.0,147767
7,1999-04-09,72.0,76.0,67.75,74.0,444.0,141933
8,1999-04-12,70.125,79.25,69.0,76.5625,459.375,182833
9,1999-04-13,78.75,85.875,77.25,81.5,489.0,240033
10,1999-04-14,92.375,99.25,85.0,91.4375,548.625,627933
11,1999-04-15,94.0,94.0,76.5,79.875,479.25,339117
12,1999-04-16,81.0,85.0,73.0,81.375,488.25,176683
13,1999-04-19,81.75,82.0,58.0,59.875,359.25,229150
14,1999-04-20,59.875,69.0,58.0,67.625,405.75,264100
15,1999-04-21,71.5,76.0,67.625,74.5,447.0,150483
16,1999-04-22,81.0625,81.75,73.5,76.375,458.25,145683
17,1999-04-23,86.0625,95.75,82.0,88.0,528.0,741567
18,1999-04-26,104.4375,121.4375,100.75,120.75,724.5,1352367
19,1999-04-27,123.125,140.0,120.125,129.6875,778.125,1196750
20,1999-04-28,124.9375,134.4375,116.0,121.0,726.0,448867
21,1999-04-29,115.0625,138.875,115.0,137.8125,826.875,721900
22,1999-04-30,151.5,165.0,135.0,162.375,974.25,845467
23,1999-05-03,152.4375,158.875,138.875,139.25,835.5,873317
24,1999-05-04,142.625,150.0,130.625,134.0,804.0,692750
25,1999-05-05,141.1875,152.0,120.125,151.1875,907.125,1264033
26,1999-05-06,148.0,152.0,137.875,139.4375,836.625,632083
27,1999-05-07,144.25,144.3125,129.625,130.6562,783.9372,569683
28,1999-05-10,128.0,131.875,121.0,128.0,768.0,449167
29,1999-05-11,134.5,134.75,123.0,123.0,738.0,286467
30,1999-05-12,122.75,129.0,122.0,126.0,756.0,240517
31,1999-05-13,129.875,132.0,121.0,121.5,729.0,187167
32,1999-05-14,120.0,134.5,119.0,132.8125,796.875,792600
33,1999-05-17,131.5,132.3125,124.0,131.75,790.5,341400
34,1999-05-18,131.25,139.75,127.6875,136.125,816.75,418517
35,1999-05-19,136.75,144.25,134.75,142.5,855.0,226583
36,1999-05-20,144.9375,145.0,131.125,134.375,806.25,174400
37,1999-05-21,145.3125,145.75,137.0,138.9375,833.625,553633
38,1999-05-24,138.25,138.875,121.125,125.3438,752.0628,314600
39,1999-05-25,121.0,123.0,103.0,104.0,624.0,540567
40,1999-05-26,108.5,115.0,97.0,113.7812,682.6872,691100
41,1999-05-27,112.75,117.0,109.0625,110.8125,664.875,273617
42,1999-05-28,107.0,112.25,106.0,112.0312,672.1872,194833
43,1999-06-01,109.625,110.5,97.5,99.4375,596.625,353983
44,1999-06-02,96.25,105.6875,89.125,92.9063,557.4375,748050
45,1999-06-03,93.375,95.875,84.0,84.125,504.75,448450
46,1999-06-04,84.5,92.25,83.375,90.3125,541.875,431817
47,1999-06-07,92.5,109.5,91.625,101.5,609.0,738183
48,1999-06-08,104.875,111.0,101.625,104.25,625.5,560267
49,1999-06-09,106.625,108.875,102.875,105.0,630.0,224783
50,1999-06-10,100.6875,104.125,100.0,102.25,613.5,290533
51,1999-06-11,104.0,106.25,95.0,95.6875,574.125,268367
52,1999-06-14,94.0,94.0,76.5,76.875,461.25,534317
53,1999-06-15,76.125,84.3125,74.75,78.4375,470.625,544217
54,1999-06-16,85.0,90.0,83.75,88.5,531.0,522133
55,1999-06-17,87.5,95.0,83.6875,88.9375,533.625,439050
56,1999-06-18,91.375,95.1875,91.0,94.0,564.0,257800
57,1999-06-21,95.75,109.25,95.25,106.3125,637.875,484800
58,1999-06-22,109.0625,119.4375,105.75,108.75,652.5,766217
59,1999-06-23,104.0,113.9375,104.0,110.875,665.25,435500
60,1999-06-24,108.25,109.5,102.0,102.0,612.0,314117
61,1999-06-25,105.4375,107.375,95.5,95.75,574.5,380433
62,1999-06-28,99.0,105.625,92.0,105.5,633.0,444450
63,1999-06-29,103.125,111.0,102.4375,107.5,645.0,384483
64,1999-06-30,106.25,119.0,104.25,115.5625,693.375,437417
65,1999-07-01,116.875,118.375,107.25,107.5,645.0,329517
66,1999-07-02,109.0,113.5,109.0,111.5,669.0,183617
67,1999-07-06,113.5625,117.1875,112.0,112.0,672.0,314250
68,1999-07-07,113.0,113.0,106.5,111.0,666.0,274083
69,1999-07-08,112.875,116.25,109.5,110.6875,664.125,294800
70,1999-07-09,112.0625,113.0,108.375,109.0,654.0,116600
71,1999-07-12,109.3125,110.0,104.0,104.8438,629.0628,143467
72,1999-07-13,100.8125,104.375,100.0,103.125,618.75,145050
73,1999-07-14,103.625,106.0,103.25,104.25,625.5,103967
74,1999-07-15,104.375,105.5,100.0,101.125,606.75,107133
75,1999-07-16,100.25,101.5,97.0,97.4063,584.4375,160617
76,1999-07-19,105.5,108.0,97.5,97.6563,585.9375,464333
77,1999-07-20,95.375,96.0,91.0,91.5625,549.375,278400
78,1999-07-21,91.8125,91.875,86.5,88.2188,529.3125,303617
79,1999-07-22,87.0625,88.0,83.0,83.5625,501.375,228450
80,1999-07-23,83.625,85.75,80.0625,81.1875,487.125,281617
81,1999-07-26,79.8125,82.625,77.5,78.1875,469.125,269417
82,1999-07-27,80.75,81.0,73.4375,73.6563,441.9375,352817
83,1999-07-28,77.0,85.5,75.0,85.0,510.0,578900
84,1999-07-29,81.125,82.0,77.5,80.5,483.0,333083
85,1999-07-30,81.5,81.75,75.0,75.5625,453.375,208083
86,1999-08-02,75.3125,80.875,73.0,77.5,465.0,324467
87,1999-08-03,79.0,79.5,71.125,73.0625,438.375,302050
88,1999-08-04,72.5,74.125,66.0,66.25,397.5,367850
89,1999-08-05,64.375,79.75,59.0,78.125,468.75,801383
90,1999-08-06,76.75,84.3125,73.375,74.375,446.25,422067
91,1999-08-09,75.5,76.9375,69.625,70.0,420.0,222100
92,1999-08-10,68.375,75.1875,66.0,71.75,430.5,432800
93,1999-08-11,75.5,76.25,69.0,70.0,420.0,410583
94,1999-08-12,68.125,71.125,66.9375,67.3125,403.875,820100
95,1999-08-13,70.1875,70.625,65.25,66.5,399.0,321433
96,1999-08-16,66.875,70.5,66.75,68.75,412.5,343200
97,1999-08-17,70.0,72.25,68.0,70.0625,420.375,333700
98,1999-08-18,72.125,74.875,70.125,70.75,424.5,388700
99,1999-08-19,69.375,70.5,66.375,66.5,399.0,332800
100,1999-08-20,67.0,68.25,65.625,67.75,406.5,205217
101,1999-08-23,68.625,71.75,67.0,67.0625,402.375,272467
102,1999-08-24,66.875,69.5,65.75,67.625,405.75,309367
103,1999-08-25,68.125,69.6875,64.25,65.1875,391.125,336300
104,1999-08-26,68.75,74.875,68.5,72.625,435.75,855783
105,1999-08-27,74.875,76.0,70.125,73.5,441.0,395150
106,1999-08-30,73.625,73.625,66.5,66.8438,401.0625,280867
107,1999-08-31,68.0,69.5,66.0,68.125,408.75,258167
108,1999-09-01,70.125,70.5,65.5,65.5938,393.5625,265400
109,1999-09-02,64.125,65.625,62.5,64.0313,384.1875,194117
110,1999-09-03,68.5,68.5,65.0,66.375,398.25,203500
111,1999-09-07,68.4375,70.0,66.875,67.8125,406.875,395333
112,1999-09-08,66.9375,67.25,62.75,63.25,379.5,406450
113,1999-09-09,63.0625,63.875,54.875,58.1563,348.9375,905250
114,1999-09-10,61.3125,62.0,56.5,57.9375,347.625,482400
115,1999-09-13,60.875,61.0,53.5,55.625,333.75,724033
116,1999-09-14,55.3125,61.5,55.0,60.0,360.0,723450
117,1999-09-15,61.8125,62.0,58.375,60.0,360.0,400317
118,1999-09-16,60.375,60.625,55.75,57.125,342.75,363567
119,1999-09-17,58.0625,60.75,57.75,58.25,349.5,377867
120,1999-09-20,61.25,65.0156,60.75,64.1875,385.125,790233
121,1999-09-21,64.5625,69.125,64.0,66.8438,401.0625,830033
122,1999-09-22,70.625,73.5,70.25,71.625,429.75,920250
123,1999-09-23,73.375,74.5,65.0,65.0625,390.375,541833
124,1999-09-24,65.375,69.0,63.1875,65.5625,393.375,447067
125,1999-09-27,62.0,63.75,60.125,61.7188,370.3125,647683
126,1999-09-28,61.8125,62.5,60.0,61.375,368.25,268150
127,1999-09-29,61.625,66.75,60.875,63.0,378.0,606083
128,1999-09-30,64.0625,66.0,63.5,64.5,387.0,262067
129,1999-10-01,64.0,65.125,62.375,63.1875,379.125,190033
130,1999-10-04,64.6875,65.0,61.25,62.2813,373.6875,206133
131,1999-10-05,63.0,64.5,62.0,64.25,385.5,312383
132,1999-10-06,65.125,74.0,65.0625,72.75,436.5,1042467
133,1999-10-07,77.25,77.625,72.1875,72.5,435.0,832617
134,1999-10-08,74.0,76.375,73.375,73.75,442.5,424033
135,1999-10-11,75.0,76.625,74.125,76.0,456.0,255300
136,1999-10-12,75.6875,79.375,75.5,75.9375,455.625,539150
137,1999-10-13,73.0,76.625,70.6875,72.25,433.5,328383
138,1999-10-14,73.125,73.3125,67.875,70.0,420.0,318333
139,1999-10-15,65.25,68.875,64.75,67.5625,405.375,352850
140,1999-10-18,66.6875,67.75,61.875,64.375,386.25,287200
141,1999-10-19,66.5,67.5,64.5,64.6875,388.125,219550
142,1999-10-20,66.3125,68.0,65.3125,66.5,399.0,160600
143,1999-10-21,64.8125,70.0,64.0625,68.75,412.5,198000
144,1999-10-22,69.625,71.875,66.5,66.75,400.5,152017
145,1999-10-25,67.125,69.75,67.0,68.5625,411.375,125933
146,1999-10-26,69.375,69.75,67.0,67.6875,406.125,145133
147,1999-10-27,67.4375,67.875,64.5,66.75,400.5,144600
148,1999-10-28,68.5,68.875,65.25,67.875,407.25,221383
149,1999-10-29,65.875,65.9375,60.0,60.25,361.5,988183
150,1999-11-01,61.0,61.25,57.0,58.5,351.0,605717
151,1999-11-02,59.25,60.1875,54.625,55.4375,332.625,599367
152,1999-11-03,57.0,57.25,55.0,55.375,332.25,446283
153,1999-11-04,56.3125,57.0,52.25,53.0,318.0,596283
154,1999-11-05,54.5625,54.9375,50.5,52.625,315.75,617250
155,1999-11-08,54.5,62.0,54.1875,61.75,370.5,801033
156,1999-11-09,64.9375,65.0,57.75,59.625,357.75,624750
157,1999-11-10,58.625,60.875,56.25,57.5,345.0,335050
158,1999-11-11,57.375,57.4375,55.0,56.25,337.5,214750
159,1999-11-12,56.4375,58.0,55.75,56.625,339.75,186617
160,1999-11-15,61.0,62.0,59.0,59.9375,359.625,503867
161,1999-11-16,62.0,69.0,61.125,68.75,412.5,1225283
162,1999-11-17,75.125,81.0,72.0,76.875,461.25,2259800
163,1999-11-18,75.0,75.0625,69.5,71.875,431.25,1110067
164,1999-11-19,71.375,71.5,67.5,67.875,407.25,471117
165,1999-11-22,68.0,68.125,65.625,66.75,400.5,468467
166,1999-11-23,65.375,65.375,61.5,61.9375,371.625,726683
167,1999-11-24,62.25,64.25,60.625,61.0,366.0,879600
168,1999-11-26,62.75,65.375,62.0625,63.625,381.75,794033
169,1999-11-29,65.25,66.875,64.0625,64.375,386.25,647433
170,1999-11-30,64.75,64.8125,61.75,62.0,372.0,269250
171,1999-12-01,62.5625,63.375,60.4375,60.625,363.75,350217
172,1999-12-02,63.875,65.25,63.0,65.0625,390.375,950617
173,1999-12-03,67.1875,67.5,61.75,61.875,371.25,742500
174,1999-12-06,62.0,63.1875,60.625,61.0625,366.375,441733
175,1999-12-07,61.4375,62.8125,60.75,61.5,369.0,269450
176,1999-12-08,61.125,62.25,59.0,59.375,356.25,432167
177,1999-12-09,61.8125,62.125,56.0,57.875,347.25,646133
178,1999-12-10,58.75,60.7188,57.75,58.375,350.25,448517
179,1999-12-13,59.0,59.375,57.0,58.0,348.0,331900
180,1999-12-14,57.3125,57.375,54.0,54.375,326.25,531750
181,1999-12-15,54.25,56.25,52.5,55.25,331.5,280133
182,1999-12-16,59.75,60.9375,57.0,57.1875,343.125,465533
183,1999-12-17,58.0,58.0,55.5,56.9375,341.625,252833
184,1999-12-20,58.0,58.6875,55.125,56.0,336.0,290433
185,1999-12-21,57.0625,60.375,56.625,59.375,356.25,523600
186,1999-12-22,59.6875,61.375,56.5625,57.0,342.0,337417
187,1999-12-23,57.0625,57.375,54.5,55.0,330.0,273100
188,1999-12-27,57.625,58.0,53.625,54.375,326.25,688167
189,1999-12-28,54.375,54.5,51.75,51.875,311.25,498967
190,1999-12-29,51.8125,53.25,50.5,50.5625,303.375,463233
191,1999-12-30,50.5,50.75,45.5,46.75,280.5,959067
192,1999-12-31,47.0625,49.375,46.8125,47.375,284.25,410150
193,2000-01-03,52.5,53.0,48.0,51.25,307.5,847700
194,2000-01-04,51.375,57.25,51.25,54.0,324.0,972800
195,2000-01-05,55.25,64.2188,54.625,59.9375,359.625,1604617
196,2000-01-06,61.375,64.125,54.375,57.5,345.0,1174417
197,2000-01-07,59.6875,60.75,55.625,57.25,343.5,339333
198,2000-01-10,58.6875,59.625,52.875,54.25,325.5,2018767
199,2000-01-11,53.75,57.0,51.875,52.8125,316.875,840600
200,2000-01-12,53.625,54.1875,51.0,51.125,306.75,283750
201,2000-01-13,53.1094,53.1875,50.0,51.625,309.75,299383
202,2000-01-14,52.5,57.0,52.25,56.875,341.25,789383
203,2000-01-18,55.75,59.3125,55.5,59.1875,355.125,572700
204,2000-01-19,59.0,62.875,58.3125,62.4375,374.625,710250
205,2000-01-20,61.8125,62.0,59.0,61.9375,371.625,580317
206,2000-01-21,62.375,64.5,61.5,63.5,381.0,825217
207,2000-01-24,64.1875,64.4375,59.5,59.9375,359.625,401567
208,2000-01-25,59.8125,63.25,56.0,62.9375,377.625,414750
209,2000-01-26,63.6875,68.0625,63.25,66.25,397.5,877483
210,2000-01-27,67.75,69.25,63.0625,64.125,384.75,1032250
211,2000-01-28,64.0625,64.1875,58.0,59.625,357.75,568833
212,2000-01-31,59.75,59.875,56.5,58.0,348.0,344533
213,2000-02-01,58.375,58.375,56.375,57.25,343.5,205517
214,2000-02-02,57.25,62.0,57.25,59.5625,357.375,389983
215,2000-02-03,60.9375,61.75,57.875,59.5625,357.375,354067
216,2000-02-04,61.5,62.0,59.25,60.375,362.25,246950
217,2000-02-07,58.625,61.875,58.0,60.25,361.5,329717
218,2000-02-08,60.25,60.375,56.375,58.0625,348.375,1567083
219,2000-02-09,58.4375,59.375,56.5,58.4375,350.625,529117
220,2000-02-10,58.4375,58.5,56.0,56.25,337.5,307850
221,2000-02-11,56.5,56.625,53.5,53.875,323.25,235717
222,2000-02-14,54.9375,55.6875,53.875,54.375,326.25,228400
223,2000-02-15,55.25,55.25,52.25,53.0,318.0,221433
224,2000-02-16,52.875,53.625,52.125,52.9375,317.625,193000
225,2000-02-17,54.125,55.75,52.875,55.0,330.0,281433
226,2000-02-18,54.875,55.0,51.0,51.0,306.0,290817
227,2000-02-22,51.0625,52.0,48.5,50.125,300.75,242617
228,2000-02-23,50.1875,53.125,50.0625,51.875,311.25,310783
229,2000-02-24,56.5,57.5,53.3125,56.75,340.5,894833
230,2000-02-25,57.3125,57.625,54.75,56.9375,341.625,401150
231,2000-02-28,57.4375,57.5,53.5,53.875,323.25,229117
232,2000-02-29,54.125,57.0,52.0,55.9375,335.625,465050
233,2000-03-01,59.125,64.75,59.0,64.375,386.25,2040633
234,2000-03-02,65.5,71.75,65.5,71.5,429.0,1558533
235,2000-03-03,72.5,75.0625,70.4375,75.0,450.0,1235533
236,2000-03-06,75.5,93.0,75.375,90.1875,541.125,2515450
237,2000-03-07,96.625,96.75,76.5,78.625,471.75,2291750
238,2000-03-08,84.6875,89.9375,79.125,87.5625,525.375,1704767
239,2000-03-09,89.25,97.5,86.75,93.6875,562.125,1778300
240,2000-03-10,94.0,97.875,92.375,94.5,567.0,684283
241,2000-03-13,86.0,99.75,82.375,95.9375,575.625,749400
242,2000-03-14,97.375,104.25,94.875,94.9375,569.625,833100
243,2000-03-15,94.625,94.875,88.0,89.0,534.0,423333
244,2000-03-16,89.75,92.1875,83.0,87.9375,527.625,490267
245,2000-03-17,86.9375,92.0,86.0,90.0,540.0,191550
246,2000-03-20,84.375,86.0625,77.0,77.6875,466.125,678667
247,2000-03-21,76.0,83.875,75.5,81.25,487.5,442433
248,2000-03-22,82.125,88.0,82.125,87.0,522.0,367000
249,2000-03-23,86.25,89.6875,85.0,88.0,528.0,340483
250,2000-03-24,89.375,92.0625,87.5625,90.5,543.0,344750
251,2000-03-27,91.1875,93.375,90.5,92.0,552.0,217650
252,2000-03-28,90.25,91.875,85.5,86.9375,521.625,236783
253,2000-03-29,87.0,87.8125,81.75,81.8125,490.875,393600
254,2000-03-30,79.875,82.75,78.5,81.125,486.75,473467
255,2000-03-31,81.75,82.0,72.9375,80.0,480.0,442117
256,2000-04-03,77.5625,77.6875,65.0,65.375,392.25,616900
257,2000-04-04,68.875,75.5,58.0,75.25,451.5,839567
258,2000-04-05,73.4375,75.5,68.0,71.9375,431.625,409817
259,2000-04-06,72.625,79.375,72.625,77.125,462.75,315717
260,2000-04-07,80.25,86.0,74.3125,78.0625,468.375,617217
261,2000-04-10,78.9375,78.9375,71.0,72.875,437.25,387383
262,2000-04-11,70.25,70.6875,62.0,65.0625,390.375,741000
263,2000-04-12,66.375,66.5,59.875,60.125,360.75,509133
264,2000-04-13,61.5,65.125,60.5,62.125,372.75,735983
265,2000-04-14,59.5,62.0,51.875,58.5469,351.2813,1033267
266,2000-04-17,55.625,56.75,49.625,52.0625,312.375,730633
267,2000-04-18,52.75,64.9375,48.75,64.0,384.0,1059817
268,2000-04-19,63.5,65.125,57.0,65.0625,390.375,581200
269,2000-04-20,65.875,69.1875,64.25,67.875,407.25,406567
270,2000-04-24,63.0,66.0,56.25,61.75,370.5,538400
271,2000-04-25,65.125,69.25,62.25,64.5625,387.375,501533
272,2000-04-26,66.0,66.0625,61.0,63.875,383.25,529317
273,2000-04-27,60.0,67.625,59.5,64.9375,389.625,372867
274,2000-04-28,65.0625,67.0,62.625,63.25,379.5,484467
275,2000-05-01,64.5625,65.875,63.0625,63.5625,381.375,471267
276,2000-05-02,63.625,64.5,59.0,59.5,357.0,283417
277,2000-05-03,58.75,59.0,55.125,58.0156,348.0937,304650
278,2000-05-04,58.375,61.8125,56.5,57.9375,347.625,332667
279,2000-05-05,57.375,59.375,56.8125,57.4375,344.625,264800
280,2000-05-08,58.1875,59.625,54.875,54.875,329.25,204667
281,2000-05-09,55.1875,55.375,50.625,52.9375,317.625,348650
282,2000-05-10,52.0,53.625,50.0625,51.5625,309.375,316133
283,2000-05-11,52.375,52.875,49.125,49.5,297.0,292700
284,2000-05-12,50.25,51.75,49.3125,49.6875,298.125,253583
285,2000-05-15,51.5,51.75,45.125,50.4375,302.625,520033
286,2000-05-16,51.875,57.2344,51.875,54.0625,324.375,851917
287,2000-05-17,52.9375,53.25,49.875,50.6875,304.125,522417
288,2000-05-18,50.75,51.5,46.5,47.0625,282.375,534000
289,2000-05-19,46.5,47.875,44.5,44.75,268.5,389083
290,2000-05-22,45.0,45.0,41.0625,44.4375,266.625,505233
291,2000-05-23,44.8125,44.875,40.0,40.5,243.0,413383
292,2000-05-24,40.0,40.25,33.0625,36.5,219.0,1008700
293,2000-05-25,40.1875,41.8125,35.125,36.25,217.5,831717
294,2000-05-26,36.3125,37.125,33.625,36.125,216.75,260033
295,2000-05-30,37.125,39.625,35.75,39.25,235.5,393167
296,2000-05-31,38.6875,39.0,37.25,38.125,228.75,287750
297,2000-06-01,38.6875,42.375,38.5,41.9375,251.625,637800
298,2000-06-02,42.5,47.75,42.5,46.5,279.0,601750
299,2000-06-05,46.4375,51.5,45.3125,49.0,294.0,514267
300,2000-06-06,49.25,49.25,44.0625,44.0625,264.375,309783
301,2000-06-07,43.875,46.25,43.5,45.0,270.0,342067
302,2000-06-08,46.1875,46.6875,44.25,45.5625,273.375,379233
303,2000-06-09,46.625,47.0,44.5,45.125,270.75,254183
304,2000-06-12,45.0,46.0,41.0625,42.0,252.0,310467
305,2000-06-13,42.125,44.25,41.125,43.5,261.0,246067
306,2000-06-14,43.75,45.25,43.0,43.1875,259.125,184200
307,2000-06-15,44.5625,45.8125,42.125,42.75,256.5,279100
308,2000-06-16,43.3125,44.0,42.125,43.1875,259.125,178700
309,2000-06-19,43.1875,44.75,42.875,44.5625,267.375,151750
310,2000-06-20,45.875,47.375,45.0625,46.5,279.0,625800
311,2000-06-21,45.875,46.125,44.0,45.0,270.0,181900
312,2000-06-22,45.625,47.0,44.0,45.3125,271.875,307250
313,2000-06-23,44.625,44.75,39.125,41.8125,250.875,968633
314,2000-06-26,42.125,42.25,37.6875,38.0,228.0,629350
315,2000-06-27,38.1875,40.375,38.0625,40.0,240.0,257050
316,2000-06-28,40.0,41.125,39.5,40.1875,241.125,269783
317,2000-06-29,35.9375,37.2188,33.3125,36.8125,220.875,1322817
318,2000-06-30,36.5,38.25,35.5,37.9844,227.9063,406217
319,2000-07-03,38.4375,40.0,37.0,40.0,240.0,106400
320,2000-07-05,39.125,39.25,37.0,37.125,222.75,158067
321,2000-07-06,37.0625,38.375,36.0,38.0625,228.375,214517
322,2000-07-07,37.9375,38.0625,37.0,37.5625,225.375,127150
323,2000-07-10,37.9375,38.125,37.125,37.25,223.5,172133
324,2000-07-11,37.25,37.25,32.375,32.5,195.0,633233
325,2000-07-12,34.25,36.25,32.625,35.625,213.75,787433
326,2000-07-13,36.5,38.9375,35.25,38.4375,230.625,568333
327,2000-07-14,39.375,40.6875,38.3125,39.4375,236.625,875917
328,2000-07-17,40.125,40.75,39.0,39.5625,237.375,458400
329,2000-07-18,39.5625,40.375,37.25,38.75,232.5,468683
330,2000-07-19,38.2969,40.25,37.5,39.75,238.5,237933
331,2000-07-20,40.125,40.875,39.5,40.5625,243.375,268350
332,2000-07-21,40.5,41.875,39.5,40.0625,240.375,403767
333,2000-07-24,39.0,39.0625,30.5,31.125,186.75,2584150
334,2000-07-25,33.1875,33.1875,30.0,31.25,187.5,1709850
335,2000-07-26,31.125,31.25,28.1875,28.625,171.75,867000
336,2000-07-27,28.0,28.0,24.0625,25.8125,154.875,1140783
337,2000-07-28,26.3125,26.5,23.125,24.5,147.0,948483
338,2000-07-31,25.5,25.5,22.625,23.625,141.75,974250
339,2000-08-01,25.1875,26.625,24.5625,24.9375,149.625,1062583
340,2000-08-02,25.3125,25.8125,24.375,24.8125,148.875,555333
341,2000-08-03,24.0625,24.375,23.375,24.3125,145.875,403267
342,2000-08-04,24.6875,25.0625,23.75,24.25,145.5,285750
343,2000-08-07,24.5,27.875,23.75,27.5,165.0,814217
344,2000-08-08,27.75,29.9375,26.5625,28.0,168.0,774350
345,2000-08-09,28.875,29.0,24.9375,25.625,153.75,605383
346,2000-08-10,25.625,25.625,23.5,23.75,142.5,623933
347,2000-08-11,23.0,24.75,22.875,24.0,144.0,373467
348,2000-08-14,24.5,25.4375,23.0,24.5625,147.375,550483
349,2000-08-15,24.125,26.25,24.0625,25.375,152.25,496583
350,2000-08-16,25.4375,27.25,25.0,25.125,150.75,507317
351,2000-08-17,25.0,25.75,24.4375,25.25,151.5,417467
352,2000-08-18,25.75,26.5,25.0625,26.4375,158.625,372950
353,2000-08-21,26.8125,26.8125,25.0,25.5,153.0,359433
354,2000-08-22,25.875,25.875,24.625,24.75,148.5,179900
355,2000-08-23,24.9375,25.875,24.5,25.4375,152.625,409767
356,2000-08-24,25.9375,28.0,25.875,27.125,162.75,785583
357,2000-08-25,27.0313,27.375,26.125,26.5,159.0,469050
358,2000-08-28,26.625,27.375,26.1875,26.6875,160.125,269133
359,2000-08-29,26.6875,27.6875,26.6875,27.5,165.0,402150
360,2000-08-30,27.1875,29.0,27.0,27.75,166.5,575117
361,2000-08-31,28.4375,28.5,25.9375,27.1875,163.125,575533
362,2000-09-01,27.0625,27.375,25.625,25.9375,155.625,430483
363,2000-09-05,26.1875,29.625,25.625,28.9375,173.625,775117
364,2000-09-06,29.25,29.4375,26.75,27.5,165.0,401567
365,2000-09-07,27.5625,27.625,24.8125,25.9375,155.625,948383
366,2000-09-08,26.125,26.75,25.4375,25.75,154.5,342050
367,2000-09-11,27.0,27.5,26.1875,26.5,159.0,528883
368,2000-09-12,27.75,28.5,27.0,27.5,165.0,502333
369,2000-09-13,27.3125,28.25,26.375,27.9375,167.625,401567
370,2000-09-14,28.5,28.5,26.375,27.0,162.0,342583
371,2000-09-15,27.8125,27.8125,25.9375,26.125,156.75,300950
372,2000-09-18,26.125,27.0,25.125,25.5,153.0,328917
373,2000-09-19,25.6875,26.0625,25.0,25.125,150.75,264833
374,2000-09-20,25.4375,25.5,22.75,23.4375,140.625,709367
375,2000-09-21,22.8125,22.875,20.625,21.5625,129.375,1561900
376,2000-09-22,19.875,21.875,19.8125,21.875,131.25,638267
377,2000-09-25,22.25,22.3125,20.0,20.4375,122.625,331833
378,2000-09-26,20.125,20.4375,18.1875,18.6406,111.8437,632900
379,2000-09-27,11.3125,12.0,10.0625,10.75,64.5,7212417
380,2000-09-28,10.5625,12.4375,10.375,11.875,71.25,2622350
381,2000-09-29,11.875,11.9375,11.5,11.875,71.25,1435550
382,2000-10-02,12.0625,12.0625,10.5625,10.875,65.25,703900
383,2000-10-03,10.875,11.1875,9.875,9.875,59.25,651633
384,2000-10-04,9.9844,10.0,9.0,9.375,56.25,701533
385,2000-10-05,7.0625,7.25,5.6875,5.8125,34.875,4624083
386,2000-10-06,5.6406,5.75,4.625,5.5625,33.375,2903550
387,2000-10-09,5.6094,6.875,5.5938,6.5,39.0,1476533
388,2000-10-10,6.875,7.125,6.5,6.7813,40.6875,985117
389,2000-10-11,6.625,6.75,5.3438,5.4375,32.625,963017
