,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,21.875,22.19,21.815,22.03,22.03,86200
1,1998-01-02,22.095,22.25,21.595,21.905,21.905,101800
2,1998-01-05,21.905,22.315,21.625,21.875,21.875,194000
3,1998-01-06,21.815,21.845,21.405,21.53,21.53,110200
4,1998-01-07,21.405,21.655,21.19,21.405,21.405,225200
5,1998-01-08,21.405,21.44,21.22,21.25,21.25,143600
6,1998-01-09,21.03,21.065,20.345,20.44,20.44,147600
7,1998-01-12,20.5,21.0,20.315,20.875,20.875,177000
8,1998-01-13,20.94,21.03,20.595,20.75,20.75,135400
9,1998-01-14,20.815,20.875,20.53,20.595,20.595,132600
10,1998-01-15,20.565,20.69,20.315,20.53,20.53,358200
11,1998-01-16,20.655,21.065,20.565,21.0,21.0,171800
12,1998-01-20,21.065,21.125,20.5,20.69,20.69,187000
13,1998-01-21,20.625,21.065,20.565,20.97,20.97,192200
14,1998-01-22,20.97,21.065,20.065,20.53,20.53,410800
15,1998-01-23,20.595,20.625,19.595,20.125,20.125,295600
16,1998-01-26,20.095,21.19,20.095,21.19,21.19,322400
17,1998-01-27,21.155,21.5,20.97,21.22,21.22,236800
18,1998-01-28,21.155,21.375,21.155,21.315,21.315,170000
19,1998-01-29,21.22,21.5,21.22,21.315,21.315,198000
20,1998-01-30,21.28,21.595,21.0,21.565,21.565,160800
21,1998-02-02,21.69,22.405,21.655,21.94,21.94,250800
22,1998-02-03,21.845,22.03,21.655,22.03,22.03,99200
23,1998-02-04,21.97,22.375,21.97,22.345,22.345,127000
24,1998-02-05,22.405,22.47,22.155,22.405,22.405,99400
25,1998-02-06,22.47,22.75,22.47,22.595,22.595,161400
26,1998-02-09,22.53,22.72,22.375,22.44,22.44,84800
27,1998-02-10,22.375,22.875,22.315,22.5,22.5,117600
28,1998-02-11,22.565,22.595,22.375,22.47,22.47,47000
29,1998-02-12,22.47,22.47,22.0,22.25,22.25,191600
30,1998-02-13,22.25,22.25,21.5,21.75,21.75,140600
31,1998-02-17,21.69,22.0,21.625,21.875,21.875,239200
32,1998-02-18,21.905,22.25,21.815,22.155,22.155,159400
33,1998-02-19,22.155,22.315,22.125,22.25,22.25,103000
34,1998-02-20,22.375,22.5,22.28,22.44,22.44,145400
35,1998-02-23,22.5,22.5,22.03,22.25,22.25,174800
36,1998-02-24,22.25,22.375,21.845,22.125,22.125,109800
37,1998-02-25,22.25,22.28,22.03,22.095,22.095,49600
38,1998-02-26,22.03,22.53,22.0,22.53,22.53,124400
39,1998-02-27,22.5,22.78,22.5,22.53,22.53,113800
40,1998-03-02,22.405,22.75,22.405,22.72,22.72,162600
41,1998-03-03,22.72,22.97,22.53,22.94,22.94,124200
42,1998-03-04,22.97,22.97,22.565,22.69,22.69,143400
43,1998-03-05,22.565,22.565,22.125,22.565,22.565,182200
44,1998-03-06,22.44,23.0,22.44,22.94,22.94,92400
45,1998-03-09,22.845,23.0,22.69,22.75,22.75,81600
46,1998-03-10,22.875,23.25,22.815,23.19,23.19,190400
47,1998-03-11,23.155,23.315,23.0,23.125,23.125,97400
48,1998-03-12,23.125,23.28,23.0,23.22,23.22,62000
49,1998-03-13,23.25,23.375,22.72,23.0,23.0,73000
50,1998-03-16,23.125,23.47,23.065,23.47,23.47,139800
51,1998-03-17,23.25,23.375,22.875,22.94,22.94,232600
52,1998-03-18,22.94,22.94,22.22,22.315,22.315,116800
53,1998-03-19,22.25,22.28,22.125,22.19,22.19,250000
54,1998-03-20,22.065,22.22,21.94,21.97,21.97,502000
55,1998-03-23,21.905,22.06,21.905,22.0,22.0,191400
56,1998-03-24,22.065,22.22,22.03,22.19,22.19,163200
57,1998-03-25,22.19,22.315,22.125,22.28,22.28,289800
58,1998-03-26,22.155,22.47,22.155,22.375,22.375,107400
59,1998-03-27,22.5,22.69,22.5,22.625,22.625,162000
60,1998-03-30,22.625,22.75,22.22,22.315,22.315,167600
61,1998-03-31,22.315,23.03,22.315,22.565,22.565,183200
62,1998-04-01,22.53,22.625,22.375,22.565,22.565,355600
63,1998-04-02,22.625,23.065,22.5,23.0,23.0,145200
64,1998-04-03,23.0,23.0,22.72,22.845,22.845,117200
65,1998-04-06,22.97,22.97,22.5,22.53,22.53,148600
66,1998-04-07,22.53,22.595,22.155,22.22,22.22,110400
67,1998-04-08,22.19,22.19,21.5,21.655,21.655,142600
68,1998-04-09,21.78,22.405,21.72,22.22,22.22,125800
69,1998-04-13,22.28,22.28,21.97,22.0,22.0,147000
70,1998-04-14,22.0,22.47,22.0,22.375,22.375,156600
71,1998-04-15,22.375,22.78,22.065,22.72,22.72,120800
72,1998-04-16,22.625,22.655,22.095,22.28,22.28,145200
