,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2007-03-22,18.0,20.25,18.0,20.1,14.6194,2908400
1,2007-03-23,20.1,22.9,20.05,20.33,14.7867,3550900
2,2007-03-26,20.33,20.75,20.15,20.67,15.034,859900
3,2007-03-27,20.75,20.83,20.3,20.35,14.8013,470400
4,2007-03-28,20.3,20.3,19.7,19.9,14.474,324100
5,2007-03-29,19.9,20.13,19.5,19.7,14.3285,1799300
6,2007-03-30,19.8,19.95,19.64,19.7,14.3285,11144900
7,2007-04-02,19.7,19.7,18.82,19.51,14.1903,9470300
8,2007-04-03,19.48,19.5,18.49,19.07,13.8703,7892900
9,2007-04-04,19.02,19.16,18.8,18.91,13.7539,4738000
10,2007-04-05,18.75,19.81,18.7,19.38,14.0958,4602900
11,2007-04-09,19.57,19.57,18.9,19.06,13.863,3600900
12,2007-04-10,18.68,19.44,18.6,19.22,13.9794,3130800
13,2007-04-11,19.25,20.06,18.95,19.11,13.8994,3356100
14,2007-04-12,19.06,19.27,18.89,19.2,13.9648,2666300
15,2007-04-13,20.05,20.05,19.1,19.58,14.2412,2980900
16,2007-04-16,19.62,19.9,19.62,19.86,14.4449,1455800
17,2007-04-17,19.45,20.58,19.3,20.42,14.8522,1567200
18,2007-04-18,20.23,20.72,19.96,20.68,15.0413,1958200
19,2007-04-19,20.2,21.46,20.18,21.14,15.3759,1890100
20,2007-04-20,21.37,21.77,21.0,21.08,15.3322,2671300
21,2007-04-23,20.88,21.1,20.53,20.7,15.0558,1531800
22,2007-04-24,20.7,20.7,20.5,20.61,14.9904,1752700
23,2007-04-25,20.61,20.67,20.22,20.26,14.7358,1029512
24,2007-04-26,19.78,20.14,19.7,20.06,14.5903,1193200
25,2007-04-27,20.0,20.27,19.81,20.22,14.7067,734500
26,2007-04-30,20.2,20.2,19.96,20.04,14.5758,1581800
27,2007-05-01,19.96,20.11,19.86,20.04,14.5758,1468800
