Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-03,30.03,31.4999,30.03,31,28.0631,15515
2017-04-04,32,32.5,26.51,27.25,24.6684,3711465
2017-04-05,27.99,28.5,26,28,25.3473,3178535
2017-04-06,28.15,28.62,27.01,27.55,24.94,1614392
2017-04-07,27.45,27.8817,27.12,27.57,24.9581,418384
2017-04-10,28,28.47,27.26,27.98,25.3292,816334
2017-04-11,27.65,27.9,27.02,27.49,24.8856,593483
2017-04-12,27.43,27.61,25.48,25.75,23.3105,1003122
2017-04-13,25.78,25.89,23.28,23.82,21.5633,3701438
2017-04-17,23.95,23.99,22.61,23.42,21.2012,1934769
2017-04-18,23.41,24.65,23.41,24,21.7263,3042244
2017-04-19,24.5,25.15,24.43,24.94,22.5772,1081120
2017-04-20,25.06,25.29,24.72,25,22.6315,491404
2017-04-21,25.12,25.95,25.12,25.69,23.2562,524642
2017-04-24,26.7,26.95,26.0101,26.39,23.8899,261384
2017-04-25,26.99,27,25.46,26.1,23.6273,544768
2017-04-26,26.75,27,26,26.53,24.0166,851865
2017-04-27,26.73,26.75,26.03,26.21,23.7269,568140
2017-04-28,26.5,26.5,25.19,25.41,23.0027,415130
2017-05-01,25.74,26.01,25.31,25.75,23.3105,461813
2017-05-02,25.9,26.5,25.75,26.03,23.564,915658
2017-05-03,26.05,26.83,24.801,25.07,22.6949,2050932
2017-05-04,25.04,25.1,23.78,23.79,21.5362,4993357
2017-05-05,24.16,24.36,23.63,23.96,21.6901,1169106
2017-05-08,24,24.705,23.88,24.2,21.9073,1351213
2017-05-09,24.23,25.08,24.11,24.96,22.5953,708792
2017-05-10,24.96,25.63,24.69,25.26,22.8669,990851
2017-05-11,25.14,25.34,24.53,24.74,22.3962,560257
2017-05-12,24.62,25.09,24.45,25.01,22.6406,536028
2017-05-15,24.97,25.25,24.64,24.76,22.4143,450491
2017-05-16,24.64,24.89,23.83,24.13,21.844,1434327
2017-05-17,23.97,24.47,22.97,23.4,21.1831,931699
2017-05-18,23.33,24.19,22.87,23.46,21.2374,582348
2017-05-19,23.21,24.0643,23.1,23.3,21.0926,736662
2017-05-22,23.35,23.75,23.07,23.29,21.0835,1002239
2017-05-23,23.35,23.86,23.08,23.57,21.337,720811
2017-05-24,23.51,24.48,23.33,24,21.7263,511173
2017-05-25,24.28,24.6,23.57,23.97,21.6991,715878
2017-05-26,23.93,24.76,23.741,24.76,22.4143,551188
2017-05-30,24.84,24.93,24.46,24.84,22.4867,609950
2017-05-31,24.79,24.79,23.91,24.29,21.9888,463884
2017-06-01,24.3,24.45,23.52,24.13,21.844,570303
2017-06-02,24.16,24.16,22.8,23.4,21.1831,1578712
2017-06-05,23.51,24.2,23.271,24,21.7263,1154894
2017-06-06,24.02,24.775,23.96,24.25,21.9526,786783
2017-06-07,24.2,24.9,23.79,24.24,21.9435,1127033
2017-06-08,24.14,24.29,23.6,23.79,21.5362,796325
