,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2015-07-01,31.9,34.5,30.58,31.5,31.5,14882558
1,2015-07-02,31.59,32.4,30.88,31.03,31.03,11614740
2,2015-07-06,30.8,31.75,30.33,31.71,31.71,5942235
3,2015-07-07,31.7,32.02,31.25,31.94,31.94,6524038
4,2015-07-08,31.5,32.2,31.09,31.15,31.15,5131603
5,2015-07-09,31.31,31.55,30.01,30.06,30.06,6773330
6,2015-07-10,30.53,30.95,30.13,30.85,30.85,5027985
7,2015-07-13,30.68,31.08,30.12,30.23,30.23,5388606
8,2015-07-14,29.91,30.54,29.829,30.47,30.47,6237095
9,2015-07-15,30.25,31.05,30.15,30.97,30.97,6800247
10,2015-07-16,31.12,32.07,30.97,31.46,31.46,8446463
11,2015-07-17,31.46,32.99,31.2,32.69,32.69,5830040
12,2015-07-20,32.5,32.72,32.28,32.38,32.38,2204369
13,2015-07-21,32.28,32.52,31.84,32.21,32.21,2404233
14,2015-07-22,31.87,32.18,31.5,31.84,31.84,2855754
15,2015-07-23,32.15,32.25,30.74,31.29,31.29,4578608
16,2015-07-24,30.96,32.25,30.59,30.89,30.89,4566518
17,2015-07-27,30.8,31.11,30.1,30.6,30.6,5341117
18,2015-07-28,30.56,30.74,30.02,30.44,30.44,5111251
19,2015-07-29,30.81,32.38,30.6,30.92,30.92,8018099
20,2015-07-30,30.51,32.15,30.45,31.91,31.91,5621741
21,2015-07-31,32.16,33.0,31.91,32.83,32.83,6420942
22,2015-08-03,32.58,33.59,32.5,33.15,33.15,5183391
23,2015-08-04,36.86,39.75,36.14,37.1,37.1,41139403
24,2015-08-05,37.2,38.25,36.21,37.3,37.3,7167872
25,2015-08-06,37.38,38.44,37.36,37.39,37.39,5768734
26,2015-08-07,37.46,37.94,36.972,37.6,37.6,4558330
27,2015-08-10,37.96,40.24,37.87,39.79,39.79,7011370
28,2015-08-11,38.95,39.08,38.0,38.72,38.72,5567403
29,2015-08-12,38.13,38.56,37.9,38.11,38.11,4033828
30,2015-08-13,38.06,38.87,37.75,38.25,38.25,5792875
31,2015-08-14,38.25,39.52,38.112,39.44,39.44,4072398
32,2015-08-17,39.55,40.55,39.09,40.35,40.35,5576749
33,2015-08-18,40.06,40.9,39.795,39.92,39.92,4181681
34,2015-08-19,39.54,40.75,39.47,40.29,40.29,2645868
35,2015-08-20,40.12,40.41,39.65,39.67,39.67,4593731
36,2015-08-21,38.36,39.2,36.22,36.46,36.46,6894310
37,2015-08-24,30.92,35.91,29.83,34.34,34.34,7502058
38,2015-08-25,37.32,37.32,34.73,34.73,34.73,3019137
39,2015-08-26,35.53,36.0,34.75,35.45,35.45,3528313
40,2015-08-27,35.78,36.99,35.12,36.43,36.43,2802949
41,2015-08-28,36.31,37.96,34.5,35.25,35.25,4794772
42,2015-08-31,35.14,35.79,34.77,35.15,35.15,4492219
43,2015-09-01,34.42,35.33,34.0,34.68,34.68,2771940
44,2015-09-02,34.52,35.06,34.27,35.03,35.03,3139275
45,2015-09-03,35.73,37.16,35.44,36.14,36.14,3892445
46,2015-09-04,35.55,36.5,35.38,36.08,36.08,2018854
47,2015-09-08,36.55,36.57,34.96,35.22,35.22,3646125
48,2015-09-09,34.55,35.83,34.095,34.22,34.22,3395837
49,2015-09-10,34.31,36.2,34.17,35.01,35.01,3794892
50,2015-09-11,34.69,35.82,34.55,35.81,35.81,1874383
51,2015-09-14,36.57,37.75,36.37,37.35,37.35,3970016
52,2015-09-15,37.35,37.6,36.07,37.06,37.06,3052559
53,2015-09-16,37.12,37.63,36.65,37.07,37.07,1695420
54,2015-09-17,36.26,37.35,36.1,36.86,36.86,2267943
55,2015-09-18,36.55,37.89,36.1,36.9,36.9,6001068
56,2015-09-21,36.72,37.04,35.11,36.07,36.07,2544934
57,2015-09-22,35.33,36.0,34.9,35.2,35.2,2323239
58,2015-09-23,35.41,35.47,34.34,34.59,34.59,1721031
59,2015-09-24,34.55,34.678,33.74,34.11,34.11,3150047
60,2015-09-25,34.21,34.4,32.79,32.96,32.96,3186766
61,2015-09-28,32.37,33.27,31.11,31.16,31.16,4888901
62,2015-09-29,31.12,32.87,30.7,31.07,31.07,5301815
63,2015-09-30,31.84,32.0,30.8,31.51,31.51,4605728
64,2015-10-01,31.03,32.15,30.71,32.09,32.09,3758927
65,2015-10-02,30.84,32.49,30.77,32.44,32.44,3431592
66,2015-10-05,32.46,32.65,31.78,32.36,32.36,2311675
67,2015-10-06,30.92,32.35,30.51,31.26,31.26,4885301
68,2015-10-07,31.36,31.66,30.73,30.94,30.94,4104316
69,2015-10-08,30.51,31.37,30.5,31.09,31.09,4739905
70,2015-10-09,30.69,31.53,30.69,31.03,31.03,4712095
71,2015-10-12,31.04,31.75,31.02,31.19,31.19,2975511
72,2015-10-13,31.02,31.5,30.71,30.77,30.77,4024986
73,2015-10-14,30.75,31.3,30.66,31.03,31.03,2160500
74,2015-10-15,31.555,33.49,31.05,33.37,33.37,4941593
75,2015-10-16,32.75,33.75,32.44,32.96,32.96,1600278
76,2015-10-19,32.8,33.46,32.23,33.06,33.06,1949595
77,2015-10-20,32.7,33.14,31.9,32.09,32.09,2351617
78,2015-10-21,32.45,32.82,31.53,31.73,31.73,3031331
79,2015-10-22,31.81,32.0,30.96,31.36,31.36,2615647
