,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,8.3087,8.3087,8.3087,8.3087,0.3136,229212
1,1984-11-06,8.4564,8.4564,8.4564,8.4564,0.3192,18096
2,1984-11-07,8.3087,8.3087,8.3087,8.3087,0.3136,42223
3,1984-11-08,8.3087,8.3087,8.3087,8.3087,0.3136,82034
4,1984-11-09,8.4564,8.4564,8.4564,8.4564,0.3192,6032
5,1984-11-12,8.3087,8.3087,8.3087,8.3087,0.3136,21715
6,1984-11-13,8.3822,8.3822,8.3822,8.3822,0.3164,72383
7,1984-11-14,8.6043,8.6043,8.6043,8.6043,0.3248,108574
8,1984-11-15,8.3087,8.3087,8.3087,8.3087,0.3136,6032
9,1984-11-16,8.5305,8.5305,8.5305,8.5305,0.322,6032
10,1984-11-19,8.4564,8.4564,8.4564,8.4564,0.3192,66351
11,1984-11-20,8.4564,8.4564,8.4564,8.4564,0.3192,135115
12,1984-11-21,8.3087,8.3087,8.3087,8.3087,0.3136,173719
13,1984-11-23,8.3087,8.3087,8.3087,8.3087,0.3136,14477
14,1984-11-26,8.3087,8.3087,8.3087,8.3087,0.3136,67557
15,1984-11-27,8.1606,8.1606,8.1606,8.1606,0.308,84447
16,1984-11-28,8.1606,8.1606,8.1606,8.1606,0.308,30160
17,1984-11-29,8.1606,8.1606,8.1606,8.1606,0.308,41017
18,1984-11-30,7.7147,7.7147,7.7147,7.7147,0.2912,261785
19,1984-12-03,7.7147,7.7147,7.7147,7.7147,0.2912,120638
20,1984-12-04,7.8636,7.8636,7.8636,7.8636,0.2968,54287
21,1984-12-05,7.4181,7.4181,7.4181,7.4181,0.28,106162
22,1984-12-06,7.4181,7.4181,7.4181,7.4181,0.28,76002
23,1984-12-07,7.3434,7.3434,7.3434,7.3434,0.2772,42223
24,1984-12-10,7.3434,7.3434,7.3434,7.3434,0.2772,19302
25,1984-12-11,7.4181,7.4181,7.4181,7.4181,0.28,2413
26,1984-12-12,7.4181,7.4181,7.4181,7.4181,0.28,164068
27,1984-12-13,7.4181,7.4181,7.4181,7.4181,0.28,88066
