,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2004-06-10,19.0,19.01,18.1,18.35,6.1167,35097600
1,2004-06-14,18.25,18.38,18.16,18.2,6.0667,2313600
2,2004-06-15,18.21,18.75,18.21,18.75,6.25,2499600
3,2004-06-16,18.75,19.1,18.75,19.0,6.3333,2810100
4,2004-06-17,19.06,19.1,18.8,19.05,6.35,1390200
5,2004-06-18,19.05,19.19,19.0,19.03,6.3433,708300
6,2004-06-21,18.99,19.1,18.9,19.09,6.3633,508500
7,2004-06-22,18.99,19.09,18.9,19.06,6.3533,1125900
8,2004-06-23,18.85,18.89,18.47,18.89,6.2967,1033500
9,2004-06-24,18.8,19.05,18.75,19.0,6.3333,857700
10,2004-06-25,19.0,19.05,18.75,19.0,6.3333,809100
11,2004-06-28,18.75,19.07,18.65,19.0,6.3333,1184400
12,2004-06-29,19.0,19.1,19.0,19.1,6.3667,608700
13,2004-06-30,19.05,19.2,19.04,19.1,6.3667,552600
14,2004-07-01,19.05,19.15,19.0,19.1,6.3667,380100
15,2004-07-02,19.05,19.15,18.8,19.15,6.3833,246600
16,2004-07-06,19.06,19.1,19.0,19.09,6.3633,137100
17,2004-07-07,19.02,19.05,19.0,19.05,6.35,181200
18,2004-07-08,19.09,19.09,19.01,19.05,6.35,190500
19,2004-07-09,19.05,19.07,19.0,19.0,6.3333,226500
20,2004-07-12,19.0,19.05,18.91,18.91,6.3033,176700
21,2004-07-13,18.85,19.06,18.78,19.06,6.3533,578100
22,2004-07-14,19.02,19.12,18.97,19.1,6.3667,303600
23,2004-07-15,19.03,19.05,18.91,19.05,6.35,312900
24,2004-07-16,19.03,19.08,18.9,18.9,6.3,268800
25,2004-07-19,18.9,19.0,18.88,19.0,6.3333,212700
26,2004-07-20,18.98,19.04,18.87,19.0,6.3333,505200
27,2004-07-21,18.98,19.05,18.97,19.01,6.3367,165000
28,2004-07-22,19.0,19.22,18.97,19.22,6.4067,231000
29,2004-07-23,18.75,18.9,18.49,18.9,6.3,1555800
30,2004-07-26,18.65,18.78,18.64,18.78,6.26,420900
31,2004-07-27,18.77,18.84,18.77,18.78,6.26,113700
32,2004-07-28,18.76,18.91,18.7,18.86,6.2867,131100
33,2004-07-29,18.77,18.9,18.77,18.9,6.3,91800
34,2004-07-30,18.9,19.04,18.83,18.94,6.3133,1072200
35,2004-08-02,18.89,19.04,18.85,19.02,6.34,203100
36,2004-08-03,19.02,19.22,19.0,19.17,6.39,222900
