Date,Open,High,Low,Close,Adjusted_close,Volume
1990-06-18,27.25,27.375,27.25,27.25,27.1939,2000
1990-06-19,26.75,27,26.5,26.75,26.6949,8100
1990-06-20,26.125,26.5,26.125,26.125,26.0712,5600
1990-06-21,25.75,26,25.625,25.75,25.697,7700
1990-06-22,26,26,26,26,25.9464,2000
1990-06-25,25.5,25.75,25.5,25.5,25.4475,4100
1990-06-26,24.75,25.5,24.75,24.75,24.699,6600
1990-06-27,25,25,25,25,24.9485,10500
1990-06-28,25,25.25,24.75,25,24.9485,9300
1990-06-29,25.25,25.25,25,25.25,25.198,1600
1990-07-02,25.125,25.125,24.875,25.125,25.0732,2900
1990-07-03,24.75,25.25,24.75,24.75,24.699,17900
1990-07-05,24,24.5,24,24,23.9506,3000
1990-07-06,24,24,24,24,23.9506,4800
1990-07-09,23.5,23.75,23.5,23.5,23.4516,9000
1990-07-10,23.375,23.375,23,23.375,23.3269,26300
1990-07-11,22.25,23.125,22,22.25,22.2042,22100
1990-07-12,22,22.125,21.75,22,21.9547,5700
1990-07-13,21.5,22,21.25,21.5,21.4557,28000
1990-07-16,22,22,21.125,22,21.9547,36400
1990-07-17,22.25,22.25,22,22.25,22.2042,19400
1990-07-18,22,22.25,21.75,22,21.9547,42200
1990-07-19,22.25,22.25,22.125,22.25,22.2042,3000
1990-07-20,22.25,22.5,22,22.25,22.2042,5100
1990-07-23,22,22,21.75,22,21.9547,11700
1990-07-24,22.25,22.25,22.25,22.25,22.2042,700
1990-07-25,23,23,22.25,23,22.9526,13200
1990-07-26,21.875,22.75,21.75,21.875,21.8299,11700
1990-07-27,21.75,21.75,21.625,21.75,21.7052,600
1990-07-30,21.375,21.625,21.375,21.375,21.331,5300
1990-07-31,20.875,21.25,20.75,20.875,20.832,17100
1990-08-01,20.75,20.75,20.75,20.75,20.7073,16100
1990-08-02,20.25,20.5,20.25,20.25,20.2083,2300
1990-08-03,19.625,20,19,19.625,19.5846,12600
1990-08-06,18.5,19.25,18.5,18.5,18.4619,2000
1990-08-07,18.625,18.75,18.25,18.625,18.5866,12600
1990-08-08,18.125,18.5,18,18.125,18.0877,3000
1990-08-09,18.625,18.625,18,18.625,18.5866,2900
1990-08-10,18.375,18.75,18.125,18.375,18.3372,5200
1990-08-13,18.375,18.375,18.125,18.375,18.3372,6100
1990-08-14,18.375,18.5,18,18.375,18.3372,7200
1990-08-15,18.25,18.875,18,18.25,18.2124,74600
1990-08-16,18,18.125,17.75,18,17.9629,26500
1990-08-17,16.5,17.625,16.25,16.5,16.466,15500
1990-08-20,17.125,17.125,16.5,17.125,17.0897,11000
1990-08-21,17.25,17.25,17,17.25,17.2145,8800
1990-08-22,16.75,17.5,16.75,16.75,16.7155,2800
1990-08-23,15.125,16.5,15.125,15.125,15.0938,17800
1990-08-24,15,15,14.125,15,14.9691,35300
1990-08-27,15.75,15.75,15.25,15.75,15.7176,94300
1990-08-28,15.5,15.5,15.5,15.5,15.4681,3500
1990-08-29,16,16,15.75,16,15.967,13200
1990-08-30,15.875,15.875,15.875,15.875,15.8423,200
1990-08-31,16.25,16.25,16.125,16.25,16.2165,1000
1990-09-04,15.625,16,15.375,15.625,15.5928,55000
1990-09-05,15.625,15.625,15.375,15.625,15.5928,141200
1990-09-06,15.5,15.625,15.375,15.5,15.4681,21000
1990-09-07,15.875,16,15.5,15.875,15.8423,40100
1990-09-10,16.125,16.125,16.125,16.125,16.0918,19500
1990-09-11,17.5,17.5,16.25,17.5,17.464,28200
1990-09-12,18,18,17.5,18,17.9629,3600
1990-09-13,18.25,18.25,18,18.25,18.2124,5800
1990-09-14,18,18.125,17.875,18,17.9629,31200
1990-09-17,17.875,18,17.625,17.875,17.8382,11400
1990-09-18,17.875,17.875,17.625,17.875,17.8382,16900
1990-09-19,18.125,18.125,18,18.125,18.0877,1700
1990-09-20,18.5,18.5,18.25,18.5,18.4619,13300
1990-09-21,18.25,18.375,18,18.25,18.2124,25500
1990-09-24,17.75,18,17.75,17.75,17.7134,9000
1990-09-25,17,17.5,17,17,16.965,22400
1990-09-26,16.75,17,16.75,16.75,16.7155,23000
1990-09-27,16.625,16.625,16.625,16.625,16.5908,1000
1990-09-28,17.375,17.375,16.125,17.375,17.3392,42600
1990-10-01,18.25,18.25,17.75,18.25,18.2124,6800
1990-10-02,18.625,18.625,18,18.625,18.5866,7900
1990-10-03,18.75,18.75,18.375,18.75,18.7114,1700
1990-10-04,18.625,18.625,18.5,18.625,18.5866,3200
1990-10-05,18.625,18.625,18.125,18.625,18.5866,12700
1990-10-08,18.75,18.75,18.375,18.75,18.7114,2200
1990-10-09,18,19,17.875,18,17.9629,12100
1990-10-10,17.75,18,17.75,17.75,17.7134,22700
1990-10-11,17.25,17.75,17.25,17.25,17.2145,15300
1990-10-12,16.5,17.25,16.25,16.5,16.466,48200
1990-10-15,16.625,16.625,16.375,16.625,16.5908,8300
1990-10-17,16.5,16.5,16.375,16.5,16.466,2600
1990-10-18,17,17,16.75,17,16.965,25900
1990-10-19,16.875,16.875,16.875,16.875,16.8402,1300
1990-10-22,17,17,16.5,17,16.965,4000
1990-10-23,16.875,16.875,16.875,16.875,16.8402,700
1990-10-24,15.875,16.625,15.875,15.875,15.8423,5400
1990-10-25,15.75,15.75,15.75,15.75,15.7176,200
1990-10-26,15.75,15.75,15.625,15.75,15.7176,5300
1990-10-29,14.375,16,14.125,14.375,14.3454,30400
1990-10-30,14.625,14.625,14.375,14.625,14.5949,11000
1990-10-31,14.75,14.75,14.5,14.75,14.7196,3900
1990-11-01,14.375,14.875,14.375,14.375,14.3454,16000
1990-11-02,15.375,15.375,14.625,15.375,15.3433,9100
1990-11-05,15.5,15.625,15.25,15.5,15.4681,4900
1990-11-06,15.75,15.75,15.625,15.75,15.7176,7700
1990-11-07,15.625,15.75,15.5,15.625,15.5928,1300
1990-11-08,15.25,15.375,15.25,15.25,15.2186,14500
1990-11-09,15.875,16,15.25,15.875,15.8423,22500
1990-11-12,17.75,17.75,16.125,17.75,17.7134,132600
1990-11-13,17.375,17.5,17.25,17.375,17.3392,12600
1990-11-14,17.5,17.5,17.375,17.5,17.464,34000
1990-11-15,17.375,17.5,17.375,17.375,17.3392,13500
1990-11-16,17.5,17.5,17.25,17.5,17.464,7100
1990-11-19,17.375,17.375,17.375,17.375,17.3392,1500
1990-11-20,17.25,17.25,17.25,17.25,17.2145,1200
1990-11-21,17.125,17.5,17.125,17.125,17.0897,15500
1990-11-26,16.75,17,16.75,16.75,16.7155,4500
1990-11-27,17.125,17.25,16.875,17.125,17.0897,49800
1990-11-28,19.5,19.5,17.25,19.5,19.4598,61100
1990-11-29,22.125,23,19.75,22.125,22.0794,65100
1990-11-30,21.625,22,21.5,21.625,21.5805,55000
1990-12-03,21.25,21.375,21.25,21.25,21.2062,1000
1990-12-04,21.25,21.5,21.125,21.25,21.2062,10100
1990-12-05,21.5,21.5,21.25,21.5,21.4557,57700
1990-12-06,21.25,21.375,21.25,21.25,21.2062,4000
1990-12-07,21.5,21.75,21.125,21.5,21.4557,11200
1990-12-10,21.375,21.5,21.375,21.375,21.331,3500
1990-12-11,22.75,22.75,21.625,22.75,22.7031,36600
1990-12-12,23.75,23.75,23,23.75,23.7011,27800
1990-12-13,23.5,23.75,23.5,23.5,23.4516,4500
1990-12-14,23,23.375,23,23,22.9526,11800
1990-12-17,22.875,23,22.75,22.875,22.8279,2000
1990-12-18,23.75,23.75,23.125,23.75,23.7011,16600
1990-12-19,24.25,24.25,23.5,24.25,24.2001,35700
1990-12-20,24.5,24.5,23.875,24.5,24.4495,39400
1990-12-21,25,25,24.375,25,24.9485,17600
1990-12-24,24.625,24.75,24.625,24.625,24.5743,3400
1990-12-26,24.5,24.5,24.5,24.5,24.4495,5100
1990-12-27,24.5,24.75,24.5,24.5,24.4495,17400
1990-12-28,24.375,24.375,24.25,24.375,24.3248,7700
1990-12-31,24.625,24.625,22.75,24.625,24.5743,89700
1991-01-02,24,24.25,23.875,24,23.9506,30100
1991-01-03,24,24,23.75,24,23.9506,6800
1991-01-04,23.75,23.875,23.5,23.75,23.7011,28100
1991-01-07,23.5,23.625,23.5,23.5,23.4516,4400
1991-01-08,23.75,23.75,23.5,23.75,23.7011,53200
1991-01-09,24.125,24.25,23.875,24.125,24.0753,49400
1991-01-10,24,24.125,24,24,23.9506,26200
1991-01-11,24,24,24,24,23.9506,32600
1991-01-14,23.875,23.875,23.625,23.875,23.8258,4800
1991-01-15,23.625,23.875,23.625,23.625,23.5763,7300
1991-01-16,23.625,23.625,23.625,23.625,23.5763,10500
1991-01-17,24,24.125,24,24,23.9506,44500
1991-01-18,24,24,24,24,23.9506,32700
1991-01-21,23.875,24,23.875,23.875,23.8258,2000
1991-01-22,23.5,23.75,23.5,23.5,23.4516,30300
1991-01-23,23.25,23.5,23.25,23.25,23.2021,20500
1991-01-24,23.375,23.5,23.375,23.375,23.3269,25500
1991-01-25,23.25,23.5,23.25,23.25,23.2021,1700
1991-01-28,23.25,23.5,23.25,23.25,23.2021,2300
1991-01-29,23.5,23.5,23.375,23.5,23.4516,3400
1991-01-30,23.625,23.625,23.375,23.625,23.5763,1400
1991-01-31,23.75,23.75,23.5,23.75,23.7011,10100
1991-02-01,23.375,23.625,23.375,23.375,23.3269,12900
1991-02-04,23.375,23.625,23.375,23.375,23.3269,51300
1991-02-05,23.625,23.625,23.625,23.625,23.5763,7200
1991-02-06,23.75,23.75,23.25,23.75,23.7011,3400
1991-02-07,23.5,23.875,23.5,23.5,23.4516,39900
1991-02-08,23.625,23.625,23.375,23.625,23.5763,18900
1991-02-11,24,24,23.625,24,23.9506,17200
1991-02-12,23.5,23.625,23.125,23.5,23.4516,34600
1991-02-13,23.75,24,23.75,23.75,23.7011,6000
1991-02-14,23.625,23.75,23.625,23.625,23.5763,300
1991-02-15,23.875,23.875,23.875,23.875,23.8258,100
1991-02-19,23.625,23.75,23.625,23.625,23.5763,14300
1991-02-20,23.5,23.5,23.375,23.5,23.4516,1900
1991-02-21,23.625,23.625,23.5,23.625,23.5763,6300
1991-02-22,23.625,23.625,23.375,23.625,23.5763,2200
