,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1987-07-24,15.75,15.75,15.5,15.75,1.9464,15566400
1,1987-07-27,15.625,15.75,15.5,15.625,1.931,1931200
2,1987-07-28,15.5,15.625,15.5,15.5,1.9153,2074800
3,1987-07-29,15.5,15.625,15.5,15.5,1.9153,4930800
4,1987-07-30,15.25,15.625,15.25,15.25,1.8846,4654400
5,1987-07-31,14.5,15.125,14.25,14.5,1.7918,3006800
6,1987-08-03,15.375,15.375,14.0,15.375,1.8998,1277600
7,1987-08-04,15.125,15.625,15.0,15.125,1.8693,698400
8,1987-08-05,15.125,15.25,15.0,15.125,1.8693,262000
9,1987-08-06,15.0,15.125,14.875,15.0,1.8542,480400
10,1987-08-07,15.375,15.375,15.0,15.375,1.8998,582400
11,1987-08-10,15.625,15.875,15.25,15.625,1.931,1524800
12,1987-08-11,15.75,15.75,15.5,15.75,1.9464,2395200
13,1987-08-12,15.75,15.75,15.625,15.75,1.9464,1514400
14,1987-08-13,15.5,15.75,15.375,15.5,1.9153,516000
15,1987-08-14,15.5,15.75,15.375,15.5,1.9153,324000
16,1987-08-17,15.5,15.5,15.375,15.5,1.9153,183600
17,1987-08-18,14.875,15.5,14.875,14.875,1.8384,554400
18,1987-08-19,15.0,15.0,14.625,15.0,1.8542,304400
19,1987-08-20,15.0,15.25,15.0,15.0,1.8542,516000
20,1987-08-21,15.25,15.375,14.875,15.25,1.8846,620400
21,1987-08-24,15.75,15.75,15.375,15.75,1.9464,1596800
22,1987-08-25,16.5,16.625,15.75,16.5,2.0389,1371600
23,1987-08-26,17.25,17.5,16.75,17.25,2.1318,1897200
24,1987-08-27,16.875,17.25,16.75,16.875,2.0854,604800
25,1987-08-28,17.0,17.0,16.75,17.0,2.101,171200
26,1987-08-31,16.875,16.875,16.625,16.875,2.0854,192000
27,1987-09-01,16.75,17.125,16.75,16.75,2.0707,1219600
28,1987-09-02,16.0,16.875,15.875,16.0,1.9775,1449600
29,1987-09-03,16.0,16.375,15.75,16.0,1.9775,252400
30,1987-09-04,15.875,16.0,15.625,15.875,1.9622,225600
31,1987-09-08,15.5,15.875,15.125,15.5,1.9153,536000
32,1987-09-09,15.375,15.5,15.25,15.375,1.8998,376800
33,1987-09-10,15.375,15.5,15.125,15.375,1.8998,803600
