Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,12.063,12.188,11.375,11.375,11.375,530747
1998-01-02,11.375,11.438,11,11.25,11.25,133064
1998-01-05,11.25,11.625,11.125,11.5,11.5,341006
1998-01-06,11.625,11.875,11.375,11.75,11.75,187100
1998-01-07,11.75,11.938,11.5,11.875,11.875,167739
1998-01-08,11.938,11.938,11.75,11.875,11.875,182153
1998-01-09,11.938,11.938,10.813,11.125,11.125,487892
1998-01-12,10.75,11.188,10.625,11,11,270672
1998-01-13,11.063,11.25,10.875,11.188,11.188,179690
1998-01-14,11.188,11.25,10.625,10.813,10.813,315711
1998-01-15,10.813,11.125,10.75,11,11,769034
1998-01-16,11.063,11.125,10.313,10.625,10.625,557361
1998-01-20,10.5,10.875,10.5,10.875,10.875,195857
1998-01-21,10.75,10.875,10.5,10.75,10.75,190101
1998-01-22,10.75,10.875,10.375,10.5,10.5,195157
1998-01-23,10.5,10.625,10.375,10.5,10.5,82704
1998-01-26,10.563,10.625,10.25,10.25,10.25,136686
1998-01-27,10.25,10.25,10,10.125,10.125,162842
1998-01-28,10.125,10.313,9.938,10.125,10.125,163010
1998-01-29,10.125,10.125,9.5,10,10,245773
1998-01-30,10,10,9.625,9.813,9.813,244319
1998-02-02,9.938,10.125,9.75,9.938,9.938,417233
1998-02-03,10,10.125,9.875,9.938,9.938,344660
1998-02-04,9.875,10.063,9.875,10,10,299540
1998-02-05,10.125,10.188,10,10,10,275155
1998-02-06,10,10.563,10,10.375,10.375,385798
1998-02-09,10.563,11.125,10.375,11.063,11.063,1124580
1998-02-10,11.125,11.125,10.75,10.813,10.813,542091
1998-02-11,10.875,11.563,10.688,11.563,11.563,801287
1998-02-12,11.5,11.563,11.063,11.25,11.25,381578
1998-02-13,11.188,11.625,11.063,11.5,11.5,466636
1998-02-17,11.5,11.688,11,11.125,11.125,389544
1998-02-18,11.063,11.188,11,11.188,11.188,126108
1998-02-19,11.188,11.188,10.875,10.938,10.938,146696
1998-02-20,11,11.063,10.375,10.5,10.5,229797
1998-02-23,11.375,11.563,11.25,11.438,11.438,807227
1998-02-24,11.625,11.625,11.125,11.625,11.625,538713
1998-02-25,11.688,11.75,11.375,11.5,11.5,244794
1998-02-26,11.563,12.25,11.438,12.125,12.125,761981
1998-02-27,12.25,12.375,12,12,12,394428
1998-03-02,12.313,12.438,11.75,11.75,11.75,378238
1998-03-03,11.625,12.188,11.563,11.875,11.875,349554
1998-03-04,11.813,12.125,11.75,11.875,11.875,301802
1998-03-05,11.625,11.875,11.625,11.688,11.688,129401
1998-03-06,11.688,12,11.688,11.813,11.813,128375
1998-03-09,12,12.375,11.875,12.125,12.125,464427
1998-03-10,12.313,13,12.188,12.938,12.938,920105
1998-03-11,13.5,13.563,13,13.313,13.313,658674
1998-03-12,13.375,14.188,13.25,14.063,14.063,876875
1998-03-13,14.25,14.5,14.063,14.188,14.188,851095
1998-03-16,14.25,14.375,13.5,14.063,14.063,575728
1998-03-17,14,14,13.438,13.625,13.625,367356
1998-03-18,13.375,14.125,13.375,14.063,14.063,433570
1998-03-19,14.125,14.75,13.938,14.625,14.625,873452
1998-03-20,14.625,15,14.188,14.188,14.188,552538
1998-03-23,14.188,14.375,14,14.313,14.313,438286
1998-03-24,14.375,14.438,13.5,13.563,13.563,452989
1998-03-25,13.688,14.125,13.625,13.75,13.75,320384
1998-03-26,13.813,13.938,13.375,13.5,13.5,470699
1998-03-27,13.75,14,13.438,13.5,13.5,426534
1998-03-30,13.75,13.938,13.625,13.75,13.75,310302
1998-03-31,13.875,14.375,13.75,14,14,472770
1998-04-01,14.063,14.188,13.938,14.063,14.063,497278
1998-04-02,14.125,14.938,14.063,14.875,14.875,1375090
1998-04-03,14.875,15.5,14.563,15.375,15.375,1309760
1998-04-06,14,14.5,11.563,12.188,12.188,3180010
1998-04-07,12.188,12.438,12,12.438,12.438,800577
1998-04-08,12.5,12.75,12.313,12.375,12.375,408748
1998-04-09,12.375,12.5,11.75,12,12,657396
1998-04-13,11.938,12,11.125,11.375,11.375,688245
1998-04-14,11.25,11.688,11,11.375,11.375,325281
1998-04-15,11.313,11.625,11,11.375,11.375,595443
1998-04-16,11.25,12.313,11.188,11.875,11.875,608869
1998-04-17,11.875,12.063,11.563,11.813,11.813,240345
1998-04-20,11.813,12.5,11.563,11.938,11.938,757837
1998-04-21,12.125,12.125,11.75,12,12,322877
1998-04-22,12.125,12.125,11.875,12.063,12.063,330945
1998-04-23,12.125,12.188,12,12.063,12.063,286698
