,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,12.0,12.0,12.0,12.0,0.293,530400
1,1984-11-06,12.2496,12.2496,12.2496,12.2496,0.2991,184800
2,1984-11-07,12.3756,12.3756,12.3756,12.3756,0.3022,336000
3,1984-11-08,12.3756,12.3756,12.3756,12.3756,0.3022,139200
4,1984-11-09,12.3756,12.3756,12.3756,12.3756,0.3022,211200
5,1984-11-12,12.438,12.438,12.438,12.438,0.3037,62400
6,1984-11-13,12.438,12.438,12.438,12.438,0.3037,24000
7,1984-11-14,13.1256,13.1256,13.1256,13.1256,0.3205,192000
8,1984-11-15,13.6248,13.6248,13.6248,13.6248,0.3327,588000
9,1984-11-16,13.1256,13.1256,13.1256,13.1256,0.3205,1005600
10,1984-11-19,12.9996,12.9996,12.9996,12.9996,0.3174,93600
11,1984-11-20,13.1256,13.1256,13.1256,13.1256,0.3205,170400
12,1984-11-21,13.2504,13.2504,12.9996,13.2504,0.3235,712800
13,1984-11-23,13.1256,13.1256,13.1256,13.1256,0.3205,391200
14,1984-11-26,13.3752,13.3752,13.1256,13.3752,0.3266,103200
15,1984-11-27,13.3752,13.3752,13.1256,13.3752,0.3266,40800
16,1984-11-28,13.3752,13.3752,13.3752,13.3752,0.3266,110400
17,1984-11-29,13.1256,13.1256,13.1256,13.1256,0.3205,31200
18,1984-11-30,13.3752,13.3752,13.1256,13.3752,0.3266,228000
19,1984-12-03,13.3752,13.3752,13.1256,13.3752,0.3266,2419200
20,1984-12-04,13.7496,14.0004,12.9996,13.7496,0.3358,6804000
21,1984-12-05,14.0004,14.25,13.7496,14.0004,0.3419,571200
22,1984-12-06,13.7496,14.0004,13.7496,13.7496,0.3358,228000
23,1984-12-07,13.7496,14.0004,13.7496,13.7496,0.3358,372000
24,1984-12-10,13.8756,13.8756,13.6248,13.8756,0.3388,175200
25,1984-12-11,14.0004,14.0004,13.7496,14.0004,0.3419,177600
26,1984-12-12,14.3748,14.3748,14.1252,14.3748,0.351,456000
27,1984-12-13,14.4996,14.4996,14.25,14.4996,0.3541,770400
28,1984-12-14,14.4996,14.7504,14.4996,14.4996,0.3541,177600
29,1984-12-17,14.6256,14.8752,14.6256,14.6256,0.3571,268800
30,1984-12-18,14.6256,14.8752,14.6256,14.6256,0.3571,319200
31,1984-12-19,14.6256,14.8752,14.6256,14.6256,0.3571,76800
32,1984-12-20,14.4996,14.7504,14.4996,14.4996,0.3541,84000
33,1984-12-21,14.0004,14.4996,14.0004,14.0004,0.3419,146400
34,1984-12-24,13.8756,13.8756,13.8756,13.8756,0.3388,76800
35,1984-12-26,13.8756,14.1252,13.8756,13.8756,0.3388,127200
36,1984-12-27,13.6248,13.8756,13.6248,13.6248,0.3327,110400
37,1984-12-28,14.0004,14.0004,14.0004,14.0004,0.3419,57600
38,1984-12-31,14.1252,14.1252,13.8756,14.1252,0.3449,772800
39,1985-01-02,14.0004,14.0004,13.7496,14.0004,0.3419,192000
40,1985-01-03,13.8756,13.8756,13.8756,13.8756,0.3388,156000
41,1985-01-04,13.6248,13.8756,13.6248,13.6248,0.3327,40800
42,1985-01-07,13.1256,13.8756,13.1256,13.1256,0.3205,271200
43,1985-01-08,13.2504,13.2504,12.9996,13.2504,0.3235,388800
44,1985-01-09,13.2504,13.2504,12.9996,13.2504,0.3235,52800
45,1985-01-10,13.1256,13.1256,12.8748,13.1256,0.3205,400800
46,1985-01-11,12.9996,13.2504,12.9996,12.9996,0.3174,1272000
47,1985-01-14,13.5,13.5,13.2504,13.5,0.3296,124800
48,1985-01-15,13.3752,13.3752,13.3752,13.3752,0.3266,117600
49,1985-01-16,13.2504,13.2504,12.9996,13.2504,0.3235,441600
50,1985-01-17,13.1256,13.1256,12.8748,13.1256,0.3205,297600
51,1985-01-18,12.8748,13.1256,12.8748,12.8748,0.3144,249600
52,1985-01-21,13.2504,13.2504,12.9996,13.2504,0.3235,1120800
53,1985-01-22,13.5,13.5,13.2504,13.5,0.3296,117600
54,1985-01-23,13.3752,13.6248,13.3752,13.3752,0.3266,636000
55,1985-01-24,13.6248,13.6248,13.3752,13.6248,0.3327,50400
56,1985-01-25,13.6248,13.6248,13.3752,13.6248,0.3327,148800
57,1985-01-28,14.0004,14.0004,13.5,14.0004,0.3419,1459200
58,1985-01-29,14.0004,14.0004,14.0004,14.0004,0.3419,518400
59,1985-01-30,13.8756,14.1252,13.8756,13.8756,0.3388,314400
60,1985-01-31,13.8756,14.1252,13.8756,13.8756,0.3388,48000
61,1985-02-01,14.1252,14.1252,13.8756,14.1252,0.3449,175200
62,1985-02-04,14.1252,14.1252,14.1252,14.1252,0.3449,136800
63,1985-02-05,14.0004,14.0004,14.0004,14.0004,0.3419,172800
64,1985-02-06,14.4996,14.4996,14.0004,14.4996,0.3541,828000
65,1985-02-07,14.4996,14.7504,14.25,14.4996,0.3541,297600
66,1985-02-08,14.4996,14.4996,14.4996,14.4996,0.3564,151200
67,1985-02-11,14.6256,14.6256,14.3748,14.6256,0.3595,672000
68,1985-02-12,14.7504,15.0,14.7504,14.7504,0.3626,520800
69,1985-02-13,15.0,15.0,14.7504,15.0,0.3687,129600
70,1985-02-14,14.8752,14.8752,14.8752,14.8752,0.3656,2450400
71,1985-02-15,15.1248,15.1248,14.8752,15.1248,0.3718,592800
72,1985-02-19,15.0,15.0,15.0,15.0,0.3687,163200
73,1985-02-20,14.8752,15.1248,14.8752,14.8752,0.3656,184800
74,1985-02-21,15.1248,15.1248,15.1248,15.1248,0.3718,9600
75,1985-02-22,15.0,15.2496,15.0,15.0,0.3687,364800
76,1985-02-25,15.0,15.2496,15.0,15.0,0.3687,986400
77,1985-02-26,15.1248,15.1248,14.8752,15.1248,0.3718,141600
78,1985-02-27,15.1248,15.1248,14.8752,15.1248,0.3718,124800
79,1985-02-28,14.7504,15.0,14.7504,14.7504,0.3626,199200
80,1985-03-01,15.0,15.0,14.7504,15.0,0.3687,292800
81,1985-03-04,15.1248,15.1248,14.8752,15.1248,0.3718,211200
82,1985-03-05,15.3756,15.3756,15.1248,15.3756,0.3779,876000
83,1985-03-06,15.1248,15.3756,15.1248,15.1248,0.3718,283200
84,1985-03-07,15.3756,15.3756,15.1248,15.3756,0.3779,372000
85,1985-03-08,15.3756,15.3756,15.1248,15.3756,0.3779,201600
86,1985-03-11,15.2496,15.2496,15.0,15.2496,0.3748,540000
87,1985-03-12,15.2496,15.2496,15.2496,15.2496,0.3748,103200
88,1985-03-13,15.1248,15.1248,15.1248,15.1248,0.3718,158400
89,1985-03-14,15.0,15.0,15.0,15.0,0.3687,230400
90,1985-03-15,14.8752,14.8752,14.8752,14.8752,0.3656,204000
91,1985-03-18,15.0,15.0,15.0,15.0,0.3687,172800
92,1985-03-19,15.1248,15.1248,14.8752,15.1248,0.3718,151200
93,1985-03-20,15.0,15.2496,15.0,15.0,0.3687,160800
94,1985-03-21,15.1248,15.1248,15.1248,15.1248,0.3718,105600
95,1985-03-22,15.0,15.0,15.0,15.0,0.3687,105600
96,1985-03-25,14.8752,14.8752,14.6256,14.8752,0.3656,223200
97,1985-03-26,14.7504,14.7504,14.7504,14.7504,0.3626,36000
