,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2021-02-10,43.0,50.0,43.0,44.99,39.7011,1836935
1,2021-02-11,45.47,45.47,42.75,42.8,37.7686,1652123
2,2021-02-12,43.01,43.5,41.55,42.51,37.5127,2088188
3,2021-02-16,44.2,45.54,43.01,43.55,38.4304,1369097
4,2021-02-17,44.03,44.6,43.5,44.26,39.057,1910404
5,2021-02-18,44.24,45.0,42.78,43.0,37.9451,1589465
6,2021-02-19,43.66,44.63,43.01,44.0,38.8275,1048177
7,2021-02-22,44.84,45.03,43.65,43.84,38.6863,1449387
8,2021-02-23,43.95,43.95,42.0,43.66,38.5275,888492
9,2021-02-24,43.24,45.08,42.64,45.0,39.71,3153182
10,2021-02-25,45.32,45.5,44.1,44.75,39.4894,2485012
11,2021-02-26,44.56,44.94,43.415,44.18,38.9864,466093
12,2021-03-01,44.45,45.28,44.08,44.67,39.4188,718886
13,2021-03-02,44.67,46.75,44.67,45.3,39.9747,756575
14,2021-03-03,45.51,47.64,45.22,47.25,41.6955,1214585
15,2021-03-04,47.66,48.7899,45.79,46.18,40.7513,679731
16,2021-03-05,47.0,47.08,44.02,45.03,39.7364,968151
17,2021-03-08,44.69,45.13,43.01,44.37,39.154,1125470
18,2021-03-09,43.69,44.94,43.6189,44.28,39.0746,183416
19,2021-03-10,44.26,44.87,43.77,44.75,39.4894,484270
20,2021-03-11,44.75,45.82,44.51,45.34,40.01,578892
21,2021-03-12,46.13,46.31,44.89,45.75,40.3718,684271
22,2021-03-15,45.92,46.25,45.1,45.75,40.3718,626783
23,2021-03-16,45.78,45.875,43.945,44.81,39.5423,717657
24,2021-03-17,44.87,45.6,44.2,45.28,39.9571,543104
25,2021-03-18,44.92,45.25,43.22,43.5,38.3863,886854
26,2021-03-19,43.3,43.76,42.8,43.31,38.2186,537112
27,2021-03-22,43.23,43.5,41.92,42.75,37.7245,539255
28,2021-03-23,42.28,42.72,41.04,41.7,36.7979,446999
29,2021-03-24,42.5,42.8,41.28,41.6,36.7097,688655
30,2021-03-25,41.15,42.33,40.0,42.16,37.2038,675175
31,2021-03-26,42.27,43.34,42.14,43.33,38.2363,325005
32,2021-03-29,43.4,43.51,42.34,42.52,37.5215,203972
33,2021-03-30,42.27,43.4,41.29,43.14,38.0686,480190
34,2021-03-31,43.03,44.5184,42.19,43.39,38.2892,446663
35,2021-04-01,43.09,45.795,42.825,44.93,39.6482,619045
36,2021-04-05,44.82,45.155,43.5,44.66,39.4099,579958
37,2021-04-06,45.01,45.95,44.05,45.21,39.8953,725523
38,2021-04-07,45.11,46.0,44.4,45.1,39.7982,943036
39,2021-04-08,44.99,45.82,44.77,45.33,40.0012,732111
40,2021-04-09,45.2,45.91,44.48,45.54,40.1865,686046
41,2021-04-12,45.67,45.92,45.25,45.45,40.1071,640398
42,2021-04-13,45.35,45.82,45.32,45.51,40.16,311963
43,2021-04-14,45.67,46.31,45.25,46.19,40.7601,821112
44,2021-04-15,46.16,46.58,45.35,46.19,40.7601,465722
45,2021-04-16,46.7,46.89,45.325,45.65,40.2836,390776
46,2021-04-19,45.71,46.625,45.41,45.97,40.5659,386421
47,2021-04-20,45.97,46.31,44.31,45.71,40.3365,595828
48,2021-04-21,45.54,46.59,44.7813,46.24,40.8042,592970
49,2021-04-22,46.27,46.9,45.85,46.08,40.663,1098633
50,2021-04-23,46.05,47.22,45.42,46.46,40.9983,471686
51,2021-04-26,46.34,47.46,46.27,46.88,41.369,380075
52,2021-04-27,46.65,47.5,46.38,46.87,41.3601,721710
53,2021-04-28,47.15,47.32,45.94,46.18,40.7513,599708
54,2021-04-29,46.42,48.5,45.79,46.95,41.4307,1033785
55,2021-04-30,46.51,47.48,45.32,45.57,40.213,766130
56,2021-05-03,45.97,46.62,45.41,46.36,40.9101,870278
57,2021-05-04,46.5,46.5,45.6,46.0,40.5924,772172
