,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2002-12-06,39.0,43.2,38.9,42.9,4.8713,27551000
1,2002-12-09,42.7,42.8,41.14,42.02,4.7714,3149500
2,2002-12-10,42.05,43.3,41.65,42.75,4.8543,1723000
3,2002-12-11,42.7,45.5,42.3,45.06,5.1166,2549000
4,2002-12-12,45.06,45.06,43.6,43.91,4.986,1355500
5,2002-12-13,43.91,43.97,43.25,43.65,4.9565,987500
6,2002-12-16,43.5,43.75,42.95,43.1,4.894,798000
7,2002-12-17,43.0,44.0,42.8,43.27,4.9133,1646000
8,2002-12-18,43.2,43.2,42.55,42.67,4.8452,742000
9,2002-12-19,42.55,42.7,42.17,42.3,4.8032,684000
10,2002-12-20,42.4,44.6,42.0,44.45,5.0473,904500
11,2002-12-23,44.35,44.55,43.35,43.4,4.9281,638500
12,2002-12-24,43.6,43.6,42.96,43.05,4.8883,218000
13,2002-12-26,43.1,43.15,42.55,42.6,4.8372,325000
14,2002-12-27,42.5,42.5,41.75,42.0,4.7691,830500
15,2002-12-30,42.3,42.85,42.1,42.32,4.8054,1076500
16,2002-12-31,42.27,43.8,42.27,43.66,4.9576,1778000
17,2003-01-02,43.66,43.95,43.45,43.72,4.9644,315000
18,2003-01-03,43.72,45.8,43.52,45.8,5.2006,861500
19,2003-01-06,45.03,48.35,45.03,48.1,5.4618,1874500
20,2003-01-07,48.0,48.6,47.25,48.02,5.4527,1383000
21,2003-01-08,48.03,48.27,47.67,48.01,5.4515,411000
22,2003-01-09,48.1,49.2,47.66,49.05,5.5696,649000
23,2003-01-10,48.85,49.35,48.71,48.99,5.5628,844000
24,2003-01-13,49.0,49.68,48.87,49.62,5.6344,810000
25,2003-01-14,49.62,50.0,49.07,49.1,5.5753,554000
26,2003-01-15,48.4,48.4,46.76,47.05,5.3425,1459000
27,2003-01-16,47.0,47.0,45.27,45.38,5.1529,725000
28,2003-01-17,45.25,45.52,44.8,45.02,5.112,590500
29,2003-01-21,45.05,45.2,44.26,44.45,5.0473,468000
30,2003-01-22,44.3,44.4,44.1,44.15,5.0132,163500
31,2003-01-23,44.2,45.75,44.13,45.43,5.1586,476000
32,2003-01-24,45.35,47.1,45.0,46.99,5.3357,685000
33,2003-01-27,46.79,46.9,46.2,46.25,5.2517,209000
34,2003-01-28,46.3,46.58,46.0,46.01,5.2244,364500
35,2003-01-29,45.9,47.0,45.76,46.5,5.2801,401500
36,2003-01-30,46.5,46.59,43.8,44.2,5.0189,735000
37,2003-01-31,44.0,44.05,42.01,42.5,4.8259,2886000
38,2003-02-03,42.45,42.9,42.16,42.35,4.8089,780000
39,2003-02-04,42.2,42.2,41.55,42.0,4.7691,740000
40,2003-02-05,41.95,42.0,41.35,41.74,4.7396,1159000
41,2003-02-06,41.7,42.02,41.45,41.5,4.7123,1077500
42,2003-02-07,41.6,42.15,41.55,42.11,4.7816,744500
43,2003-02-10,42.11,43.4,42.05,43.0,4.8827,278500
