,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1962-01-02,38.3751,38.6667,38.3751,38.3751,0.3986,13879
1,1962-01-03,38.0,38.3751,38.0,38.0,0.3947,25623
2,1962-01-04,38.0,38.1665,38.0,38.0,0.3947,16014
3,1962-01-05,37.0833,38.0,37.0833,37.0833,0.3851,26690
4,1962-01-08,36.6667,36.6667,36.5001,36.6667,0.3808,21352
5,1962-01-09,36.6667,37.0,36.6667,36.6667,0.3808,16014
6,1962-01-10,36.6667,37.0,36.6667,36.6667,0.3808,18149
7,1962-01-11,36.5001,36.9167,36.3336,36.5001,0.3791,17082
8,1962-01-12,36.8335,36.8335,36.6667,36.8335,0.3826,4270
9,1962-01-15,36.8335,37.5001,36.8335,36.8335,0.3826,10676
10,1962-01-16,36.8335,36.8335,36.5834,36.8335,0.3826,7473
11,1962-01-17,36.7499,37.0833,36.7499,36.7499,0.3817,8541
12,1962-01-18,36.5001,36.8335,36.5001,36.5001,0.3791,7473
13,1962-01-19,36.5834,36.5834,36.4168,36.5834,0.38,13879
14,1962-01-22,36.0833,36.8335,36.0833,36.0833,0.3748,14947
15,1962-01-23,36.6667,36.6667,35.8335,36.6667,0.3808,38434
16,1962-01-24,36.1665,36.5834,36.1665,36.1665,0.3756,17082
17,1962-01-25,37.0,37.3336,36.5834,37.0,0.3843,67260
18,1962-01-26,37.1665,37.5001,37.1665,37.1665,0.386,19217
19,1962-01-29,37.0833,37.3336,36.6667,37.0833,0.3851,50178
20,1962-01-30,37.3336,37.6667,37.0833,37.3336,0.3877,18149
21,1962-01-31,37.7499,37.9167,37.3336,37.7499,0.3921,14947
22,1962-02-01,38.2503,38.2503,37.9167,38.2503,0.3973,13879
23,1962-02-02,38.0833,38.2503,38.0833,38.0833,0.3955,11744
24,1962-02-05,38.2918,38.2918,38.1665,38.2918,0.3977,8541
25,1962-02-06,38.4168,38.8335,38.125,38.4168,0.399,36299
26,1962-02-07,38.5416,38.8335,38.5416,38.5416,0.4003,33096
27,1962-02-08,38.5416,38.5834,38.5001,38.5416,0.4003,5338
28,1962-02-09,38.9167,38.9167,38.6667,38.9167,0.4042,11744
29,1962-02-12,39.0,39.0,38.8752,39.0,0.4051,8541
30,1962-02-13,38.5834,39.1665,38.5834,38.5834,0.4007,128114
31,1962-02-14,38.2503,38.6249,38.2503,38.2503,0.3973,19217
32,1962-02-15,38.0833,38.3336,38.0,38.0833,0.3955,5338
33,1962-02-16,38.5001,38.5001,38.0,38.5001,0.3999,33096
34,1962-02-19,38.4168,38.8335,38.4168,38.4168,0.399,4270
35,1962-02-20,38.5834,38.6667,38.4168,38.5834,0.4007,8541
36,1962-02-21,38.4584,38.5834,38.4168,38.4584,0.3994,8541
37,1962-02-23,38.7502,38.7502,38.4168,38.7502,0.4025,33096
38,1962-02-26,38.3336,38.7502,38.3336,38.3336,0.3981,10676
39,1962-02-27,38.7502,38.8335,38.6667,38.7502,0.4025,7473
40,1962-02-28,38.8335,38.9167,38.6667,38.8335,0.4033,13879
41,1962-03-01,38.9167,39.125,38.9167,38.9167,0.4042,5338
42,1962-03-02,39.0,39.2503,38.8752,39.0,0.4051,16014
43,1962-03-05,39.1665,39.1665,38.8335,39.1665,0.4068,19217
44,1962-03-06,38.9167,39.1665,38.9167,38.9167,0.4042,7473
45,1962-03-07,39.0,39.0833,39.0,39.0,0.4051,5338
46,1962-03-08,39.8335,39.8335,39.0833,39.8335,0.4137,33096
47,1962-03-09,39.5001,39.9167,39.5001,39.5001,0.4102,8541
48,1962-03-12,39.6667,39.6667,39.5001,39.6667,0.412,12811
49,1962-03-13,39.3336,39.5834,39.3336,39.3336,0.4085,21352
50,1962-03-14,39.6667,39.7502,39.4168,39.6667,0.412,13879
51,1962-03-15,39.4168,39.6667,39.4168,39.4168,0.4094,13879
52,1962-03-16,39.5834,39.5834,39.1665,39.5834,0.4111,10676
53,1962-03-19,39.3336,39.5001,39.1665,39.3336,0.4085,10676
54,1962-03-20,39.0,39.1665,39.0,39.0,0.4051,3203
55,1962-03-21,39.2503,39.4168,39.2503,39.2503,0.4077,11744
56,1962-03-22,39.2503,39.3336,39.1665,39.2503,0.4077,7473
57,1962-03-23,39.1665,39.3336,39.1665,39.1665,0.4068,7473
58,1962-03-26,39.3336,39.3336,39.1665,39.3336,0.4085,4270
59,1962-03-27,39.5834,39.5834,39.4168,39.5834,0.4111,19217
60,1962-03-28,39.4168,39.4168,39.4168,39.4168,0.4094,5338
61,1962-03-29,39.3336,39.3336,39.3336,39.3336,0.4085,8541
62,1962-03-30,39.5834,39.5834,39.5834,39.5834,0.4111,19217
63,1962-04-02,39.1665,39.6667,39.1665,39.1665,0.4068,10676
64,1962-04-03,39.2503,39.5001,39.0833,39.2503,0.4077,23488
65,1962-04-04,39.2918,39.4168,39.2503,39.2918,0.4081,18149
66,1962-04-05,39.2503,39.4168,39.2503,39.2503,0.4077,12811
67,1962-04-06,39.2503,39.3336,39.2503,39.2503,0.4077,10676
68,1962-04-09,39.2083,39.2918,39.2083,39.2083,0.4072,13879
