,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-04-30,16.0144,16.0144,13.0117,14.2628,4.026,15631200
1,1999-05-03,14.4504,14.8884,14.3879,14.3879,4.0614,3101200
2,1999-05-04,14.6381,14.7632,13.8875,13.8875,3.9201,2386200
3,1999-05-05,13.95,14.4504,13.8248,14.0125,3.9554,1213000
4,1999-05-06,14.0125,14.0125,13.8875,13.95,3.9378,428400
5,1999-05-07,14.0125,14.2002,13.0117,13.1368,3.7082,603600
6,1999-05-10,13.0117,13.6373,13.0117,13.4496,3.7965,333200
7,1999-05-11,13.5746,13.6998,13.3244,13.5121,3.8141,353000
8,1999-05-12,13.5121,13.8875,13.3244,13.4496,3.7965,264000
9,1999-05-13,13.5121,13.7623,13.4496,13.4496,3.7965,402600
10,1999-05-14,13.2619,13.6373,13.1993,13.4496,3.7965,102800
11,1999-05-17,13.387,13.6373,13.2619,13.6373,3.8495,159600
12,1999-05-18,13.5746,13.6373,13.4496,13.4496,3.7965,204000
13,1999-05-19,13.5121,13.5746,13.2619,13.2619,3.7435,133800
14,1999-05-20,13.3244,13.4496,13.2619,13.3244,3.7612,277600
15,1999-05-21,13.3244,13.3244,13.1368,13.2619,3.7435,376400
16,1999-05-24,13.1993,13.2619,13.0742,13.1368,3.7082,121200
17,1999-05-25,13.1368,13.1368,12.6989,12.6989,3.5846,562400
18,1999-05-26,12.6989,12.6989,12.261,12.3235,3.4786,526000
19,1999-05-27,12.0108,12.261,11.7606,12.1985,3.4433,6086600
20,1999-05-28,12.1985,13.5121,12.1985,13.5121,3.8141,2530000
21,1999-06-01,13.2619,13.2619,12.5112,12.6364,3.5669,82600
22,1999-06-02,12.5112,12.7614,12.0108,12.7614,3.6023,155800
23,1999-06-03,12.6364,13.0117,12.6364,13.0117,3.6729,567200
24,1999-06-04,13.1368,13.4496,13.0742,13.387,3.7788,391800
25,1999-06-07,13.2619,13.6373,13.0742,13.0742,3.6905,336000
26,1999-06-08,13.0117,13.0117,12.5112,12.8866,3.6376,143000
27,1999-06-09,12.8866,13.0117,12.824,12.9491,3.6552,176200
28,1999-06-10,12.9491,13.0117,12.5112,12.7614,3.6023,139800
29,1999-06-11,12.7614,13.0117,12.7614,12.824,3.6199,83000
30,1999-06-14,12.9491,12.9491,12.3862,12.5112,3.5316,115000
31,1999-06-15,12.3862,12.6989,12.3862,12.5737,3.5493,77800
32,1999-06-16,12.5737,12.9491,12.5737,12.5737,3.5493,64400
33,1999-06-17,12.5112,12.6364,12.3862,12.4487,3.514,128600
34,1999-06-18,12.3862,12.6989,12.3862,12.5112,3.5316,109000
35,1999-06-21,12.4487,12.6364,12.1985,12.261,3.461,65800
36,1999-06-22,12.261,12.261,11.5103,12.0108,3.3904,176600
37,1999-06-23,11.8856,12.0108,11.7606,11.9482,3.3727,93800
38,1999-06-24,11.8856,12.0108,11.8231,11.8856,3.355,53600
39,1999-06-25,11.8231,11.8856,10.8847,11.5103,3.2491,168800
40,1999-06-28,11.7606,11.9482,11.7606,11.7606,3.3197,121000
41,1999-06-29,11.7606,12.261,11.2601,11.7606,3.3197,150200
42,1999-06-30,11.8231,12.5112,11.698,12.0108,3.3904,532600
43,1999-07-01,12.0108,12.4487,12.0108,12.3235,3.4786,91200
44,1999-07-02,12.3235,12.4487,12.0108,12.1358,3.4257,82400
45,1999-07-06,12.0108,12.5112,11.8231,11.8856,3.355,74400
46,1999-07-07,11.9482,12.261,11.7606,12.0108,3.3904,44200
47,1999-07-08,12.0108,12.0108,11.7606,11.8231,3.3374,79200
48,1999-07-09,11.8231,11.8856,11.3852,11.6354,3.2844,90600
49,1999-07-12,11.5729,11.698,11.135,11.3852,3.2138,70600
50,1999-07-13,11.2601,11.3226,10.7597,11.1976,3.1608,136800
51,1999-07-14,11.3226,11.7606,11.0724,11.1976,3.1608,198000
52,1999-07-15,11.3226,11.3226,10.6345,10.7597,3.0372,1020600
53,1999-07-16,10.6345,11.5729,10.6345,11.5103,3.2491,106400
54,1999-07-19,11.6354,12.1358,11.6354,12.1358,3.4257,81000
55,1999-07-20,12.1358,12.1985,11.7606,11.8231,3.3374,150000
56,1999-07-21,11.9482,12.0108,11.7606,11.8231,3.3374,137200
57,1999-07-22,11.7606,11.9482,11.0724,11.5103,3.2491,70200
58,1999-07-23,11.5103,11.7606,11.2601,11.6354,3.2844,77400
59,1999-07-26,11.5103,11.6354,11.5103,11.5729,3.2667,47600
60,1999-07-27,11.3852,11.3852,11.0099,11.135,3.1431,157600
61,1999-07-28,11.135,12.1358,11.135,12.0108,3.3904,272800
62,1999-07-29,12.0108,12.0108,11.0724,11.135,3.1431,184800
63,1999-07-30,11.0099,11.135,10.8847,11.135,3.1431,415400
64,1999-08-02,10.7597,11.135,10.7597,10.8847,3.1489,171400
65,1999-08-03,10.9474,10.9474,10.6345,10.8222,3.1308,81600
66,1999-08-04,10.8222,11.0099,10.7597,11.0099,3.1851,86800
67,1999-08-05,11.0099,11.135,10.9474,11.0724,3.2032,355800
68,1999-08-06,11.135,11.6354,11.135,11.3852,3.2936,178000
69,1999-08-09,11.5103,12.1358,11.5103,12.0108,3.4746,1294400
70,1999-08-10,12.1358,12.1358,11.8856,12.0733,3.4927,170800
71,1999-08-11,12.0733,12.3235,12.0733,12.3235,3.5651,826400
72,1999-08-12,12.3862,12.5112,12.261,12.261,3.547,187600
73,1999-08-13,12.261,12.3862,12.1985,12.3235,3.5651,610400
74,1999-08-16,12.7614,13.0117,12.5737,12.824,3.7099,297200
75,1999-08-17,12.824,12.824,12.4487,12.5737,3.6375,139800
76,1999-08-18,12.6364,12.7614,12.5112,12.5737,3.6375,130200
77,1999-08-19,12.5737,13.0117,12.5737,12.7614,3.6918,401000
78,1999-08-20,12.824,13.5121,12.824,13.387,3.8727,612600
79,1999-08-23,13.387,13.7623,12.9491,13.1368,3.8003,237600
80,1999-08-24,13.0117,13.2619,12.8866,13.0742,3.7823,142200
81,1999-08-25,13.1368,13.387,12.9491,13.0117,3.7642,227400
82,1999-08-26,13.0117,13.1368,12.8866,13.1368,3.8003,70400
83,1999-08-27,13.0117,13.0742,12.9491,13.0117,3.7642,74600
84,1999-08-30,13.0117,13.1993,12.9491,13.1993,3.8184,276600
85,1999-08-31,13.2619,13.4496,13.0742,13.4496,3.8908,115000
86,1999-09-01,13.2619,13.5121,13.2619,13.4496,3.8908,311200
87,1999-09-02,13.4496,13.5121,13.2619,13.3244,3.8546,43000
88,1999-09-03,13.4496,13.4496,13.0742,13.2619,3.8365,458000
89,1999-09-07,13.1368,13.1368,12.7614,12.9491,3.7461,157400
90,1999-09-08,13.0742,13.0742,12.8866,12.9491,3.7461,150400
91,1999-09-09,12.9491,12.9491,12.6989,12.7614,3.6918,121400
92,1999-09-10,12.824,13.2619,12.7614,13.0742,3.7823,48200
93,1999-09-13,13.0117,13.2619,12.9491,13.2619,3.8365,33000
94,1999-09-14,13.2619,13.4496,12.824,12.824,3.7099,60800
95,1999-09-15,12.9491,13.3244,12.9491,13.2619,3.8365,40400
96,1999-09-16,13.1368,13.5746,13.0117,13.4496,3.8908,91800
97,1999-09-17,13.3244,13.5121,13.1368,13.5121,3.9089,84200
98,1999-09-20,13.1368,13.387,13.0117,13.1993,3.8184,98600
99,1999-09-21,13.1368,13.5121,13.1368,13.1993,3.8184,85000
100,1999-09-22,13.1368,13.387,13.0117,13.2619,3.8365,146600
101,1999-09-23,13.2619,13.6373,13.2619,13.5121,3.9089,209400
102,1999-09-24,13.5121,13.6373,13.4496,13.5746,3.927,86400
103,1999-09-27,13.5121,13.8875,13.4496,13.6373,3.9451,166400
104,1999-09-28,13.6998,13.6998,13.3244,13.5121,3.9089,176800
105,1999-09-29,13.4496,14.1377,13.387,14.0125,4.0537,257000
106,1999-09-30,14.0125,14.5756,13.8248,14.3879,4.1623,466200
107,1999-10-01,14.3254,14.513,14.0752,14.2628,4.1261,91600
108,1999-10-04,14.2628,14.7007,14.2628,14.7007,4.2528,96800
109,1999-10-05,14.6381,14.7632,14.0125,14.1377,4.0899,136600
110,1999-10-06,14.2628,14.4504,14.2628,14.3879,4.1623,68400
111,1999-10-07,14.3254,14.3879,14.2628,14.3879,4.1623,89200
112,1999-10-08,14.3254,14.5756,14.1377,14.3254,4.1442,149200
113,1999-10-11,14.3254,14.5756,14.2628,14.2628,4.1261,130000
114,1999-10-12,14.3879,14.3879,13.6373,13.6373,3.9451,118000
115,1999-10-13,13.6373,13.8875,13.5121,13.5746,3.927,119600
116,1999-10-14,13.5746,13.6373,13.5121,13.5746,3.927,167400
117,1999-10-15,13.5746,13.5746,13.387,13.5121,3.9089,77800
118,1999-10-18,13.4496,13.5121,13.3244,13.4496,3.8908,104400
119,1999-10-19,13.3244,13.5121,13.3244,13.4496,3.8908,91400
120,1999-10-20,13.4496,13.4496,13.1993,13.3244,3.8546,102600
121,1999-10-21,13.2619,13.3244,13.1368,13.1368,3.8003,938800
122,1999-10-22,13.1368,13.1993,13.0117,13.1993,3.8184,59200
123,1999-10-25,13.0742,13.1368,12.824,12.9491,3.7461,65400
124,1999-10-26,12.9491,13.2619,11.8856,11.8856,3.4384,296600
125,1999-10-27,11.8856,13.1993,11.8856,13.0117,3.7642,273400
126,1999-10-28,13.1368,13.2619,11.5103,11.5103,3.3298,336400
127,1999-10-29,12.261,12.824,11.6354,11.6354,3.366,354200
128,1999-11-01,11.7606,12.824,11.5729,11.5729,3.3479,300200
129,1999-11-02,11.698,12.7614,11.6354,11.6354,3.366,252600
130,1999-11-03,11.7606,12.3862,11.698,11.8856,3.4384,300200
131,1999-11-04,11.8856,12.0733,11.5103,11.5103,3.4102,280000
132,1999-11-05,11.6354,11.8856,11.0099,11.0099,3.2619,282800
133,1999-11-08,11.0724,11.6354,11.0724,11.5729,3.4287,238400
134,1999-11-09,11.5103,11.7606,11.3852,11.5103,3.4102,338800
135,1999-11-10,11.4478,11.5729,10.6345,10.6345,3.1507,178600
136,1999-11-11,10.7597,11.3226,10.7597,11.0724,3.2804,132400
137,1999-11-12,11.1976,11.2601,10.8847,10.8847,3.2248,198800
138,1999-11-15,10.8222,11.9482,10.6345,11.2601,3.336,455600
139,1999-11-16,11.3852,11.7606,11.0099,11.135,3.299,372600
140,1999-11-17,11.0099,11.135,10.572,10.572,3.1322,376200
141,1999-11-18,10.697,10.9474,10.6345,10.697,3.1692,312600
142,1999-11-19,10.7597,10.7597,10.2592,10.3843,3.0766,305200
143,1999-11-22,10.3843,10.4468,10.3218,10.3218,3.058,410200
144,1999-11-23,10.3843,10.4468,9.8839,9.8839,2.9283,329600
145,1999-11-24,10.009,10.3843,10.009,10.1966,3.021,389200
146,1999-11-26,10.0715,10.8222,10.0715,10.572,3.1322,78600
147,1999-11-29,10.697,10.7597,9.7588,9.8213,2.9098,297000
148,1999-11-30,9.8839,10.5095,9.7588,10.009,2.9654,4369200
149,1999-12-01,10.009,10.6345,10.009,10.4468,3.0951,360400
150,1999-12-02,10.3843,11.1976,10.3843,11.0724,3.2804,355200
151,1999-12-03,11.0099,11.1976,10.6345,10.7597,3.1878,564400
152,1999-12-06,10.7597,10.7597,10.0715,10.1341,3.0024,217000
153,1999-12-07,10.0715,10.1341,9.6336,9.6336,2.8542,1022800
154,1999-12-08,9.6336,10.3843,9.6336,9.8839,2.9283,584400
155,1999-12-09,9.9464,10.2592,9.8839,10.0715,2.9839,157400
156,1999-12-10,10.1966,10.3843,10.009,10.1966,3.021,1233800
157,1999-12-13,10.0715,10.3843,10.0715,10.1966,3.021,88600
158,1999-12-14,10.009,10.1966,9.8213,10.1966,3.021,260200
159,1999-12-15,10.3218,10.572,10.1341,10.572,3.1322,169800
160,1999-12-16,10.5095,11.0099,10.3843,10.8847,3.2248,325400
161,1999-12-17,11.1976,12.824,10.6345,12.0108,3.5584,489800
162,1999-12-20,11.8856,11.8856,10.8847,11.0099,3.2619,245200
163,1999-12-21,10.8847,11.2601,10.7597,11.1976,3.3175,126000
164,1999-12-22,11.0724,11.4478,10.7597,11.135,3.299,92400
165,1999-12-23,11.0099,11.2601,10.8847,10.8847,3.2248,220800
166,1999-12-27,10.9474,10.9474,10.3843,10.3843,3.0766,184800
167,1999-12-28,10.2592,10.3843,10.0715,10.0715,2.9839,120200
168,1999-12-29,10.0715,10.1966,10.009,10.0715,2.9839,438400
169,1999-12-30,10.009,10.6345,9.9464,10.1966,3.021,175200
170,1999-12-31,10.0715,10.4468,10.009,10.009,2.9654,270800
171,2000-01-03,10.2592,10.572,10.0715,10.1966,3.021,290200
172,2000-01-04,10.0715,10.4468,9.9464,10.009,2.9654,390600
173,2000-01-05,10.009,10.2592,9.9464,10.1341,3.0024,359200
174,2000-01-06,10.2592,10.8222,10.2592,10.572,3.1322,96000
175,2000-01-07,10.572,11.0099,10.572,10.8847,3.2248,98600
176,2000-01-10,11.0099,11.0724,10.7597,10.9474,3.2434,66800
177,2000-01-11,10.9474,10.9474,10.6345,10.8222,3.2063,63600
178,2000-01-12,10.697,11.135,10.572,11.0099,3.2619,438800
179,2000-01-13,11.0099,11.7606,10.9474,11.5729,3.4287,138600
180,2000-01-14,11.5729,11.7606,11.3852,11.5103,3.4102,290600
181,2000-01-18,11.6354,11.9482,11.5103,11.698,3.4658,74800
182,2000-01-19,11.5729,11.7606,11.5103,11.5103,3.4102,45000
183,2000-01-20,11.6354,11.9482,11.6354,11.8231,3.5028,87200
