,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1994-11-16,16.0,16.125,16.0,16.0,3.863,8343900
1,1994-11-17,16.25,16.25,15.875,16.25,3.9233,4872000
2,1994-11-18,16.5,16.625,16.25,16.5,3.9837,1468800
3,1994-11-21,16.625,16.625,16.125,16.125,3.8932,348600
4,1994-11-22,16.0,16.125,15.375,15.375,3.7121,709800
5,1994-11-23,15.25,15.5,15.125,15.25,3.6819,906600
6,1994-11-25,15.25,15.5,15.25,15.5,3.7423,132600
7,1994-11-28,15.625,15.625,15.25,15.25,3.6819,280500
8,1994-11-29,15.25,15.375,15.25,15.375,3.7121,187500
9,1994-11-30,15.25,15.375,15.25,15.25,3.6819,130800
10,1994-12-01,15.375,15.375,14.75,14.75,3.5612,794400
11,1994-12-02,14.75,14.75,14.625,14.75,3.5612,54600
12,1994-12-05,14.75,14.75,14.625,14.75,3.5612,19800
13,1994-12-06,14.75,14.75,14.625,14.625,3.531,91200
14,1994-12-07,14.75,14.75,14.5,14.5,3.5008,77700
15,1994-12-08,14.5,14.625,14.375,14.375,3.4706,169200
16,1994-12-09,14.25,14.25,13.875,14.0,3.3801,272100
17,1994-12-12,14.25,14.625,14.125,14.25,3.4405,284400
18,1994-12-13,14.25,14.25,14.125,14.125,3.4103,146100
19,1994-12-14,14.25,14.5,14.25,14.375,3.4706,442200
20,1994-12-15,14.375,14.625,14.375,14.5,3.5008,274200
21,1994-12-16,14.625,15.375,14.625,15.375,3.7121,442500
22,1994-12-19,15.25,15.25,15.0,15.125,3.6517,47400
23,1994-12-20,15.125,15.375,15.125,15.125,3.6517,128400
24,1994-12-21,15.25,15.5,15.25,15.5,3.7423,96600
25,1994-12-22,15.5,15.625,15.25,15.625,3.7724,248400
26,1994-12-23,15.75,16.0,15.75,16.0,3.863,189600
27,1994-12-27,16.0,16.25,15.875,16.125,3.8932,113700
28,1994-12-28,16.0,16.125,16.0,16.125,3.8932,62100
29,1994-12-29,16.125,16.125,16.0,16.0,3.863,190800
30,1994-12-30,16.0,16.0,16.0,16.0,3.863,15900
31,1995-01-03,16.125,16.125,15.75,16.0,3.863,93300
32,1995-01-04,16.0,16.125,15.875,16.125,3.8932,45300
33,1995-01-05,16.125,16.25,15.875,16.125,3.8932,54300
34,1995-01-06,15.875,15.875,15.625,15.75,3.8026,294000
35,1995-01-09,15.875,15.875,15.75,15.75,3.8026,24000
36,1995-01-10,15.75,15.875,15.75,15.875,3.8328,19200
37,1995-01-11,15.75,15.75,15.75,15.75,3.8026,10800
38,1995-01-12,15.75,15.75,15.75,15.75,3.8026,76200
39,1995-01-13,15.75,15.75,15.5,15.75,3.8026,84600
40,1995-01-16,15.875,16.125,15.875,16.0,3.863,834300
41,1995-01-17,16.0,16.0,16.0,16.0,3.863,186300
42,1995-01-18,16.0,16.0,15.625,15.75,3.8026,60900
43,1995-01-19,15.75,15.75,15.625,15.625,3.7724,48600
44,1995-01-20,15.625,15.625,15.5,15.5,3.7423,43500
45,1995-01-23,15.625,15.625,15.375,15.5,3.7423,115200
46,1995-01-24,15.625,15.625,15.625,15.625,3.7724,35100
47,1995-01-25,15.625,16.375,15.625,16.125,3.8932,83100
48,1995-01-26,16.125,16.25,16.0,16.0,3.863,92100
49,1995-01-27,16.125,16.125,16.0,16.125,3.8932,24300
50,1995-01-30,16.125,16.125,16.0,16.125,3.8932,70800
51,1995-01-31,16.125,16.1875,16.0,16.1875,3.9082,354000
52,1995-02-01,16.25,16.375,16.125,16.375,3.9535,133200
53,1995-02-02,16.375,16.875,16.375,16.75,4.044,306600
54,1995-02-03,16.625,16.75,16.5,16.75,4.044,278700
55,1995-02-06,16.75,16.875,16.625,16.75,4.044,227100
56,1995-02-07,16.75,16.75,16.5,16.625,4.0139,361500
57,1995-02-08,16.625,17.125,16.5,17.0,4.1044,494400
58,1995-02-09,17.25,17.75,17.25,17.375,4.1949,214200
59,1995-02-10,17.5,17.5,17.0,17.125,4.1346,137400
60,1995-02-13,17.125,17.125,16.75,16.875,4.0742,516300
61,1995-02-14,16.75,16.75,16.25,16.375,3.9535,1084800
62,1995-02-15,16.375,17.125,16.375,17.125,4.1346,870000
63,1995-02-16,17.125,17.125,16.875,17.0,4.1044,347700
64,1995-02-17,17.0,17.0,16.875,17.0,4.1044,154200
65,1995-02-21,17.0,17.125,16.875,17.125,4.1346,644400
66,1995-02-22,17.125,17.5,17.125,17.375,4.1949,874800
67,1995-02-23,17.5,17.625,17.375,17.375,4.1949,1391700
68,1995-02-24,17.375,17.375,17.0,17.125,4.1346,830700
69,1995-02-27,17.0,17.125,16.875,17.0,4.1044,310500
70,1995-02-28,17.25,18.25,17.25,18.25,4.4062,3169500
71,1995-03-01,18.375,19.5,18.25,19.375,4.6778,3259200
72,1995-03-02,19.5,20.0,19.375,19.875,4.7985,2352900
73,1995-03-03,19.875,19.875,19.375,19.375,4.6778,1156800
74,1995-03-06,19.0,19.25,18.75,18.875,4.5571,1407900
75,1995-03-07,18.75,19.0,18.75,19.0,4.5873,1043100
76,1995-03-08,19.125,19.375,19.125,19.125,4.6175,774300
77,1995-03-09,19.125,19.125,19.0,19.125,4.6175,480000
78,1995-03-10,19.0,19.125,18.75,18.875,4.5571,770400
79,1995-03-13,19.0,19.0,18.875,18.875,4.5571,583200
80,1995-03-14,19.125,19.375,18.875,19.375,4.6778,1176600
81,1995-03-15,19.375,19.625,19.25,19.375,4.6778,1154700
82,1995-03-16,19.5,19.5,18.5,18.75,4.5269,1067100
83,1995-03-17,18.5,19.0,18.5,18.625,4.4967,1276500
84,1995-03-20,18.625,19.125,18.5,19.125,4.6175,735000
85,1995-03-21,19.125,19.5,18.75,18.75,4.5269,1121100
86,1995-03-22,18.875,19.0,18.625,19.0,4.5873,452700
87,1995-03-23,18.875,18.875,18.625,18.75,4.5269,672600
88,1995-03-24,18.625,19.125,18.625,18.75,4.5269,1575600
89,1995-03-27,18.875,19.375,18.875,19.375,4.6778,937500
90,1995-03-28,19.25,19.5,19.125,19.25,4.6476,741300
91,1995-03-29,19.25,19.5,19.0,19.0,4.5873,1026900
92,1995-03-30,19.125,19.125,18.875,19.125,4.6175,700200
93,1995-03-31,19.375,19.375,18.875,19.125,4.6175,720300
94,1995-04-03,19.125,19.125,18.875,19.125,4.6175,462300
95,1995-04-04,19.125,19.25,18.875,18.875,4.5571,529800
96,1995-04-05,18.625,19.125,18.625,18.625,4.4967,1110900
97,1995-04-06,18.75,18.875,18.75,18.75,4.5269,546000
98,1995-04-07,18.875,18.875,18.25,18.25,4.4062,1371000
99,1995-04-10,18.375,19.125,18.375,19.125,4.6175,1105500
100,1995-04-11,19.0,19.5,19.0,19.125,4.6175,620700
101,1995-04-12,19.5,20.125,19.5,19.875,4.7985,2507400
102,1995-04-13,19.875,20.5,19.875,20.375,4.9193,1372200
103,1995-04-17,20.5,20.875,20.375,20.375,4.9193,848400
104,1995-04-18,20.5,20.5,20.125,20.25,4.8891,2180100
105,1995-04-19,20.25,20.625,19.375,19.75,4.7684,2268000
106,1995-04-20,19.75,20.375,19.625,20.0,4.8287,2178300
107,1995-04-21,20.0,20.0,19.75,19.75,4.7684,675000
108,1995-04-24,19.75,19.875,19.5,19.875,4.7985,459300
109,1995-04-25,19.75,20.0,19.75,19.75,4.7684,781500
110,1995-04-26,19.875,20.125,19.625,20.0,4.8287,1323300
111,1995-04-27,20.0,20.125,19.875,20.125,4.8589,456000
112,1995-04-28,20.125,20.375,19.875,20.125,4.8589,1125900
113,1995-05-01,20.125,20.125,19.25,19.5,4.708,719400
114,1995-05-02,19.625,20.125,19.625,20.125,4.8589,987900
115,1995-05-03,20.125,20.75,20.125,20.625,4.9796,1628700
116,1995-05-04,20.625,20.875,20.0,20.375,4.9384,1530900
117,1995-05-05,20.25,20.75,20.25,20.625,4.999,762000
