,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2001-06-15,21.08,24.0,21.08,24.0,24.0,4200
1,2001-06-18,24.48,25.32,24.48,25.08,25.08,10900
2,2001-06-19,25.48,26.72,25.48,26.56,26.56,24600
3,2001-06-20,26.56,27.08,26.56,26.88,26.88,56000
4,2001-06-21,26.72,26.72,25.4,25.4,25.4,36700
5,2001-06-22,25.24,25.24,22.88,22.88,22.88,55200
6,2001-06-25,23.0,23.24,22.24,22.24,22.24,119000
7,2001-06-26,22.48,23.08,22.4,23.0,23.0,278300
8,2001-06-27,23.24,23.64,22.56,22.72,22.72,219600
9,2001-06-28,22.96,24.0,22.8,23.56,23.56,61900
10,2001-06-29,23.64,24.16,23.48,23.48,23.48,119200
11,2001-07-02,23.51,24.24,23.45,23.66,23.66,2011100
12,2001-07-03,23.41,23.41,22.9,23.15,23.15,346300
13,2001-07-05,23.35,23.4,21.7,22.35,22.35,725800
14,2001-07-06,22.4,22.4,21.46,21.72,21.72,772600
15,2001-07-09,21.52,22.2,21.3,21.7,21.7,855600
16,2001-07-10,22.0,22.2,21.25,21.26,21.26,532200
17,2001-07-11,21.26,21.74,20.5,20.74,20.74,1028100
18,2001-07-12,20.5,20.99,20.3,20.76,20.76,980700
19,2001-07-13,20.65,20.9,19.75,20.1,20.1,502500
20,2001-07-16,19.8,20.01,19.4,19.45,19.45,597900
21,2001-07-17,19.46,20.2,19.0,20.16,20.16,1624600
22,2001-07-18,19.97,21.5,19.7,20.97,20.97,1224600
23,2001-07-19,20.93,21.6,20.9,21.6,21.6,1035700
24,2001-07-20,21.5,22.55,21.5,21.59,21.59,517300
25,2001-07-23,21.5,21.54,20.75,20.75,20.75,306400
26,2001-07-24,21.1,21.2,20.51,20.59,20.59,1202400
27,2001-07-25,20.7,21.66,20.5,21.66,21.66,637900
28,2001-07-26,21.6,21.71,21.05,21.5,21.5,588100
29,2001-07-27,21.5,22.12,21.05,21.11,21.11,355000
30,2001-07-30,21.12,21.47,20.1,20.15,20.15,744500
31,2001-07-31,20.2,21.2,20.15,20.7,20.7,554400
32,2001-08-01,20.5,21.25,20.45,20.85,20.85,1036600
33,2001-08-02,21.01,21.55,21.01,21.14,21.14,787200
34,2001-08-03,21.14,21.85,21.11,21.31,21.31,367500
35,2001-08-06,21.06,21.42,21.06,21.1,21.1,406200
36,2001-08-07,21.01,21.4,20.9,21.05,21.05,653100
37,2001-08-08,21.01,21.09,20.75,20.81,20.81,444000
38,2001-08-09,20.8,21.0,20.7,20.87,20.87,371800
39,2001-08-10,20.75,20.8,20.5,20.75,20.75,624200
40,2001-08-13,20.75,21.0,19.91,20.04,20.04,441700
41,2001-08-14,20.15,20.24,19.56,19.85,19.85,777500
42,2001-08-15,19.9,19.9,19.12,19.36,19.36,626800
43,2001-08-16,19.26,20.12,19.26,19.75,19.75,483900
44,2001-08-17,19.55,19.9,19.55,19.88,19.88,238500
45,2001-08-20,19.81,20.06,19.5,19.59,19.59,254800
46,2001-08-21,19.59,20.18,19.56,19.64,19.64,240700
47,2001-08-22,19.64,20.23,19.62,19.75,19.75,398600
48,2001-08-23,19.7,19.95,19.6,19.86,19.86,332600
49,2001-08-24,19.82,20.04,19.52,19.65,19.65,374100
50,2001-08-27,19.55,19.78,19.49,19.49,19.49,569300
51,2001-08-28,19.5,19.67,19.41,19.5,19.5,635100
52,2001-08-29,19.5,19.75,19.31,19.38,19.38,317600
53,2001-08-30,19.3,19.87,19.3,19.8,19.8,1133200
54,2001-08-31,20.05,20.4,20.01,20.32,20.32,863600
55,2001-09-04,20.35,20.89,20.06,20.31,20.31,381400
56,2001-09-05,20.15,20.56,19.91,20.08,20.08,663600
57,2001-09-06,19.83,20.05,19.54,19.75,19.75,449500
58,2001-09-07,19.6,19.73,18.29,18.61,18.61,707200
59,2001-09-10,18.21,19.3,18.21,19.05,19.05,399100
60,2001-09-17,14.4,17.75,14.4,15.5,15.5,1121300
61,2001-09-18,15.6,15.88,14.75,14.8,14.8,530000
62,2001-09-19,14.68,14.68,11.8,13.1,13.1,1774000
63,2001-09-20,13.25,13.25,12.7,12.95,12.95,1847400
64,2001-09-21,14.05,14.05,12.2,13.45,13.45,1937800
65,2001-09-24,13.55,14.25,13.55,14.25,14.25,1262300
66,2001-09-25,14.15,14.49,13.0,14.19,14.19,789400
67,2001-09-26,14.8,14.8,13.75,13.75,13.75,239800
68,2001-09-27,14.25,14.25,13.2,13.49,13.49,368700
69,2001-09-28,14.15,14.49,13.75,14.2,14.2,572500
70,2001-10-01,14.3,15.1,14.05,14.7,14.7,537300
71,2001-10-02,14.8,15.4,14.0,15.4,15.4,383600
72,2001-10-03,15.4,15.4,14.31,15.14,15.14,312800
73,2001-10-04,15.59,15.59,14.7,15.41,15.41,406800
74,2001-10-05,15.6,15.6,15.0,15.52,15.52,298700
75,2001-10-08,16.34,16.34,15.05,15.6,15.6,409900
76,2001-10-09,16.0,16.0,15.01,15.18,15.18,350800
77,2001-10-10,15.2,15.6,15.06,15.24,15.24,674400
78,2001-10-11,15.49,15.7,14.5,15.06,15.06,506700
79,2001-10-12,15.1,15.31,14.75,15.24,15.24,350600
80,2001-10-15,15.22,15.5,15.15,15.3,15.3,394700
81,2001-10-16,15.4,15.4,14.9,15.1,15.1,577500
82,2001-10-17,15.1,15.1,14.9,15.01,15.01,852900
83,2001-10-18,14.8,15.19,14.72,14.76,14.76,470000
84,2001-10-19,14.76,15.15,14.76,14.99,14.99,260900
85,2001-10-22,14.89,15.23,14.77,14.9,14.9,476100
86,2001-10-23,14.9,15.6,14.72,15.06,15.06,372500
87,2001-10-24,15.25,15.25,14.21,14.65,14.65,527200
88,2001-10-25,14.65,15.0,14.4,14.74,14.74,295100
89,2001-10-26,14.8,14.8,14.4,14.67,14.67,423700
90,2001-10-29,14.63,14.88,14.01,14.49,14.49,209200
91,2001-10-30,14.58,14.58,14.01,14.11,14.11,765700
92,2001-10-31,14.05,14.23,12.99,13.5,13.5,789800
93,2001-11-01,13.6,14.0,13.48,13.85,13.85,487600
94,2001-11-02,13.82,14.15,13.78,13.78,13.78,815000
95,2001-11-05,13.9,14.2,13.65,13.99,13.99,706200
96,2001-11-06,14.35,14.6,14.21,14.37,14.37,1759600
97,2001-11-07,14.73,14.73,14.18,14.5,14.5,926300
98,2001-11-08,14.65,15.2,14.51,15.0,15.0,524600
99,2001-11-09,15.05,15.32,14.76,15.15,15.15,227900
100,2001-11-12,14.92,15.5,14.6,15.22,15.22,301300
101,2001-11-13,15.07,15.48,14.98,15.2,15.2,248600
102,2001-11-14,15.05,15.24,15.0,15.24,15.24,198100
103,2001-11-15,15.3,15.45,15.02,15.1,15.1,291400
104,2001-11-16,15.1,15.6,15.0,15.6,15.6,484400
105,2001-11-19,15.85,16.33,15.7,16.33,16.33,442600
106,2001-11-20,16.33,16.34,16.07,16.28,16.28,936300
107,2001-11-21,16.77,16.77,16.1,16.77,16.77,1131400
108,2001-11-23,17.15,17.15,16.63,16.81,16.81,92800
109,2001-11-26,16.95,17.7,16.5,16.97,16.97,2549000
110,2001-11-27,17.0,17.0,16.7,16.97,16.97,1211900
111,2001-11-28,16.92,16.92,16.41,16.5,16.5,246800
112,2001-11-29,16.41,17.02,16.3,17.0,17.0,2742100
113,2001-11-30,17.0,17.04,16.7,16.81,16.81,641700
114,2001-12-03,17.35,17.35,16.85,17.35,17.35,421700
115,2001-12-04,17.65,17.69,17.25,17.55,17.55,1554400
116,2001-12-05,18.3,18.36,17.65,18.0,18.0,954400
117,2001-12-06,18.24,18.24,17.9,18.24,18.24,574200
118,2001-12-07,19.06,19.06,18.23,18.9,18.9,1476000
119,2001-12-10,18.9,19.2,18.5,18.85,18.85,547700
120,2001-12-11,18.75,18.85,18.5,18.73,18.73,535200
121,2001-12-12,18.73,19.19,18.71,18.8,18.8,879000
122,2001-12-13,18.8,19.49,18.76,19.4,19.4,484000
123,2001-12-14,18.95,19.1,18.75,18.85,18.85,411400
124,2001-12-17,18.75,19.17,18.75,19.02,19.02,433000
125,2001-12-18,18.8,19.1,17.8,18.66,18.66,653600
126,2001-12-19,18.55,18.79,18.51,18.75,18.75,408200
127,2001-12-20,18.42,18.74,18.25,18.38,18.38,397600
128,2001-12-21,18.45,18.64,18.21,18.48,18.48,927800
129,2001-12-24,18.88,19.08,18.58,18.99,18.99,161900
130,2001-12-26,18.74,18.98,18.71,18.82,18.82,207700
131,2001-12-27,18.62,19.53,18.55,19.53,19.53,529900
132,2001-12-28,19.54,19.98,18.85,19.72,19.72,561500
133,2001-12-31,19.0,19.75,19.0,19.5,19.5,393800
134,2002-01-02,19.25,20.0,18.51,20.0,20.0,445300
135,2002-01-03,20.28,20.28,19.52,20.0,20.0,415200
136,2002-01-04,20.45,20.45,19.84,19.92,19.92,522600
137,2002-01-07,19.85,19.92,19.07,19.45,19.45,285400
138,2002-01-08,19.35,19.8,18.8,19.0,19.0,386400
139,2002-01-09,19.48,20.44,19.1,19.54,19.54,1532100
140,2002-01-10,19.5,20.04,19.46,19.48,19.48,767400
141,2002-01-11,19.45,19.8,19.27,19.5,19.5,436900
142,2002-01-14,19.47,19.69,19.3,19.36,19.36,286200
143,2002-01-15,19.37,19.85,19.25,19.71,19.71,257700
144,2002-01-16,19.89,20.6,19.7,20.0,20.0,843100
145,2002-01-17,19.7,20.09,19.7,20.05,20.05,277200
146,2002-01-18,19.52,20.15,19.52,20.15,20.15,1585000
147,2002-01-22,20.15,21.5,20.15,21.3,21.3,426300
148,2002-01-23,21.5,21.5,20.62,20.96,20.96,422700
149,2002-01-24,21.0,22.18,20.98,22.1,22.1,557200
150,2002-01-25,22.1,23.1,21.95,22.19,22.19,450500
151,2002-01-28,22.93,22.93,22.0,22.15,22.15,422700
152,2002-01-29,22.15,22.48,21.49,21.69,21.69,557500
153,2002-01-30,21.75,21.98,21.0,21.29,21.29,364300
154,2002-01-31,21.35,22.35,20.8,22.35,22.35,493300
155,2002-02-01,22.27,22.27,21.82,21.97,21.97,447200
156,2002-02-04,21.51,22.33,21.06,21.57,21.57,626400
157,2002-02-05,21.5,22.09,20.92,21.27,21.27,630100
158,2002-02-06,21.02,21.42,20.45,20.63,20.63,414700
159,2002-02-07,20.68,21.47,20.4,20.53,20.53,355400
160,2002-02-08,20.28,21.24,20.25,21.0,21.0,344700
161,2002-02-11,20.9,21.59,20.81,21.0,21.0,252600
