,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1985-11-27,7.125,7.125,7.125,7.125,1.1286,8740200
1,1985-11-29,7.6666,7.75,7.5834,7.6666,1.2144,2484000
2,1985-12-02,7.9584,7.9584,7.9584,7.9584,1.2606,2554200
3,1985-12-03,8.2084,8.2084,8.2084,8.2084,1.3002,1573800
4,1985-12-04,8.5416,8.5416,8.5416,8.5416,1.353,1365600
5,1985-12-05,7.9584,7.9584,7.9584,7.9584,1.2606,2472600
6,1985-12-06,7.8334,7.9166,7.75,7.8334,1.2408,898200
7,1985-12-09,8.0834,8.1666,8.0,8.0834,1.2804,346800
8,1985-12-10,8.1666,8.25,8.0834,8.1666,1.2936,360600
9,1985-12-11,8.2916,8.2916,8.2916,8.2916,1.3134,442200
10,1985-12-12,8.625,8.625,8.625,8.625,1.3662,468000
11,1985-12-13,8.6666,8.75,8.5834,8.6666,1.3728,568800
12,1985-12-16,8.5416,8.5416,8.5416,8.5416,1.353,408000
13,1985-12-17,8.1666,8.25,8.0834,8.1666,1.2936,448200
14,1985-12-18,8.0834,8.1666,8.0,8.0834,1.2804,528600
15,1985-12-19,8.2084,8.2084,8.2084,8.2084,1.3002,190200
16,1985-12-20,8.2084,8.2084,8.2084,8.2084,1.3002,675600
17,1985-12-23,8.0416,8.0416,8.0416,8.0416,1.2738,690000
18,1985-12-24,7.7916,7.7916,7.7916,7.7916,1.2342,299400
19,1985-12-26,7.875,7.875,7.875,7.875,1.2474,171600
20,1985-12-27,7.9584,7.9584,7.9584,7.9584,1.2606,182400
21,1985-12-30,7.875,7.875,7.875,7.875,1.2474,565800
22,1985-12-31,7.875,7.875,7.875,7.875,1.2474,235800
23,1986-01-02,7.7084,7.7916,7.625,7.7084,1.221,114600
24,1986-01-03,7.8334,7.9166,7.75,7.8334,1.2408,168600
25,1986-01-06,7.7916,7.7916,7.7916,7.7916,1.2342,161400
26,1986-01-07,8.25,8.3334,8.1666,8.25,1.3068,319800
27,1986-01-08,8.1666,8.25,8.0834,8.1666,1.2936,399600
28,1986-01-09,8.0,8.0834,7.9166,8.0,1.2672,1161000
29,1986-01-10,7.875,7.875,7.875,7.875,1.2474,329400
30,1986-01-13,7.8334,7.9166,7.75,7.8334,1.2408,241800
31,1986-01-14,7.875,7.875,7.875,7.875,1.2474,441600
32,1986-01-15,7.875,7.875,7.875,7.875,1.2474,223200
33,1986-01-16,8.1666,8.25,8.0834,8.1666,1.2936,1057200
34,1986-01-17,8.25,8.3334,8.1666,8.25,1.3068,458400
35,1986-01-20,8.4166,8.5,8.3334,8.4166,1.3332,260400
36,1986-01-21,8.5416,8.5416,8.5416,8.5416,1.353,171000
37,1986-01-22,8.625,8.625,8.625,8.625,1.3662,313800
38,1986-01-23,8.5416,8.5416,8.5416,8.5416,1.353,482400
39,1986-01-24,8.7084,8.7084,8.7084,8.7084,1.3794,522600
40,1986-01-27,8.7084,8.7084,8.7084,8.7084,1.3794,268800
41,1986-01-28,8.7084,8.7084,8.7084,8.7084,1.3794,117000
42,1986-01-29,8.4166,8.5,8.3334,8.4166,1.3332,433200
43,1986-01-30,8.3334,8.4166,8.25,8.3334,1.32,181800
44,1986-01-31,8.3334,8.4166,8.25,8.3334,1.32,70200
45,1986-02-03,8.3334,8.4166,8.25,8.3334,1.32,82800
46,1986-02-04,8.375,8.375,8.375,8.375,1.3266,976200
47,1986-02-05,8.7916,8.7916,8.7916,8.7916,1.3926,1173000
48,1986-02-06,8.875,8.875,8.875,8.875,1.4058,560400
49,1986-02-07,8.7916,8.7916,8.7916,8.7916,1.3926,392400
50,1986-02-10,9.5416,9.625,9.4584,9.5416,1.5114,636000
51,1986-02-11,10.0834,10.5,9.6666,10.0834,1.5972,1417200
52,1986-02-12,10.75,10.8334,10.0,10.75,1.7028,1859400
53,1986-02-13,11.4166,11.6666,10.5834,11.4166,1.8084,3050400
54,1986-02-14,11.1666,11.5,11.0834,11.1666,1.7688,1113000
55,1986-02-18,11.25,11.25,11.1666,11.25,1.782,636600
56,1986-02-19,10.75,11.25,10.4166,10.75,1.7028,721200
57,1986-02-20,11.0,11.0,10.6666,11.0,1.7424,540600
58,1986-02-21,11.0834,11.25,11.0,11.0834,1.7556,215400
59,1986-02-24,10.9166,11.75,10.9166,10.9166,1.7292,1144800
60,1986-02-25,10.25,10.9166,9.8334,10.25,1.6236,2333401
61,1986-02-26,10.0,10.3334,9.8334,10.0,1.584,985200
62,1986-02-27,10.0,10.1666,9.8334,10.0,1.584,2488201
63,1986-02-28,10.1666,10.1666,10.0,10.1666,1.6104,1976400
64,1986-03-03,10.8334,10.8334,10.0834,10.8334,1.716,1207200
65,1986-03-04,11.3334,11.3334,10.9166,11.3334,1.7952,678000
66,1986-03-05,11.3334,11.5,11.1666,11.3334,1.7952,910800
67,1986-03-06,11.25,11.4166,11.0834,11.25,1.782,634800
68,1986-03-07,11.1666,11.25,10.9166,11.1666,1.7688,595200
69,1986-03-10,10.75,11.25,10.75,10.75,1.7028,1195200
70,1986-03-11,11.3334,11.5,10.8334,11.3334,1.7952,425400
71,1986-03-12,11.1666,11.5,11.1666,11.1666,1.7688,876000
72,1986-03-13,11.25,11.4166,11.1666,11.25,1.782,376200
73,1986-03-14,11.25,11.4166,11.1666,11.25,1.782,479400
74,1986-03-17,11.1666,11.3334,11.0,11.1666,1.7688,982200
75,1986-03-18,10.9166,11.1666,10.8334,10.9166,1.7292,1125000
76,1986-03-19,10.75,11.0,10.5834,10.75,1.7028,315000
77,1986-03-20,10.5834,10.75,10.3334,10.5834,1.6764,619200
78,1986-03-21,10.5,10.5834,10.3334,10.5,1.6632,533400
79,1986-03-24,10.0,10.0834,9.3334,10.0,1.584,1812600
80,1986-03-25,9.6666,10.1666,9.5,9.6666,1.5312,941400
81,1986-03-26,10.0,10.0,9.6666,10.0,1.584,776400
82,1986-03-27,10.25,10.3334,10.0834,10.25,1.6236,2794800
83,1986-03-31,9.9166,10.25,9.5,9.9166,1.5708,511200
84,1986-04-01,10.0,10.0834,9.8334,10.0,1.584,305400
85,1986-04-02,9.5,10.0,9.3334,9.5,1.5048,434400
86,1986-04-03,9.4166,9.6666,9.3334,9.4166,1.4916,366600
87,1986-04-04,9.5,9.5834,9.3334,9.5,1.5048,591000
88,1986-04-07,9.4166,9.5,9.25,9.4166,1.4916,351600
89,1986-04-08,9.0,9.4166,8.8334,9.0,1.4256,574800
90,1986-04-09,9.1666,9.1666,8.8334,9.1666,1.452,1863600
91,1986-04-10,9.1666,9.25,9.0,9.1666,1.452,496200
92,1986-04-11,9.25,9.25,9.0834,9.25,1.4652,161400
93,1986-04-14,9.25,9.25,9.0834,9.25,1.4652,133200
94,1986-04-15,9.5834,9.5834,9.1666,9.5834,1.518,1007400
95,1986-04-16,9.8334,9.8334,9.5834,9.8334,1.5576,327000
96,1986-04-17,10.0834,10.0834,9.75,10.0834,1.5972,787200
97,1986-04-18,9.75,10.0834,9.5834,9.75,1.5444,1887000
98,1986-04-21,9.6666,9.75,9.5,9.6666,1.5312,1168200
99,1986-04-22,9.3334,9.6666,9.3334,9.3334,1.4784,456600
100,1986-04-23,9.3334,9.5,9.1666,9.3334,1.4784,577800
101,1986-04-24,9.75,9.75,9.25,9.75,1.5444,773400
102,1986-04-25,9.75,9.8334,9.5834,9.75,1.5444,223800
103,1986-04-28,9.75,9.8334,9.5834,9.75,1.5444,74400
104,1986-04-29,9.6666,9.8334,9.5834,9.6666,1.5312,148800
105,1986-04-30,9.3334,9.6666,9.1666,9.3334,1.4784,1383600
106,1986-05-01,9.3334,9.3334,9.1666,9.3334,1.4784,437400
107,1986-05-02,9.8334,9.8334,9.25,9.8334,1.5576,807000
108,1986-05-05,9.9166,9.9166,9.6666,9.9166,1.5708,455400
109,1986-05-06,10.0,10.0,9.75,10.0,1.584,961800
110,1986-05-07,9.6666,10.0,9.5834,9.6666,1.5312,250200
111,1986-05-08,10.0834,10.0834,9.6666,10.0834,1.5972,1402800
112,1986-05-09,9.9166,10.0,9.8334,9.9166,1.5708,139200
113,1986-05-12,10.0,10.0,9.8334,10.0,1.584,853200
114,1986-05-13,9.75,10.0,9.75,9.75,1.5444,148800
115,1986-05-14,9.75,9.8334,9.6666,9.75,1.5444,615000
116,1986-05-15,9.8334,9.8334,9.6666,9.8334,1.5576,274800
117,1986-05-16,9.8334,9.8334,9.6666,9.8334,1.5576,291600
118,1986-05-19,9.6666,9.8334,9.6666,9.6666,1.5312,185400
119,1986-05-20,10.0,10.0,9.6666,10.0,1.584,1122000
120,1986-05-21,11.25,11.4166,10.0,11.25,1.782,1403400
121,1986-05-22,11.4166,11.6666,10.9166,11.4166,1.8084,3555600
122,1986-05-23,11.4166,11.75,11.25,11.4166,1.8084,2488800
123,1986-05-27,11.3334,11.5834,11.25,11.3334,1.7952,560400
124,1986-05-28,11.0834,11.5,11.0834,11.0834,1.7556,966600
125,1986-05-29,11.25,11.5,11.0,11.25,1.782,648000
126,1986-05-30,11.3334,11.5834,11.1666,11.3334,1.7952,1069800
127,1986-06-02,11.3334,11.5,11.1666,11.3334,1.7952,535800
128,1986-06-03,11.4166,11.5,11.1666,11.4166,1.8084,796200
129,1986-06-04,11.25,11.4166,11.1666,11.25,1.782,155400
130,1986-06-05,11.3334,11.4166,11.25,11.3334,1.7952,531600
131,1986-06-06,12.1666,12.1666,11.25,12.1666,1.9272,2442000
132,1986-06-09,12.3334,13.0,12.25,12.3334,1.9536,2706000
133,1986-06-10,12.0834,12.3334,11.6666,12.0834,1.914,3761400
134,1986-06-11,12.0,12.1666,11.9166,12.0,1.9008,454200
135,1986-06-12,11.8334,12.0834,11.8334,11.8334,1.8744,759000
136,1986-06-13,11.8334,11.9166,11.6666,11.8334,1.8744,989400
