,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,26.256,27.256,26.128,26.256,0.5945,19100
1,1980-03-18,26.752,26.752,26.128,26.752,0.6058,16700
2,1980-03-19,27.0,27.376,26.752,27.0,0.6114,51200
3,1980-03-20,27.0,27.128,27.0,27.0,0.6114,11200
4,1980-03-21,26.632,27.128,26.632,26.632,0.6031,17600
5,1980-03-24,26.376,27.128,26.376,26.376,0.5973,6900
6,1980-03-25,26.128,26.632,26.128,26.128,0.5916,9100
7,1980-03-26,26.0,26.376,26.0,26.0,0.5887,24500
8,1980-03-27,25.256,26.0,25.256,25.256,0.5719,8700
9,1980-03-28,26.256,26.752,25.256,26.256,0.5945,8700
10,1980-03-31,26.752,26.88,26.256,26.752,0.6058,10800
11,1980-04-01,26.256,26.88,26.0,26.256,0.5945,26900
12,1980-04-02,26.376,26.376,25.752,26.376,0.5973,15800
13,1980-04-03,26.256,26.504,26.0,26.256,0.5945,6800
14,1980-04-07,26.0,26.256,26.0,26.0,0.5887,6100
15,1980-04-08,26.376,26.376,25.88,26.376,0.5973,3100
16,1980-04-09,26.88,27.256,26.376,26.88,0.6087,9600
17,1980-04-10,27.632,27.752,27.0,27.632,0.6257,4500
18,1980-04-11,27.752,28.256,27.504,27.752,0.6284,8400
19,1980-04-14,27.632,28.256,27.632,27.632,0.6257,4700
20,1980-04-15,27.752,28.256,27.376,27.752,0.6284,5700
21,1980-04-16,27.504,28.256,27.504,27.504,0.6228,5600
22,1980-04-17,27.256,27.632,27.256,27.256,0.6172,2500
23,1980-04-18,27.0,27.376,27.0,27.0,0.6114,2900
24,1980-04-21,26.504,26.88,26.504,26.504,0.6002,11300
25,1980-04-22,27.256,27.256,26.504,27.256,0.6172,4400
26,1980-04-23,26.752,27.256,26.632,26.752,0.6058,23700
27,1980-04-24,26.752,27.128,26.632,26.752,0.6058,7200
28,1980-04-25,27.256,27.376,26.632,27.256,0.6172,19600
29,1980-04-28,27.128,27.504,27.128,27.128,0.6143,48200
30,1980-04-29,27.504,27.504,27.128,27.504,0.6228,26800
31,1980-04-30,27.504,27.504,27.256,27.504,0.6228,11300
32,1980-05-01,27.256,27.504,27.0,27.256,0.6172,16800
33,1980-05-02,27.632,27.632,27.0,27.632,0.6257,10800
34,1980-05-05,27.88,27.88,27.256,27.88,0.6313,83500
35,1980-05-06,28.0,28.128,27.504,28.0,0.634,8000
36,1980-05-07,29.256,29.504,28.0,29.256,0.6625,7000
37,1980-05-08,29.0,29.256,28.88,29.0,0.6567,2700
38,1980-05-09,28.752,29.0,28.0,28.752,0.6511,24800
39,1980-05-12,28.752,28.752,28.376,28.752,0.6511,9500
40,1980-05-13,29.0,29.256,28.752,29.0,0.6567,4300
41,1980-05-14,28.632,29.256,28.632,28.632,0.6483,3700
42,1980-05-15,28.88,28.88,28.504,28.88,0.654,6400
43,1980-05-16,29.0,29.256,28.632,29.0,0.6567,7800
44,1980-05-19,28.504,29.0,28.376,28.504,0.6454,3700
45,1980-05-20,28.504,28.88,28.256,28.504,0.6454,4900
46,1980-05-21,28.504,28.752,28.256,28.504,0.6454,9500
47,1980-05-22,28.504,28.504,28.256,28.504,0.6454,7800
48,1980-05-23,28.752,28.752,28.256,28.752,0.6511,21600
49,1980-05-27,28.504,28.752,28.504,28.504,0.6454,5700
50,1980-05-28,28.256,28.504,28.256,28.256,0.6398,9200
51,1980-05-29,28.256,28.376,28.256,28.256,0.6398,3800
52,1980-05-30,28.376,28.376,28.128,28.376,0.6425,8100
53,1980-06-02,28.504,28.504,28.504,28.504,0.6454,2500
54,1980-06-03,28.504,28.632,28.504,28.504,0.6454,150500
55,1980-06-04,28.504,28.752,28.504,28.504,0.6454,3900
56,1980-06-05,29.0,29.0,28.632,29.0,0.6567,30500
57,1980-06-06,28.88,29.128,28.504,28.88,0.654,4800
58,1980-06-09,28.88,29.256,28.88,28.88,0.654,64100
59,1980-06-10,28.88,29.128,28.752,28.88,0.654,5900
60,1980-06-11,29.376,29.376,28.88,29.376,0.6652,13000
61,1980-06-12,29.88,29.88,29.256,29.88,0.6766,8600
62,1980-06-13,31.0,31.0,30.0,31.0,0.702,9000
63,1980-06-16,30.632,31.0,30.376,30.632,0.6936,4600
64,1980-06-17,30.504,30.88,30.256,30.504,0.6907,12200
65,1980-06-18,30.504,30.752,30.256,30.504,0.6907,8900
66,1980-06-19,30.128,30.504,30.128,30.128,0.6822,7000
67,1980-06-20,30.0,30.128,30.0,30.0,0.6793,4400
68,1980-06-23,30.0,30.0,29.752,30.0,0.6793,5700
69,1980-06-24,30.128,30.376,29.88,30.128,0.6822,2400
70,1980-06-25,30.504,30.504,30.0,30.504,0.6907,2500
71,1980-06-26,30.256,30.504,30.128,30.256,0.6851,3500
72,1980-06-27,30.0,30.376,30.0,30.0,0.6793,102600
73,1980-06-30,29.752,30.0,29.752,29.752,0.6737,4000
74,1980-07-01,30.256,30.256,29.752,30.256,0.6851,16500
75,1980-07-02,30.0,30.256,29.88,30.0,0.6793,3100
76,1980-07-03,30.0,30.0,29.256,30.0,0.6793,4500
77,1980-07-07,29.88,30.128,29.752,29.88,0.6766,9300
78,1980-07-08,30.0,30.0,29.376,30.0,0.6793,15100
79,1980-07-09,30.256,30.376,29.88,30.256,0.6851,15800
80,1980-07-10,30.376,30.504,30.256,30.376,0.6878,6900
81,1980-07-11,30.504,30.504,30.256,30.504,0.6907,6200
82,1980-07-14,30.88,30.88,30.504,30.88,0.6992,40000
