Date,Open,High,Low,Close,Adjusted_close,Volume
2015-07-02,27.93,30.98,27.26,30.34,30.34,8031600
2015-07-06,29.56,31.18,29.25,30.44,30.44,4748567
2015-07-07,30.85,31.19,29.93,30.76,30.76,2238387
2015-07-08,30,30.82,29.856,30.24,30.24,1571309
2015-07-09,30.26,30.87,28.94,29.37,29.37,3338706
2015-07-10,29.44,30.09,29.39,29.8,29.8,1757311
2015-07-13,29.4,30.03,29.4,29.71,29.71,1896983
2015-07-14,29.29,29.93,29.11,29.63,29.63,3070170
2015-07-15,29.52,29.81,29.24,29.44,29.44,3467553
2015-07-16,29.37,29.66,29.12,29.19,29.19,4699237
2015-07-17,29.37,29.59,28.85,29.23,29.23,3627036
2015-07-20,28.89,29.54,28.79,29.22,29.22,2170993
2015-07-21,29.17,29.62,28.71,29.53,29.53,2349290
2015-07-22,29.25,29.73,28.83,28.87,28.87,1951750
2015-07-23,28.74,29.23,28.666,28.86,28.86,2724821
2015-07-24,28.69,29.38,28.66,28.76,28.76,1327001
2015-07-27,28.6,28.94,28.32,28.88,28.88,1107726
2015-07-28,28.85,29.5,28.76,29.49,29.49,1137849
2015-07-29,29.19,29.84,28.445,29.59,29.59,2309480
2015-07-30,29.42,29.8,29.29,29.6,29.6,768558
2015-07-31,29.6,29.94,29.15,29.18,29.18,1802007
2015-08-03,28.01,29.95,27.7,28.47,28.47,2560100
2015-08-04,28.28,28.68,28.05,28.19,28.19,2533335
2015-08-05,29.18,29.18,26.09,27.4,27.4,3486594
2015-08-06,27.21,27.41,25.82,27.34,27.34,3865810
2015-08-07,26.98,27.57,26.77,27.5,27.5,1417623
2015-08-10,27.61,28.81,27.52,28.01,28.01,2033602
2015-08-11,27.24,28.13,26.878,27.82,27.82,2261187
2015-08-12,27.78,28.13,27.51,28,28,5678675
2015-08-13,27.96,27.98,27.55,27.69,27.69,3734811
2015-08-14,27.7,28.27,27.57,27.59,27.59,1780754
2015-08-17,27.61,27.82,27.51,27.7,27.7,693203
2015-08-18,27.65,27.8,27.26,27.29,27.29,1475959
2015-08-19,27.1,27.54,26.77,27.35,27.35,2220281
2015-08-20,27.12,27.41,26.4,26.44,26.44,1362603
2015-08-21,26.49,27.11,25.74,25.76,25.76,1890610
2015-08-24,25.02,27.69,23.42,24.49,24.49,3483631
2015-08-25,25.83,26.06,23.41,23.42,23.42,2378312
2015-08-26,23.96,24.03,23.16,23.67,23.67,2211880
2015-08-27,23.98,25.18,23.82,25.17,25.17,2368566
2015-08-28,25.13,25.7,24.91,25.54,25.54,2045928
2015-08-31,25.41,25.82,25.07,25.36,25.36,1803266
2015-09-01,24.57,24.71,23.86,24.03,24.03,2538021
2015-09-02,24.27,24.33,23.76,24.31,24.31,2614466
2015-09-03,24.34,24.61,24.11,24.17,24.17,1309122
2015-09-04,23.74,24.43,23.7,24.22,24.22,1261546
2015-09-08,24.4,24.72,24.26,24.56,24.56,894459
2015-09-09,24.04,24.79,23.79,23.89,23.89,981977
2015-09-10,23.87,24.04,23.37,23.45,23.45,1289965
2015-09-11,23.25,23.5,23.03,23.5,23.5,1514219
2015-09-14,23.46,23.59,23.08,23.18,23.18,777984
2015-09-15,23.23,23.44,22.96,23.04,23.04,1495664
2015-09-16,23.01,23.26,22.91,22.97,22.97,2545223
2015-09-17,23.11,23.24,22.63,22.69,22.69,1723612
