,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1981-12-30,29.0,29.25,28.376,29.0,29.0,68500
1,1981-12-31,28.626,29.0,28.5,28.626,28.626,179800
2,1982-01-04,28.376,28.5,28.0,28.376,28.376,117200
3,1982-01-05,28.25,28.5,28.25,28.25,28.25,90700
4,1982-01-06,28.376,28.626,28.376,28.376,28.376,65900
5,1982-01-07,29.0,29.25,28.626,29.0,29.0,134600
6,1982-01-08,29.25,29.25,28.876,29.25,29.25,94200
7,1982-01-11,28.5,29.0,28.5,28.5,28.5,134000
8,1982-01-12,28.626,28.75,28.5,28.626,28.626,46200
9,1982-01-13,27.376,28.626,27.25,27.376,27.376,135000
10,1982-01-14,27.626,27.75,27.376,27.626,27.626,20800
11,1982-01-15,28.0,28.376,27.75,28.0,28.0,1827500
12,1982-01-18,28.126,28.25,27.626,28.126,28.126,182500
13,1982-01-19,28.0,28.626,28.0,28.0,28.0,133500
14,1982-01-20,28.25,28.376,27.876,28.25,28.25,88600
15,1982-01-21,28.876,29.25,28.25,28.876,28.876,45100
16,1982-01-22,28.75,29.126,28.626,28.75,28.75,98400
17,1982-01-25,28.25,28.876,28.126,28.25,28.25,46800
18,1982-01-26,28.75,29.25,28.5,28.75,28.75,67800
19,1982-01-27,29.25,29.75,28.626,29.25,29.25,58400
20,1982-01-28,29.75,30.25,29.25,29.75,29.75,66300
21,1982-01-29,30.626,31.0,30.0,30.626,30.626,189200
22,1982-02-01,29.626,30.25,29.376,29.626,29.626,113500
23,1982-02-02,30.25,30.25,29.626,30.25,30.25,92800
24,1982-02-03,30.126,30.25,29.876,30.126,30.126,41800
25,1982-02-04,30.0,30.25,30.0,30.0,30.0,42400
26,1982-02-05,30.626,30.626,30.0,30.626,30.626,75000
27,1982-02-08,29.626,30.5,29.626,29.626,29.626,149300
28,1982-02-09,29.5,29.75,29.25,29.5,29.5,69700
29,1982-02-10,29.25,29.626,29.25,29.25,29.25,67100
30,1982-02-11,29.25,29.5,29.0,29.25,29.25,48000
31,1982-02-12,29.25,29.5,29.25,29.25,29.25,33100
32,1982-02-16,29.25,29.376,29.0,29.25,29.25,50400
33,1982-02-17,29.75,29.876,29.126,29.75,29.75,157000
34,1982-02-18,30.0,30.626,29.5,30.0,30.0,125600
35,1982-02-19,30.126,30.75,29.876,30.126,30.126,86800
36,1982-02-22,30.5,31.0,30.25,30.5,30.5,135200
37,1982-02-23,31.0,31.0,30.25,31.0,31.0,100800
38,1982-02-24,32.75,32.75,30.75,32.75,32.75,216700
39,1982-02-25,32.0,33.25,32.0,32.0,32.0,179200
40,1982-02-26,31.876,32.25,31.5,31.876,31.876,108600
41,1982-03-01,33.25,33.25,31.876,33.25,33.25,359400
42,1982-03-02,32.626,33.25,32.5,32.626,32.626,372100
43,1982-03-03,32.626,32.75,32.0,32.626,32.626,207400
44,1982-03-04,32.376,32.626,32.0,32.376,32.376,216900
45,1982-03-05,32.126,32.75,32.0,32.126,32.126,209300
46,1982-03-08,31.25,32.5,31.25,31.25,31.25,246500
47,1982-03-09,31.626,32.0,30.876,31.626,31.626,548100
48,1982-03-10,32.626,32.876,31.876,32.626,32.626,219100
49,1982-03-11,32.75,33.0,31.876,32.75,32.75,123500
50,1982-03-12,32.376,33.0,32.25,32.376,32.376,82200
51,1982-03-15,32.25,32.75,32.25,32.25,32.25,94200
52,1982-03-16,32.25,32.626,32.25,32.25,32.25,68000
53,1982-03-17,32.25,32.5,32.126,32.25,32.25,68000
54,1982-03-18,33.5,33.5,32.5,33.5,33.5,91800
55,1982-03-19,34.0,34.376,33.626,34.0,34.0,127000
56,1982-03-22,34.626,34.876,34.0,34.626,34.626,282700
57,1982-03-23,35.0,35.0,34.626,35.0,35.0,196400
58,1982-03-24,34.25,34.876,34.126,34.25,34.25,169200
59,1982-03-25,34.5,35.0,34.126,34.5,34.5,159600
60,1982-03-26,33.626,34.376,33.626,33.626,33.626,181200
61,1982-03-29,33.626,33.626,33.25,33.626,33.626,91000
62,1982-03-30,33.876,34.0,33.376,33.876,33.876,109700
63,1982-03-31,34.376,34.75,33.876,34.376,34.376,371800
64,1982-04-01,35.25,35.25,34.5,35.25,35.25,127800
65,1982-04-02,34.876,35.376,34.876,34.876,34.876,212500
66,1982-04-05,34.376,34.75,34.0,34.376,34.376,151100
67,1982-04-06,34.75,34.75,34.0,34.75,34.75,100500
68,1982-04-07,35.0,35.25,34.75,35.0,35.0,171800
69,1982-04-08,35.0,35.25,35.0,35.0,35.0,37400
70,1982-04-12,35.126,35.5,35.126,35.126,35.126,69500
71,1982-04-13,35.126,35.376,35.126,35.126,35.126,62000
72,1982-04-14,35.25,35.25,35.0,35.25,35.25,105500
73,1982-04-15,35.126,35.25,35.0,35.126,35.126,62400
74,1982-04-16,35.376,35.5,35.0,35.376,35.376,49200
75,1982-04-19,35.626,35.876,35.25,35.626,35.626,146100
76,1982-04-20,35.75,35.876,35.5,35.75,35.75,87200
77,1982-04-21,36.376,36.376,35.626,36.376,36.376,145200
78,1982-04-22,36.376,36.626,36.25,36.376,36.376,132600
79,1982-04-23,37.0,37.376,36.876,37.0,37.0,326000
80,1982-04-26,36.75,37.25,36.626,36.75,36.75,195700
81,1982-04-27,36.5,36.876,36.5,36.5,36.5,115100
82,1982-04-28,36.0,36.5,36.0,36.0,36.0,217600
83,1982-04-29,35.626,36.126,35.5,35.626,35.626,251100
84,1982-04-30,35.5,35.876,35.5,35.5,35.5,83400
85,1982-05-03,35.75,36.126,35.5,35.75,35.75,102900
86,1982-05-04,36.25,36.5,36.0,36.25,36.25,209800
87,1982-05-05,36.25,36.5,36.25,36.25,36.25,71700
88,1982-05-06,36.126,36.5,36.0,36.126,36.126,353700
89,1982-05-07,36.126,36.376,36.0,36.126,36.126,233800
90,1982-05-10,36.126,36.25,36.126,36.126,36.126,116200
91,1982-05-11,36.25,36.25,36.126,36.25,36.25,102200
92,1982-05-12,35.876,36.25,35.626,35.876,35.876,212800
93,1982-05-13,35.376,35.876,35.376,35.376,35.376,94600
94,1982-05-14,35.376,35.626,35.376,35.376,35.376,53800
95,1982-05-17,35.626,35.75,35.5,35.626,35.626,98800
96,1982-05-18,35.5,35.876,35.5,35.5,35.5,113200
97,1982-05-19,35.626,35.876,35.5,35.626,35.626,228400
98,1982-05-20,35.626,35.876,35.626,35.626,35.626,137500
99,1982-05-21,36.126,36.126,35.75,36.126,36.126,185100
100,1982-05-24,36.0,36.126,35.876,36.0,36.0,129400
101,1982-05-25,36.0,36.25,36.0,36.0,36.0,34000
102,1982-05-26,34.876,35.876,34.876,34.876,34.876,93200
103,1982-05-27,34.876,35.126,34.75,34.876,34.876,39300
104,1982-05-28,34.876,35.25,34.876,34.876,34.876,40500
