,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1994-03-17,13.5,14.875,13.0,14.625,0.3047,1961900
1,1994-03-18,15.0,15.25,14.375,15.25,0.3178,377000
2,1994-03-21,15.25,15.75,14.875,15.25,0.3178,95500
3,1994-03-22,15.75,16.0,15.25,15.25,0.3178,150900
4,1994-03-23,15.5,15.5,15.0,15.25,0.3178,67000
5,1994-03-24,15.375,15.375,15.0,15.375,0.3204,54300
6,1994-03-25,15.375,16.0,15.0,16.0,0.3334,53900
7,1994-03-28,16.0,16.0,15.0,15.125,0.3152,100800
8,1994-03-29,15.25,15.25,14.25,14.25,0.2969,35400
9,1994-03-30,14.25,14.75,14.25,14.5,0.3021,47700
10,1994-03-31,14.375,14.375,13.5,13.875,0.2891,41100
11,1994-04-04,13.75,13.75,13.25,13.625,0.2839,86700
12,1994-04-05,13.625,14.0,13.5,14.0,0.2917,20200
13,1994-04-06,14.125,14.5,14.0,14.125,0.2943,18200
14,1994-04-07,14.5,14.75,14.375,14.75,0.3073,4100
15,1994-04-08,14.75,15.0,14.5,14.625,0.3047,7900
16,1994-04-11,15.0,15.0,14.625,15.0,0.3125,6200
17,1994-04-12,15.0,15.125,14.75,14.875,0.3099,35100
18,1994-04-13,14.875,14.875,14.5,14.875,0.3099,31000
19,1994-04-14,14.5,14.75,14.5,14.75,0.3073,700
20,1994-04-15,14.625,14.625,14.25,14.625,0.3047,34500
21,1994-04-18,14.25,14.625,14.125,14.5,0.3021,36700
22,1994-04-19,14.5,14.5,13.75,14.25,0.2969,17600
23,1994-04-20,14.0,14.25,14.0,14.0,0.2917,3200
24,1994-04-21,14.0,14.125,13.75,14.0,0.2917,139800
25,1994-04-22,13.75,14.0,13.75,14.0,0.2917,21500
26,1994-04-25,14.0,14.25,13.8125,14.0,0.2917,200700
27,1994-04-26,14.25,14.5,14.0,14.5,0.3021,108400
28,1994-04-28,14.75,14.75,14.5,14.625,0.3047,8000
29,1994-04-29,14.625,15.0,14.5,14.5,0.3021,52600
30,1994-05-02,14.875,15.0,14.75,15.0,0.3125,25000
31,1994-05-03,15.0,15.75,15.0,15.5,0.323,50600
32,1994-05-04,15.25,15.75,15.25,15.75,0.3282,85500
33,1994-05-05,15.75,16.0,15.625,16.0,0.3334,99500
34,1994-05-06,15.75,16.0,15.5,15.75,0.3282,22000
35,1994-05-09,15.5,15.75,15.5,15.5,0.323,8500
36,1994-05-10,15.75,16.0,15.5,16.0,0.3334,6600
37,1994-05-11,15.75,15.75,15.125,15.5,0.323,247800
38,1994-05-12,15.5,15.75,15.25,15.25,0.3178,76400
39,1994-05-13,15.75,15.75,15.75,15.75,0.3282,400
40,1994-05-16,15.25,15.75,15.25,15.25,0.3178,17300
41,1994-05-17,15.25,15.75,15.25,15.25,0.3178,8100
42,1994-05-18,15.75,15.75,15.25,15.25,0.3178,18900
43,1994-05-19,15.25,15.25,15.25,15.25,0.3178,3400
44,1994-05-20,15.25,15.75,15.25,15.375,0.3204,31800
45,1994-05-23,15.25,15.25,15.25,15.25,0.3178,7500
46,1994-05-24,15.25,15.25,15.25,15.25,0.3178,200
47,1994-05-25,15.25,15.625,15.25,15.625,0.3256,1900
