,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2006-12-04,0.2398,0.2398,0.2398,0.2398,16.8956,87
1,2006-12-13,0.9318,0.9318,0.9318,0.9318,65.6328,4
2,2006-12-14,0.9318,0.9318,0.9318,0.9318,65.6328,9
3,2006-12-18,0.9318,0.9318,0.9318,0.9318,65.6328,4
4,2006-12-21,1.1532,1.1532,1.024,1.024,72.1311,17
5,2006-12-22,0.9688,1.0148,0.9688,1.0148,71.4813,5
6,2006-12-26,1.0148,1.1994,1.0148,1.1532,81.2287,10
7,2006-12-27,1.8452,1.8452,1.8452,1.8452,129.966,6
8,2006-12-29,1.2456,1.2456,1.2456,1.2456,87.727,3
9,2007-01-03,1.2456,1.3838,1.2456,1.2456,87.727,14
10,2007-01-04,1.8452,1.8452,1.8452,1.8452,129.966,6
11,2007-01-05,1.1532,1.1532,1.1532,1.1532,81.2287,7
12,2007-01-08,1.3838,1.3838,1.3838,1.3838,97.4745,4
13,2007-01-09,0.9318,0.9318,0.9318,0.9318,65.6328,10
14,2007-01-10,0.9226,0.9226,0.9226,0.9226,64.983,4
15,2007-01-11,0.9226,0.9318,0.9226,0.9318,65.6328,8
16,2007-01-12,0.9318,0.9318,0.9318,0.9318,65.6328,4
17,2007-01-16,0.9318,0.9318,0.9318,0.9318,65.6328,9
18,2007-01-17,0.6458,0.6458,0.6458,0.6458,45.4881,9
19,2007-01-19,0.6458,0.8304,0.6458,0.8304,58.4847,17
20,2007-01-22,0.8304,0.8304,0.738,0.738,51.9864,43
21,2007-01-24,0.738,0.738,0.738,0.738,51.9864,18
22,2007-01-25,0.8304,0.8304,0.738,0.738,51.9864,56
23,2007-01-26,0.8304,0.8304,0.738,0.738,51.9864,11
24,2007-01-30,0.8304,1.1532,0.738,0.8304,58.4847,202
25,2007-02-02,0.9318,0.9318,0.9318,0.9318,65.6328,20
26,2007-02-06,1.061,1.061,0.9318,0.9318,65.6328,33
27,2007-02-08,0.9318,0.9318,0.9318,0.9318,65.6328,61
28,2007-02-12,0.8764,1.0148,0.8764,0.895,63.0335,91
29,2007-02-14,0.7842,0.7842,0.7842,0.7842,55.2355,30
30,2007-02-15,0.738,0.9318,0.738,0.9318,65.6328,233
31,2007-02-16,0.8118,0.8118,0.8118,0.8118,57.185,35
32,2007-02-20,0.8118,0.8118,0.8118,0.8118,57.185,29
33,2007-02-21,0.7842,0.7842,0.7842,0.7842,55.2355,5
34,2007-02-28,0.7842,0.7842,0.7842,0.7842,55.2355,3
35,2007-03-02,0.692,0.692,0.692,0.692,48.7372,4
36,2007-03-09,0.692,0.692,0.692,0.692,48.7372,4
37,2007-03-12,0.7842,0.7842,0.7842,0.7842,55.2355,22
38,2007-03-13,0.7842,0.7842,0.7842,0.7842,55.2355,3
39,2007-03-20,0.692,0.692,0.692,0.692,48.7372,9
40,2007-03-21,0.692,0.692,0.692,0.692,48.7372,9
41,2007-03-23,0.692,0.692,0.692,0.692,48.7372,9
42,2007-03-27,0.692,0.692,0.5996,0.5996,42.2389,167
43,2007-03-28,0.5996,0.5996,0.5166,0.5166,36.3905,23
44,2007-03-30,0.5074,0.5074,0.5074,0.5074,35.7406,22
45,2007-04-02,0.4706,0.4706,0.4706,0.4706,33.1413,43
46,2007-04-03,0.4152,0.4152,0.4152,0.4152,29.2423,65
47,2007-04-05,0.369,0.4152,0.3506,0.4152,29.2423,104
48,2007-04-11,0.2952,0.2952,0.2768,0.286,20.1447,303
49,2007-04-13,0.2306,0.286,0.2306,0.286,20.1447,61
50,2007-04-20,0.1938,0.1938,0.1846,0.1846,12.9966,87
51,2007-04-23,0.2122,0.2122,0.1846,0.203,14.2963,65
52,2007-04-26,0.1568,0.1846,0.1476,0.1846,12.9966,95
53,2007-04-27,0.12,0.1476,0.12,0.1476,10.3973,188
54,2007-04-30,0.1292,0.1292,0.12,0.12,8.4478,87
55,2007-05-03,0.1292,0.1292,0.1292,0.1292,9.0976,1
56,2007-05-07,0.1292,0.1292,0.12,0.1292,9.0976,108
57,2007-05-17,0.0922,0.0922,0.083,0.083,5.8485,260
58,2007-05-21,0.083,0.083,0.083,0.083,5.8485,74
59,2007-05-25,0.083,0.083,0.083,0.083,5.8485,132
60,2007-06-01,0.0922,0.0922,0.0922,0.0922,6.4983,126
61,2007-06-06,0.0738,0.0738,0.0646,0.0646,4.5488,87
62,2007-06-08,0.0646,0.0646,0.0646,0.0646,4.5488,130
63,2007-06-11,0.0646,0.0646,0.0646,0.0646,4.5488,206
64,2007-06-18,0.083,0.083,0.083,0.083,5.8485,43
65,2007-06-22,0.0738,0.0738,0.0738,0.0738,5.1986,87
66,2007-06-25,0.083,0.083,0.083,0.083,5.8485,277
67,2007-06-27,0.083,0.0922,0.083,0.0922,6.4983,175
68,2007-06-29,0.0922,0.1384,0.0922,0.1384,9.7474,173
69,2007-07-06,0.0922,0.0922,0.0922,0.0922,6.4983,43
70,2007-07-12,0.0968,0.0968,0.0968,0.0968,6.8232,78
71,2007-07-13,0.1108,0.12,0.1108,0.12,8.4478,130
72,2007-07-16,0.1384,0.1384,0.1384,0.1384,9.7474,43
73,2007-07-17,0.166,0.166,0.166,0.166,11.6969,61
74,2007-07-24,0.166,0.166,0.166,0.166,11.6969,43
75,2007-07-25,0.1752,0.2306,0.1752,0.2306,16.2457,130
76,2007-07-27,0.1752,0.1752,0.1752,0.1752,12.3468,130
77,2007-08-02,0.1938,0.1938,0.1938,0.1938,13.6464,9
78,2007-08-06,0.1938,0.1938,0.1938,0.1938,13.6464,52
79,2007-08-08,0.1752,0.1752,0.1752,0.1752,12.3468,43
80,2007-08-10,0.1846,0.1846,0.1846,0.1846,12.9966,43
81,2007-08-14,0.1846,0.1846,0.1846,0.1846,12.9966,9
82,2007-08-16,0.1938,0.1938,0.1938,0.1938,13.6464,43
83,2007-08-20,0.1938,0.1938,0.1938,0.1938,13.6464,12
84,2007-08-21,0.1938,0.1938,0.1846,0.1846,12.9966,134
85,2007-08-24,0.1846,0.1846,0.1846,0.1846,12.9966,10
86,2007-08-27,0.1846,0.1846,0.1846,0.1846,12.9966,87
87,2007-08-28,0.1752,0.1752,0.1752,0.1752,12.3468,43
88,2007-08-30,0.1752,0.1752,0.1752,0.1752,12.3468,173
89,2007-08-31,0.1752,0.1846,0.1752,0.1846,12.9966,173
90,2007-09-10,0.1846,0.1846,0.1846,0.1846,12.9966,9
91,2007-09-11,0.1846,0.1846,0.1846,0.1846,12.9966,43
92,2007-09-18,0.1846,0.1846,0.1846,0.1846,12.9966,5
93,2007-09-20,0.1846,0.1846,0.1846,0.1846,12.9966,125
94,2007-09-26,0.1752,0.1752,0.1752,0.1752,12.3468,114
95,2007-10-02,0.1846,0.1846,0.1752,0.1752,12.3468,87
96,2007-10-03,0.1752,0.1752,0.1752,0.1752,12.3468,56
97,2007-10-19,0.1752,0.1752,0.1752,0.1752,12.3468,49
98,2007-10-23,0.1752,0.1752,0.1752,0.1752,12.3468,173
99,2007-11-05,0.1752,0.1752,0.1752,0.1752,12.3468,130
100,2007-11-16,0.1752,0.1752,0.1752,0.1752,12.3468,9
101,2007-11-20,0.1752,0.1752,0.1108,0.1108,7.798,307
102,2007-12-03,0.1384,0.1384,0.1384,0.1384,9.7474,43
103,2007-12-06,0.1846,0.1846,0.1846,0.1846,12.9966,35
104,2008-01-07,0.0922,0.2214,0.0922,0.2214,15.5959,253
105,2008-01-08,0.2768,0.2768,0.2768,0.2768,19.4949,49
106,2008-01-22,0.1108,0.1108,0.1108,0.1108,7.798,43
107,2008-01-30,0.0922,0.1384,0.0922,0.0922,6.4983,173
108,2008-02-04,0.12,0.12,0.12,0.12,8.4478,43
109,2008-02-05,0.12,0.12,0.12,0.12,8.4478,130
110,2008-02-08,0.12,0.12,0.12,0.12,8.4478,43
111,2008-02-11,0.12,0.12,0.12,0.12,8.4478,156
112,2008-02-19,0.12,0.12,0.12,0.12,8.4478,43
113,2008-02-21,0.1846,0.1846,0.1476,0.1476,10.3973,217
114,2008-03-10,0.0922,0.0922,0.0922,0.0922,6.4983,43
115,2008-03-17,0.0922,0.0922,0.0922,0.0922,6.4983,54
116,2008-03-19,0.0922,0.0922,0.0922,0.0922,6.4983,43
117,2008-03-31,0.0922,0.1014,0.0922,0.1014,7.1481,84
118,2008-04-01,0.12,0.12,0.0922,0.0922,6.4983,217
119,2008-04-03,0.1108,0.1108,0.1108,0.1108,7.798,173
120,2008-04-18,0.1014,0.1014,0.0922,0.0922,6.4983,152
121,2008-05-02,0.12,0.1292,0.12,0.1292,9.0976,173
122,2008-05-06,0.1292,0.1292,0.1292,0.1292,9.0976,17
123,2008-05-07,0.1476,0.1476,0.1476,0.1476,10.3973,108
124,2008-05-09,0.1384,0.1384,0.1292,0.1384,9.7474,260
125,2008-05-28,0.1384,0.1384,0.1384,0.1384,9.7474,52
126,2008-06-10,0.12,0.12,0.047,0.0646,4.5488,520
127,2008-06-11,0.0922,0.0922,0.0922,0.0922,6.4983,87
128,2008-06-12,0.0922,0.0922,0.0922,0.0922,6.4983,87
129,2008-06-13,0.0646,0.0646,0.0554,0.0554,3.899,173
130,2008-06-17,0.083,0.0922,0.083,0.0922,6.4983,173
131,2008-06-19,0.0922,0.0922,0.0922,0.0922,6.4983,87
132,2008-06-20,0.0738,0.0738,0.0646,0.0646,4.5488,173
133,2008-06-23,0.0646,0.0738,0.0646,0.0646,4.5488,260
134,2008-06-24,0.0646,0.0646,0.0646,0.0646,4.5488,87
135,2008-06-30,0.06,0.06,0.0462,0.0462,3.2491,173
136,2008-07-03,0.0738,0.0738,0.0738,0.0738,5.1986,303
137,2008-07-07,0.0646,0.0646,0.0462,0.0462,3.2491,191
138,2008-07-11,0.0646,0.0646,0.0646,0.0646,4.5488,87
139,2008-07-14,0.0646,0.0646,0.0646,0.0646,4.5488,95
140,2008-07-18,0.0554,0.0554,0.0554,0.0554,3.899,130
141,2008-08-06,0.0554,0.0554,0.0462,0.0462,3.2491,217
142,2008-08-07,0.0462,0.0646,0.0462,0.0646,4.5488,347
143,2008-08-08,0.0646,0.0646,0.0554,0.0554,3.899,104
144,2008-08-12,0.0646,0.0646,0.0646,0.0646,4.5488,9
145,2008-08-27,0.0646,0.0646,0.0646,0.0646,4.5488,186
146,2008-09-04,0.0738,0.0738,0.0738,0.0738,5.1986,121
147,2008-09-12,0.0738,0.0738,0.0738,0.0738,5.1986,43
148,2008-09-17,0.0738,0.0922,0.0738,0.0922,6.4983,186
149,2008-09-18,0.0738,0.0738,0.0646,0.0646,4.5488,17
150,2008-10-09,0.0738,0.0738,0.0646,0.0646,4.5488,52
151,2008-10-17,0.0646,0.0646,0.0646,0.0646,4.5488,92
152,2008-11-03,0.0646,0.0646,0.0646,0.0646,4.5488,43
153,2008-11-05,0.0462,0.0554,0.0462,0.0554,3.899,269
154,2008-11-07,0.0462,0.0462,0.0462,0.0462,3.2491,145
155,2008-12-17,0.0646,0.0646,0.0646,0.0646,4.5488,87
156,2008-12-18,0.0646,0.0646,0.0646,0.0646,4.5488,178
157,2008-12-19,0.1384,0.1384,0.0922,0.0922,6.4983,95
158,2008-12-22,0.0922,0.0922,0.0922,0.0922,6.4983,52
159,2009-01-05,0.0554,0.0554,0.0554,0.0554,3.899,170
160,2009-01-12,0.0738,0.1384,0.0738,0.1384,9.7474,286
161,2009-01-14,0.0922,0.0922,0.0738,0.0738,5.1986,87
162,2009-01-15,0.083,0.083,0.083,0.083,5.8485,130
163,2009-01-16,0.1384,0.1384,0.1384,0.1384,9.7474,143
164,2009-01-20,0.1384,0.1384,0.1384,0.1384,9.7474,87
165,2009-01-21,0.1384,0.1384,0.1292,0.1292,9.0976,17
166,2009-01-23,0.12,0.12,0.12,0.12,8.4478,22
167,2009-01-29,0.1014,0.1014,0.1014,0.1014,7.1481,87
168,2009-01-30,0.1014,0.1014,0.1014,0.1014,7.1481,87
169,2009-02-17,0.12,0.12,0.12,0.12,8.4478,87
170,2009-02-24,0.12,0.12,0.12,0.12,8.4478,43
171,2009-02-25,0.12,0.12,0.1014,0.1014,7.1481,237
172,2009-03-03,0.1108,0.12,0.1108,0.12,8.4478,113
173,2009-03-06,0.1108,0.1384,0.1108,0.1384,9.7474,269
174,2009-03-12,0.1108,0.1108,0.0922,0.0922,6.4983,216
175,2009-03-19,0.1014,0.1014,0.0922,0.0922,6.4983,180
176,2009-03-24,0.0922,0.0922,0.0922,0.0922,6.4983,87
177,2009-03-25,0.1014,0.1014,0.1014,0.1014,7.1481,3
178,2009-03-27,0.1014,0.12,0.1014,0.12,8.4478,188
179,2009-04-02,0.083,0.083,0.083,0.083,5.8485,51
180,2009-04-08,0.0922,0.1384,0.0922,0.1384,9.7474,104
181,2009-04-09,0.0922,0.0922,0.0922,0.0922,6.4983,56
182,2009-04-14,0.0922,0.0922,0.0922,0.0922,6.4983,113
183,2009-04-15,0.0922,0.0922,0.0922,0.0922,6.4983,87
184,2009-04-20,0.0922,0.0922,0.0922,0.0922,6.4983,130
185,2009-04-22,0.0922,0.1384,0.0922,0.1384,9.7474,108
186,2009-04-23,0.12,0.12,0.1108,0.1108,7.798,56
187,2009-04-30,0.083,0.083,0.083,0.083,5.8485,10
188,2009-05-07,0.12,0.12,0.12,0.12,8.4478,43
189,2009-05-12,0.12,0.12,0.12,0.12,8.4478,43
190,2009-06-03,0.083,0.083,0.083,0.083,5.8485,43
191,2009-06-04,0.083,0.083,0.083,0.083,5.8485,130
192,2009-06-05,0.0922,0.0922,0.0922,0.0922,6.4983,87
193,2009-06-08,0.1108,0.12,0.1108,0.12,8.4478,286
194,2009-06-09,0.12,0.12,0.12,0.12,8.4478,87
