,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2004-06-23,15.0,17.3,14.75,17.2,4.3,43584000
1,2004-06-24,17.55,17.69,16.5,16.76,4.19,8887200
2,2004-06-25,16.51,16.75,15.79,15.8,3.95,6710000
3,2004-06-28,16.0,16.21,15.436,16.0,4.0,2270800
4,2004-06-29,16.0,16.7,15.83,16.4,4.1,2112000
5,2004-06-30,16.4,16.94,16.03,16.07,4.0175,2087600
6,2004-07-01,16.08,16.2,15.9,16.03,4.0075,1754800
7,2004-07-02,16.1,16.98,16.05,16.98,4.245,993200
8,2004-07-06,16.93,17.0,16.48,17.0,4.25,1216800
9,2004-07-07,16.9,16.9,16.05,16.31,4.0775,1787600
10,2004-07-08,16.31,16.31,15.66,15.74,3.935,2179200
11,2004-07-09,15.94,16.57,15.9,16.4,4.1,596800
12,2004-07-12,16.6,16.83,16.15,16.75,4.1875,780800
13,2004-07-13,16.74,16.74,16.08,16.08,4.02,1674000
14,2004-07-14,16.05,16.05,15.58,15.65,3.9125,2366000
15,2004-07-15,15.75,15.8,14.94,15.34,3.835,1806000
16,2004-07-16,15.4,16.4,14.96,16.0,4.0,3278800
17,2004-07-19,16.05,16.17,15.83,16.01,4.0025,954800
18,2004-07-20,16.01,16.18,15.53,16.06,4.015,2245200
19,2004-07-21,16.1,16.1,11.05,11.7,2.925,25437600
20,2004-07-22,11.55,13.18,11.3,12.98,3.245,9824800
21,2004-07-23,12.95,13.5,12.75,13.04,3.26,1674400
22,2004-07-26,13.55,13.55,12.88,13.28,3.32,1286000
23,2004-07-27,13.38,13.43,13.1,13.14,3.285,751200
24,2004-07-28,13.05,13.22,12.6,12.99,3.2475,1534800
25,2004-07-29,13.0,13.35,12.95,12.96,3.24,908000
26,2004-07-30,12.96,13.2,12.55,13.01,3.2525,815200
27,2004-08-02,12.98,13.08,12.57,12.81,3.2025,1297600
28,2004-08-03,12.8,13.09,11.99,12.13,3.0325,2944400
29,2004-08-04,12.13,12.15,11.95,11.98,2.995,2746800
30,2004-08-05,11.99,11.99,10.68,10.9,2.725,3030400
31,2004-08-06,10.9,11.0,10.71,10.77,2.6925,1797200
32,2004-08-09,10.95,11.05,10.86,10.99,2.7475,1121600
33,2004-08-10,11.0,11.04,10.88,11.0,2.75,733200
34,2004-08-11,10.95,10.95,10.59,10.62,2.655,624400
35,2004-08-12,10.72,10.73,9.92,9.99,2.4975,1578000
36,2004-08-13,9.99,10.05,9.47,9.59,2.3975,2496000
37,2004-08-16,9.6,9.85,9.0,9.72,2.43,2171200
38,2004-08-17,9.88,10.99,9.88,10.97,2.7425,2968000
39,2004-08-18,10.9,12.15,10.68,11.95,2.9875,1697600
40,2004-08-19,11.95,12.25,11.7,12.17,3.0425,1310400
41,2004-08-20,12.5,13.2,11.89,12.6,3.15,4034800
42,2004-08-23,12.7,12.95,12.36,12.5,3.125,1127600
43,2004-08-24,12.6,12.78,12.42,12.77,3.1925,1072400
44,2004-08-25,12.8,13.05,12.5,12.96,3.24,1200800
45,2004-08-26,12.97,13.0,12.81,12.9,3.225,471200
46,2004-08-27,13.0,13.21,12.9,13.15,3.2875,463600
47,2004-08-30,13.22,13.26,13.06,13.17,3.2925,606000
48,2004-08-31,13.2,13.25,12.7,13.0,3.25,874400
49,2004-09-01,13.2,13.33,13.16,13.33,3.3325,512800
50,2004-09-02,13.28,13.97,13.28,13.89,3.4725,998800
51,2004-09-03,13.9,13.94,13.62,13.75,3.4375,924000
52,2004-09-07,13.76,13.76,13.4,13.43,3.3575,1193200
53,2004-09-08,13.33,13.33,13.15,13.24,3.31,550000
54,2004-09-09,13.24,13.3,12.97,13.17,3.2925,2529200
55,2004-09-10,13.15,14.3,13.15,14.25,3.5625,2795200
56,2004-09-13,14.4,15.5,14.4,15.2,3.8,4345200
57,2004-09-14,15.2,16.09,15.0,15.91,3.9775,2052000
58,2004-09-15,15.92,17.14,15.7,16.34,4.085,4147200
59,2004-09-16,16.35,16.49,16.06,16.26,4.065,2518400
60,2004-09-17,16.2,16.21,14.84,15.67,3.9175,4487600
61,2004-09-20,15.75,16.1,15.69,16.01,4.0025,597200
62,2004-09-21,16.05,16.9,16.05,16.36,4.09,2327200
63,2004-09-22,16.3,16.3,15.81,16.07,4.0175,2076800
64,2004-09-23,16.07,16.07,15.65,15.71,3.9275,1117600
