,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-11-03,42.2496,42.2496,41.2452,42.2496,0.178,4460400
1,1980-11-05,42.6276,45.3708,42.6276,42.6276,0.1796,8208000
2,1980-11-06,42.6276,42.6276,41.2452,41.7528,0.1759,2613600
3,1980-11-07,41.6232,41.6232,41.1264,41.5044,0.1749,1987200
4,1980-11-10,41.5044,41.8716,41.5044,41.6232,0.1754,3261600
5,1980-11-11,41.8716,43.6212,41.8716,42.9948,0.1812,6663600
6,1980-11-12,43.254,45.0036,43.254,44.496,0.1875,8607600
7,1980-11-13,44.7552,45.63,44.7552,45.63,0.1923,6080400
8,1980-11-14,45.63,46.1268,45.0036,45.5004,0.1917,6264000
9,1980-11-17,45.1224,45.1224,44.874,45.1224,0.1901,7797600
10,1980-11-18,45.1224,46.3752,45.0036,45.8784,0.1933,8704800
11,1980-11-19,45.8784,46.5048,45.7488,45.8784,0.1933,17442000
12,1980-11-20,45.8784,45.9972,45.0036,45.1224,0.1901,4428000
13,1980-11-21,45.1224,45.5004,45.1224,45.5004,0.1917,15076800
14,1980-11-24,45.5004,45.5004,44.7552,45.3708,0.1912,10303200
15,1980-11-25,45.3708,45.63,45.0036,45.5004,0.1917,7128000
16,1980-11-26,45.5004,45.5004,45.1224,45.252,0.1907,8812800
17,1980-11-28,45.3708,45.5004,45.3708,45.5004,0.1917,4633200
18,1980-12-01,45.5004,45.5004,44.7552,45.1224,0.1901,12592800
19,1980-12-02,45.0036,45.0036,44.1288,44.496,0.1875,6534000
20,1980-12-03,44.496,45.0036,43.9992,44.874,0.1891,6166800
21,1980-12-04,44.874,45.5004,44.874,45.3708,0.1912,8143200
22,1980-12-05,45.1224,45.1224,44.2476,44.496,0.1875,7808400
23,1980-12-08,44.2476,44.2476,42.7464,43.6212,0.1838,8748000
24,1980-12-09,43.6212,43.9992,42.9948,43.8804,0.1849,7365600
25,1980-12-10,43.8804,44.7552,43.8804,43.8804,0.1849,9925200
26,1980-12-11,43.254,43.254,41.7528,42.12,0.1775,9774000
27,1980-12-12,42.12,43.254,42.0012,42.9948,0.1812,5778000
28,1980-12-15,43.5024,43.9992,43.5024,43.9992,0.1854,11383200
29,1980-12-16,43.9992,43.9992,42.9948,43.3728,0.1828,61732800
30,1980-12-17,43.3728,43.9992,43.1244,43.8804,0.1849,5929200
31,1980-12-18,43.9992,45.3708,43.9992,44.7552,0.1886,8964000
32,1980-12-19,44.7552,45.252,44.6256,44.874,0.1891,2062800
33,1980-12-22,45.252,45.9972,45.252,45.8784,0.1933,5032800
34,1980-12-23,45.9972,47.0016,45.9972,46.872,0.1975,7657200
35,1980-12-24,46.872,48.6216,46.7532,48.3732,0.2038,7808400
36,1980-12-26,48.3732,49.3776,47.7468,48.5028,0.2044,3596400
37,1980-12-29,48.5028,49.1292,47.3796,47.3796,0.1996,5659200
38,1980-12-30,47.3796,47.4984,46.6236,47.4984,0.2001,2667600
39,1980-12-31,47.4984,47.7468,47.1204,47.7468,0.2012,4752000
40,1981-01-02,47.7468,48.3732,47.628,47.8764,0.2017,3261600
41,1981-01-05,47.8764,48.87,47.4984,48.7512,0.2054,6717600
42,1981-01-06,48.7512,49.7448,48.7512,48.9996,0.2065,12387600
43,1981-01-07,48.9996,48.9996,45.0036,47.9952,0.2022,24094800
44,1981-01-08,47.9952,48.7512,47.3796,47.3796,0.1996,15411600
45,1981-01-09,47.3796,48.1248,46.5048,46.7532,0.197,17280000
46,1981-01-12,46.872,47.7468,46.872,47.1204,0.1986,19839600
47,1981-01-13,47.0016,47.0016,46.3752,46.7532,0.197,14245200
48,1981-01-14,46.7532,47.1204,46.6236,46.6236,0.1965,8294400
49,1981-01-15,46.7532,47.25,46.7532,47.25,0.1991,4903200
50,1981-01-16,47.628,48.6216,47.628,48.3732,0.2038,8985600
51,1981-01-19,48.9996,49.8744,48.9996,49.7448,0.2096,10864800
52,1981-01-20,49.7448,51.5052,49.626,49.8744,0.2102,12117600
53,1981-01-21,49.8744,50.2524,49.1292,50.1228,0.2112,12636000
54,1981-01-22,50.1228,50.2524,49.3776,49.7448,0.2096,4557600
55,1981-01-23,49.7448,50.3712,49.3776,49.626,0.2091,7689600
56,1981-01-26,49.3776,49.3776,48.9996,48.9996,0.2065,5983200
57,1981-01-27,48.9996,50.2524,48.9996,50.2524,0.2118,5562000
58,1981-01-28,50.2524,51.246,50.1228,50.9976,0.2149,5421600
59,1981-01-29,50.9976,51.3756,50.6304,51.246,0.2159,5313600
60,1981-01-30,51.5052,52.9956,51.5052,52.4988,0.2212,17226000
61,1981-02-02,52.2504,52.2504,50.5008,50.9976,0.2149,10897200
62,1981-02-03,50.9976,51.3756,50.7492,51.3756,0.2165,13478400
63,1981-02-04,51.3756,52.38,51.1272,52.002,0.2191,22474800
64,1981-02-05,52.002,52.1208,51.5052,51.5052,0.217,12560400
65,1981-02-06,51.5052,52.6284,51.3756,51.7536,0.2181,29484000
66,1981-02-09,51.7536,51.7536,49.626,49.7448,0.2096,5691600
67,1981-02-10,49.7448,50.1228,49.248,49.7448,0.2096,8434800
68,1981-02-11,49.7448,49.8744,48.2544,48.6216,0.2049,6652800
69,1981-02-12,47.9952,47.9952,45.7488,45.9972,0.1938,9860400
70,1981-02-13,45.9972,46.6236,44.496,45.3708,0.1912,9212400
71,1981-02-17,45.3708,46.7532,45.252,46.5048,0.196,12042000
72,1981-02-18,47.0016,47.9952,47.0016,47.9952,0.2022,6620400
73,1981-02-19,47.9952,48.2544,47.0016,47.1204,0.1986,6771600
74,1981-02-20,47.1204,47.4984,45.7488,45.9972,0.1938,4849200
75,1981-02-23,45.9972,47.25,45.3708,46.7532,0.197,5162400
76,1981-02-24,47.3796,48.3732,47.3796,47.7468,0.2012,11232000
77,1981-02-25,47.7468,47.9952,46.7532,47.0016,0.1981,6739200
78,1981-02-26,47.3796,48.2544,47.3796,47.4984,0.2001,5562000
79,1981-02-27,47.4984,48.2544,46.5048,47.1204,0.1986,9050400
80,1981-03-02,47.0016,47.0016,45.8784,46.6236,0.1965,6836400
81,1981-03-03,46.7532,47.4984,46.7532,46.872,0.1975,8218800
82,1981-03-04,47.0016,47.7468,47.0016,47.0016,0.1981,3952800
83,1981-03-05,47.0016,47.25,46.6236,46.7532,0.197,3164400
84,1981-03-06,46.7532,47.0016,46.2456,46.2456,0.1949,1360800
85,1981-03-09,46.2456,46.3752,46.1268,46.1268,0.1944,3715200
86,1981-03-10,46.1268,46.5048,46.1268,46.2456,0.1949,7657200
87,1981-03-11,46.2456,46.5048,45.252,45.7488,0.1928,6933600
88,1981-03-12,47.25,49.248,47.25,48.9996,0.2065,15454800
89,1981-03-13,49.8744,50.3712,49.8744,50.004,0.2107,15973200
90,1981-03-16,50.004,51.246,49.8744,51.1272,0.2154,5346000
91,1981-03-17,51.1272,51.5052,50.6304,50.9976,0.2149,7624800
92,1981-03-18,50.7492,50.7492,49.4964,50.7492,0.2138,6966000
93,1981-03-19,50.6304,50.6304,49.7448,49.8744,0.2102,9730800
94,1981-03-20,49.8744,50.9976,49.8744,50.7492,0.2138,9309600
95,1981-03-23,50.9976,51.7536,50.9976,51.3756,0.2165,16642800
96,1981-03-24,51.5052,52.1208,51.5052,51.8724,0.2186,17539200
97,1981-03-25,51.8724,53.7516,51.624,53.7516,0.2265,20692800
98,1981-03-26,53.8704,55.0044,53.8704,54.2484,0.2286,13597200
99,1981-03-27,54.2484,55.0044,53.5032,53.5032,0.2255,10065600
100,1981-03-30,53.5032,55.3716,52.8768,54.4968,0.2296,8683200
101,1981-03-31,54.4968,55.62,54.2484,55.5012,0.2339,6890400
102,1981-04-01,54.4968,54.4968,53.5032,53.7516,0.2265,25790400
103,1981-04-02,52.4988,52.4988,51.5052,52.38,0.2207,25898400
104,1981-04-03,52.2504,52.2504,51.8724,52.1208,0.2196,12484800
105,1981-04-06,51.5052,51.5052,50.6304,50.8788,0.2144,6480000
106,1981-04-07,50.9976,51.8724,50.9976,51.8724,0.2186,6134400
107,1981-04-08,51.8724,54.0,51.7536,54.0,0.2275,8877600
108,1981-04-09,54.0,54.2484,53.5032,54.2484,0.2286,6922800
109,1981-04-10,54.2484,54.4968,53.8704,53.8704,0.227,6642000
110,1981-04-13,53.7516,53.7516,52.6284,52.9956,0.2233,2775600
111,1981-04-14,52.9956,53.5032,52.8768,53.1252,0.2239,4546800
112,1981-04-15,53.1252,54.2484,52.7472,54.2484,0.2286,3423600
113,1981-04-16,54.2484,54.8748,53.5032,53.8704,0.227,5572800
114,1981-04-20,53.8704,53.8704,53.1252,53.1252,0.2239,4406400
115,1981-04-21,53.1252,53.3736,52.002,52.002,0.2191,13413600
116,1981-04-22,52.002,52.2504,51.7536,52.1208,0.2196,3542400
117,1981-04-23,52.2504,53.5032,52.2504,52.9956,0.2233,6663600
118,1981-04-24,52.9956,53.7516,52.9956,53.7516,0.2265,5551200
119,1981-04-27,53.5032,53.5032,52.9956,52.9956,0.2233,4428000
120,1981-04-28,52.9956,53.2548,52.8768,52.9956,0.2233,3801600
121,1981-04-29,52.7472,52.7472,52.002,52.002,0.2191,7549200
122,1981-04-30,51.8724,51.8724,50.5008,50.5008,0.2128,15390000
123,1981-05-01,50.5008,50.7492,49.1292,50.004,0.2107,9709200
124,1981-05-04,49.8744,49.8744,48.1248,49.626,0.2091,4719600
125,1981-05-05,49.4964,49.4964,48.2544,49.4964,0.2086,9676800
126,1981-05-06,49.7448,50.7492,49.7448,50.3712,0.2123,8748000
127,1981-05-07,50.3712,51.3756,50.2524,51.3756,0.2165,2937600
128,1981-05-08,51.7536,52.2504,51.7536,52.1208,0.2196,3034800
129,1981-05-11,51.8724,51.8724,49.626,50.5008,0.2128,20541600
130,1981-05-12,50.5008,50.8788,50.2524,50.8788,0.2144,9687600
131,1981-05-13,50.8788,51.246,50.3712,50.7492,0.2138,7970400
132,1981-05-14,50.7492,50.8788,50.5008,50.7492,0.2138,7884000
133,1981-05-15,50.7492,51.246,50.7492,50.8788,0.2144,4849200
134,1981-05-18,50.8788,51.246,50.004,51.246,0.2159,3207600
135,1981-05-19,51.246,51.246,50.2524,50.5008,0.2128,5054400
136,1981-05-20,50.5008,50.8788,50.3712,50.7492,0.2138,2030400
137,1981-05-21,50.7492,50.8788,50.3712,50.8788,0.2144,8056800
