,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2014-06-20,98.0,98.7,98.0,98.7,22.4142,7385
1,2014-06-23,98.6,98.6,98.5,98.6,22.3915,1211
2,2014-06-24,98.9,99.0,98.8,98.85,22.4483,1200
3,2014-06-25,98.0,98.2,97.6,98.0,22.2552,980
4,2014-06-26,97.0,99.0,97.0,98.5,22.3689,678
5,2014-06-27,99.0,99.05,98.0,98.0,22.2552,402
6,2014-06-30,99.1,99.1,99.05,99.1,22.505,450
7,2014-07-01,99.0,99.1,98.5,98.5,22.3689,525
8,2014-07-02,99.0,99.3,99.0,99.3,22.5505,405
9,2014-07-03,98.0,99.0,98.0,99.0,22.4823,310
10,2014-07-04,104.25,104.25,99.45,99.45,22.5846,398
11,2014-07-07,98.5,102.0,98.4,99.2,22.5277,253
12,2014-07-08,99.5,99.6,97.0,99.4,22.5731,1478
13,2014-07-09,90.0,99.5,90.0,99.4,22.5731,2060
14,2014-07-10,99.5,100.05,99.4,100.0,22.7093,1663
15,2014-07-11,99.5,99.6,98.6,99.6,22.6185,1560
16,2014-07-14,99.8,99.9,98.5,98.5,22.3689,1506
17,2014-07-15,98.6,100.0,98.6,100.0,22.7093,1163
18,2014-07-16,98.5,100.5,98.5,98.6,22.3915,964
19,2014-07-17,100.5,100.5,98.8,98.8,22.4368,1011
20,2014-07-18,100.5,100.8,98.5,100.8,22.891,1100
21,2014-07-21,102.0,102.95,99.4,102.95,23.3794,1163
22,2014-07-22,99.6,101.9,99.6,99.6,22.6185,1086
23,2014-07-23,101.9,102.0,98.9,100.0,22.7093,703
24,2014-07-24,99.95,99.95,98.3,99.9,22.6867,400
25,2014-07-25,100.0,100.0,98.55,98.55,22.3802,646
26,2014-07-28,99.95,99.95,98.0,98.0,22.2552,353
27,2014-07-30,98.0,98.5,98.0,98.5,22.3689,425
28,2014-07-31,100.0,100.0,98.0,98.0,22.2552,150
29,2014-08-01,100.0,100.0,98.0,99.0,22.4823,180
30,2014-08-04,99.0,99.0,99.0,99.0,22.4823,100
31,2014-08-05,99.0,99.0,99.0,99.0,22.4823,101
32,2014-08-06,98.0,99.0,98.0,99.0,22.4823,105
33,2014-08-08,100.0,100.0,99.0,99.0,22.4823,250
34,2014-08-11,102.0,102.0,102.0,102.0,23.1636,100
35,2014-08-12,105.0,105.7,105.0,105.7,24.0039,500
36,2014-08-13,99.5,101.0,98.9,98.9,22.4596,755
37,2014-08-14,105.0,105.0,103.0,103.0,23.3907,338
38,2014-08-18,105.0,105.5,105.0,105.5,23.9584,400
39,2014-08-19,102.0,102.5,102.0,102.5,23.2772,440
40,2014-08-20,102.5,102.5,98.8,98.8,22.4368,483
41,2014-08-21,110.0,110.0,99.5,100.0,22.7093,580
42,2014-08-22,99.5,99.5,99.5,99.5,22.596,200
43,2014-08-25,95.0,105.5,95.0,105.5,23.9584,759
44,2014-08-26,102.0,102.0,102.0,102.0,23.1636,150
45,2014-08-27,105.0,105.0,101.0,101.0,23.0586,233
46,2014-08-28,110.0,110.0,110.0,110.0,25.1134,1
47,2014-09-01,132.0,132.0,100.0,100.1,22.8532,1616
48,2014-09-02,102.0,105.0,100.3,105.0,23.9718,597
49,2014-09-03,100.0,110.0,100.0,102.2,23.3325,458
50,2014-09-04,99.05,99.1,99.0,99.0,22.602,200
51,2014-09-05,99.05,104.0,91.6,93.5,21.3464,2129
52,2014-09-08,88.0,91.0,88.0,88.75,20.2619,3973
53,2014-09-09,90.0,90.0,86.05,86.05,19.6454,2966
54,2014-09-10,85.2,89.85,85.0,87.0,19.8625,3940
55,2014-09-11,86.5,86.7,86.1,86.3,19.7025,3581
56,2014-09-12,87.4,87.5,84.0,84.95,19.3944,8668
57,2014-09-15,85.95,86.7,78.0,79.0,18.0359,10348
58,2014-09-16,78.0,79.95,77.2,79.5,18.15,9425
59,2014-09-17,80.1,85.0,80.0,80.2,18.3098,7554
60,2014-09-18,79.2,96.2,78.9,96.2,21.9627,9391
61,2014-09-19,83.6,97.05,83.55,94.5,21.5747,4432
62,2014-09-22,94.25,109.0,83.55,105.0,23.9718,11199
63,2014-09-23,80.2,97.0,80.2,83.5,19.0633,6546
64,2014-09-24,100.0,100.0,86.05,100.0,22.8304,2286
65,2014-09-25,113.0,118.85,108.75,108.75,24.828,35950
66,2014-09-26,108.5,110.0,104.0,110.0,25.1134,49833
67,2014-09-29,129.0,129.0,102.0,102.0,23.2868,21564
68,2014-09-30,109.0,109.0,102.8,104.0,23.7434,14007
69,2014-10-01,103.1,103.7,101.6,101.6,23.1955,11500
70,2014-10-07,103.0,103.9,101.0,103.5,23.6294,11327
71,2014-10-08,84.0,123.0,84.0,102.2,23.3325,13084
72,2014-10-09,83.0,101.5,83.0,101.5,23.1728,10610
73,2014-10-10,100.1,100.7,99.25,100.3,22.8988,9179
74,2014-10-13,100.4,119.0,99.5,100.15,22.8646,11462
75,2014-10-14,100.0,102.0,99.5,101.5,23.1728,11493
76,2014-10-16,103.0,103.0,99.9,101.0,23.0586,33011
77,2014-10-17,100.05,101.0,99.9,100.75,23.0015,17238
78,2014-10-20,103.5,104.5,103.5,103.55,23.6407,24696
79,2014-10-21,105.0,105.55,104.95,105.2,24.0174,14041
80,2014-10-22,105.0,112.5,105.0,110.1,25.1362,21331
81,2014-10-23,112.5,112.55,112.05,112.55,25.6956,3712
82,2014-10-27,111.8,112.1,110.4,112.0,25.57,12437
83,2014-10-28,112.9,113.75,112.9,113.0,25.7983,17382
84,2014-10-29,113.5,114.05,113.5,113.95,26.0152,21870
85,2014-10-30,115.0,115.75,114.15,115.05,26.2662,42077
86,2014-10-31,113.0,116.0,112.0,115.0,26.2547,45384
87,2014-11-03,115.0,115.6,115.0,115.35,26.3348,38727
88,2014-11-05,115.5,116.1,114.15,115.55,26.3803,47808
89,2014-11-07,116.0,117.0,115.4,115.4,26.3461,51686
90,2014-11-10,114.0,114.95,113.7,114.2,26.0722,56274
91,2014-11-11,114.0,115.0,111.0,111.0,25.3417,86747
92,2014-11-12,114.0,115.45,107.0,107.0,24.4283,54980
93,2014-11-13,105.95,106.0,101.0,101.0,23.0586,29414
94,2014-11-14,100.5,102.2,100.05,100.05,22.8416,72023
95,2014-11-17,99.8,100.9,96.1,99.0,22.602,113941
96,2014-11-18,99.0,100.45,94.0,96.0,21.9172,90837
97,2014-11-19,99.0,100.0,95.0,99.9,22.8073,74288
