,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-12-08,30.0016,30.5019,25.5018,30.0016,1.9086,44501999
1,1995-12-11,31.1263,35.0017,31.0012,33.0019,2.0995,8887200
2,1995-12-12,32.7518,34.7515,32.0018,32.0018,2.0359,4262400
3,1995-12-13,31.5015,32.2515,31.2513,31.3764,1.9961,2055600
4,1995-12-14,31.0012,31.7516,26.7516,29.2516,1.8609,3476400
5,1995-12-15,28.7513,29.2516,28.251,28.251,1.7973,948000
6,1995-12-18,28.0018,28.251,24.7513,25.2516,1.6064,2029200
7,1995-12-19,25.0015,27.5015,25.0015,27.2514,1.7337,2164800
8,1995-12-20,27.5015,27.5015,26.7516,27.0012,1.7178,1099200
9,1995-12-21,26.7516,27.5015,26.7516,27.5015,1.7496,662400
10,1995-12-22,27.5015,27.5015,26.7516,27.2514,1.7337,634800
11,1995-12-26,27.5015,27.5015,26.7516,26.7516,1.7019,259200
12,1995-12-27,26.7516,30.752,26.7516,30.752,1.9564,1314000
13,1995-12-28,30.0016,31.0012,28.7513,30.2517,1.9245,618000
14,1995-12-29,30.2517,33.0019,30.2517,32.5016,2.0677,855600
15,1996-01-02,32.7518,33.0019,32.0018,32.0018,2.0359,450000
16,1996-01-03,32.0018,32.5016,29.2516,29.2516,1.8609,692400
17,1996-01-04,28.251,28.7513,27.0012,27.7517,1.7655,1677600
18,1996-01-05,27.0012,27.0012,25.2516,25.7509,1.6383,2160000
19,1996-01-08,26.5014,26.5014,25.5018,26.5014,1.686,477600
20,1996-01-09,25.5018,26.5014,25.0015,25.0015,1.5905,981600
21,1996-01-10,25.7509,25.7509,23.501,24.251,1.5428,1050000
22,1996-01-11,25.2516,28.5011,25.0015,26.7516,1.7019,1106400
23,1996-01-12,26.7516,27.2514,25.0015,27.2514,1.7337,879600
24,1996-01-15,27.2514,29.2516,27.2514,28.0018,1.7814,1006800
25,1996-01-16,28.251,28.251,24.7513,26.2512,1.6701,469200
26,1996-01-17,26.0011,27.7517,26.0011,27.2514,1.7337,348000
27,1996-01-18,27.2514,27.7517,27.0012,27.0012,1.7178,382800
28,1996-01-19,27.2514,28.0018,27.2514,28.0018,1.7814,326400
29,1996-01-22,27.5015,28.0018,27.5015,27.7517,1.7655,360000
30,1996-01-23,32.5016,32.7518,30.5019,31.2513,1.9882,3006000
31,1996-01-24,30.752,31.5015,30.627,30.627,1.9484,610800
32,1996-01-25,30.752,31.7516,30.752,30.752,1.9564,500400
33,1996-01-26,31.7516,31.7516,30.752,31.7516,2.02,156000
34,1996-01-29,31.7516,31.7516,30.752,31.7516,2.02,219600
35,1996-01-30,31.5015,33.0019,31.5015,31.7516,2.02,434400
36,1996-01-31,32.2515,32.2515,31.2513,31.7516,2.02,520800
37,1996-02-01,31.2513,31.7516,31.0012,31.0012,1.9723,62400
38,1996-02-02,31.7516,34.7515,31.2513,34.7515,2.2108,750000
39,1996-02-05,34.5018,36.5016,34.5018,36.0023,2.2904,529200
40,1996-02-06,36.0023,38.002,36.0023,37.5017,2.3858,675600
41,1996-02-07,37.5017,38.002,36.5016,36.7517,2.3381,842400
42,1996-02-08,36.7517,37.2521,36.7517,36.7517,2.3381,181200
43,1996-02-09,36.7517,37.2521,36.7517,37.2521,2.3699,246000
44,1996-02-12,36.7517,40.7522,36.7517,39.2518,2.4971,1652400
45,1996-02-13,39.0016,40.2519,38.5023,39.7521,2.529,1402800
46,1996-02-14,40.5021,42.002,39.7521,41.2525,2.6244,723600
47,1996-02-15,41.2525,45.5022,41.2525,42.2521,2.688,1340400
48,1996-02-16,43.0021,44.2519,42.5023,44.0017,2.7993,537600
49,1996-02-20,43.2523,44.2519,43.2523,43.3773,2.7596,289200
50,1996-02-21,44.0017,44.2519,43.2523,43.955,2.7964,368400
51,1996-02-22,44.2519,49.5021,44.0017,49.5021,3.1493,729600
52,1996-02-23,50.0024,52.2523,50.0024,51.3778,3.2686,1137600
53,1996-02-26,51.2527,52.2523,50.0024,52.2523,3.3242,1021200
54,1996-02-27,52.5025,55.7525,52.0022,54.7524,3.4833,1328400
55,1996-02-28,54.2531,54.5022,46.5028,47.2522,3.0061,1225200
56,1996-02-29,46.7519,47.2522,40.5021,43.5024,2.7675,6306000
57,1996-03-01,43.0021,43.7526,39.5019,42.5023,2.7039,2108400
58,1996-03-04,43.2523,46.0025,42.752,45.7523,2.9107,1191600
59,1996-03-05,47.0021,48.5025,45.8774,47.2522,3.0061,573600
60,1996-03-06,47.2522,47.2522,44.502,45.252,2.8789,306000
61,1996-03-07,44.2519,44.2519,39.2518,40.0018,2.5449,1844400
62,1996-03-08,39.0016,39.2518,35.0017,36.5016,2.3222,3118800
63,1996-03-11,37.5017,38.7515,36.5016,38.002,2.4176,3459600
64,1996-03-12,38.2522,46.2526,37.5017,46.1275,2.9345,4461600
65,1996-03-13,49.0028,51.3778,44.7522,46.6896,2.9703,3696000
66,1996-03-14,43.0021,43.7526,41.6268,42.752,2.7198,13941600
67,1996-03-15,43.7526,45.5022,43.5024,44.2519,2.8152,4718400
68,1996-03-18,45.252,45.5022,44.6271,44.7522,2.8471,1386000
69,1996-03-19,45.5022,45.5022,44.0017,44.0017,2.7993,1926000
70,1996-03-20,44.2519,44.2519,41.7518,43.0021,2.7357,1627200
71,1996-03-21,43.7526,43.7526,42.2521,42.2521,2.688,756000
72,1996-03-22,41.7518,43.5024,41.7518,43.5024,2.7675,1545600
73,1996-03-25,43.0021,43.5024,43.0021,43.0021,2.7357,315600
74,1996-03-26,43.0021,43.5024,42.5023,43.0021,2.7357,576000
75,1996-03-27,42.5023,43.5024,42.5023,43.0021,2.7357,814800
76,1996-03-28,43.0021,43.5024,42.752,43.5024,2.7675,700800
77,1996-03-29,43.5024,45.0023,43.0021,44.2519,2.8152,1890000
78,1996-04-01,43.7526,46.5028,43.7526,45.7523,2.9107,1191600
79,1996-04-02,46.5028,47.5024,46.0025,47.0021,2.9902,903600
80,1996-04-03,47.5024,48.7527,47.0021,48.2524,3.0697,1051200
81,1996-04-04,48.2524,49.5021,48.2524,49.252,3.1334,1952400
82,1996-04-08,48.5025,49.0028,47.0021,48.0022,3.0538,573600
83,1996-04-09,49.0028,51.0026,48.5025,51.0026,3.2447,3057600
84,1996-04-10,51.0026,51.0026,49.252,50.2526,3.197,1282800
85,1996-04-11,49.7523,50.7524,49.252,49.7523,3.1652,501600
86,1996-04-12,49.252,51.0026,49.252,50.7524,3.2288,1641600
87,1996-04-15,51.0026,54.7524,50.2526,54.2531,3.4515,818400
88,1996-04-16,55.3778,55.7525,54.7524,54.7524,3.4833,1227600
89,1996-04-17,54.7524,55.5028,53.2525,54.0029,3.4356,542400
90,1996-04-18,53.5026,55.7525,53.5026,55.7525,3.5469,444000
91,1996-04-19,56.0027,63.2531,55.7525,61.7532,3.9286,3902400
92,1996-04-22,62.5027,68.0031,62.2525,67.7529,4.3104,2973600
93,1996-04-23,76.7535,78.5036,73.0032,76.0035,4.8352,6194400
94,1996-04-24,72.0036,77.2538,71.2536,76.2537,4.8511,10947600
95,1996-04-25,74.5036,78.0033,74.0033,77.0036,4.8989,8943600
96,1996-04-26,76.5038,77.504,73.7536,76.7535,4.8829,2052000
97,1996-04-29,77.2538,78.5036,75.5032,78.5036,4.9943,2216400
98,1996-04-30,78.5036,79.0039,76.5038,78.0033,4.9625,1224000
99,1996-05-01,78.0033,85.0041,78.0033,81.0036,5.1533,2466000
