Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,23.313,23.938,23.282,23.938,23.938,467300
1998-01-02,23.75,23.875,23.157,23.282,23.282,576200
1998-01-05,23.375,23.813,23.032,23.063,23.063,598200
1998-01-06,23.095,23.813,23,23.595,23.595,970200
1998-01-07,23.578,23.578,22.97,23.125,23.125,478700
1998-01-08,23.125,23.313,23.063,23.22,23.22,727100
1998-01-09,23.203,23.203,22.438,22.453,22.453,646900
1998-01-12,22.375,22.47,22.032,22.157,22.157,829300
1998-01-13,22.188,23.125,22.172,23,23,369800
1998-01-14,22.938,23,22.657,22.735,22.735,343100
1998-01-15,22.735,23.345,22.688,22.907,22.907,425900
1998-01-16,22.845,23.125,22.845,22.953,22.953,747800
1998-01-20,22.813,23.595,22.813,23.313,23.313,1051600
1998-01-21,23.407,23.75,23.407,23.563,23.563,405900
1998-01-22,23.532,23.688,23.328,23.5,23.5,376600
1998-01-23,23,23,22.5,22.735,22.735,791800
1998-01-26,22.75,22.907,22.563,22.563,22.563,285700
1998-01-27,22.563,22.953,22.547,22.672,22.672,377100
1998-01-28,22.688,22.782,22.015,22.032,22.032,1032200
1998-01-29,22.125,22.657,22.015,22.485,22.485,1794800
1998-01-30,22.485,22.485,22.095,22.095,22.095,921400
1998-02-02,22,22.297,22,22.22,22.22,356400
1998-02-03,22.313,22.313,21.97,22.125,22.125,315100
1998-02-04,22.063,22.095,22,22.095,22.095,261000
1998-02-05,22.157,22.313,22.047,22.095,22.095,284300
1998-02-06,22.11,22.11,21.97,21.97,21.97,371900
1998-02-09,21.907,21.97,21.782,21.938,21.938,312300
1998-02-10,21.938,22.595,21.938,22.47,22.47,517500
1998-02-11,22.875,23.47,22.875,23.375,23.375,932800
1998-02-12,23.47,23.907,23.22,23.438,23.438,797200
1998-02-13,23.563,23.72,23.375,23.47,23.47,224900
1998-02-17,23.47,23.5,23.407,23.47,23.47,491400
1998-02-18,23.5,23.688,23.485,23.563,23.563,197500
1998-02-19,23.625,23.657,23.485,23.547,23.547,276300
1998-02-20,23.563,23.688,23.5,23.5,23.5,385800
1998-02-23,23.625,24.188,23.578,24.047,24.047,380600
1998-02-24,23.985,23.985,23.72,23.782,23.782,388600
1998-02-25,23.765,24.032,23.75,23.938,23.938,315800
1998-02-26,23.938,24.11,23.938,24.015,24.015,178900
1998-02-27,24.063,24.563,24.015,24.438,24.438,261600
1998-03-02,24.438,24.595,24.172,24.22,24.22,266300
1998-03-03,24.188,24.22,23.688,23.72,23.72,252900
1998-03-04,23.657,23.938,23.595,23.72,23.72,104700
1998-03-05,23.703,24.063,23.625,23.75,23.75,190200
1998-03-06,23.75,24.532,23.75,24.438,24.438,265000
