,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1972-06-01,64.2504,64.3752,63.4992,64.2504,0.6801,552000
1,1972-06-02,64.2504,65.6256,64.2504,65.5008,0.6933,396000
2,1972-06-05,65.376,65.376,64.5,65.2512,0.6907,242400
3,1972-06-06,65.2512,65.5008,64.5,64.6248,0.6841,448800
4,1972-06-07,64.2504,64.2504,63.7512,63.876,0.6761,578400
5,1972-06-08,64.1256,64.7496,64.1256,64.5,0.6827,208800
6,1972-06-09,64.3752,64.3752,64.0008,64.1256,0.6788,21600
7,1972-06-12,64.1256,64.3752,63.0,63.0,0.6669,124800
8,1972-06-13,62.2512,62.2512,60.4992,62.2512,0.6589,276000
9,1972-06-14,62.6256,64.0008,62.6256,63.2496,0.6695,211200
10,1972-06-15,63.2496,64.7496,63.1248,63.4992,0.6722,249600
11,1972-06-16,63.4992,63.7512,63.4992,63.7512,0.6748,309600
12,1972-06-19,63.7512,63.876,63.4992,63.7512,0.6748,55200
13,1972-06-20,63.7512,64.0008,63.624,63.7512,0.6748,192000
14,1972-06-21,63.7512,63.876,63.2496,63.2496,0.6695,223200
15,1972-06-22,63.2496,63.2496,62.2512,62.5008,0.6616,175200
16,1972-06-23,62.5008,62.5008,61.1256,61.1256,0.647,141600
17,1972-06-26,60.2496,60.2496,58.7496,59.5008,0.6298,518400
18,1972-06-27,59.8752,60.3744,59.8752,60.0,0.6351,199200
19,1972-06-28,60.0,60.0,59.5008,59.8752,0.6338,93600
20,1972-06-29,59.5008,59.5008,58.8744,59.2512,0.6272,182400
21,1972-06-30,59.2512,60.0,59.2512,59.2512,0.6272,410400
22,1972-07-03,59.2512,59.2512,58.7496,59.2512,0.6272,132000
23,1972-07-05,59.5008,59.8752,59.5008,59.7504,0.6325,146400
24,1972-07-06,60.0,60.4992,60.0,60.2496,0.6378,962400
25,1972-07-07,60.7512,61.9992,60.7512,61.9992,0.6563,645600
26,1972-07-10,61.9992,61.9992,61.7496,61.7496,0.6536,580800
27,1972-07-11,61.7496,61.9992,61.6248,61.9992,0.6563,132000
28,1972-07-12,61.9992,62.124,61.7496,61.9992,0.6563,403200
29,1972-07-13,61.9992,62.124,61.5,61.8744,0.655,2688000
30,1972-07-14,61.8744,61.8744,61.2504,61.8744,0.655,127200
31,1972-07-17,61.8744,61.9992,61.5,61.9992,0.6563,132000
32,1972-07-18,61.9992,62.124,61.7496,62.124,0.6576,427200
33,1972-07-19,62.124,62.6256,61.9992,62.5008,0.6616,100800
34,1972-07-20,62.5008,62.6256,62.124,62.124,0.6576,360000
35,1972-07-21,62.124,62.124,61.7496,61.9992,0.6563,612000
36,1972-07-24,61.9992,61.9992,61.5,61.5,0.651,170400
37,1972-07-25,61.5,61.9992,61.2504,61.2504,0.6483,136800
38,1972-07-26,61.7496,62.2512,61.7496,62.2512,0.6589,388800
39,1972-07-27,62.2512,62.2512,61.0008,61.2504,0.6483,249600
