,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2016-08-17,22.0054,22.2584,21.7525,21.7525,11.7513,137663
1,2016-08-18,24.36,24.36,23.52,23.66,23.66,496030
2,2016-08-19,23.64,24.08,23.61,24.08,24.08,1330000
3,2016-08-22,23.8,25.24,23.58,24.16,24.16,630310
4,2016-08-23,24.22,25.41,24.08,24.91,24.91,416180
5,2016-08-24,27.68,27.68,24.96,25.24,25.24,708890
6,2016-08-25,25.6,25.6,24.96,25.14,25.14,104300
7,2016-08-26,25.43,25.43,25.18,25.32,25.32,62730
8,2016-08-29,25.35,26.02,25.35,25.63,25.63,390150
9,2016-08-30,25.6,25.88,24.66,24.99,24.99,1350000
10,2016-08-31,24.77,24.96,24.36,24.73,24.73,2540000
11,2016-09-01,26.32,26.32,24.08,24.08,24.08,2540000
12,2016-09-02,24.3,24.3,23.64,23.79,23.79,2280000
13,2016-09-06,23.94,25.6,23.26,25.16,25.16,15800000
14,2016-09-07,24.95,27.33,24.92,26.57,26.57,41510000
15,2016-09-08,26.82,28.17,26.8,27.85,27.85,11550000
16,2016-09-09,27.58,27.77,26.64,27.17,27.17,7470000
17,2016-09-12,26.6,27.51,26.41,27.34,27.34,3930000
18,2016-09-13,26.64,27.48,26.57,26.85,26.85,5060000
19,2016-09-14,26.79,26.91,26.57,26.76,26.76,4830000
20,2016-09-15,26.64,27.14,26.58,27.06,27.06,4830000
21,2016-09-16,26.92,27.12,26.63,26.83,26.83,4990000
22,2016-09-19,26.7,27.06,26.66,26.99,26.99,4560000
23,2016-09-20,26.95,27.09,26.66,26.97,26.97,3370000
24,2016-09-21,26.78,27.12,26.72,26.8,26.8,4180000
25,2016-09-22,26.84,26.98,26.52,26.59,26.59,4790000
26,2016-09-23,26.5,26.83,26.47,26.57,26.57,2090000
27,2016-09-26,26.41,26.6,26.39,26.51,26.51,2840000
28,2016-09-27,26.45,26.56,26.37,26.45,26.45,2760000
29,2016-09-28,26.5,26.63,26.31,26.49,26.49,2250000
30,2016-09-29,26.35,26.53,26.3,26.33,26.33,1660000
31,2016-09-30,26.45,26.62,26.33,26.46,26.46,1730000
32,2016-10-03,26.36,26.6,26.34,26.53,26.53,1500000
33,2016-10-04,26.48,26.57,26.36,26.49,26.49,1680000
34,2016-10-05,26.43,27.05,26.29,26.83,26.83,1860000
35,2016-10-06,26.83,26.88,26.55,26.79,26.79,1440000
36,2016-10-07,26.79,26.83,26.54,26.61,26.61,986470
37,2016-10-10,26.61,26.79,26.21,26.3,26.3,1520000
