Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-21,21,21,15.4325,18.1,18.1,1117679
2020-09-22,19.19,20.0385,18.27,19.85,19.85,968274
2020-09-23,19.5,19.81,18.5045,19.27,19.27,266445
2020-09-24,19.61,19.61,18.61,18.89,18.89,627746
2020-09-25,18.88,19,18.37,18.74,18.74,395184
2020-09-28,18.79,19,18,18.5,18.5,233900
2020-09-29,19.23,19.23,18.29,18.35,18.35,248900
2020-09-30,18.13,18.5,17.37,17.6,17.6,201400
2020-10-01,17.6,18.25,16.52,16.82,16.82,174800
2020-10-02,16.5,17.23,16.25,16.8,16.8,196900
2020-10-05,16.73,17.5,16.52,17.27,17.27,114500
2020-10-06,17.27,17.8,16.75,16.99,16.99,148400
2020-10-07,16.95,17.42,16.79,16.97,16.97,41300
2020-10-08,16.85,17.67,16.63,17.08,17.08,169900
2020-10-09,17.08,17.25,16.91,17.06,17.06,38554
2020-10-12,16.98,17,16.62,16.89,16.89,26200
2020-10-13,16.89,18.08,16.86,17.5,17.5,432600
2020-10-14,17.14,17.57,17,17.25,17.25,323112
2020-10-15,17.2,17.27,16.77,17.05,17.05,188100
2020-10-16,17.07,17.43,16.82,16.85,16.85,81400
2020-10-19,16.92,17.37,16.8,16.8,16.8,121600
2020-10-20,16.71,17.45,16.71,16.89,16.89,217200
2020-10-21,17.01,17.31,16.52,16.99,16.99,61500
2020-10-22,16.91,17.43,16.88,16.97,16.97,122915
2020-10-23,16.82,17.24,16.82,16.95,16.95,128300
2020-10-26,16.92,17.25,16.68,16.93,16.93,135100
2020-10-27,16.83,17.01,16.75,17,17,115300
2020-10-28,16.93,16.93,16.29,16.47,16.47,73600
2020-10-29,16.47,17.09,15.96,16.75,16.75,109600
2020-10-30,16.59,17.06,16.29,16.59,16.59,76100
2020-11-02,16.55,16.77,16.15,16.41,16.41,49300
2020-11-03,16.4,16.99,16.2,16.57,16.57,93300
2020-11-04,16.57,17.1,16.29,16.75,16.75,144400
2020-11-05,16.8,17.75,16.8,16.9,16.9,63800
2020-11-06,17.06,17.42,16.64,16.73,16.73,87300
2020-11-09,17.5,20.2,17.12,17.67,17.67,279800
2020-11-10,17.6,18.84,17.59,18.22,18.22,347500
2020-11-11,18.2,18.86,17.8,17.9,17.9,194700
2020-11-12,17.8,18.25,17.8,17.94,17.94,80300
2020-11-13,18.08,18.37,17.8,17.92,17.92,106800
2020-11-16,18.01,18.55,17.88,18.5,18.5,481100
2020-11-17,18.55,18.62,17.25,18.2,18.2,464400
2020-11-18,18.36,19.15,18.05,18.71,18.71,863100
2020-11-19,18.7,19.43,18.35,18.89,18.89,594700
2020-11-20,19.13,19.71,18.81,19.32,19.32,96900
2020-11-23,19.57,20.2,19.22,19.79,19.79,199100
2020-11-24,20.13,20.85,19.88,20.25,20.25,712800
2020-11-25,20.51,21.2,19.99,20.83,20.83,213200
2020-11-27,21,22.42,20.97,22.42,22.42,44900
2020-11-30,22.52,23.49,21.87,22.46,22.46,85800
2020-12-01,23.31,24.19,22.51,23.5,23.5,937100
2020-12-02,23.38,24.91,23.12,23.7,23.7,233700
2020-12-03,23.95,24.39,23.78,24.16,24.16,200300
2020-12-04,24.25,25.34,23.45,24.67,24.67,1712900
2020-12-07,24.31,27.02,24.25,25.22,25.22,543500
2020-12-08,25.24,25.45,24.58,24.99,24.99,412100
2020-12-09,24.84,25.51,24.03,24.52,24.52,578873
2020-12-10,24.51,26.07,24.01,25.5,25.5,1137100
2020-12-11,24.7,26.19,24.7,25.91,25.91,708000
2020-12-14,26.69,26.69,25.76,26.18,26.18,727300
2020-12-15,26.71,26.71,25.14,26.11,26.11,485900
2020-12-16,26.15,27.33,25.8,26.41,26.41,545600
2020-12-17,26.66,26.98,26.44,26.81,26.81,750000
2020-12-18,26.71,26.91,25.41,25.58,25.58,3072738
2020-12-21,25.22,26.02,24.57,24.85,24.85,464800
2020-12-22,24.77,25.05,24.08,24.17,24.17,260300
2020-12-23,24.4,25.92,24.01,25.8,25.8,364000
2020-12-24,25.86,25.86,24.73,24.99,24.99,121000
2020-12-28,25.06,25.635,24.52,24.99,24.99,316794
2020-12-29,25.19,25.28,24.57,25.18,25.18,323524
2020-12-30,25,25.6897,24.67,25.26,25.26,282123
2020-12-31,25.26,26.08,24.86,25.69,25.69,97918
2021-01-04,25.65,27.2,25.65,26.81,26.81,419968
2021-01-05,27.16,28.3,26.845,27.66,27.66,444140
2021-01-06,27.76,30,27.45,29.3,29.3,1389030
2021-01-07,29.29,29.99,28.48,28.78,28.78,565729
2021-01-08,27.52,28.295,26.14,27.99,27.99,341807
2021-01-11,27.86,28.28,26.95,28,28,169989
2021-01-12,27.97,28.55,27.14,27.98,27.98,495129
2021-01-13,28.06,28.06,26.735,27.28,27.28,842069
2021-01-14,27.34,28.86,27.31,28.67,28.67,614670
2021-01-15,28.17,28.65,27.14,27.9,27.9,473264
2021-01-19,28.23,28.6,27.51,27.76,27.76,332834
2021-01-20,28.17,29.39,28,28.7,28.7,291493
2021-01-21,28.63,30.07,27.52,29.18,29.18,483703
2021-01-22,28.71,31.49,28.02,31.15,31.15,922274
2021-01-25,31.34,32.95,30.4,32.5,32.5,677606
2021-01-26,32.5,33.3988,30.51,30.62,30.62,791072
2021-01-27,30.09,30.68,28.04,28.6,28.6,674900
2021-01-28,28.09,28.92,27.61,28.86,28.86,656300
2021-01-29,28.99,30.39,28.56,28.61,28.61,497600
2021-02-01,28.7,30.81,28.7,30.08,30.08,467300
2021-02-02,30.68,31.29,30.06,31,31,366100
2021-02-03,31.28,33.05,30.92,32.25,32.25,694400
2021-02-04,32.65,32.87,31.83,32.62,32.62,271900
2021-02-05,33.04,33.94,32.55,33.06,33.06,419400
2021-02-08,33.01,34.13,33,33.6,33.6,962900
2021-02-09,33.53,34.2,33.1,33.91,33.91,542300
2021-02-10,34.25,35.96,33.93,35.11,35.11,1090000
2021-02-11,35,36.51,34.31,36.24,36.24,594600
2021-02-12,36.08,38.32,35.55,37.77,37.77,297900
2021-02-16,38.33,38.76,37.25,37.92,37.92,586900
2021-02-17,37.86,39.17,37.58,38.76,38.76,845900
2021-02-18,38.7,38.9,37,38.19,38.19,519600
2021-02-19,38.22,39.04,38.22,39.01,39.01,626300
2021-02-22,39.19,40.57,39.08,40.02,40.02,819000
2021-02-23,39.71,42,37.09,41.57,41.57,884000
2021-02-24,41.66,44.61,41.66,43.62,43.62,909400
2021-02-25,43.83,45.1,42.41,43.43,43.43,653800
2021-02-26,43.73,43.99,41.41,42.75,42.75,487800
2021-03-01,43.19,44.2,41.66,42.14,42.14,585273
2021-03-02,42.21,43.62,41.6,43.09,43.09,662268
2021-03-03,43.76,46.2651,43.215,44.14,44.14,4738209
2021-03-04,44.51,45.29,43.305,44.28,44.28,1924600
2021-03-05,45.39,46.13,41.8,43.15,43.15,801200
2021-03-08,42.91,43.11,38.03,39.5,39.5,956600
2021-03-09,39.31,42.84,38.05,41,41,400300
2021-03-10,40.68,42.62,40.345,42.47,42.47,518100
2021-03-11,43.26,43.39,41.3,42.73,42.73,695800
2021-03-12,42.57,44.27,41.66,43.63,43.63,711200
2021-03-15,44.05,44.53,42.6,43.13,43.13,570900
2021-03-16,42.5,42.93,40.21,41.3,41.3,574800
2021-03-17,40.79,43.397,40.63,41.87,41.87,878300
2021-03-18,41.55,42.52,38.69,39.2,39.2,780500
2021-03-19,39.21,41.905,39.21,41.6,41.6,2859500
2021-03-22,41.14,43.65,40.11,43.27,43.27,836200
2021-03-23,42.1,43.47,41.22,41.26,41.26,682900
2021-03-24,42.02,44.08,41.57,43.36,43.36,1236800
2021-03-25,43.07,43.89,41.05,43.58,43.58,1963000
2021-03-26,44.5,47.83,44.5,45.42,45.42,1975500
2021-03-29,45.55,46.49,44.19,45.3,45.3,726100
2021-03-30,45.1,46.89,44.73,46.12,46.12,961300
2021-03-31,46.3,48.42,46,47.89,47.89,1165700
2021-04-01,48.23,51.3,47.7,50.87,50.87,1568200
2021-04-05,51.04,51.71,47.89,48.76,48.76,646300
2021-04-06,48.81,49.38,47.71,48.95,48.95,941400
2021-04-07,48.45,49.5,45.08,45.94,45.94,1255300
2021-04-08,45.42,46.18,43.44,45.55,45.55,864900
2021-04-09,45.68,46.76,45.56,46.22,46.22,874900
2021-04-12,46.38,48.62,45.92,46.27,46.27,550300
2021-04-13,46.35,47.25,44.71,47,47,308800
2021-04-14,48.32,51.18,48.275,49.98,49.98,925300
2021-04-15,50.01,50.985,49.43,49.93,49.93,810600
2021-04-16,50.08,50.99,48.05,48.4,48.4,620700
2021-04-19,48.6,49.63,48.26,48.88,48.88,380400
2021-04-20,49.08,49.67,46.035,47.89,47.89,504900
2021-04-21,46.7,49.6,46.7,49.05,49.05,411900
2021-04-22,49.27,50.33,48.865,49.52,49.52,390800
2021-04-23,49.77,50.6,49.32,49.98,49.98,506400
2021-04-26,50.23,54,50.15,52.66,52.66,1229300
2021-04-27,53.11,55,52.29,53.54,53.54,693400
2021-04-28,53.45,55.42,52.86,54.37,54.37,987100
2021-04-29,55.26,55.55,52.925,53.96,53.96,826500
2021-04-30,53,55.25,53,54.41,54.41,786900
2021-05-03,54.83,57.06,54.48,56,56,786000
2021-05-04,55.78,56.68,53.82,55.62,55.62,552200
2021-05-05,56.29,56.29,54.57,55.41,55.41,517200
2021-05-06,54.88,57.79,53.16,57,57,759100
2021-05-07,57.06,59.73,56.31,58.81,58.81,1842800
2021-05-10,59.63,61.5,56.09,56.36,56.36,517708
2021-05-11,55.29,57.55,53.15,56.74,56.74,1172891
2021-05-12,56.78,59.626,55.22,55.5,55.5,963500
2021-05-13,54.68,56.24,52.35,53,53,482100
2021-05-14,52.5,53.525,50.54,51.75,51.75,839300
2021-05-17,51.52,55.67,51.52,55.46,55.46,572100
2021-05-18,56.35,59.22,56.16,57.5,57.5,1031200
2021-05-19,55.96,58.07,55.21,57.7,57.7,4210700
2021-05-20,57.87,60.91,56.98,60.81,60.81,1328200
2021-05-21,62.03,63.87,60.843,62.2,62.2,1001800
2021-05-24,62.87,64.13,61.29,63.9,63.9,758500
2021-05-25,64.61,65.086,62.2,63.29,63.29,664600
2021-05-26,62.74,64.39,62.05,63.71,63.71,691100
2021-05-27,64.34,66,63.71,65.95,65.95,1359500
2021-05-28,65.96,68.03,65.77,67.02,67.02,646600
2021-06-01,67.69,71.66,67.69,70.02,70.02,1218700
2021-06-02,70.45,71.41,67.51,68.41,68.41,1022900
2021-06-03,67.97,69.82,67.28,68.84,68.84,1058200
2021-06-04,69.6,69.72,67.43,69.39,69.39,883000
2021-06-07,70.18,71.59,69.55,70.39,70.39,1958000
2021-06-08,69.39,70.735,68.45,70.37,70.37,1096700
2021-06-09,70.08,71.45,67.68,70.3,70.3,560700
2021-06-10,71.43,71.7,69.28,70.02,70.02,420000
2021-06-11,72.17,73.77,70.25,73.49,73.49,1535500
2021-06-14,74.37,75.13,73.06,74.33,74.33,984300
2021-06-15,74.5,75.49,73.67,75,75,715100
2021-06-16,75.5,75.74,74,75,75,1715700
2021-06-17,74.62,75.76,65.8,72.03,72.03,2094100
2021-06-18,70.44,75.82,70.4,75.38,75.38,2682500
2021-06-21,75.32,78.82,74.51,78.4,78.4,2163600
2021-06-22,77.85,79.005,75.93,78.77,78.77,1518915
2021-06-23,79.52,80.27,76.75,76.96,76.96,1841800
2021-06-24,78.02,81.37,76.67,80.91,80.91,1290100
2021-06-25,81.24,81.26,78.97,79.96,79.96,7368500
2021-06-28,79.26,79.26,73.82,74.73,74.73,993200
2021-06-29,75.97,76.65,73.66,73.81,73.81,693400
2021-06-30,73.81,76.82,73.81,76.78,76.78,595900
2021-07-01,79,79.94,77.555,78.18,78.18,924400
2021-07-02,78,78.65,75.55,75.69,75.69,541100
2021-07-06,75.8,76.63,71.53,73.37,73.37,778900
2021-07-07,72.64,73.25,68.08,70.65,70.65,1002800
2021-07-08,68.81,72.33,68.048,71.45,71.45,653100
2021-07-09,72.01,72.51,71,72,72,400700
2021-07-12,70.96,72.41,70.51,72,72,284900
2021-07-13,72.56,74.31,71.14,72.98,72.98,318100
2021-07-14,73.16,73.93,69.165,69.6,69.6,506700
2021-07-15,69.32,70.3,66.645,67.95,67.95,520100
2021-07-16,68.59,69.335,64.52,65.04,65.04,583100
2021-07-19,62.57,64.17,61.21,63.2,63.2,910800
2021-07-20,63.21,65.09,62.495,64.75,64.75,595600
2021-07-21,66.05,66.99,64.985,66.07,66.07,555500
2021-07-22,65.75,65.805,63.6,64.01,64.01,316000
2021-07-23,64.37,64.37,61.38,63.33,63.33,368400
2021-07-26,63.13,65.66,62.88,64.49,64.49,237800
2021-07-27,63.89,63.89,61.03,62.53,62.53,395100
2021-07-28,62.67,64.88,61.93,64.18,64.18,403300
