,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1996-12-17,15.0,15.0,14.0,14.0,2.6588,1272400
1,1996-12-18,14.0,14.375,13.25,14.25,2.7062,1186800
2,1996-12-19,14.375,14.875,14.375,14.625,2.7775,528800
3,1996-12-20,14.5,14.875,14.5,14.875,2.8249,233200
4,1996-12-23,15.0,15.375,14.875,15.25,2.8962,57200
5,1996-12-24,15.375,15.625,15.375,15.625,2.9674,14000
6,1996-12-26,15.625,15.75,15.25,15.25,2.8962,22000
7,1996-12-27,15.25,15.25,15.25,15.25,2.8962,800
8,1996-12-30,15.375,15.375,15.125,15.125,2.8724,28400
9,1996-12-31,15.0,15.125,15.0,15.125,2.8724,15600
10,1997-01-02,15.0,15.0,14.625,14.625,2.7775,710000
11,1997-01-03,14.625,15.125,14.625,15.0,2.8487,1579600
12,1997-01-06,15.125,15.25,15.0,15.125,2.8724,2490800
13,1997-01-07,15.25,16.0,15.125,16.0,3.0386,641200
14,1997-01-08,16.25,16.75,16.125,16.125,3.0623,336000
15,1997-01-09,16.125,16.375,16.125,16.25,3.0861,459200
16,1997-01-10,16.375,16.5,16.25,16.375,3.1098,812800
17,1997-01-13,16.375,16.375,16.0,16.25,3.0861,3370000
18,1997-01-14,16.875,17.75,16.75,17.75,3.3709,2018000
19,1997-01-15,17.25,17.375,16.375,16.375,3.1098,2648400
20,1997-01-16,16.0,16.25,15.875,16.0,3.0386,2926000
21,1997-01-17,16.0,16.25,15.875,16.125,3.0623,1323600
22,1997-01-20,16.0,16.125,15.875,15.875,3.0149,2368400
23,1997-01-21,16.0,16.125,16.0,16.0,3.0386,2347200
24,1997-01-22,16.125,16.125,16.0,16.0,3.0386,2797600
25,1997-01-23,16.25,16.625,16.25,16.375,3.1098,1058800
26,1997-01-24,16.375,17.125,16.125,16.125,3.0623,1254800
27,1997-01-27,16.125,16.375,16.125,16.125,3.0623,1658000
28,1997-01-28,16.125,16.75,16.0,16.0,3.0386,1005600
29,1997-01-29,16.0,16.375,15.875,16.0,3.0386,1512000
