,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1992-06-05,11.0008,11.2507,11.0008,11.0008,1.1408,14561059
1,1992-06-08,11.0008,11.2507,11.0008,11.0008,1.1408,1306967
2,1992-06-09,11.0008,11.0008,10.5007,10.5007,1.089,1942140
3,1992-06-10,10.5007,10.8744,10.5007,10.5007,1.089,666466
4,1992-06-11,10.5007,10.5007,9.9995,9.9995,1.0371,1383534
5,1992-06-12,9.9995,10.3752,9.9995,9.9995,1.0371,502680
6,1992-06-15,9.9995,10.3752,9.9995,10.3752,1.076,209727
7,1992-06-16,10.1255,10.5007,9.9995,10.1255,1.0501,340890
8,1992-06-17,10.1255,10.5007,10.1255,10.1255,1.0501,523985
9,1992-06-18,9.9995,10.5007,9.9995,9.9995,1.0371,323579
10,1992-06-19,9.9995,10.5007,9.9995,9.9995,1.0371,986716
11,1992-06-22,9.9995,10.2504,9.9995,9.9995,1.0371,630513
12,1992-06-23,9.9995,10.2504,9.9995,9.9995,1.0371,332235
13,1992-06-24,10.2504,10.2504,9.9995,9.9995,1.0371,302273
14,1992-06-25,9.9995,10.2504,9.9995,9.9995,1.0371,351543
15,1992-06-26,9.9995,10.2504,9.9995,10.2504,1.063,424115
16,1992-06-29,10.1255,10.2504,9.9995,9.9995,1.0371,215719
17,1992-06-30,10.2504,10.2504,9.9995,10.2504,1.063,191085
18,1992-07-01,9.9995,10.5007,9.9995,10.2504,1.063,289623
19,1992-07-02,10.5007,10.5007,9.9995,9.9995,1.0371,518659
20,1992-07-06,9.9995,10.2504,9.9995,10.2504,1.063,95875
21,1992-07-07,9.9995,10.2504,9.9995,9.9995,1.0371,229701
22,1992-07-08,9.9995,9.9995,9.5003,9.5003,0.9853,450081
23,1992-07-09,9.5003,9.8747,9.2507,9.2507,0.9593,96541
24,1992-07-10,9.2507,9.7504,9.2507,9.2507,0.9593,177103
25,1992-07-13,9.3751,9.7504,9.2507,9.7504,1.0112,150471
26,1992-07-14,9.5003,9.9995,9.2507,9.7504,1.0112,383501
27,1992-07-15,10.2504,10.2504,9.7504,10.2504,1.063,95875
28,1992-07-16,9.7504,9.9995,9.7504,9.9995,1.0371,15313
29,1992-07-17,9.7504,10.2504,9.7504,10.2504,1.063,169779
30,1992-07-20,10.1255,10.2504,9.7504,10.2504,1.063,217717
31,1992-07-21,9.7504,10.2504,9.7504,9.7504,1.0112,45940
32,1992-07-22,9.7504,10.2504,9.7504,9.7504,1.0112,58590
33,1992-07-23,9.9995,10.2504,9.9995,9.9995,1.0371,65248
34,1992-07-24,9.9995,10.2504,9.5003,9.9995,1.0371,151137
35,1992-07-27,9.5003,9.6251,9.5003,9.6251,0.9982,234362
36,1992-07-28,9.9995,9.9995,9.5003,9.9995,1.0371,259662
37,1992-07-29,9.5003,10.5007,9.5003,10.5007,1.089,263657
38,1992-07-30,9.9995,10.7496,9.9995,10.2504,1.063,547288
39,1992-07-31,10.3752,10.8744,10.3752,10.5007,1.089,396817
40,1992-08-03,10.7496,10.7496,10.5007,10.5007,1.089,89883
41,1992-08-04,10.5007,10.7496,10.3752,10.3752,1.076,116515
42,1992-08-05,10.3752,10.7496,10.2504,10.7496,1.1149,165784
43,1992-08-06,10.6247,10.6247,10.3752,10.3752,1.076,268983
44,1992-08-07,10.2504,10.6247,10.2504,10.2504,1.063,316255
45,1992-08-10,10.2504,10.5007,10.2504,10.5007,1.089,146476
46,1992-08-11,10.3752,10.6247,10.2504,10.2504,1.063,49269
47,1992-08-12,10.2504,10.6247,10.2504,10.2504,1.063,1646525
48,1992-08-13,10.2504,10.2504,10.2504,10.2504,1.063,128500
49,1992-08-14,10.2504,10.7496,10.2504,10.7496,1.1149,344885
50,1992-08-17,10.5007,10.7496,10.2504,10.2504,1.063,83891
51,1992-08-18,10.2504,10.2504,10.2504,10.2504,1.063,65914
52,1992-08-19,10.2504,10.7496,9.7504,9.9995,1.0371,458071
53,1992-08-20,9.9995,10.2504,9.5003,9.9995,1.0371,336895
54,1992-08-21,9.9995,9.9995,9.5003,9.7504,1.0112,253670
55,1992-08-24,9.9995,9.9995,9.7504,9.7504,1.0112,19308
56,1992-08-25,9.9995,9.9995,9.9995,9.9995,1.0371,1332
57,1992-08-26,9.5003,9.6251,9.5003,9.5003,0.9853,94544
58,1992-08-27,9.9995,9.9995,9.5003,9.9995,1.0371,189753
59,1992-08-28,9.8747,10.2504,9.7504,10.2504,1.063,251007
60,1992-08-31,9.7504,10.2504,9.7504,10.2504,1.063,291621
61,1992-09-01,10.2504,10.2504,9.7504,9.7504,1.0112,51267
62,1992-09-02,9.8747,9.8747,9.7504,9.7504,1.0112,89883
63,1992-09-03,9.5003,9.9995,9.5003,9.5003,0.9853,521988
64,1992-09-04,9.2507,9.5003,8.5003,9.0004,0.9334,856885
65,1992-09-08,9.2507,9.2507,8.5003,8.5003,0.8816,118513
66,1992-09-09,8.7499,9.2507,8.0004,8.0004,0.8297,454742
67,1992-09-10,8.0004,8.7499,7.75,8.0004,0.8297,817603
68,1992-09-11,7.75,8.0004,7.75,8.0004,0.8297,897499
69,1992-09-14,7.75,8.2504,7.75,8.2504,0.8556,675788
70,1992-09-15,8.2504,8.5003,8.0004,8.2504,0.8556,992043
71,1992-09-16,8.0004,8.5003,8.0004,8.1252,0.8427,27298
72,1992-09-17,8.3752,8.8751,8.3752,8.7499,0.9075,633176
73,1992-09-18,8.5003,8.8751,8.5003,8.8751,0.9204,25300
74,1992-09-21,8.8751,9.0004,8.5003,8.8751,0.9204,47272
75,1992-09-22,8.5003,9.0004,8.5003,8.7499,0.9075,144479
76,1992-09-23,8.5003,8.8751,8.5003,8.7499,0.9075,1382203
