,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,55.872,55.872,55.872,55.872,0.8534,2232000
1,1984-11-06,56.2416,56.2416,56.2416,56.2416,0.859,3388800
2,1984-11-07,56.3652,56.3652,56.3652,56.3652,0.8609,2587200
3,1984-11-08,57.1056,57.5988,57.1056,57.1056,0.8722,6998400
4,1984-11-09,57.4752,57.4752,56.982,57.4752,0.8779,4684800
5,1984-11-12,57.5988,57.5988,57.5988,57.5988,0.8798,1286400
6,1984-11-13,56.982,57.4752,56.982,56.982,0.8703,2116800
7,1984-11-14,57.5988,57.5988,57.1056,57.5988,0.8798,3096000
8,1984-11-15,57.4752,57.4752,57.4752,57.4752,0.8779,4243200
9,1984-11-16,57.4752,57.4752,57.4752,57.4752,0.8779,1948800
10,1984-11-19,56.8584,56.8584,56.8584,56.8584,0.8685,2582400
11,1984-11-20,56.1192,56.6124,56.1192,56.1192,0.8572,3028800
12,1984-11-21,55.9956,55.9956,55.5024,55.9956,0.8553,5116800
13,1984-11-23,56.3652,56.3652,55.872,56.3652,0.8609,3158400
14,1984-11-26,57.1056,57.1056,56.6124,57.1056,0.8722,4550400
15,1984-11-27,56.982,56.982,56.982,56.982,0.8703,1382400
16,1984-11-28,58.2156,58.7088,57.7224,58.2156,0.8892,10483200
17,1984-11-29,57.846,58.3392,57.846,57.846,0.8835,3710400
18,1984-11-30,57.846,57.846,57.846,57.846,0.8835,3830400
19,1984-12-03,57.5988,57.5988,57.1056,57.5988,0.8798,3259200
20,1984-12-04,56.8584,57.3528,56.8584,56.8584,0.8685,4545600
21,1984-12-05,56.4888,56.4888,55.9956,56.4888,0.8628,6009600
22,1984-12-06,56.4888,56.4888,56.4888,56.4888,0.8628,5548800
23,1984-12-07,56.736,56.736,56.736,56.736,0.8666,3614400
24,1984-12-10,56.4888,56.4888,56.4888,56.4888,0.8628,3806400
25,1984-12-11,56.8584,56.8584,56.8584,56.8584,0.8685,2956800
26,1984-12-12,56.736,56.736,56.736,56.736,0.8666,1694400
27,1984-12-13,57.1056,57.1056,57.1056,57.1056,0.8722,2438400
28,1984-12-14,57.7224,57.7224,57.2292,57.7224,0.8816,4675200
29,1984-12-17,57.9684,57.9684,57.4752,57.9684,0.8854,3278400
30,1984-12-18,59.6952,59.6952,58.2156,59.6952,0.9118,65908798
31,1984-12-19,59.6952,59.6952,59.6952,59.6952,0.9118,6470400
32,1984-12-20,59.4492,59.9424,59.4492,59.4492,0.908,4718400
33,1984-12-21,59.6952,59.6952,59.6952,59.6952,0.9118,3489600
34,1984-12-24,59.9424,59.9424,59.9424,59.9424,0.9156,2784000
35,1984-12-26,59.8188,59.8188,59.8188,59.8188,0.9137,1027200
36,1984-12-27,59.8188,59.8188,59.8188,59.8188,0.9137,2275200
37,1984-12-28,59.6952,59.6952,59.6952,59.6952,0.9118,3129600
38,1984-12-31,59.0784,59.5728,59.0784,59.0784,0.9024,4492800
39,1985-01-02,59.3256,59.3256,59.3256,59.3256,0.9061,1684800
40,1985-01-03,58.8324,58.8324,58.8324,58.8324,0.8986,11740800
41,1985-01-04,58.5852,58.5852,58.5852,58.5852,0.8948,3278400
42,1985-01-07,59.3256,59.3256,58.8324,59.3256,0.9061,3336000
43,1985-01-08,59.6952,59.6952,59.202,59.6952,0.9118,2956800
44,1985-01-09,60.6828,60.6828,60.1884,60.6828,0.9269,9316800
45,1985-01-10,62.1624,62.1624,61.6692,62.1624,0.9495,13094400
46,1985-01-11,62.4096,62.4096,62.4096,62.4096,0.9532,9652800
47,1985-01-14,64.1352,64.1352,62.1624,64.1352,0.9796,11788800
48,1985-01-15,63.1488,64.1352,62.6556,63.1488,0.9645,10420800
49,1985-01-16,63.7656,63.7656,63.2724,63.7656,0.974,25315199
50,1985-01-17,64.9992,64.9992,64.0128,64.9992,0.9928,17169600
51,1985-01-18,65.3688,65.862,64.8756,65.3688,0.9984,16924800
52,1985-01-21,67.2192,67.2192,65.2464,67.2192,1.0267,22507199
53,1985-01-22,67.9596,69.4392,67.4664,67.9596,1.038,28387199
54,1985-01-23,70.056,70.056,67.5888,70.056,1.07,11875200
55,1985-01-24,68.8224,70.3032,68.8224,68.8224,1.0512,22891199
56,1985-01-25,68.5764,69.0696,68.5764,68.5764,1.0474,7147200
57,1985-01-28,68.6988,69.1932,68.6988,68.6988,1.0493,2961600
58,1985-01-29,69.9324,69.9324,68.946,69.9324,1.0681,5184000
59,1985-01-30,72.5232,73.0164,70.5492,72.5232,1.1077,23879999
60,1985-01-31,73.386,73.8792,72.3996,73.386,1.1209,12820800
61,1985-02-01,72.5232,73.0164,72.5232,72.5232,1.1077,7531200
62,1985-02-04,73.0164,73.0164,72.5232,73.0164,1.1152,3456000
63,1985-02-05,73.7556,74.25,73.2624,73.7556,1.1265,9201600
64,1985-02-06,73.5096,74.0028,73.5096,73.5096,1.1228,8596800
65,1985-02-07,74.3724,74.8668,73.8792,74.3724,1.136,11112000
66,1985-02-08,74.8668,75.36,74.3724,74.8668,1.1435,3590400
67,1985-02-11,74.7432,74.7432,74.25,74.7432,1.1416,9019200
68,1985-02-12,74.3724,74.3724,74.3724,74.3724,1.136,2774400
69,1985-02-13,75.606,76.0992,74.6196,75.606,1.1548,6278400
70,1985-02-14,78.69,78.69,76.716,78.69,1.2019,9148800
71,1985-02-15,77.4564,79.9236,76.9632,77.4564,1.1831,13920000
72,1985-02-19,77.3328,77.826,76.8396,77.3328,1.1812,6057600
73,1985-02-20,76.3464,76.8396,75.8532,76.3464,1.1661,4915200
74,1985-02-21,75.36,75.36,75.36,75.36,1.151,13099200
75,1985-02-22,75.4824,75.4824,74.9892,75.4824,1.1529,5942400
76,1985-02-25,75.4824,75.4824,75.4824,75.4824,1.1529,5275200
77,1985-02-26,76.5924,76.5924,75.606,76.5924,1.1699,9374400
78,1985-02-27,76.5924,77.0868,76.5924,76.5924,1.1699,3955200
79,1985-02-28,76.8396,76.8396,76.3464,76.8396,1.1736,3792000
80,1985-03-01,75.4824,76.9632,75.4824,75.4824,1.1529,7190400
81,1985-03-04,76.0992,76.0992,75.606,76.0992,1.1623,7444800
82,1985-03-05,75.7296,75.7296,75.7296,75.7296,1.1567,5044800
83,1985-03-06,75.2364,75.7296,75.2364,75.2364,1.1492,7257600
84,1985-03-07,74.3724,74.8668,73.8792,74.3724,1.136,6268800
85,1985-03-08,73.8792,73.8792,73.386,73.8792,1.1284,3993600
86,1985-03-11,73.2624,73.2624,72.7692,73.2624,1.119,3811200
87,1985-03-12,75.1128,75.1128,73.14,75.1128,1.1473,5030400
88,1985-03-13,75.606,75.606,75.1128,75.606,1.1548,2841600
89,1985-03-14,75.4824,75.4824,75.4824,75.4824,1.1529,744000
90,1985-03-15,75.7296,75.7296,74.7432,75.7296,1.1567,3336000
91,1985-03-18,76.0992,76.0992,75.606,76.0992,1.1623,3561600
92,1985-03-19,78.8136,78.8136,76.8396,78.8136,1.2038,5404800
93,1985-03-20,78.4428,78.4428,77.4564,78.4428,1.1981,6580800
94,1985-03-21,78.4428,78.4428,78.4428,78.4428,1.1981,1891200
95,1985-03-22,78.936,78.936,78.4428,78.936,1.2057,3552000
96,1985-03-25,78.936,78.936,78.4428,78.936,1.2057,3028800
97,1985-03-26,78.69,78.69,77.7024,78.69,1.2019,3494400
98,1985-03-27,78.0732,78.5664,77.58,78.0732,1.1925,2395200
99,1985-03-28,76.9632,77.9496,76.9632,76.9632,1.1755,3340800
