,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2008-09-18,12.8,18.5,12.8,16.0,8.0,11602512
1,2008-09-19,15.25,20.0,15.25,16.7,8.35,1527756
2,2008-09-22,16.88,17.04,15.6,16.87,8.435,3424232
3,2008-09-23,16.51,17.41,16.0,16.62,8.31,1825676
4,2008-09-24,16.22,17.0,15.16,15.85,7.925,1491638
5,2008-09-25,15.81,16.95,15.11,16.07,8.035,2777892
6,2008-09-26,15.5,16.0,15.32,15.5,7.75,1331890
7,2008-09-29,15.03,15.35,13.09,14.62,7.31,3593100
8,2008-09-30,13.7,14.49,13.52,14.16,7.08,3073392
9,2008-10-01,13.16,14.32,13.16,14.31,7.155,2559322
10,2008-10-02,14.13,14.3,13.01,13.4,6.7,2455986
11,2008-10-03,13.33,13.64,12.55,12.99,6.495,3083762
12,2008-10-06,12.37,12.94,11.56,12.465,6.2325,2274722
13,2008-10-07,12.75,13.21,11.36,11.8,5.9,2858366
14,2008-10-08,8.78,11.75,8.78,11.21,5.605,2802224
15,2008-10-09,11.49,12.0,10.4,10.88,5.44,1761258
16,2008-10-10,9.01,11.1,8.5,10.44,5.22,2022728
17,2008-10-13,10.05,12.42,10.05,12.24,6.12,1230974
18,2008-10-14,10.34,13.16,10.14,13.1,6.55,2461080
19,2008-10-15,13.49,13.62,11.77,12.27,6.135,1320074
20,2008-10-16,12.5,13.51,10.11,11.89,5.945,2502826
21,2008-10-17,11.76,13.598,10.98,12.4,6.2,1275830
22,2008-10-20,12.35,12.82,12.14,12.74,6.37,1134136
23,2008-10-21,12.34,13.09,12.13,12.56,6.28,1563620
24,2008-10-22,12.05,12.51,11.5,11.8,5.9,1925450
25,2008-10-23,11.92,12.13,10.38,11.38,5.69,1867992
26,2008-10-24,10.03,10.36,9.25,9.79,4.895,1790558
27,2008-10-27,9.76,10.55,9.57,10.0,5.0,1893948
28,2008-10-28,10.38,10.62,9.7,10.55,5.275,839054
29,2008-10-29,10.39,11.97,9.52,11.62,5.81,1747078
