,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-03-07,17.7508,17.7508,16.0,17.7508,1.1687,33796739
1,1995-03-08,17.7508,17.7508,16.2502,16.4998,1.0864,6521513
2,1995-03-09,16.6254,17.0002,16.4998,16.876,1.1111,2101950
3,1995-03-10,17.2504,18.0006,16.876,17.6254,1.1605,2832468
4,1995-03-13,18.0006,18.0006,17.5002,17.5002,1.1523,982631
5,1995-03-14,18.0006,18.2508,17.5002,17.7508,1.1687,1029712
6,1995-03-15,17.7508,18.7512,17.2504,18.2508,1.2016,4979980
7,1995-03-16,18.7512,19.0,17.7508,17.7508,1.1687,900619
8,1995-03-17,17.7508,18.2508,17.7508,17.7508,1.1687,1731375
9,1995-03-20,17.7508,18.3124,17.7508,17.7508,1.1687,1728337
10,1995-03-21,18.1252,18.5004,17.875,17.875,1.177,3614626
11,1995-03-22,18.0006,18.5004,17.875,18.0006,1.1852,3474901
12,1995-03-23,18.2508,18.2508,17.875,18.1252,1.1934,2789943
13,1995-03-24,18.5004,18.5004,18.0006,18.1252,1.1934,536119
14,1995-03-27,18.5004,19.5004,18.1252,19.2498,1.2675,773044
15,1995-03-28,19.2498,20.25,18.7512,20.25,1.3333,1257525
16,1995-03-29,20.25,21.0006,18.7512,19.5004,1.284,1635694
17,1995-03-30,19.5004,20.5008,19.0,20.0004,1.3169,1085906
18,1995-03-31,20.5008,21.0006,19.7502,20.5008,1.3498,552825
19,1995-04-03,21.0006,22.7502,20.7504,21.9996,1.4486,3178743
20,1995-04-04,21.9996,22.5,21.0006,21.0006,1.3827,1746562
21,1995-04-05,21.0006,21.9996,21.0006,21.8754,1.4403,1278787
22,1995-04-06,21.8754,21.8754,21.501,21.501,1.4156,1328906
23,1995-04-07,21.8754,21.8754,20.8752,21.501,1.4156,747225
24,1995-04-10,20.8752,21.6252,20.8752,21.6252,1.4239,214144
25,1995-04-11,21.6252,21.75,21.0006,21.75,1.4321,83531
26,1995-04-12,21.2506,21.75,21.2506,21.2506,1.3992,1742006
27,1995-04-13,21.2506,21.75,21.2506,21.75,1.4321,30375
28,1995-04-17,21.75,21.8754,21.2506,21.2506,1.3992,200475
29,1995-04-18,21.2506,21.75,21.0006,21.0006,1.3827,991744
30,1995-04-19,21.75,21.75,21.0006,21.75,1.4321,145800
31,1995-04-20,21.3756,21.501,20.8752,20.8752,1.3745,176175
32,1995-04-21,20.8752,21.501,20.8752,20.8752,1.3745,252112
33,1995-04-24,20.8752,20.8752,20.8752,20.8752,1.3745,6075
34,1995-04-25,20.7504,21.1248,20.3752,20.5008,1.3498,911250
35,1995-04-26,20.3752,20.8752,20.25,20.3752,1.3416,352350
36,1995-04-27,20.3752,21.2506,20.3752,21.2506,1.3992,1198294
37,1995-04-28,21.0006,22.7502,20.7504,22.5,1.4815,850500
38,1995-05-01,21.9996,23.5006,21.9996,23.2506,1.5309,944662
39,1995-05-02,23.5006,24.7498,23.2506,24.0004,1.5802,1327387
40,1995-05-03,24.7498,24.7498,24.0004,24.5008,1.6132,280969
41,1995-05-04,24.0004,24.5008,24.0004,24.5008,1.6132,59231
42,1995-05-05,24.0004,24.5008,23.7508,24.5008,1.6132,718369
43,1995-05-08,23.7508,24.5008,23.7508,24.1254,1.5885,133650
44,1995-05-09,24.5008,24.5008,23.7508,24.1254,1.5885,59231
45,1995-05-10,23.7508,24.5008,23.7508,24.5008,1.6132,10631
46,1995-05-11,23.7508,24.2512,23.7508,23.7508,1.5638,21263
47,1995-05-12,23.7508,25.2502,23.7508,25.2502,1.6626,508781
48,1995-05-15,25.0002,26.0008,25.0002,25.2502,1.6626,572569
49,1995-05-16,25.75,26.0008,25.2502,25.6258,1.6872,1142100
50,1995-05-17,25.5004,25.6258,25.5004,25.6258,1.6872,739631
51,1995-05-18,25.2502,25.3756,23.0002,23.5006,1.5473,1240819
52,1995-05-19,24.0004,24.0004,23.625,24.0004,1.5802,103275
53,1995-05-22,23.7508,24.0004,23.2506,23.2506,1.5309,156431
54,1995-05-23,23.2506,24.0004,23.2506,24.0004,1.5802,205031
55,1995-05-24,24.0004,24.0004,21.501,21.9996,1.4486,1000856
56,1995-05-25,22.7502,22.7502,21.9996,21.9996,1.4486,18225
57,1995-05-26,22.7502,22.7502,21.9996,22.7502,1.4979,50119
58,1995-05-30,22.2504,22.7502,21.9996,21.9996,1.4486,82012
59,1995-05-31,21.9996,22.5,21.9996,22.5,1.4815,119981
60,1995-06-01,22.7502,22.7502,21.9996,21.9996,1.4486,136688
61,1995-06-02,21.9996,22.7502,21.9996,22.3758,1.4733,39487
