Date,Open,High,Low,Close,Adjusted_close,Volume
1995-09-06,3.375,3.375,3.375,3.375,1.6046,1000
1995-09-07,3.375,3.375,3.1875,3.25,1.5451,205100
1995-09-11,3.375,3.375,3.375,3.375,1.6046,500
1995-09-18,3.25,3.25,3.25,3.25,1.5451,500
1995-09-19,2.9531,2.9531,2.9531,2.9531,1.404,1000
1995-09-20,3,3,3,3,1.4264,100
1995-09-26,3,3,2.875,2.875,1.3669,4500
1995-09-27,2.6562,2.6562,2.6562,2.6562,1.2629,1100
1995-09-29,2.5,3,2.5,3,1.4264,1200
1995-10-03,2.875,2.875,2.875,2.875,1.3669,800
1995-10-04,3,3,3,3,1.4264,1000
1995-10-11,3,3,2.8125,3,1.4264,8000
1995-10-18,2.8594,2.8594,2.8594,2.8594,1.3594,1000
1995-10-23,3,3,3,3,1.4264,2900
1995-10-30,2.9375,2.9375,2.9375,2.9375,1.3966,1000
1995-10-31,2.75,2.875,2.75,2.875,1.3669,7500
1995-11-02,2.9375,2.9375,2.9375,2.9375,1.3966,1000
1995-11-09,2.75,2.75,2.75,2.75,1.3074,600
1995-11-15,2.875,2.875,2.7812,2.7812,1.3224,4800
1995-11-17,2.875,2.875,2.7969,2.7969,1.3297,6000
1995-11-20,2.875,2.875,2.875,2.875,1.3669,3400
1995-11-21,2.7969,2.875,2.625,2.8125,1.3371,83400
1995-11-22,2.875,3,2.625,2.75,1.3074,145000
1995-11-24,2.75,3,2.75,2.875,1.3669,100000
1995-11-27,3.125,3.125,3,3,1.4264,8000
1995-11-30,3.125,3.125,3.125,3.125,1.4857,1000
1995-12-01,3.125,3.125,3,3.125,1.4857,58000
1995-12-04,3.125,3.125,3.0156,3.125,1.4857,1100
1995-12-05,3.125,3.125,3.125,3.125,1.4857,2000
1995-12-07,3.125,3.125,3.125,3.125,1.4857,5000
1995-12-08,3.0938,3.0938,3.0938,3.0938,1.4709,1000
1995-12-15,3,3,3,3,1.4264,200
1995-12-21,3.125,3.125,3.0312,3.125,1.4857,15800
1996-01-03,3.125,3.5,3.125,3.125,1.4857,6000
1996-01-04,3.125,3.375,3.125,3.375,1.6046,8500
1996-01-05,3.375,3.375,3.1875,3.3125,1.5748,40000
1996-01-08,3.2969,3.375,3.2969,3.375,1.6046,6000
1996-01-09,3.125,3.375,3.125,3.2812,1.5599,172200
1996-01-10,3.3438,3.3438,3.125,3.3438,1.5896,18500
1996-01-11,3.125,3.25,3.125,3.25,1.5451,100000
1996-01-15,3.375,3.375,3.2969,3.2969,1.5674,5000
1996-01-16,3.375,3.375,3.375,3.375,1.6046,29500
1996-01-22,3.375,3.375,3.3125,3.3125,1.5748,1200
1996-01-25,3.125,3.125,3.125,3.125,1.4857,25000
1996-01-29,3.5,3.5,3.25,3.25,1.5451,1000
1996-02-01,3.375,3.375,3.375,3.375,1.6046,6000
1996-02-02,3.375,3.375,3.375,3.375,1.6046,1000
1996-02-06,3.375,3.375,3.375,3.375,1.6046,500
1996-02-07,3.125,3.2031,3.125,3.2031,1.5228,1500
