,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-10-11,24.0,24.25,24.0,24.0,7.0214,5690400
1,1995-10-12,24.0,24.375,24.0,24.25,7.0944,2014200
2,1995-10-13,24.25,24.5,24.25,24.25,7.0944,413000
3,1995-10-16,24.25,24.25,24.0,24.0,7.0214,376800
4,1995-10-17,24.0,24.375,24.0,24.25,7.0944,361200
5,1995-10-18,24.125,24.375,24.125,24.25,7.0944,232000
6,1995-10-19,24.25,24.25,24.125,24.125,7.0581,827800
7,1995-10-20,24.25,24.25,24.0,24.0,7.0214,218400
8,1995-10-23,24.0,24.375,24.0,24.25,7.0944,1179800
9,1995-10-24,24.25,24.875,24.25,24.875,7.2774,378400
10,1995-10-25,25.0,26.0,25.0,25.5,7.4602,398200
11,1995-10-26,25.75,25.75,24.875,25.0,7.314,169400
12,1995-10-27,24.75,24.75,23.375,24.375,7.1309,1240600
13,1995-10-30,24.5,24.625,24.5,24.625,7.2042,123400
14,1995-10-31,24.875,25.125,24.875,24.875,7.2774,134000
15,1995-11-01,24.875,25.75,24.875,25.5,7.4602,186200
16,1995-11-02,25.5,25.875,25.375,25.625,7.4971,96400
17,1995-11-03,25.75,26.0,25.5,25.75,7.5335,224600
18,1995-11-06,26.0,27.375,26.0,27.375,8.009,275200
19,1995-11-07,27.375,27.375,27.0,27.0,7.8991,304800
20,1995-11-08,27.0,27.125,26.5,27.0,7.8991,171000
21,1995-11-09,27.0,27.125,26.875,27.125,7.9359,161800
22,1995-11-10,26.875,27.0,26.75,27.0,7.8991,155000
23,1995-11-13,26.875,27.0,26.75,26.75,7.8259,9800
24,1995-11-14,27.25,27.25,25.875,26.0,7.6066,187600
25,1995-11-15,26.0,26.125,25.75,25.875,7.5697,59000
26,1995-11-16,25.25,26.25,25.125,26.125,7.6435,583000
27,1995-11-17,26.125,26.125,26.0,26.0,7.6066,24400
28,1995-11-20,26.125,26.375,26.125,26.125,7.6435,31000
29,1995-11-21,26.375,26.375,26.0,26.25,7.6795,223800
30,1995-11-22,26.625,26.75,26.625,26.75,7.8259,20800
31,1995-11-24,26.625,26.75,26.625,26.75,7.8259,13400
32,1995-11-27,26.875,27.0,26.75,27.0,7.8991,23600
33,1995-11-28,27.125,27.5,27.125,27.125,7.9359,130800
34,1995-11-29,28.0,28.25,27.875,28.0,8.1917,90400
35,1995-11-30,27.875,28.875,27.75,28.875,8.4476,77400
36,1995-12-01,28.75,28.75,28.5,28.75,8.4114,97200
37,1995-12-04,28.625,29.375,28.625,29.25,8.557,391000
38,1995-12-05,29.125,29.875,29.125,29.375,8.5947,254200
39,1995-12-06,29.375,29.5,29.25,29.375,8.5947,132800
40,1995-12-07,29.375,29.375,28.5,28.875,8.4476,204600
41,1995-12-08,28.875,30.75,28.375,30.5,8.923,1719400
42,1995-12-11,30.5,31.625,30.0,31.625,9.252,962400
43,1995-12-12,32.25,32.75,31.625,32.0,9.3619,712400
44,1995-12-13,32.0,33.75,32.0,33.75,9.8741,725800
45,1995-12-14,34.0,34.5,33.0,33.5,9.8008,1265400
46,1995-12-15,33.625,34.0,33.625,34.0,9.9471,307600
47,1995-12-18,33.25,33.875,33.0,33.625,9.8374,193000
48,1995-12-19,33.5,33.75,33.0,33.25,9.7279,120400
49,1995-12-20,33.25,33.625,32.875,33.125,9.6911,255600
50,1995-12-21,33.25,33.625,32.875,33.5,9.8008,1111000
51,1995-12-22,33.5,33.5,32.625,32.875,9.618,117800
52,1995-12-26,33.0,33.0,32.625,33.0,9.6545,528800
53,1995-12-27,33.0,33.625,33.0,33.25,9.7279,199600
54,1995-12-28,33.375,33.75,33.375,33.5,9.8008,281800
55,1995-12-29,33.5,33.75,33.5,33.75,9.8741,92800
56,1996-01-02,33.625,33.75,33.5,33.625,9.8374,381000
57,1996-01-03,33.5,33.875,33.5,33.875,9.9105,463600
58,1996-01-04,33.875,33.875,33.25,33.375,9.7641,191200
59,1996-01-05,33.375,33.75,33.25,33.75,9.8741,335400
60,1996-01-08,33.25,33.5,33.25,33.375,9.7641,17600
61,1996-01-09,33.375,34.0,33.375,33.875,9.9105,383000
62,1996-01-10,33.75,34.75,33.5,34.5,10.0929,1140800
63,1996-01-11,34.5,34.625,34.25,34.625,10.1298,805600
64,1996-01-12,34.5,35.0,34.5,34.875,10.2033,267600
65,1996-01-15,35.0,35.25,33.75,34.0,9.9471,442800
66,1996-01-16,33.875,34.5,33.875,34.375,10.0569,203400
67,1996-01-17,34.5,35.0,34.5,34.75,10.1665,105200
68,1996-01-18,34.625,34.75,34.5,34.5,10.0929,18800
69,1996-01-19,34.5,34.5,34.25,34.25,10.0203,59400
70,1996-01-22,34.125,34.25,34.125,34.25,10.0203,11200
71,1996-01-23,34.25,34.25,33.75,33.875,9.9105,254600
72,1996-01-24,34.0,35.625,33.75,35.625,10.4222,140400
73,1996-01-25,35.25,35.375,35.125,35.25,10.3128,50400
74,1996-01-26,35.125,35.25,34.875,35.25,10.3128,79600
75,1996-01-29,35.375,37.75,35.375,37.5,10.9715,224600
76,1996-01-30,37.25,38.625,37.25,38.375,11.227,404000
77,1996-01-31,38.375,38.375,38.0,38.125,11.1542,275000
78,1996-02-01,38.125,38.875,38.125,38.875,11.3732,140800
79,1996-02-02,38.75,40.375,38.75,40.0,11.7024,363200
80,1996-02-05,39.875,40.125,39.5,39.5,11.5563,679200
81,1996-02-06,39.25,39.25,38.125,38.25,11.1906,428000
82,1996-02-07,38.125,38.125,37.25,37.25,10.8982,126200
83,1996-02-08,37.125,37.125,36.875,37.0,10.8247,482600
84,1996-02-09,37.0,37.375,36.875,37.125,10.8615,136000
85,1996-02-12,37.25,37.75,37.125,37.625,11.0077,130000
86,1996-02-13,37.625,37.625,37.25,37.5,10.9715,53600
87,1996-02-14,37.625,37.625,37.25,37.25,10.8982,85000
88,1996-02-15,37.375,38.5,37.25,37.875,11.0807,83400
89,1996-02-16,38.0,38.25,37.875,38.125,11.1542,35000
90,1996-02-20,38.0,38.125,38.0,38.125,11.1542,48200
91,1996-02-21,38.0,38.25,37.875,37.875,11.0807,196800
92,1996-02-22,38.0,38.125,37.875,38.125,11.1542,286800
93,1996-02-23,38.25,38.5,37.875,37.875,11.0807,158600
94,1996-02-26,37.625,37.625,37.25,37.25,10.8982,142600
95,1996-02-27,37.0,37.0,36.375,36.5,10.6787,83000
96,1996-02-28,36.25,36.5,35.375,35.375,10.3495,60800
97,1996-02-29,35.25,36.625,35.125,36.625,10.7152,483400
98,1996-03-01,36.875,38.125,36.875,38.0,11.1173,211400
99,1996-03-04,38.125,38.5,38.125,38.5,11.2638,89200
100,1996-03-05,38.5,38.75,38.5,38.625,11.3003,80800
101,1996-03-06,38.875,39.75,38.875,39.5,11.5563,190000
102,1996-03-07,39.625,40.875,39.625,40.875,11.9583,286200
103,1996-03-08,40.625,41.25,39.875,41.0,11.995,161200
104,1996-03-11,41.125,41.5,40.875,41.5,12.1413,453400
105,1996-03-12,41.5,41.875,41.375,41.75,12.2144,86800
106,1996-03-13,41.625,42.375,41.625,42.375,12.3973,668600
107,1996-03-14,42.5,42.75,42.375,42.375,12.3973,474600
108,1996-03-15,42.125,42.125,41.0,41.375,12.1048,118200
109,1996-03-18,41.25,41.375,41.0,41.375,12.1048,106200
110,1996-03-19,41.5,41.75,40.875,41.0,11.995,117000
111,1996-03-20,41.125,42.125,41.125,42.125,12.3243,296400
112,1996-03-21,42.125,43.125,42.0,43.125,12.6166,216400
113,1996-03-22,43.0,43.375,43.0,43.375,12.69,87400
114,1996-03-25,43.625,43.75,43.125,43.25,12.6533,163600
115,1996-03-26,43.0,43.25,42.75,43.125,12.6166,131200
116,1996-03-27,43.25,43.375,42.875,43.0,12.5798,626800
117,1996-03-28,43.0,43.125,43.0,43.125,12.6166,175200
118,1996-03-29,43.0,43.0,42.875,42.875,12.5435,70400
119,1996-04-01,42.75,43.5,42.625,43.5,12.7264,123200
120,1996-04-02,43.375,44.25,43.375,44.25,12.9457,280200
121,1996-04-03,44.5,45.375,44.25,45.375,13.2751,375200
122,1996-04-04,46.25,49.125,46.25,49.0,14.3354,570800
123,1996-04-08,48.75,48.75,47.625,48.25,14.116,559400
124,1996-04-09,49.0,49.25,48.375,49.125,14.3725,696200
125,1996-04-10,49.375,51.625,49.25,50.25,14.7014,505000
126,1996-04-11,50.5,50.875,50.375,50.5,14.7747,206000
127,1996-04-12,50.75,50.75,49.625,49.75,14.5551,89400
128,1996-04-15,49.75,49.875,49.375,49.5,14.482,340400
129,1996-04-16,49.375,50.875,49.375,50.875,14.8841,294800
130,1996-04-17,50.625,50.625,50.375,50.375,14.738,160600
131,1996-04-18,50.375,50.375,50.0,50.125,14.6643,113200
132,1996-04-19,49.875,50.0,49.625,50.0,14.6279,124000
133,1996-04-22,50.75,51.75,50.75,50.875,14.8841,793600
134,1996-04-23,51.125,51.25,50.5,50.75,14.8479,118200
135,1996-04-24,50.875,51.875,50.875,51.5,15.0672,212000
136,1996-04-25,51.5,52.125,51.5,51.625,15.1035,154200
137,1996-04-26,51.75,52.75,51.625,52.625,15.3962,152200
138,1996-04-29,52.5,52.5,50.875,51.5,15.0672,84600
139,1996-04-30,51.5,51.5,49.375,49.75,14.5551,164600
140,1996-05-01,48.5,48.5,47.25,48.0,14.0431,144600
141,1996-05-02,48.0,48.0,47.125,47.375,13.86,208200
142,1996-05-03,47.25,47.25,45.25,45.25,13.2383,210600
143,1996-05-06,44.5,44.875,44.125,44.25,12.9457,379000
144,1996-05-07,44.625,45.875,44.125,44.625,13.0554,304400
145,1996-05-08,44.5,44.5,43.375,44.375,12.9825,339400
146,1996-05-09,44.5,46.25,44.5,46.25,13.5307,854200
147,1996-05-10,46.5,48.625,46.25,48.5,14.1893,1075800
148,1996-05-13,48.5,49.0,48.5,48.875,14.2991,297800
149,1996-05-14,48.625,49.0,48.125,49.0,14.3354,166400
150,1996-05-15,49.125,49.5,49.0,49.5,14.482,242600
151,1996-05-16,49.25,49.25,49.0,49.125,14.3725,173400
152,1996-05-17,49.0,49.125,48.0,48.375,14.1526,327200
153,1996-05-20,48.25,49.625,47.0,49.375,14.4452,280200
154,1996-05-21,49.75,49.875,49.25,49.25,14.4088,5376800
155,1996-05-22,48.875,49.125,48.375,48.75,14.2625,2631600
156,1996-05-23,48.5,49.25,48.5,48.5,14.1893,1509000
157,1996-05-24,48.5,49.375,48.5,49.0,14.3354,743000
158,1996-05-28,49.125,49.375,48.125,48.5,14.1893,566200
159,1996-05-29,48.25,48.5,47.0,47.375,13.86,839800
160,1996-05-30,47.375,48.375,47.375,48.25,14.116,463800
161,1996-05-31,48.375,48.375,47.625,47.875,14.0064,502800
162,1996-06-03,47.875,48.25,47.375,48.25,14.116,290200
163,1996-06-04,48.125,48.875,48.125,48.875,14.2991,295400
164,1996-06-05,48.875,48.875,48.375,48.75,14.2625,154400
165,1996-06-06,49.0,50.0,49.0,49.375,14.4452,1177800
166,1996-06-07,48.75,49.125,48.375,49.0,14.3354,396000
167,1996-06-10,50.0,50.125,49.375,49.5,14.482,370600
168,1996-06-11,49.375,49.625,49.0,49.0,14.3354,346400
169,1996-06-12,49.0,49.375,49.0,49.25,14.4088,288200
170,1996-06-13,49.25,49.375,49.125,49.25,14.4088,385800
171,1996-06-14,49.125,49.25,48.875,49.125,14.3725,800000
172,1996-06-17,49.375,49.375,47.75,47.875,14.0064,841600
173,1996-06-18,48.125,49.875,48.125,49.375,14.4452,493000
174,1996-06-19,49.25,50.125,49.25,49.625,14.5181,365000
175,1996-06-20,49.75,49.875,49.5,49.5,14.482,240200
176,1996-06-21,49.75,50.875,49.625,50.625,14.8108,429600
177,1996-06-24,51.25,51.875,51.25,51.875,15.1764,457200
178,1996-06-25,51.75,55.0,51.75,55.0,16.0911,611000
179,1996-06-26,54.875,54.875,53.75,54.0,15.7985,218600
180,1996-06-27,54.0,54.25,53.5,54.0,15.7985,202400
181,1996-06-28,54.0,57.25,53.75,57.0,16.6765,541200
182,1996-07-01,57.0,57.0,55.375,56.125,16.4199,147600
183,1996-07-02,55.625,57.125,55.375,56.375,16.493,359000
184,1996-07-03,56.625,56.625,56.0,56.0,16.3835,219800
185,1996-07-05,55.625,55.75,55.125,55.5,16.2372,23800
186,1996-07-08,55.625,56.875,55.0,56.5,16.5297,117200
187,1996-07-09,56.75,58.625,56.625,57.625,16.8587,169800
188,1996-07-10,57.75,57.875,57.0,57.375,16.7857,92200
189,1996-07-11,57.5,57.5,56.375,57.25,16.7492,274600
190,1996-07-12,57.125,58.125,57.0,58.125,17.0052,130000
191,1996-07-15,58.25,59.0,56.5,57.5,16.8221,294200
192,1996-07-16,57.25,57.5,53.5,55.5,16.2372,904000
193,1996-07-17,55.75,56.375,55.125,55.25,16.1639,494600
194,1996-07-18,55.375,55.375,53.875,54.125,15.8349,122200
195,1996-07-19,54.25,54.5,54.125,54.125,15.8349,122800
196,1996-07-22,54.5,55.375,53.625,55.0,16.0911,359600
197,1996-07-23,55.0,56.25,54.375,54.375,15.908,758000
198,1996-07-24,53.0,53.0,52.25,52.25,15.2862,143000
199,1996-07-25,52.5,52.625,52.0,52.25,15.2862,68400
200,1996-07-26,51.5,51.75,51.0,51.25,14.994,200000
201,1996-07-29,51.25,51.25,49.625,49.875,14.5915,486200
202,1996-07-30,49.875,50.0,47.75,48.25,14.116,653000
203,1996-07-31,48.25,48.5,47.25,47.25,13.8232,573400
204,1996-08-01,47.5,49.5,47.5,49.25,14.4088,618600
205,1996-08-02,49.5,50.0,47.125,47.125,13.7871,574000
206,1996-08-05,47.125,47.75,46.875,47.375,13.86,299400
207,1996-08-06,47.625,49.0,47.25,48.75,14.2625,269400
208,1996-08-07,48.75,48.875,48.375,48.375,14.1526,280200
209,1996-08-08,48.5,49.25,48.375,49.125,14.3725,128600
210,1996-08-09,48.875,49.0,48.5,49.0,14.3354,105400
211,1996-08-12,48.875,49.0,48.125,48.125,14.0797,202800
212,1996-08-13,48.25,48.25,47.5,47.6094,13.9288,141800
213,1996-08-14,47.0,48.0,47.0,47.0,13.7503,269600
214,1996-08-15,46.875,47.875,46.625,47.5,13.8968,644400
215,1996-08-16,47.5,48.25,47.0,48.25,14.116,434600
216,1996-08-19,49.0,51.25,49.0,50.625,14.8108,662000
217,1996-08-20,50.375,52.25,50.375,51.375,15.0301,226800
218,1996-08-21,51.375,51.625,51.0,51.375,15.0301,243800
219,1996-08-22,51.375,51.5,50.75,51.0,14.9207,320200
220,1996-08-23,51.0,51.125,50.375,50.375,14.738,44800
221,1996-08-26,50.25,51.0,50.25,50.875,14.8841,156800
222,1996-08-27,50.75,51.0,50.25,50.25,14.7014,29800
223,1996-08-28,50.5,51.375,50.0,51.0,14.9207,89400
224,1996-08-29,50.875,51.5,50.625,51.0,14.9207,72000
225,1996-08-30,51.125,51.25,50.5,51.0,14.9207,42800
226,1996-09-03,51.5,51.625,51.375,51.5,15.0672,960000
227,1996-09-04,51.0,51.5,51.0,51.375,15.0301,380200
228,1996-09-05,51.375,51.875,51.25,51.375,15.0301,411400
229,1996-09-06,51.5,51.5,50.875,51.125,14.9575,342800
230,1996-09-09,50.75,53.125,50.75,52.875,15.4693,1303800
231,1996-09-10,53.0,54.375,53.0,54.25,15.8714,374600
232,1996-09-11,54.375,55.75,54.125,55.25,16.1639,609200
233,1996-09-12,55.25,55.75,55.25,55.5,16.2372,381400
234,1996-09-13,55.5,56.625,55.5,56.5,16.5297,191800
235,1996-09-16,56.125,56.5,56.0,56.375,16.493,236000
236,1996-09-17,56.25,56.5,55.875,56.5,16.5297,334200
237,1996-09-18,56.375,56.625,55.125,55.25,16.1639,419800
238,1996-09-19,55.0,55.0,54.375,54.375,15.908,293200
239,1996-09-20,54.5,54.5,53.625,53.875,15.7616,75600
240,1996-09-23,53.25,53.25,52.5,52.5,15.3597,335600
241,1996-09-24,52.5,52.625,51.0,51.0,14.9207,357400
242,1996-09-25,51.25,53.0,51.25,52.5,15.3597,883200
243,1996-09-26,53.625,56.5,53.25,55.875,16.3469,812800
244,1996-09-27,55.875,56.0,55.125,55.5,16.2372,169400
245,1996-09-30,55.625,56.5,55.0,55.0,16.0911,212000
246,1996-10-01,55.125,55.125,54.5,54.875,16.0546,134200
247,1996-10-02,54.75,56.375,54.75,56.125,16.4199,166800
248,1996-10-03,56.375,57.375,56.375,56.875,16.6393,299600
249,1996-10-04,57.0,57.875,56.875,57.375,16.7857,355800
250,1996-10-07,57.25,58.25,57.0,57.75,16.8951,190400
251,1996-10-08,57.875,58.75,57.5,57.875,16.932,193000
252,1996-10-09,58.25,59.0,58.0,58.375,17.0781,377000
253,1996-10-10,58.25,59.125,58.25,58.875,17.2244,239400
254,1996-10-11,58.625,62.125,58.625,61.375,17.956,337400
255,1996-10-14,61.5,61.5,60.5,61.25,17.9191,357800
256,1996-10-15,61.375,63.0,61.125,62.75,18.3582,159800
257,1996-10-16,63.0,63.25,62.375,62.5,18.2855,142800
258,1996-10-17,62.75,65.0,62.75,64.375,18.8336,206800
259,1996-10-18,64.125,64.625,63.875,64.125,18.7605,115000
260,1996-10-21,64.375,64.75,63.0,63.125,18.4678,531800
261,1996-10-22,63.25,64.25,62.125,62.5,18.2855,388400
262,1996-10-23,62.5,62.5,61.125,61.625,18.0292,265200
263,1996-10-24,61.5,61.75,61.0,61.125,17.8831,197400
264,1996-10-25,61.0,61.5,60.875,61.125,17.8831,134200
265,1996-10-28,61.375,62.25,61.125,61.625,18.0292,275800
266,1996-10-29,62.75,62.75,61.375,61.625,18.0292,490200
267,1996-10-30,61.875,62.0,61.0,61.875,18.1024,160400
268,1996-10-31,62.0,62.0,60.875,60.875,17.8099,730400
269,1996-11-01,60.375,60.375,58.875,58.875,17.2244,216000
270,1996-11-04,58.875,59.375,58.25,58.625,17.1512,166800
271,1996-11-05,58.875,59.0,58.625,58.75,17.1878,439000
272,1996-11-06,58.75,60.5,58.625,59.375,17.3709,717400
273,1996-11-07,59.5,60.0,59.0,59.625,17.4441,304600
274,1996-11-08,60.0,60.25,59.5,59.5,17.4072,232600
275,1996-11-11,59.75,60.625,59.625,59.75,17.4806,474600
276,1996-11-12,60.125,60.125,59.75,60.0,17.5533,227000
277,1996-11-13,60.125,60.25,59.875,59.875,17.517,144600
278,1996-11-14,60.0,61.75,59.75,60.625,17.7368,414600
279,1996-11-15,60.875,61.375,59.875,60.0,17.5533,502000
280,1996-11-18,60.125,61.25,60.0,60.875,17.8099,350000
281,1996-11-19,60.875,61.0,60.125,60.75,17.7729,228400
