,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,22.7804,23.1856,22.6992,22.7804,1.3452,710400
1,1984-11-06,22.9424,23.0236,22.7804,22.9424,1.3548,77600
2,1984-11-07,22.3748,23.1044,22.2128,22.3748,1.3213,811200
3,1984-11-08,22.7804,22.7804,22.3748,22.7804,1.3452,260000
4,1984-11-09,22.618,22.7804,22.618,22.618,1.3357,844000
5,1984-11-12,22.6992,22.6992,22.5372,22.6992,1.3404,54400
6,1984-11-13,22.3748,22.6992,22.3748,22.3748,1.3213,489600
7,1984-11-14,22.3748,22.456,22.294,22.3748,1.3213,400800
8,1984-11-15,22.294,22.3748,22.2128,22.294,1.3165,288000
9,1984-11-16,22.1316,22.3748,22.0508,22.1316,1.3069,598400
10,1984-11-19,22.0508,22.294,22.0508,22.0508,1.3021,1096000
11,1984-11-20,21.8884,21.9696,21.8076,21.8884,1.2926,404000
12,1984-11-21,21.7264,21.9696,21.7264,21.7264,1.283,357600
13,1984-11-23,21.402,21.8884,21.078,21.402,1.2638,376000
14,1984-11-26,21.6452,22.0508,21.402,21.6452,1.2782,513600
15,1984-11-27,21.8076,21.8076,21.402,21.8076,1.2878,305600
16,1984-11-28,21.7264,21.7264,21.4832,21.7264,1.283,328800
17,1984-11-29,20.9968,21.5644,20.9156,20.9968,1.2399,657600
18,1984-11-30,21.24,21.24,20.9156,21.24,1.2543,479200
19,1984-12-03,21.1588,21.24,21.078,21.1588,1.2495,828800
20,1984-12-04,21.24,21.3212,20.9968,21.24,1.2543,328800
21,1984-12-05,21.24,21.3212,21.1588,21.24,1.2543,1886400
22,1984-12-06,21.402,21.402,21.078,21.402,1.2721,1764000
23,1984-12-07,21.8076,22.0508,21.5644,21.8076,1.2962,177600
24,1984-12-10,21.6452,21.9696,21.6452,21.6452,1.2865,148000
25,1984-12-11,21.6452,21.8076,21.4832,21.6452,1.2865,378400
26,1984-12-12,21.8884,22.294,21.8076,21.8884,1.301,246400
27,1984-12-13,22.1316,22.2128,21.8884,22.1316,1.3154,260000
28,1984-12-14,22.294,22.294,22.0508,22.294,1.3251,201600
29,1984-12-17,22.2128,22.456,22.1316,22.2128,1.3203,228000
30,1984-12-18,22.8612,22.8612,22.1316,22.8612,1.3588,433600
31,1984-12-19,23.5908,23.5908,22.8612,23.5908,1.4022,634400
32,1984-12-20,22.8612,23.4288,22.7804,22.8612,1.3588,196000
33,1984-12-21,22.2128,22.7804,21.9696,22.2128,1.3203,640000
34,1984-12-24,21.7264,22.3748,21.7264,21.7264,1.2914,109600
35,1984-12-26,21.8884,21.8884,21.5644,21.8884,1.301,146400
36,1984-12-27,21.6452,21.8076,21.4832,21.6452,1.2865,397600
37,1984-12-28,21.7264,21.8076,21.402,21.7264,1.2914,724800
38,1984-12-31,22.2128,22.3748,21.7264,22.2128,1.3203,380800
39,1985-01-02,22.1316,22.3748,22.1316,22.1316,1.3154,44000
40,1985-01-03,22.3748,22.5372,22.2128,22.3748,1.3299,420800
41,1985-01-04,23.0236,23.1856,22.5372,23.0236,1.3684,148800
42,1985-01-07,23.3476,23.3476,22.7804,23.3476,1.3877,268800
43,1985-01-08,23.3476,23.5908,23.1856,23.3476,1.3877,89600
44,1985-01-09,23.5908,23.5908,23.0236,23.5908,1.4022,136000
45,1985-01-10,24.726,24.8068,23.51,24.726,1.4696,529600
46,1985-01-11,23.9964,24.726,23.9964,23.9964,1.4263,375200
47,1985-01-14,23.834,23.834,23.5908,23.834,1.4166,350400
48,1985-01-15,23.9964,24.2396,23.834,23.9964,1.4263,660000
49,1985-01-16,24.1584,24.2396,23.9152,24.1584,1.4359,305600
50,1985-01-17,24.4828,24.5636,24.1584,24.4828,1.4552,180000
51,1985-01-18,23.672,24.6448,23.3476,23.672,1.407,789600
52,1985-01-21,24.3204,24.3204,23.5908,24.3204,1.4455,552800
53,1985-01-22,24.726,24.9692,24.4016,24.726,1.4696,436800
54,1985-01-23,24.888,25.1312,24.6448,24.888,1.4793,514400
55,1985-01-24,25.7796,26.104,24.9692,25.7796,1.5323,1326400
56,1985-01-25,25.7796,25.942,25.7796,25.7796,1.5323,384800
57,1985-01-28,26.0232,26.4284,25.7796,26.0232,1.5467,285600
58,1985-01-29,26.2664,26.2664,26.0232,26.2664,1.5612,276000
59,1985-01-30,26.5096,26.5096,26.4284,26.5096,1.5756,297600
60,1985-01-31,26.104,26.5096,25.942,26.104,1.5515,144800
61,1985-02-01,26.4284,26.4284,26.0232,26.4284,1.5708,304000
62,1985-02-04,26.4284,26.5096,26.104,26.4284,1.5708,212800
63,1985-02-05,26.3472,26.5904,26.1852,26.3472,1.566,411200
64,1985-02-06,26.2664,26.3472,26.104,26.2664,1.5612,360000
65,1985-02-07,25.8608,26.1852,25.8608,25.8608,1.5371,646400
66,1985-02-08,26.104,26.104,25.7796,26.104,1.5515,463200
67,1985-02-11,25.6176,26.0232,25.6176,25.6176,1.5226,292800
68,1985-02-12,25.942,25.942,25.6988,25.942,1.5419,362400
69,1985-02-13,26.0232,26.0232,25.6988,26.0232,1.5467,631200
70,1985-02-14,27.2392,27.5632,26.0232,27.2392,1.619,882400
71,1985-02-15,27.0768,27.2392,26.6716,27.0768,1.6094,548000
72,1985-02-19,26.996,26.996,26.7528,26.996,1.6046,84800
73,1985-02-20,25.8608,26.8336,25.2124,25.8608,1.5371,1162400
74,1985-02-21,25.4556,25.942,25.4556,25.4556,1.513,621600
75,1985-02-22,25.3744,25.4556,25.1312,25.3744,1.5082,598400
76,1985-02-25,24.888,25.2932,24.888,24.888,1.4793,307200
77,1985-02-26,25.1312,25.1312,24.6448,25.1312,1.502,381600
78,1985-02-27,25.5364,25.5364,25.2124,25.5364,1.5262,520000
79,1985-02-28,25.6176,25.6176,25.4556,25.6176,1.5311,323200
80,1985-03-01,25.4556,25.8608,25.2932,25.4556,1.5214,1104800
81,1985-03-04,25.2124,25.4556,25.1312,25.2124,1.5069,77600
82,1985-03-05,24.9692,25.2124,24.8068,24.9692,1.4923,380000
83,1985-03-06,24.888,25.05,24.726,24.888,1.4875,88800
84,1985-03-07,24.888,25.05,24.726,24.888,1.4875,568800
85,1985-03-08,24.6448,24.888,24.5636,24.6448,1.473,196000
86,1985-03-11,24.4016,24.726,24.4016,24.4016,1.4584,148000
87,1985-03-12,24.3204,24.3204,23.9964,24.3204,1.4536,1147200
88,1985-03-13,24.3204,24.4828,24.1584,24.3204,1.4536,97600
89,1985-03-14,24.0772,24.4016,23.9964,24.0772,1.439,248000
90,1985-03-15,24.0772,24.1584,23.9964,24.0772,1.439,906400
91,1985-03-18,23.9964,24.2396,23.834,23.9964,1.4342,384800
92,1985-03-19,23.672,23.7532,23.3476,23.672,1.4148,1109600
93,1985-03-20,23.3476,23.834,23.1856,23.3476,1.3954,229600
94,1985-03-21,23.0236,23.3476,22.6992,23.0236,1.376,1067200
95,1985-03-22,23.1856,23.2668,22.9424,23.1856,1.3857,422400
96,1985-03-25,22.9424,23.1044,22.8612,22.9424,1.3712,747200
97,1985-03-26,23.0236,23.2668,22.9424,23.0236,1.376,366400
98,1985-03-27,22.9424,23.0236,22.7804,22.9424,1.3712,512000
99,1985-03-28,22.9424,23.0236,22.9424,22.9424,1.3712,269600
100,1985-03-29,23.3476,23.3476,23.0236,23.3476,1.3954,519200
101,1985-04-01,23.51,23.672,23.2668,23.51,1.4051,669600
102,1985-04-02,23.5908,23.834,23.5908,23.5908,1.41,202400
103,1985-04-03,23.5908,23.5908,23.3476,23.5908,1.41,498400
104,1985-04-04,23.9964,24.2396,23.834,23.9964,1.4342,348800
105,1985-04-08,24.2396,24.2396,23.7532,24.2396,1.4487,204800
106,1985-04-09,24.4016,24.726,24.1584,24.4016,1.4584,753600
107,1985-04-10,23.9964,24.3204,23.834,23.9964,1.4342,156800
108,1985-04-11,23.9964,24.1584,23.834,23.9964,1.4342,169600
109,1985-04-12,23.9964,24.2396,23.9964,23.9964,1.4342,178400
110,1985-04-15,23.51,24.1584,23.3476,23.51,1.4051,390400
111,1985-04-16,23.1856,23.3476,23.0236,23.1856,1.3857,444000
112,1985-04-17,23.1856,23.1856,23.1044,23.1856,1.3857,486400
113,1985-04-18,23.51,23.672,23.3476,23.51,1.4051,596800
114,1985-04-19,23.7532,23.9152,23.4288,23.7532,1.4197,195200
115,1985-04-22,23.834,24.0772,23.672,23.834,1.4245,424800
116,1985-04-23,23.672,23.7532,23.672,23.672,1.4148,144800
117,1985-04-24,23.4288,23.7532,23.4288,23.4288,1.4003,267200
118,1985-04-25,23.3476,23.5908,23.2668,23.3476,1.3954,592000
119,1985-04-26,23.4288,23.5908,23.3476,23.4288,1.4003,380000
120,1985-04-29,23.4288,23.5908,23.2668,23.4288,1.4003,556800
121,1985-04-30,23.4288,23.4288,23.4288,23.4288,1.4003,141600
122,1985-05-01,23.3476,23.51,23.3476,23.3476,1.3954,610400
123,1985-05-02,23.3476,23.51,23.3476,23.3476,1.3954,149600
124,1985-05-03,23.3476,23.4288,23.2668,23.3476,1.3954,392000
125,1985-05-06,23.51,23.51,23.2668,23.51,1.4051,237600
126,1985-05-07,23.1044,23.3476,23.1044,23.1044,1.3809,563200
127,1985-05-08,23.1044,23.1856,22.9424,23.1044,1.3809,252000
128,1985-05-09,23.0236,23.1856,23.0236,23.0236,1.376,195200
129,1985-05-10,23.1856,23.2668,23.0236,23.1856,1.3857,709600
130,1985-05-13,23.1044,23.2668,23.1044,23.1044,1.3809,152800
131,1985-05-14,23.1856,23.4288,23.1856,23.1856,1.3857,128800
132,1985-05-15,23.51,23.51,23.1044,23.51,1.4051,419200
133,1985-05-16,23.5908,23.5908,23.1856,23.5908,1.41,456000
134,1985-05-17,23.7532,23.7532,23.4288,23.7532,1.4197,645600
135,1985-05-20,24.6448,24.6448,23.7532,24.6448,1.473,502400
136,1985-05-21,25.1312,25.2932,24.6448,25.1312,1.502,470400
137,1985-05-22,25.2932,25.2932,24.9692,25.2932,1.5117,761600
138,1985-05-23,25.2932,25.4556,25.1312,25.2932,1.5117,925600
139,1985-05-24,25.2932,25.2932,25.2124,25.2932,1.5117,925600
140,1985-05-28,25.1312,25.7796,25.1312,25.1312,1.5103,298400
141,1985-05-29,25.1312,25.3744,25.1312,25.1312,1.5103,291200
142,1985-05-30,25.1312,25.2932,24.9692,25.1312,1.5103,99200
143,1985-05-31,24.726,25.2124,24.726,24.726,1.4859,83200
144,1985-06-03,24.9692,24.9692,24.726,24.9692,1.5005,216000
145,1985-06-04,25.1312,25.2932,25.1312,25.1312,1.5103,331200
146,1985-06-05,25.4556,25.4556,25.05,25.4556,1.5298,411200
147,1985-06-06,25.4556,25.5364,25.2932,25.4556,1.5298,158400
148,1985-06-07,25.05,25.3744,25.05,25.05,1.5054,285600
149,1985-06-10,24.6448,24.888,24.4828,24.6448,1.4811,524000
150,1985-06-11,24.6448,24.6448,24.4016,24.6448,1.4811,186400
151,1985-06-12,24.4016,24.726,24.2396,24.4016,1.4664,261600
152,1985-06-13,23.834,24.3204,23.834,23.834,1.4323,183200
153,1985-06-14,23.5908,23.7532,23.4288,23.5908,1.4177,95200
154,1985-06-17,23.1044,23.7532,23.1044,23.1044,1.3885,135200
155,1985-06-18,23.51,23.51,23.1044,23.51,1.4128,174400
156,1985-06-19,23.4288,23.834,23.4288,23.4288,1.408,131200
157,1985-06-20,23.5908,23.672,23.3476,23.5908,1.4177,223200
158,1985-06-21,23.9964,23.9964,23.51,23.9964,1.4421,254400
159,1985-06-24,23.834,24.2396,23.7532,23.834,1.4323,62400
160,1985-06-25,24.1584,24.1584,23.7532,24.1584,1.4518,89600
161,1985-06-26,24.2396,24.2396,24.1584,24.2396,1.4567,35200
162,1985-06-27,24.4828,24.726,24.2396,24.4828,1.4713,730400
163,1985-06-28,24.6448,24.6448,24.4016,24.6448,1.4811,406400
