,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2019-03-20,52.75,53.5,49.5,49.8,41.3739,2350838
1,2019-03-21,49.99,50.0,48.2,48.98,40.6927,1764671
2,2019-03-22,48.8,49.95,48.16,48.6,40.377,844690
3,2019-03-25,48.6,49.4,48.0,49.15,40.8339,440892
4,2019-03-26,49.0,49.75,48.18,48.85,40.5847,504734
5,2019-03-27,49.0,50.78,49.0,50.1,41.6232,1788588
6,2019-03-28,50.9,51.0,49.915,50.85,42.2463,585438
7,2019-03-29,49.52,52.48,49.18,51.63,42.8943,1769027
8,2019-04-01,52.3,54.39,51.25,53.5,44.4479,19663439
9,2019-04-02,55.12,57.39,54.3,56.25,46.7326,17414150
10,2019-04-03,57.08,57.2,55.51,56.88,47.256,15066170
11,2019-04-04,57.2,60.52,57.1,59.71,49.6072,13311870
12,2019-04-05,58.39,58.98,56.27,57.24,47.5551,17000789
13,2019-04-08,56.5,58.39,56.27,57.15,47.4803,10764570
14,2019-04-09,56.8,57.2,56.08,56.27,46.7492,9179922
15,2019-04-10,55.99,56.41,55.1,55.71,46.284,9081860
16,2019-04-11,55.7,56.21,54.83,54.89,45.6027,7346094
17,2019-04-12,55.93,58.33,55.93,58.3,48.4358,9281662
18,2019-04-15,58.57,58.85,57.29,57.78,48.0037,5727269
19,2019-04-16,58.71,58.99,57.84,58.5,48.6019,6681567
20,2019-04-17,58.95,59.05,58.2,58.32,48.4524,6420663
21,2019-04-18,58.36,58.61,57.55,57.77,47.9954,5178855
22,2019-04-22,57.48,58.41,57.26,57.89,48.0951,4401749
23,2019-04-23,57.29,57.84,57.0,57.64,47.8874,5687232
24,2019-04-24,57.49,57.89,55.865,55.98,46.5083,5431323
25,2019-04-25,55.76,55.98,54.82,55.33,45.9683,6260460
26,2019-04-26,55.3,55.6,54.95,55.25,45.9018,4009795
27,2019-04-29,55.05,55.685,54.8,55.5,46.1095,5935245
28,2019-04-30,55.76,57.205,55.6,56.73,47.1314,6454064
29,2019-05-01,56.82,57.48,55.88,56.13,46.6329,7644453
30,2019-05-02,55.54,56.49,52.03,52.7,43.7833,13932680
31,2019-05-03,53.2,53.35,51.72,53.3,44.2817,7401851
32,2019-05-06,52.15,54.03,51.7,53.46,44.4147,6089501
33,2019-05-07,52.86,53.325,52.65,52.95,43.991,7330785
34,2019-05-08,53.33,53.395,52.31,52.48,43.6005,5390685
35,2019-05-09,52.26,53.14,51.55,52.93,43.9743,4579758
36,2019-05-10,52.94,53.7141,52.49,53.07,44.0907,4758371
37,2019-05-13,52.28,52.55,50.76,50.95,42.3294,4213102
