Date,Open,High,Low,Close,Adjusted_close,Volume
2008-05-07,25.2,25.8,24.8,25.5,24.57,38943767
2008-05-08,25.58,25.83,24.74,25.4,24.4736,12468601
2008-05-09,25.1,25.4,24.94,25.24,24.3195,9747538
2008-05-12,25.11,26.85,25.1,25.57,24.6374,7921858
2008-05-13,25.38,25.92,25.2,25.9,24.9554,4518834
2008-05-14,25.5,26.31,24.6,26.17,25.2155,4295615
2008-05-15,25.75,26.41,25.58,26.03,25.0806,3969588
2008-05-16,25.86,26.75,25.67,26.5,25.5335,11418370
2008-05-19,26.15,26.45,25.97,26.07,25.1192,5613314
2008-05-20,25.7,25.94,25,25.55,24.6181,8338229
2008-05-21,25.37,25.78,25.26,25.51,24.5796,1729460
2008-05-22,25.14,26.13,25.12,25.72,24.7819,7980058
2008-05-23,25.52,25.72,25.26,25.42,24.4929,2421187
2008-05-27,25.36,25.53,25.12,25.38,24.4543,1899340
2008-05-28,25.22,25.47,25.05,25.21,24.2905,5346365
2008-05-29,25.01,25.14,24.85,24.95,24.04,6851028
2008-05-30,24.82,25.47,24.77,25.18,24.2616,5429513
2008-06-02,24.97,25.07,24.11,24.12,23.2403,2692621
2008-06-03,23.8,24.25,23.59,24.2,23.3174,4637377
2008-06-04,23.95,24.19,23.88,23.9,23.0283,2871338
2008-06-05,24.8,26.38,24.7,25.56,24.6278,10802741
2008-06-06,25.12,25.37,24.93,24.98,24.0689,4040997
2008-06-09,24.8,25.3,24.69,24.97,24.0593,2018443
2008-06-10,24.88,25.1,24.85,24.93,24.0208,3238219
2008-06-11,24.98,24.98,24.06,24.33,23.4426,2352376
2008-06-12,24.77,24.85,23.995,24.18,23.2981,1885925
2008-06-13,24.15,24.73,24.03,24.67,23.7702,2718329
2008-06-16,24.73,24.77,23.5,23.71,22.8453,2800015
2008-06-17,23.72,23.74,23.22,23.46,22.6044,3945495
2008-06-18,23.1,24,23.06,23.79,22.9223,1883383
2008-06-19,23.85,24.01,23.4,23.89,23.0187,2262104
2008-06-20,23.35,24,23.32,24,23.1247,2339598
2008-06-23,24,24,23.56,23.6,22.7393,1562904
2008-06-24,23.25,23.25,22.2,22.54,21.7179,4845650
2008-06-25,22.33,22.88,22.29,22.54,21.7179,2268141
2008-06-26,22.15,22.56,22.07,22.17,21.3614,2938507
2008-06-27,22.02,22.08,21.52,21.6,20.8122,3329021
2008-06-30,21.58,21.58,20.62,20.98,20.2148,3048104
2008-07-01,20.8,20.84,20.03,20.6,19.8487,3518328
2008-07-02,20.91,21.49,20.79,21.34,20.5617,1593577
2008-07-03,21.21,21.34,20.54,20.94,20.1763,1531185
2008-07-07,21.05,21.57,20.94,21.32,20.5424,1491780
2008-07-08,21.15,21.91,21.13,21.5,20.7159,3116208
2008-07-09,21.59,21.78,21.51,21.65,20.8604,1155518
2008-07-10,21.97,22.015,21.46,21.85,21.0531,1238454
