,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1986-02-06,7.875,7.875,7.875,7.875,1.8788,95
1,1986-02-13,7.875,7.875,7.875,7.875,1.8788,95
2,1986-02-27,7.875,7.875,7.875,7.875,1.8788,476
3,1986-02-28,7.875,7.875,7.875,7.875,1.8788,524
4,1986-03-03,7.75,7.875,7.75,7.75,1.849,4286
5,1986-03-04,7.75,7.875,7.75,7.75,1.849,12524
6,1986-03-05,7.875,7.875,7.75,7.875,1.8788,9048
7,1986-03-06,7.875,7.875,7.75,7.875,1.8788,2143
8,1986-03-07,7.75,7.875,7.75,7.75,1.849,3762
9,1986-03-10,7.875,7.875,7.75,7.875,1.8788,3000
10,1986-03-11,7.75,7.875,7.75,7.75,1.849,5952
11,1986-03-12,7.75,7.875,7.75,7.75,1.849,33286
12,1986-03-13,7.75,7.875,7.75,7.75,1.849,3952
13,1986-03-14,7.875,7.875,7.75,7.875,1.8788,3143
14,1986-03-17,7.875,7.875,7.75,7.875,1.8788,3905
15,1986-03-18,7.75,7.875,7.75,7.75,1.849,5143
16,1986-03-19,7.75,7.875,7.75,7.75,1.849,1810
17,1986-03-20,7.75,7.875,7.75,7.75,1.849,5381
18,1986-03-21,7.875,7.875,7.75,7.875,1.8788,9190
19,1986-03-24,7.75,7.875,7.75,7.75,1.849,4333
20,1986-03-25,7.75,7.875,7.75,7.75,1.849,4571
21,1986-03-26,7.875,7.875,7.75,7.875,1.8788,3286
22,1986-03-27,7.75,7.75,7.75,7.75,1.849,8238
23,1986-03-31,7.75,7.875,7.75,7.75,1.849,6619
24,1986-04-01,7.75,7.75,7.75,7.75,1.849,6905
25,1986-04-02,7.75,7.75,7.75,7.75,1.849,5714
26,1986-04-03,7.75,7.875,7.75,7.75,1.849,2905
27,1986-04-04,7.75,7.875,7.75,7.75,1.849,5810
28,1986-04-07,7.625,7.875,7.625,7.625,1.8191,4190
29,1986-04-08,7.625,7.75,7.625,7.625,1.8191,3190
30,1986-04-09,7.625,7.75,7.625,7.625,1.8191,1810
31,1986-04-10,7.75,7.75,7.625,7.75,1.849,7333
32,1986-04-11,7.625,7.75,7.625,7.625,1.8191,3619
33,1986-04-14,7.625,7.75,7.625,7.625,1.8191,9952
34,1986-04-15,7.625,7.625,7.5,7.625,1.8191,4857
35,1986-04-16,7.625,7.625,7.5,7.625,1.8191,3381
36,1986-04-17,7.5,7.625,7.5,7.5,1.7893,14524
37,1986-04-18,7.375,7.625,7.25,7.375,1.7595,8048
38,1986-04-21,7.25,7.375,7.125,7.25,1.7297,12238
39,1986-04-22,7.375,7.375,7.25,7.375,1.7595,2286
40,1986-04-23,7.25,7.375,7.25,7.25,1.7297,2333
41,1986-04-24,7.5,7.5,7.375,7.5,1.7893,8619
42,1986-04-25,7.25,7.5,7.125,7.25,1.7297,8952
43,1986-04-28,7.375,7.5,7.0,7.375,1.7595,14952
44,1986-04-29,7.125,7.375,7.125,7.125,1.6998,4000
45,1986-04-30,7.375,7.375,7.0,7.375,1.7595,3143
46,1986-05-01,7.375,7.375,7.125,7.375,1.7595,5476
47,1986-05-02,7.375,7.375,7.25,7.375,1.7595,3286
48,1986-05-05,7.625,7.625,7.375,7.625,1.8191,7143
49,1986-05-06,8.0,8.0,7.625,8.0,1.9086,13714
50,1986-05-07,8.0,8.0,7.875,8.0,1.9086,4905
51,1986-05-08,8.125,8.125,8.0,8.125,1.9384,5476
52,1986-05-09,8.125,8.25,8.125,8.125,1.9384,3095
53,1986-05-12,8.25,8.25,8.0,8.25,1.9682,4286
54,1986-05-13,8.125,8.25,8.125,8.125,1.9384,1714
