,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-05-09,9.7666,10.0171,9.1406,9.7666,3.3943,2350350
1,1995-05-10,10.0171,10.6431,10.0171,10.3927,3.6119,4206600
2,1995-05-11,10.518,10.7683,10.3927,10.6431,3.6989,2716650
3,1995-05-12,10.7683,10.7683,10.518,10.518,3.6554,1416600
4,1995-05-15,10.518,10.6431,10.518,10.518,3.6554,1000650
5,1995-05-16,10.6431,10.6431,10.3927,10.518,3.6554,1076100
6,1995-05-17,10.518,10.518,10.1423,10.2675,3.5684,1304100
7,1995-05-18,10.2675,10.518,10.2675,10.3927,3.6119,375750
8,1995-05-19,10.518,10.518,10.2675,10.3927,3.6119,370500
9,1995-05-22,10.8936,11.3945,10.7683,11.144,3.873,1147650
10,1995-05-23,11.0188,11.3945,10.8936,11.2692,3.9165,1165200
11,1995-05-24,11.2692,11.2692,11.0188,11.0188,3.8294,884700
12,1995-05-25,11.0188,11.0188,10.6431,10.7683,3.7424,456450
13,1995-05-26,10.8936,10.8936,10.7683,10.8936,3.7859,548550
14,1995-05-30,10.7683,11.3945,10.518,11.144,3.873,1342200
15,1995-05-31,10.8936,11.2692,10.7683,11.0188,3.8294,1961250
16,1995-06-01,10.8936,11.0188,10.6431,10.8936,3.7859,1344900
17,1995-06-02,10.7683,10.8936,10.6431,10.7683,3.7424,746100
18,1995-06-05,10.7683,11.144,10.6431,11.0188,3.8294,2864100
19,1995-06-06,10.8936,11.144,10.8936,11.0188,3.8294,1801350
20,1995-06-07,11.0188,11.2692,10.8936,11.0188,3.8294,1063800
21,1995-06-08,11.0188,11.3945,11.0188,11.144,3.873,1294500
22,1995-06-09,11.0188,11.2692,11.0188,11.0188,3.8294,1593750
23,1995-06-12,11.144,11.144,11.0188,11.0188,3.8294,2283600
24,1995-06-13,10.8936,11.144,10.8936,11.144,3.873,1550400
25,1995-06-14,11.0188,11.2692,11.0188,11.144,3.873,1015650
26,1995-06-15,11.144,11.5196,11.144,11.2692,3.9165,1559700
27,1995-06-16,11.2692,11.3945,11.144,11.144,3.873,1113450
28,1995-06-19,11.144,11.3945,11.0188,11.3945,3.96,1375800
29,1995-06-20,11.2692,11.5196,11.144,11.2692,3.9165,2045550
30,1995-06-21,11.2692,11.2692,10.8936,10.8936,3.7859,1594950
31,1995-06-22,10.8936,11.0188,10.6431,10.7683,3.7424,2161500
32,1995-06-23,10.8936,11.2692,10.8936,10.8936,3.7859,1132050
33,1995-06-26,10.8936,11.144,10.7683,10.7683,3.7424,1278150
34,1995-06-27,10.7683,11.2692,10.7683,11.144,3.873,1129800
35,1995-06-28,10.8936,11.2692,10.8936,11.2692,3.9165,1753050
36,1995-06-29,11.0188,11.3945,11.0188,11.144,3.873,981600
37,1995-06-30,11.2692,11.2692,10.8936,10.8936,3.7859,985200
