,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,31.25,31.751,31.25,31.25,4.8768,623250
1,1980-03-18,31.625,31.875,31.001,31.625,4.9353,831150
2,1980-03-19,32.0,32.375,31.625,32.0,4.9938,573300
3,1980-03-20,31.125,32.126,31.001,31.125,4.8573,501300
4,1980-03-21,30.375,31.125,30.125,30.375,4.74,684450
5,1980-03-24,29.625,30.125,29.501,29.625,4.623,548550
6,1980-03-25,29.25,29.75,29.126,29.25,4.5735,877050
7,1980-03-26,29.625,30.626,29.375,29.625,4.6323,729450
8,1980-03-27,29.501,29.501,28.25,29.501,4.6131,913050
9,1980-03-28,30.875,31.125,29.75,30.875,4.8279,722700
10,1980-03-31,31.25,31.25,30.5,31.25,4.8867,637650
11,1980-04-01,30.875,31.25,30.75,30.875,4.8279,668700
12,1980-04-02,30.5,31.001,30.0,30.5,4.7691,826200
13,1980-04-03,30.5,30.5,30.251,30.5,4.7691,450000
14,1980-04-07,29.0,30.125,29.0,29.0,4.5348,939150
15,1980-04-08,29.876,29.876,29.0,29.876,4.6716,717750
16,1980-04-09,31.25,31.25,30.0,31.25,4.8867,599400
17,1980-04-10,31.376,31.751,31.001,31.376,4.9062,784350
18,1980-04-11,31.376,31.751,31.25,31.376,4.9062,351900
19,1980-04-14,30.75,31.25,30.75,30.75,4.8084,517050
20,1980-04-15,31.001,31.25,30.75,31.001,4.8474,579150
21,1980-04-16,30.251,31.25,30.251,30.251,4.7304,771750
22,1980-04-17,31.001,31.125,30.125,31.001,4.8474,470250
23,1980-04-18,30.251,31.25,30.125,30.251,4.7304,1048500
24,1980-04-21,29.375,30.251,29.126,29.375,4.5933,616050
25,1980-04-22,30.5,30.75,29.75,30.5,4.7691,1027800
26,1980-04-23,31.25,31.376,30.75,31.25,4.8867,890100
27,1980-04-24,31.5,32.0,31.125,31.5,4.9257,567000
28,1980-04-25,31.875,32.126,31.001,31.875,4.9845,546750
29,1980-04-28,32.126,32.501,32.0,32.126,5.0232,814950
30,1980-04-29,32.501,32.501,32.126,32.501,5.082,441900
31,1980-04-30,32.501,32.75,32.126,32.501,5.082,931500
32,1980-05-01,31.751,32.75,31.625,31.751,4.9647,697950
33,1980-05-02,31.376,31.625,31.125,31.376,4.9062,478350
34,1980-05-05,31.625,31.751,31.25,31.625,4.9452,421650
35,1980-05-06,31.5,31.625,31.376,31.5,4.9257,555300
36,1980-05-07,31.751,32.0,31.376,31.751,4.9647,456300
37,1980-05-08,31.625,32.0,31.5,31.625,4.9452,540900
38,1980-05-09,31.25,31.751,31.125,31.25,4.8867,727200
39,1980-05-12,31.376,31.5,31.001,31.376,4.9062,379800
40,1980-05-13,31.875,32.0,31.25,31.875,4.9845,743400
41,1980-05-14,31.751,32.126,31.751,31.751,4.9647,895950
42,1980-05-15,31.751,31.875,31.5,31.751,4.9647,485550
43,1980-05-16,31.751,31.875,31.25,31.751,4.9647,334800
44,1980-05-19,32.0,32.126,31.5,32.0,5.0037,589950
45,1980-05-20,32.0,32.375,31.875,32.0,5.0037,731250
46,1980-05-21,31.875,32.0,31.751,31.875,4.9845,563850
47,1980-05-22,32.876,33.0,32.0,32.876,5.1408,595800
48,1980-05-23,34.875,35.375,33.125,34.875,5.4537,2061001
49,1980-05-27,34.625,35.126,34.376,34.625,5.4144,821700
50,1980-05-28,34.875,34.875,34.125,34.875,5.4537,419850
51,1980-05-29,33.875,34.751,33.75,33.875,5.2968,755100
52,1980-05-30,34.25,34.25,33.375,34.25,5.3559,671850
53,1980-06-02,34.001,34.751,33.75,34.001,5.3166,784800
54,1980-06-03,34.001,34.5,33.75,34.001,5.3166,673650
55,1980-06-04,35.0,35.0,33.875,35.0,5.4729,793800
